Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
4334|Colinton Volcanics|overlies|88|Acton Shale Member|unconformity|
13443|Mundoonen Sandstone|underlies|1051|Bango Limestone Member|not specified|
24186|Black Mountain Sandstone|underlies|1299|Baywulla Formation|not specified|
14394|Nungar beds|is intruded by|25781|Bendora Granodiorite||
16898|Silverdale Formation|underlies|1776|Black Bog Shale|not specified|
17298|State Circle Shale|underlies|24186|Black Mountain Sandstone|conformity|
18134|Tidbinbilla Quartzite|is equivalent to|24186|Black Mountain Sandstone||
13264|Mountain Creek Volcanics|overlies|2006|Blue Waterhole Formation|not specified|
19257|Wallace Shale|overlies|2341|Borenore Limestone|not specified|
10619|Long Flat Volcanics|is intruded by|2344|Boro Granite||
10619|Long Flat Volcanics|is intruded by|2487|Braidwood Granodiorite||
19257|Wallace Shale|underlies|2926|Bulls Camp Volcanics|not specified|
24186|Black Mountain Sandstone|underlies|24208|Camp Hill Sandstone Member|unconformity|
13560|Murrumbateman Creek Formation|underlies|24208|Camp Hill Sandstone Member|unconformity|
15299|Pittman Formation|underlies|24208|Camp Hill Sandstone Member|unconformity|
17298|State Circle Shale|underlies|24208|Camp Hill Sandstone Member|unconformity|
13411|Mumbil Group|underlies|3427|Campbells Group|not specified|
24186|Black Mountain Sandstone|underlies|3447|Canberra Formation|unconformity|
8179|Hawkins Suite|overlies|3447|Canberra Formation|not specified|
12438|Mount Ainslie Volcanics|overlies|3447|Canberra Formation|conformity|
13560|Murrumbateman Creek Formation|underlies|3447|Canberra Formation|unconformity|
15299|Pittman Formation|underlies|3447|Canberra Formation|angular unconformity|
17298|State Circle Shale|underlies|3447|Canberra Formation|unconformity|
4334|Colinton Volcanics|overlies|3554|Cappanana Formation|not specified|
16491|Ryrie Formation|underlies|3554|Cappanana Formation|not specified|
3716|Carwoola Formation|underlies|3563|Captains Flat Formation|conformity|
4677|Copper Creek Shale|underlies|3563|Captains Flat Formation|not specified|
3563|Captains Flat Formation|overlies|3716|Carwoola Formation|conformity|
4677|Copper Creek Shale|underlies|3716|Carwoola Formation|not specified|
3554|Cappanana Formation|underlies|4334|Colinton Volcanics|conformity|
