Stratno | Stratigraphic Name | Category | Contents | Last update 
24186|Black Mountain Sandstone|Name source|Named after Black Mountain, Canberra, ACT (Opik 1958).|
24186|Black Mountain Sandstone|Unit history|Synonymy: none.|
24186|Black Mountain Sandstone|Type section locality|Black Mountain (Opik 1958). Reference section (Lat 35o 17'S Long 149o 06'E) in cuttings along access road to the summit of Black Mountain (Owen 1987).  Here the formation is exposed as an upward facing sequence of grey fine- to medium-grained quartz sandstone with subordinate grey shale interbeds showing sedimentary structures typical of proximal turbidite deposit.  Top and bottom of the formation not exposed.|
24186|Black Mountain Sandstone|Extent|Hills and ridges at Black Mountain, Jerrabomberra Hill, Ginninderra area and northwest Capital Hill.|
24186|Black Mountain Sandstone|Thickness range|Estimates are >800 m (Crook and others 1973) and >450 m (Henderson 1981).|
24186|Black Mountain Sandstone|Lithology|Thickly bedded, in places massive medium-grained sandstone in which siltstone and shale interbeds are more common lower in the sequence. Sedimentary structures include plane/cross/convolute laminations, load casts, flute moulds and slump units (Crook and other 1973).|
24186|Black Mountain Sandstone|Depositional environment|Marine - prograding turbidite fan complex deposited by eastward-flowing turbidity currents.|
24186|Black Mountain Sandstone|Relationships and boundaries|Base has gradational and conformable contact with State Circle Shale.  Topmost beds are now an erosion surface except for unconformable contact with late Silurian Camp Hill Sandstone (Opik 1958) - now obscured by Parliament House.|
24186|Black Mountain Sandstone|Age reasons|Unfossiliferous. Early Silurian (Late Llandovery) by stratigraphic superposition with underlying State Circle Shale.|
24186|Black Mountain Sandstone|Correlations|On similarity of lithofacies probably co-eval with Tidbinbilla Quartzite, Mundoonan Sandstone and uppermost beds of the Ryrie Formation and Murrumbateman Creek Formation.|
24208|Camp Hill Sandstone Member|Name source|Named after Camp Hill, in Canberra, ACT (Opik 1958).|
24208|Camp Hill Sandstone Member|Unit history|None.|
24208|Camp Hill Sandstone Member|Type section locality|A deep road cutting on State Circle on the southwest side of Camp Hill (Lat 35o 185'S Long 149o 07'E) - the member rests with marked unconformity on early Silurian State Circle Shale.  The sequence consists of a thin basal grit (approx. 10cm thick) overlain by thinly bedded multicoloured siltstone and sandstone. The top is not exposed.|
24208|Camp Hill Sandstone Member|Extent|Scattered outcrops in the central Canberra and Ginninderra areas; Murrumbateman Creek catchment and west of Queanbeyan.|
24208|Camp Hill Sandstone Member|Thickness range|Estimated thickness up to 60m (Hendersen 1981).|
24208|Camp Hill Sandstone Member|Lithology|Well-bedded sandstone and siltstone with thin shale partings.|
24208|Camp Hill Sandstone Member|Depositional environment|Shallow marine.|
