Stratigraphic Name | Stratno |  Previous Name  |Previous Name Stratno| Replacement Name | Replacement Name Stratno |Is Current | Rank | Status | Category | Usage | Parent Name | Parent Stratno | Chemical Parent Name | Chemical Parent Stratno | Top Minimum Age Name | Top Minimum Age (Ma) | Top Minimum Age Error (Ma)| Top Minimum Age Method | Base Maximum Age Name | Base Maximum Age (Ma) | Base Maximum Age Error (Ma) | Base Maximum Age Method | Minimum Thickness (m) | Maximum Thickness (m) | Type Section State | Definition Card | First ref as on form | Def ref as on form | Reserved by | Resdate | Approved by | Approved date |General Comments | Lithology Description | Primary Lithology Group | Secondary Lithology Group | Tectonic Setting | Intrusive | Granite Type
Acton Shale Member|88|Acton Shale|90|||Yes|Member, phase|Formal|Variation of published name|Redefined|Pittman Formation|15299|||Bolindian||||Gisbornian|||||60|NSW|Yes|31284|42820|Abell, R.S. (after Opik 1958)|26/OCT/90|Brakel, A.|26/OCT/90|BMR Bulletin No.233.|Thinly laminated siliceous shale - dark grey where fresh but otherwise whitish-grey where weathered - graptolites preserved as black carboneous films on bedding planes.|sedimentary|||N|
Barracks Creek Monzogranite|76942|Barracks Creek Adamellite|1154|||Yes|Formation, beds|Reserved|Variation of published name|Reserved|||||Early Devonian||||Late Silurian|||||||No|||Blevin, P. (GSNSW)|14/JUN/12|||Name updated to meet IUGS standards|Monzogranite, leucogranite|igneous felsic-intermediate intrusive|||Y|I-type
Bendora Granodiorite|25781|Bendora Granite|1475|||Yes|Formation, beds|Formal|Variation of published name|Defined|||McKeahnie Suite|31610|Late Silurian||||Late Silurian||||||NSW|No|36441|45147|||||See also Bendora Granite.|Granodiorite|igneous felsic intrusive|||Y|S-type
Black Bog Shale|1776|||||Yes|Formation, beds|Formal|Variation of published name|Fully described|Hattons Corner Group|8145|||Ludlow||||Ludlow|||||147||No|43385||||||Formerly of the Booroo Ponds Group, now included in the Hattons Corner Group. Geological Province: Canberra-Yass Shelf.|Dark grey shale, mudstone, siltstone and black graptolitic shale; and 2 unnamed subunits of black graptolitic shale/mudstone/silstone(upper) and dark grey shale/mudstone (lower)|sedimentary|||N|
Black Mountain Sandstone|24186|Black Mountain sandstone|1806|||Yes|Formation, beds|Formal|Variation of published name|Defined|||||Early Silurian||||Early Silurian|||||450|ACT|Yes|39800|42820|Abell, R.S. (after Opik 1958)|26/OCT/90|Brakel, A.|26/OCT/90|Defined in BMR Bulletin 233. Reassigned Silurian in age from Ordovician in article No: 00/30545. Extended to include Tidbinbilla Quartzite on Abell et al 2008 - Geology of the ACT.|Grey, thickly bedded, massive, medium-grained arenite with siltstone and shale interbeds.|sedimentary siliciclastic|||N|
Booroo Ponds Group|2281|||||Yes|Group, Suite|Formal|Unknown or process pending|Fully described|||||Lochkovian||||Ludlow|||||||No|31852|||||||Strongly fossiliferous unit.||||N|
Booroomba Leucogranite|2286|||||Yes|Formation, beds|Formal|Unknown or process pending|Defined|||||Pridoli||||Ludlow||||||NSW|No|32820|45147||||||Leucogranite, aplite|igneous felsic intrusive|||Y|S-type
Bullanamang Porphyry|2885|||||Yes|Formation, beds|Formal|Resvd name published|Defined|Bredbo Group|21321|||Early Devonian||||Late Silurian|||||500|NSW|Yes|32820|36413|Richardson S.J.||Hawke, J.|20/FEB/79|Parent stated as Colinton Volcanics in 00/30545|Porphyry, coarse grained intrusive rhyolite porphyry|igneous felsic intrusive|||Y|
Bullenbalong Suite|2895|||||Yes|Group, Suite|Formal|Variation of published name|Fully described|||Bullenbalong Supersuite|2897|Wenlock||||Wenlock|||||||No|41563|||||||Rocks crowded with biotite and cordierite-rich enclaves.  The Bullenbalong pluton is of grey cordierite granites with the assemblage quartz, plagioclase, K-feldspar, red-brown biotite and cordierite with accessory apatite, zircon and monazite.|igneous felsic intrusive|||Y|S-type
Camp Hill Sandstone Member|24208|Camp Hill Sandstone|3407|||Yes|Member, phase|Formal|Variation of published name|Redefined|Canberra Formation|3447|||Silurian||||Silurian|||||100|ACT|Yes|36633|42820|Abell, R.S. (after Opik 1958)|26/OCT/90|Brakel, A.|26/OCT/90|Defined in BMR Bulletin 233. RefID 22857  increases to c.100m the definition thickness of 60m.|Well-bedded arenite and siltstone; thin shale partings; thin beds of coarse-grained quartz arenite at the base.||||N|
