Reference Id | Author | Year | Title | Source | Vol/Part | Pages
5252|Sherwin, L.|1995|Siluro-Devonian brachiopods from the Amphitheatre and Winduck Groups (Cobar Supergroup), western New South Wales|Association of Australasian Palaeontologists, Memoir|18|61-96
6969|Percival, I.G.|1998|The age of the Nandillyan and Narragal Limestones, Molong High, central western New South Wales|Geological Survey of New South Wales. Quarterly Notes|107|p12-19
12185|Best, J.G., D'Addario, G.W., Walpole, B.P., Rose, G.|1964|Canberra sheet SI55-16. Australian 1:250 000 geological series.|Bureau of Mineral Resources and Geological Survey of New South Wales.||
22472|Glen, R.A., Watkins, J.J.|1999|Implications of Middle Devonian deformation of the eastern part of the Hill End Trough, Lachlan Orogen, New South Wales|Australian Journal of Earth Sciences|46(1)|p35-52
22486|Pickett, J.W., Sherwin, L., Watkins, J.|1996|The age of the Tanwarra Shale|Geological Survey of New South Wales. Quarterly Notes|100|p 1- 8
22529|Colquhoun, G.P., Meakin, N.S., Krynen, J.P., Watkins, J.J., Yoo, E.K., Henderson, G.T.M., Jagodzinski, E.A.|1997|Stratigraphy, Structure and Mineralisation of the Mudgee 1:100 000 Geological Map Sheet|Geological Survey of New South Wales. Quarterly Notes|102|
22590|Jagodzinski, E.A., Black, L.P.|1999|U-Pb dating of silicic lavas, sills and syneruptive resedimented volcaniclastic deposits of the Lower Devonian Crudine Group, Hill End Trough, New South Wales|Australian Journal of Earth Sciences|46(5)|749-764
22606|Chappell, B.W., White, A.J.R., Williams, I.S., Wyborn, D., Hergt, J.M., Woodhead, J.D.|1999|Discussion and Reply. Evaluation of petrogenetic models for Lachlan Fold Belt granitoids: implications for crustal architecture and tectonic models|Australian Journal of Earth Sciences|46(5)|p827-836
22638|Warren, A.Y.E., Gilligan, L.B., Raphael, N.M.|1995|Explanatory Notes, Cootamundra 1:250 000 geological sheet SI/55-11.|Geological Survey of New South Wales|1v|160p
22639|Durney, D.W., Kisch, H.J.|1994|A field classification and intensity scale for first-generation cleavages|AGSO Journal of Australian Geology and Geophysics|15(3)|p257-295
22679|Wyborn, D., Henderson, G.A.M.|1996|Blayney 1:100 000 Sheet Area. Notes to Accompany Geological Map|Australian Geological Survey Organisation. Record|1996/56|
