Stratno | Stratigraphic Name | Entity Number | Province Name 
27689|Aarons Pass Granite|556736|Lachlan Orogen
32|Abercorn Granite|556736|Lachlan Orogen
69898|Abercrombie Formation|556736|Lachlan Orogen
48|Aberfoyle River Porphyrite|40484|New England Orogen
63|Abroi Granodiorite|40484|New England Orogen
73910|Abroi Suite|40484|New England Orogen
88|Acton Shale Member|556736|Lachlan Orogen
98|Adaminaby Group|556736|Lachlan Orogen
98|Adaminaby Group|559178|Central NSW - Omeo Province
23323|Adderley Formation|556736|Lachlan Orogen
41273|Adelargo Basalt Member|556736|Lachlan Orogen
134|Adelong Norite|556736|Lachlan Orogen
26339|Agnes Greywacke|40484|New England Orogen
25757|Akuna Mudstone|556736|Lachlan Orogen
210|Alandoon Chert|556736|Lachlan Orogen
279|Allandale Formation|530059|Bowen Basin
70446|Allawa Ignimbrite Member|40484|New England Orogen
23328|Allendale Metasediments|408445|Olary Domain
26341|Alley Sandstone Member|556736|Lachlan Orogen
23329|Allyn River Member|40484|New England Orogen
317|Alma Granite Gneiss|20331|Curnamona Province
23331|Alton Limestone Member|556736|Lachlan Orogen
342|Alum Mountain Volcanics|40484|New England Orogen
342|Alum Mountain Volcanics|549700|Gloucester Basin
342|Alum Mountain Volcanics|569864|Myall Syncline
23332|Ambone Volcanics|547727|Mount Hope Trough
357|Amboyne Granodiorite|556736|Lachlan Orogen
381|Amphitheatre Group|535919|Cobar Basin
381|Amphitheatre Group|549130|Rast Trough
381|Amphitheatre Group|556736|Lachlan Orogen
401|Anakie Metamorphic Group|39793|Belyando Gold Province
401|Anakie Metamorphic Group|449962|Anakie Province
427|Andersons Flat beds|40484|New England Orogen
25684|Anembo Granodiorite|556736|Lachlan Orogen
27693|Angullong Formation|556736|Lachlan Orogen
24660|Annalee Pyroclastics|40484|New England Orogen
29659|Anson Formation|556736|Lachlan Orogen
37907|Appleogue Dacite Member|40484|New England Orogen
510|Apsley River Diorite|40484|New England Orogen
74037|Apsley River Suite|40484|New England Orogen
520|Arable Tonalite|556736|Lachlan Orogen
24663|Ararat Formation|40484|New England Orogen
554|Ardlethan Granite|556736|Lachlan Orogen
31543|Ardlethan Suite|556736|Lachlan Orogen
581|Argyll Granodiorite|40484|New England Orogen
73911|Argyll Suite|40484|New England Orogen
37004|Armidale beds|40484|New England Orogen
36829|Arranmor Ignimbrite Member|40484|New England Orogen
77272|Arrowfield Coal Member|530078|Sydney Basin
31547|Arthursleigh Suite|556736|Lachlan Orogen
29663|Ashburnia Group|556736|Lachlan Orogen
705|Ashford Coal Measures|40484|New England Orogen
705|Ashford Coal Measures|559229|Ashford Basin
76101|Ashford Limestone Member|40484|New England Orogen
77318|Ashford Member|40484|New England Orogen
714|Ashleigh Member|556736|Lachlan Orogen
27696|Ashton Member|556736|Lachlan Orogen
