Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
7050|Gatton Sandstone|overlies|39|Aberdare Conglomerate|unconformity|
8762|Ipswich Coal Measures|underlies|39|Aberdare Conglomerate|unconformity|
15784|Raceview Formation|overlies|39|Aberdare Conglomerate|not specified|
26871|Ripley Road Sandstone|overlies|39|Aberdare Conglomerate|not specified|
4334|Colinton Volcanics|overlies|88|Acton Shale Member|unconformity|
1474|Bendoc Group|overlies|98|Adaminaby Group|not specified|
4594|Coombing Formation|overlies|98|Adaminaby Group|not specified|
8538|Howqua Chert|underlies|98|Adaminaby Group|not specified|
39352|Lockhart Igneous Complex|intrudes|98|Adaminaby Group||
16213|Rockley Volcanics|overlies|98|Adaminaby Group|not specified|
18477|Touga Granite|intrudes|98|Adaminaby Group||
31015|Tucklan Formation|overlies|98|Adaminaby Group|not specified|
75933|Tullyangela Granite|intrudes|98|Adaminaby Group||
19196|Wagonga Group|overlies|98|Adaminaby Group|conformity|
3922|Charlestown Conglomerate|is equivalent to|105|Adamstown Formation||
14198|Nobbys Tuff|underlies|105|Adamstown Formation|not specified|
35095|Warners Bay Tuff|overlies|105|Adamstown Formation|not specified|
2778|Buckburraga Slate|overlies|23323|Adderley Formation|conformity|
5806|Dunchurch Formation|overlies|23323|Adderley Formation|conformity|
10103|Lambie Group|underlies|23323|Adderley Formation|unconformity|
19796|Westbourne Formation|overlies|143|Adori Sandstone|conformity|
16848|Shoalwater Formation|is intruded by|156|Agnes Water Volcanics||
1645|Billy Creek Formation|overlies|198|Ajax Limestone|not specified|
23907|Pinnak Sandstone|overlies|25757|Akuna Mudstone|not specified|
24002|Sunlight Creek Formation|overlies|25757|Akuna Mudstone|not specified|
33677|Tombong Formation|overlies|25757|Akuna Mudstone|not specified|
19441|Warbisco Shale|underlies|25757|Akuna Mudstone|conformity|
20777|Yalmy Group|overlies|25757|Akuna Mudstone|not specified|
26565|Gairdners Creek Quartzite|overlies|29276|Alberta Conglomerate|not specified|
39629|Magdala Basalt|underlies|72620|Albion Formation|conformity|
26261|Cues Formation|overlies|29199|Alders Tank Formation|not specified|
23711|Lady Brassey Formation|underlies|29199|Alders Tank Formation|not specified|
2891|Bulldog Shale|overlies|262|Algebuckina Sandstone||
3284|Cadna-owie Formation|overlies|262|Algebuckina Sandstone|disconformity|
73552|Easter Monday Formation|underlies|262|Algebuckina Sandstone||
8610|Hutton Sandstone|overlies|262|Algebuckina Sandstone||
20540|Woogaroo Subgroup|overlies|39010|Alice Creek beds|unconformity|
10550|Lochinvar Formation|underlies|279|Allandale Formation|not specified|
16463|Rutherford Formation|overlies|279|Allandale Formation|not specified|
9417|Kembla Sandstone|overlies|27315|Allans Creek Formation|not specified|
4714|Cordillo Silcrete|overlies|291|Allaru Mudstone|unconformity|
4721|Coreena Member|underlies|291|Allaru Mudstone|conformity|gradational
10952|Mackunda Formation|overlies|291|Allaru Mudstone|conformity|
18375|Toolebuc Formation|underlies|291|Allaru Mudstone|conformity|
19323|Wallumbilla Formation|underlies|291|Allaru Mudstone|conformity|
20268|Winton Formation|overlies|291|Allaru Mudstone|conformity|
70450|Kankool Ignimbrite Member|underlies|70446|Allawa Ignimbrite Member|not specified|
70506|Rockford Ignimbrite Member|underlies|70446|Allawa Ignimbrite Member|not specified|
15683|Purnamoota Subgroup|overlies|23328|Allendale Metasediments|not specified|
25749|Thackaringa Group|underlies|23328|Allendale Metasediments|not specified|
27717|Bonnington Siltstone|underlies|23329|Allyn River Member|conformity|
26261|Cues Formation|overlies|317|Alma Granite Gneiss|not specified|
2891|Bulldog Shale|underlies|69205|Alpha Mudstone|not specified|
27727|Bulahdelah Formation|overlies|342|Alum Mountain Volcanics|disconformity|
24917|Dewrang Group|overlies|342|Alum Mountain Volcanics|disconformity|
7452|Gloucester Coal Measures|overlies|342|Alum Mountain Volcanics|not specified|
9012|Johnsons Creek Conglomerate|underlies|342|Alum Mountain Volcanics|disconformity|
11329|Markwell Coal Measures|overlies|342|Alum Mountain Volcanics|disconformity|
13340|Muirs Creek Conglomerate|underlies|342|Alum Mountain Volcanics|not specified|
13946|Neara Volcanics|overlies|349|Amamoor beds|unconformity|
30452|Wiltagoona Sandstone|overlies|381|Amphitheatre Group|not specified|
25683|Winduck Group|overlies|381|Amphitheatre Group|conformity|diachronous
845|Back Creek Group|overlies|401|Anakie Metamorphic Group|not specified|
4260|Cobblers Creek Limestone|overlies|27693|Angullong Formation|unconformity|
11126|Malongulli Formation|underlies|27693|Angullong Formation|conformity|
29500|Byng Volcanics|underlies|29659|Anson Formation|unconformity|
13397|Mullions Range Volcanics|overlies|29659|Anson Formation|not specified|
14461|Oakdale Formation|underlies|29659|Anson Formation|unconformity|
24656|American Creek Coal Member|overlies|502|Appin Formation|not specified|
20184|Wilton Formation|underlies|502|Appin Formation|not specified|
11031|Main Range Volcanics|overlies|27670|Aranbanga Volcanic Group|unconformity|
18352|Toogoolawah Group|underlies|27670|Aranbanga Volcanic Group|unconformity|
1691|Bingleburra Formation|underlies|24663|Ararat Formation|conformity|
12187|Moolayember Formation|overlies|539|Arbroath beds|unconformity|
18177|Timbury Hills Formation|underlies|539|Arbroath beds|unconformity|
27351|Bulga Formation|underlies|26350|Archerfield Sandstone|not specified|
26639|Jerrys Plains Subgroup|overlies|26350|Archerfield Sandstone|not specified|
19874|Whipbird Creek Formation|overlies|28148|Argyle Formation|not specified|
24236|Curdimurka Subgroup|overlies|600|Arkaroola Subgroup|not specified|
28301|Sandon beds|overlies|37004|Armidale beds|unconformity|
1645|Billy Creek Formation|underlies|26354|Aroona Creek Limestone|not specified|
9854|Kuark Metamorphic Complex|is intruded by|642|Arte Gabbro||
69879|Bindook Group|is intruded by|31547|Arthursleigh Suite||
27693|Angullong Formation|underlies|29663|Ashburnia Group|unconformity|
21409|Cabonne Group|underlies|29663|Ashburnia Group|not specified|
19623|Waugoola Group|overlies|29663|Ashburnia Group|not specified|
18012|Texas beds|is faulted against|705|Ashford Coal Measures||
18012|Texas beds|underlies|705|Ashford Coal Measures|unconformity|
77320|Bonshaw Member|overlies|77318|Ashford Member||
18012|Texas beds|underlies|77318|Ashford Member|unconformity|
25434|Red East Member|overlies|27696|Ashton Member|not specified|
3922|Charlestown Conglomerate|underlies|781|Australasian Coal|not specified|
12809|Mount Hutton Formation|overlies|781|Australasian Coal|not specified|
29527|Canowindra Volcanics|underlies|24675|Avoca Valley Shale|not specified|
7161|Ghost Hill Formation|overlies|24675|Avoca Valley Shale|not specified|
32459|Cobbannah Group|underlies|35960|Avon Supergroup|unconformity|
2754|Buchan Group|overlies|34825|Avonmore Subgroup|conformity|
27137|Curra Keith Tongue|overlies|819|Ayr Conglomerate Member|conformity|
25714|Dangarfield Formation|underlies|819|Ayr Conglomerate Member|not specified|
13935|Native Dog Member|overlies|819|Ayr Conglomerate Member|conformity|
25608|Waverley Formation|underlies|819|Ayr Conglomerate Member|not specified|
6774|Florida Volcanics|overlies|25702|Babinda Volcanics|not specified|
1876|Blackwater Group|overlies|845|Back Creek Group|conformity|unconformably?
9951|Kuttung Formation|underlies|845|Back Creek Group|unconformity|
70506|Rockford Ignimbrite Member|overlies|70448|Back Creek Ignimbrite Member|not specified|
27693|Angullong Formation|underlies|875|Bagdad Formation|not specified|
2538|Bridge Creek Limestone Member|underlies|875|Bagdad Formation|not specified|
3277|Cadia Coach Shale|overlies|875|Bagdad Formation|not specified|
4452|Connolly Volcanics|underlies|73063|Bald Hill Formation|unconformity|
9376|Keepit Conglomerate|overlies|949|Baldwin Formation|disconformity|
17757|Tamworth Group|underlies|949|Baldwin Formation|unconformity|
21339|Brookong Formation|overlies|954|Baledmund Formation|not specified|
6774|Florida Volcanics|underlies|954|Baledmund Formation|not specified|
27158|Girilambone Group|underlies|33967|Ballast Formation|not specified|
24837|Cheesemans Creek Formation|overlies|28166|Ballingoole Limestone|disconformity|
14461|Oakdale Formation|overlies|28166|Ballingoole Limestone|not specified|
27688|Quondong Limestone|underlies|28166|Ballingoole Limestone|conformity|
25474|Shepparton Formation|overlies|76928|Balmattum Basalt||
13443|Mundoonen Sandstone|underlies|1051|Bango Limestone Member|not specified|
23907|Pinnak Sandstone|is intruded by|35970|Banimboola Quartz Monzodiorite||
27508|Mount York Claystone|underlies|1065|Banks Wall Sandstone|not specified|
98|Adaminaby Group|is intruded by|1073|Banshea Granite||
10103|Lambie Group|overlies|1073|Banshea Granite|nonconformity|
7672|Grampians Group|underlies|35971|Barangaroo Ignimbrite|not specified|
5221|Darkes Forest Sandstone|overlies|1098|Bargo Claystone|not specified|
27587|Tongarra Coal|underlies|1098|Bargo Claystone|not specified|
20184|Wilton Formation|underlies|1098|Bargo Claystone|not specified|
25864|Cowombat Siltstone|underlies|32559|Barmouth Group|not specified|
1282|Bay Formation|overlies|24694|Barnby Hills Shale||
3390|Camelford Limestone|overlies|24694|Barnby Hills Shale|conformity|
4981|Cuga Burga Volcanics|overlies|24694|Barnby Hills Shale||
13397|Mullions Range Volcanics|underlies|24694|Barnby Hills Shale||
13896|Narragal Limestone|underlies|24694|Barnby Hills Shale|not specified|
73421|Bittles Tank Volcanics|intrudes|76020|Baroorangee Creek Formation||dykes
73522|Cliffs Tank Complex|intrudes|76020|Baroorangee Creek Formation||
76023|Macs Tank Ultramafic|intrudes|76020|Baroorangee Creek Formation||
15860|Ravendale Formation|overlies|76020|Baroorangee Creek Formation|unconformity|
76178|Weinteriga Creek Formation|overlies|76020|Baroorangee Creek Formation||
3106|Burra Group|overlies|1138|Barossa Complex|unconformity|
34262|Joaramin Ignimbrite|underlies|34265|Barrallier Ignimbrite|not specified|
2439|Bowspring Limestone Member|underlies|26371|Barrandella Shale Member|not specified|
8569|Hume Limestone Member|overlies|26371|Barrandella Shale Member|not specified|
37334|Hazeldene Sandstone|overlies|35611|Barrat Formation|not specified|
27517|Naradhan Sandstone|overlies|35611|Barrat Formation|not specified|
25474|Shepparton Formation|overlies|1227|Barwo Member|not specified|
25474|Shepparton Formation|underlies|1227|Barwo Member|not specified|
