Stratno | Stratigraphic Name | Category | Contents | Last update 
88|Acton Shale Member|Name source|After the suburb of Acton, Canberra, ACT (Opik 1958).|
88|Acton Shale Member|Unit history|Originally a distinct formation conformably overlying the Pittman Formation (Opik 1958). Subsequently redefined as a member high in the Pittman Formation (Strusz and Henderson 1971). In the Gundaroo-Nanima area the 'Picaree Formation' (Best and Other 1964).|10/JAN/07
88|Acton Shale Member|Type section locality|South of the ANU Staff Centre at Lat 35o 17'S Long 149o 06'E (Owen 1987).  Rubbly outcrops of thinly laminated siliceous black shale dipping 20o E.  (Original type locality of Opik 1958 at the old race course, Acton is now mostly inundated by Lake Burley Griffin).  No type section exposed. REFERENCE LOCALITIES: Ridges east of Aranda suburb (Owen 1987); vicinity of Lake Ginninderra (Henderson 1980) and Picaree Hill (GR963/231).|
88|Acton Shale Member|Extent|Low ridges and scattered outcrops in the Canberra-Queanbeyan district, the Gundaroo-Namina area Lake George Range.|
88|Acton Shale Member|Thickness range|Estimates of up to 60 m in Canberra district (Henderson 1981) and Gunderoo-Namina area (Smith 1964).|
88|Acton Shale Member|Lithology|Thinly laminated siliceous shale - dark grey where fresh but otherwise whitish-grey where weathered - graptolites preserved as black carboneous films on bedding planes.|
88|Acton Shale Member|Depositional environment|Marine-reducing environment in association with distal outer submarine fans on the abyssal plain or locally within proximal zones such as inner fan levees or abandoned feeder channels.|
88|Acton Shale Member|Relationships and boundaries|Conformable lithology in the upper part of the Pittman Formation. South of Queanbeyan overlain unconformably by Late Silurian Colinton Volcanics.|
88|Acton Shale Member|Age reasons|Late Ordovician (Gisbornian to Bolindian) in age based on graptolites (Opik 1958, Webby 1981)|21/MAR/07
88|Acton Shale Member|Correlations|With scattered outcrops in the Gundaroo-Namina and Queanbeyan areas and the Lake George range; may in part correlate with Merigan Black Shale and Bullongong Black Shale (Webby 1981) further to the east.|
28319|Agnes Banks Sand|Name source|Village of Agnes Banks (GR 708465, Windsor, 1:63 360).|
28319|Agnes Banks Sand|Unit history|Included in the Richmond Formation of Bell (1966).|
28319|Agnes Banks Sand|Type section locality|7 m of fine to medium grained, cream to buff coloured quartz sand exposed in a sand pit of Farley and Lewers Ltd (GR 70447, Windsor 1:63 360).|
28319|Agnes Banks Sand|Extent|Formation exposed over approximately 9 km2 south of the village of Agnes Banks.|
28319|Agnes Banks Sand|Thickness range|Range 1-8 m.|
28319|Agnes Banks Sand|Lithology|Mottled orange-grey, clayey quartz sand grading upwards into buff and cream coloured, fine to medium grained sand with minor clay. Rare crossbedding and occasional pebbles.|
28319|Agnes Banks Sand|Relationships and boundaries|Boundary between Londonderry Clay and Agnes Banks Sand is sharp and probable disconformable. Erosional upper surface.|
28319|Agnes Banks Sand|Age reasons|No floral or faunal assemblages available for dating. Agnes Banks Sand overlies the Londonderry Clay, the latter affected by late Miocene or early Pliocene lateritisation (Gobert in press). Unit occurs on a higher river terrace than the Pleistocene Cranebrook Formation and hence Agnes Banks Sand is thought to be Pliocene in age (Gobert in press, Morgan 1976a).|
28319|Agnes Banks Sand|Name first published by|Wallace I., 1976|
25684|Anembo Granodiorite|Name source|The village of Anembo at GR 195314 (Michelago 1:100 000 Geological Sheet).|
25684|Anembo Granodiorite|Unit history|Baker (1915) referred to the Jerangle Grey Granite but most later workers combined the references to the Anembo Granodiorite and the Towners Creek Adamellite under the one name until Richards (1967) introduced the name Round Hill Ganodiorite (invalidated by Andrews' (1922) Round Hill Group).|
25684|Anembo Granodiorite|Type section locality|South of Anembo at GR 192336 near the Queanbeyan River.|
25684|Anembo Granodiorite|Description at type locality|The granodiorite is a texturally homogeneous, coarse-grained, xenolith-enriched biotite-hornblende granodiorite. It generally has a coarse, hypidiomorphic granular texture. It weathers to a creamy-grey colour. Xenoliths up to 20 cm2 in area are common.|
25684|Anembo Granodiorite|Extent|It appears along the full length of the Jerangle Igneous Complex, mainly along the eastern side. Size: 220 km2.|
25684|Anembo Granodiorite|Relationships and boundaries|The granodiorite is partially bounded by the minor phase of the Jerangle Igneous Complex (Towners Creek Adamellite) and Late Ordovician Foxlow Beds. Some contact metamorphism is present.|
25684|Anembo Granodiorite|Age reasons|A revised age of 396 m.y. is suggested by J Richards (pers. comm.). This suggests a Siluro-Devonian time of intrusion.|
25684|Anembo Granodiorite|References|79/03619|
24602|Angus Place Sandstone|Name source|Village of Angus Place, North of Lidsdale|
24602|Angus Place Sandstone|Type section locality|(1) Location - Elecom Lithgow-Newnes DDH 31 (221925mE, 1310963mN, Lithgow 1:50 000 sheet, 8931-111). (2) Repository - Elecom core store, Lithgow. Reference Section: Blackmans Crown A, GR 795257, Sofala 8831 - I and IV.|
24602|Angus Place Sandstone|Extent|Western Coal Field. Equivalent lithologies known in Ulan area, Singleton district and Southern Coalfield. Detailed correlations have yet to be established between these areas. Also occurs on parts of the Hampton, Katoomba, Glen Davis and Glen Alice sheets.|
24602|Angus Place Sandstone|Thickness range|(1) Type Section: From 239.22 m to 244.91 m. Thickness, 5.69 m.  (2) Maximum recorded - 15.5. M.|
24602|Angus Place Sandstone|Lithology|A fine grained, quartz-lithic sandstone; rarely medium grained; sporadic low angle planar cross beds.|
24602|Angus Place Sandstone|Relationships and boundaries|Conformably overlain by the State Mine Creek Formation or the Gap Sandstone and underlain by the Baal Bone Formation.  Fines downward - distinguished by sharp or distinct top and gradational base. Sporadic burrows. In part carbonate cemented. Top of unit is marked by sharp transition from sandstone to (commonly) coal or argillaceous and carbonaceous sediments of the State Mine Creek Formation. Base of unit transitional from sandstone to laminated and interbedded argillaceous sediments. Base placed at point where these become dominant. Part of Charbon Sub-Group.|
24602|Angus Place Sandstone|Proposer|Bembrick C.S., Robertson Research (Australia) Pty Limited|
37907|Appleogue Dacite Member|Name source|After 'Appleogue' homestead GR473238 Plagyan 1:25 000 sheet.|25/MAY/11
37907|Appleogue Dacite Member|Type section locality|On the banks of Maules Creek at GR441224 Berrioye 1:25 000 sheet.|
37907|Appleogue Dacite Member|Extent|On the western limb of the Maules Creek anticline west of `Kashmir' (GR449211 Berrioye 1:25 000 sheet), extending for about 2 km between the entrance road to `Kashmir' and Maules Creek.|
37907|Appleogue Dacite Member|Thickness range|35m|
37907|Appleogue Dacite Member|Lithology|Dark grey to black, hornblende dacite containing plagioclase, hornblende, altered biotite and opaque minerals. The groundmass is spherulitic to chloritic and zeolitic and contains small fragments of pumice and possible shards.|
37907|Appleogue Dacite Member|Depositional environment|Ignimbrite.[?? sub-aerial volcanics?]|
37907|Appleogue Dacite Member|Relationships and boundaries|The Appleogue Dacite lies stratigraphically above the Peri Rhyolite|
37907|Appleogue Dacite Member|Age reasons|Carboniferous|
24603|Baal Bone Formation|Name source|Baal Bone Gap, east of Ben Bullen|
24603|Baal Bone Formation|Unit history|New name (C.S. Bembrick)|
24603|Baal Bone Formation|Type section locality|(1) Location - Elecom Lithgow-Newnes DDH 31 (221925 mE, 1310965mN, Lithgow 1:50 000 sheet, 8931-111).  (2) Repository - Elecom core store, Lithgow. Reference Section: Blackmans Crown A, GR 795257, Sofala 8831 - I and IV.|
24603|Baal Bone Formation|Extent|Western Coalfield. Equivalent lithologies known in the Ulan area, Putty area, Singleton district and Southern Coalfield. A unit which appears to be of basin-wide extent, but this has not yet been fully established by detailed correlation. Also occurs on parts of the Hampton, Katoomba, Glen Davis and Glen Alice sheets.|
24603|Baal Bone Formation|Thickness range|(1) Type Section - from 244.91 - 269.18 m. Thickness, 24.27 m. (2) Maximum recorded - 53 m (base not penetrated).|
24603|Baal Bone Formation|Lithology|Dominantly interbedded and laminated mudstone, siltstone and claystone, with very minor sandstone. Sporadic very thin coals and oil shales.|
24603|Baal Bone Formation|Relationships and boundaries|Conformably overlain by the Angus Place Sandstone and underlain by the Glen Davis Formation. Part of Charbon Sub-Group. Distinguished by the interbedded, laminated and bioturbated nature of the sediments. Contains arenaceous foraminifera and acritarchs. Common "drop stones". Unit as a whole commonly fines downward on a broad scale. Top of unit recognised at the point where sandstone becomes the dominant lithology. Base marked by a change from argillaceous sediments (commonly laminated) to coal, siliceous claystone or sandstone of the Glen Davis Formation.|
24168|Baan Baa Formation|Name source|Baan Baa township; grid reference GG 830110, Baan Baa 1:100 000 Sheet area.|
24168|Baan Baa Formation|Unit history|Correlative of Leard Formation (Brownlow, 1981) and other Early Permian pelletoidal claystones recognised in the Sydney Basin (see Loughnan, 1975).|
24168|Baan Baa Formation|Type section locality|54 metres of massive to finely pelletoidal claystone in DMR borehole DDH Turrawan 2, from 619 to 673 metres.|
24168|Baan Baa Formation|Extent|The unit occurs in the subsurface throughout the western part of the Gunnedah Basin (approximately 300 km2).|
24168|Baan Baa Formation|Thickness range|Range 0-54 m|
24168|Baan Baa Formation|Lithology|Massive to finely pelletoidal claystone, rarely carbonaceous. Essentially an alluvial deposit, finely bedded. Minor interbeds of non-pelletoidal clastic detritus near upper boundary.|
24168|Baan Baa Formation|Relationships and boundaries|Overlies the Boggabri Volcanics (Hanlon, 1949) unconformably. Is a weathering product of the Boggabri Volcanics. Lower boundary is transitional with the Boggabri Volcanics. Conformably overlain by Maules Creek Formation (Brownlow, 1981) equivalents.|
24168|Baan Baa Formation|Age reasons|Overlies Boggabri Volcanics (Early Permian Stage 2 age; McPhie, 1984) and underlies Maules Creek Formation equivalents (Early Permian Stage 4 age; McMinn, 1981). Age of Baan Baa Formation probably Stage 3 to lower Stage 4 Early Permian.|
24168|Baan Baa Formation|Proposed publication|Abstracts, 20th Newcastle Symposium; Bicentennial Volume|
