Stratigraphic Name | Stratno |  Previous Name  |Previous Name Stratno| Replacement Name | Replacement Name Stratno |Is Current | Rank | Status | Category | Usage | Parent Name | Parent Stratno | Chemical Parent Name | Chemical Parent Stratno | Top Minimum Age Name | Top Minimum Age (Ma) | Top Minimum Age Error (Ma)| Top Minimum Age Method | Base Maximum Age Name | Base Maximum Age (Ma) | Base Maximum Age Error (Ma) | Base Maximum Age Method | Minimum Thickness (m) | Maximum Thickness (m) | Type Section State | Definition Card | First ref as on form | Def ref as on form | Reserved by | Resdate | Approved by | Approved date |General Comments | Lithology Description | Primary Lithology Group | Secondary Lithology Group | Tectonic Setting | Intrusive | Granite Type
Aarons Pass Granite|27689|||||Yes|Formation, beds|Formal|Unknown or process pending|Defined|||||Late Carboniferous|320|||Early Carboniferous|322||||||No|43476|23170||||||Biotite granite with pegmatite and granophyre|igneous felsic intrusive|||Y|
Abbey Green Coal|28|||||Yes|Formation, beds|Formal|Unknown or process pending|Fully described|Apple Tree Flat Subgroup|504|||Permian||||Permian|||||||No|29942|||||||Coal|organic-rich rock|||N|
Abercorn Granite|32|||||Yes|Formation, beds|Formal|Other new published name|Fully described|||Tuglow Suite|31649|Late Carboniferous||||Late Carboniferous|||||||No|34481||||||Formerly grouped in the Abercorn Suite, now replaced by Tuglow Suite.|Pink to cream, massive, equigranular to medium-grained leucocratic biotite granite.|igneous felsic intrusive|||Y|
Abercrombie Formation|69898|Abercrombie beds|37|||Yes|Formation, beds|Formal|Variation of published name|Briefly described|Adaminaby Group|98|||Ordovician||||Ordovician|||||||No|64238||Thomas, O. (GSNSW)|14/DEC/05|||For new GOULBURN 1:250 000 sheet (2006) - replacing Abercrombie beds of previous publications.  Includes: Nattery Chert, Peach Tree Chert, Mummel Chert and Willigam Sandstone Members.|Brown and buff to grey thinly to thickly bedded fine- to coarse-grained mica-quartz (+/-feldspar) sandstone, interbedded with laminated siltstone and mudstone. Discrete chert-rich packages occur.|sedimentary|||N|
Aberdare Conglomerate|39|||||Yes|Formation, beds|Formal|Other new published name|Defined|Woogaroo Subgroup|20540|||Late Triassic||||Late Triassic|||||380||No|44432|44510|||||Defined 1960, 1964. Ipswich.  In the Clarence-Moreton Basin. See also the informal term, Aberdare Conglomerate Stage.|Polymictic pebble to cobble conglomerate, quartzose sandstone, siltstone, thinly bedded carbonaceous shale.|sedimentary siliciclastic|||N|
Aberfoyle River Porphyrite|48|Aberfoyle River Adamellite Porphyrite|47|||Yes|Formation, beds|Formal|Variation of published name|Briefly described|||Llangothlin Suite|74008|Permian||||Permian|||||||No|30911||||||Previously in the Uralla Suite, now the Llangothlin Suite/Uralla Supersuite (Blevin, Bultitude and Champion, 2007)|Porphyritic hornblende-biotite microgranite. Transitional I-S type granitoids|igneous felsic intrusive|||N|I-type
Abernethy Lens|77434|||||Yes|Bed|Reserved|Reserved|Reserved|Upper Homeville Coal Member|18904|||Permian||||Permian|||||||No|||Greenfield, J. (GSNSW)|14/JUN/12|||Of Kurri Kurri Conglomerate, Greta Coal Measures, Sydney Basin.|Jasperoid orthoconglomerate with a fine-grained matrix|sedimentary siliciclastic|||N|
Abroi Granodiorite|63|Abroi Gneiss|62|||Yes|Formation, beds|Formal|Variation of published name|Briefly described|||Abroi Suite|73910|Early Permian||||Late Carboniferous|||||||No|31806||||||Formerly in the Hillgrove Suite; now in the Abroi Suite, of Hillgrove Supersuite.  Blevin, Bultitude & Champion, 2007, pers.comm.|Gneissic biotite granodiorite. Commonly foliated S-type biotite granitoids commonly with blue quartz, and minor amphibole, garnet and graphite|igneous felsic intrusive|||Y|S-type
Abroi Suite|73910|||||Yes|Group, Suite|Reserved|Reserved|Unpublished|||Hillgrove Supersuite|67847|Late Carboniferous|||inferred|Late Carboniferous|||inferred||||No|||Champion, Blevin and Bultitude|20/NOV/07|||Ref: Champion, Blevin and Bultitude, pers. comm., Nov. 2007.  Age inferred from age of parent Hillgrove Supersuite.|||||Y|
Acacia Downs Siltstone|69|||||Yes|Formation, beds|Formal|Unknown or process pending|Mentioned|||||Early Cambrian||||Early Cambrian|||||||No|43501|||||||Siltstone|sedimentary siliciclastic|||N|
