Reference Id | Author | Year | Title | Source | Vol/Part | Pages
721|Brown, R.E., Brownlow, J.W., Krynen, J.P.|1992|Manilla-Narrabri 1:250000 Metallogenic Map SH/56-9, SH/55-12. Metallogenic Study and Mineral Deposit Data Sheets|Geological Survey of New South Wales. Metallogenic Map Series|1v|Map
5178|Brock, G.A., Engelbretsen, M.J., Dean-Jones, G.|1995|Acrotretid brachiopods from the Devonian of Victoria and New South Wales|Association of Australasian Palaeontologists, Memoir|18|105-120
5250|Percival, I.G.|1995|Eodinobolus and related trimerellid brachiopods from the Late Ordovician of New South Wales|Association of Australasian Palaeontologists, Memoir|18|41-60
5252|Sherwin, L.|1995|Siluro-Devonian brachiopods from the Amphitheatre and Winduck Groups (Cobar Supergroup), western New South Wales|Association of Australasian Palaeontologists, Memoir|18|61-96
5253|Wright, A.J., Bauer, J.|1995|New Silurian corals from New South Wales|Association of Australasian Palaeontologists, Memoir|18|97-104
5254|Klyza, J.|1995|Middle Devonian conodonts of the Moore Creek Limestone Member, east of Attunga, New South Wales|Association of Australasian Palaeontologists, Memoir|18|121-130
5258|Stewart, I.R., Fergusson, C.L.|1995|Ordovician conodonts from the Lue beds, Mudgee and Sunlight Creek Fmn, Goulburn, New South Wales. IN APC94; papers from the first Australian palaeontological convention, Macquarie University, February, 1994|Association of Australasian Palaeontologists, Memoir|18|164
6969|Percival, I.G.|1998|The age of the Nandillyan and Narragal Limestones, Molong High, central western New South Wales|Geological Survey of New South Wales. Quarterly Notes|107|p12-19
7931|Haines, P.W.|2000|Problematic fossils in the late Neoproterozoic Wonoka Formation, South Australia|Precambrian Research|100|97-108
8187|Draper, J.J., Druce, E.C., Simpson, C.J., Green, D.|1980|Abudda Lakes 1:100 000 Geological Map - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics||
8217|Walter, M.R., Simpson, C.J., Green, D.|1978|Adam Special - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics||
9194|Ellis, P.L., Goldsworthy, P.J.|1974|Bundaberg, Queensland,  1:250 000 geological sheet SG 56-2 - First Edition|Geological Survey of Queensland||map
9250|Brunker, R.L., Bunny, M., Fitzpatrick, B., Kenny, E., Warner, R., Wilson, R., O'Connell, P.|1967|Cobham Lake 1:250 000 Geological Map - First Edition|Geological Survey of New South Wales||
9528|Henderson, G.A.M., Mackenzie, D.E., Knight, C.P., Corbett, P.J.|1982|Geology of the Croydon Region - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics and Geological Survey of Queensland||
9539|Oversby, B.S., Bain, J.H.C., Withnall, I.W., Blythe, P.L.|1976|Georgetown 1:100 000 Geological Map - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics||
9541|Withnall, I.W., Oversby, B.S., Bain, J.H.C., Baker, E.M., Mifsud, J.|1977|Gilberton 1:100 000 Geological Map - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics||
9548|Macrae, G.P., Pogson D.J., McDonald K.M.|1985|Gindoono, New South Wales, 1:100 000 Geological Map Sheet 8232 - First Edition|Geological Survey of New South Wales||
9694|Stirzaker, J.F., Freeman, M.J.|1985|Jinka, Northern Territory 1:100 000 Geological Map, Sheet 6052 - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics and Northern Territory Geological Survey|1v|Map
9862|Forbes, B.G., Coats, R.P., Webb, B.P., Horwitz, R.C|1965|Marree 1:250 000 Geological Map - First Edition|Geological Survey of South Australia|1v|Map
10010|Whitehouse, J., Roy, P.S., Oakes, G.M.|1999|Mineral Sand Resources Potential of the Murray Basin|Geological Survey of New South Wales, Department of Mineral Resources|1999/38|74p
12066|Brock, G.A., Percival, I.G.|2000|Cambrian faunas from Mount Arrowsmith, north-western New South Wales, Australia|Geological Society of Australia Abstracts|61|13
12100|Foster, D.A., Gray, D.R., VandenBerg, A.H.M.|2000|Timing of orogenic events in the Lachlan Orogen: Discussion and Reply|Australian Journal of Earth Sciences|47(4)|813-822
12185|Best, J.G., D'Addario, G.W., Walpole, B.P., Rose, G.|1964|Canberra sheet SI55-16. Australian 1:250 000 geological series.|Bureau of Mineral Resources and Geological Survey of New South Wales.||
12575|Marshallsea, S.J., Green, P.F., Webb, J.|2000|Thermal history of the Hodgkinson Province and Laura Basin, Queensland: multiple cooling episodes identified from apatite fission track analysis and vitrinite reflectance data.|Australian Journal of Earth Sciences|47(4)|779-797
13139|Packham, G., Percival, I., Bischoff, G.|1999|Age constraints on strata enclosing the Cadia and Junction Reefs ore deposits of central New South Wales, and tectonic implications|Geological Survey of New South Wales. Quarterly Notes|110|p1-12
13516|Price, P.L.|1997|Permian to Jurassic palynostratigraphic nomenclature of the Bowen and Surat Basins IN: P.M. Green (ed.) "The Surat and Bowen Basins, south-east Queensland"|Queensland Minerals and Energy Review Series, Queensland Geological Survey|1v|p137-178
14019|Cutovinos, A., Beier, P.R., Kruse, P.D., Abbott, S.T., Dunster, J.N., Brescianini, R.F.|2002|Limbunya, Northern Territory (Second Edition). 1:250 000 geological map series explanatory notes SE 52-07|Northern Territory Geological Survey, Darwin|1v|36p
22433|Rettalack, G.J.|1999|Permafrost paleoclimate of Permian palaeosols in the Gerringong volcanic facies of New South Wales|Australian Journal of Earth Sciences|46(1)|11-22
22434|Duggan, M., Lyons, P.|1999|Ocean floor volcanism in the Lachlan Fold Belt: New evidence from the Wyalong area, New South Wales.|AGSO Research Newsletter|31|11, 12
22436|Soesoo, A., Bons, P.D., Elburg, M.A.|1999|Freestone dykes - an alkali-rich Jurassic dyke population in eastern Victoria|Australian Journal of Earth Sciences|46(1)|1-9
22439|Totterdell, J., Brakel, A., Wells, A., Korsch, R.|1992|Sequence stratigraphic interpretation of Bowen and Surat Basin successions, Taroom region, Queensland|AGSO Research Newsletter|17|p15-16
22442|Wakelin-King, G.A.|1999|Banded mosaic ("tiger bush") and sheetflow plains: a regional mapping approach|Australian Journal of Earth Sciences|46(1)|53-60
22443|Ashley, P.M., Lottermoser, B.G.|1999|Arsenic contamination at the Mole River mine, northern New South Wales|Australian Journal of Earth Sciences|46(6)|861-874
22447|Wray, R.A.L.|1999|Opal and chalcedony speleothems on quartz sandstones in the Sydney region, southeastern Australia|Australian Journal of Earth Sciences|46(4)|623-632
22451|Packham, G.H.|1999|Radiometric evidence for Middle Devonian inversion of the Hill End Trough, northeast Lachlan Fold Belt|Australian Journal of Earth Sciences|46(1)|p23-33
22456|Haren, R., Stevens, B., Robertson, S.|1995|The Broken Hill Exploration Initiative- seeking renewed prospectivity in an historically prospective area of New South Wales and South Australia.|AusIMM. Australian Tunnelling Association. Publication||15-16
22459|Gibson, D.L.|1997|Recent tectonics and landscape evolution in the Broken Hill region|AGSO Research Newsletter|26|p 17- 20
22463|Skirrow, R., Maas, R., Ashley, P.|1999|New age constraints for Cu-Au (-Mo) mineralisation and regional alteration in the Olary - Broken Hill region|AGSO Research Newsletter|31|22-25
22464|Boreham, C.J., Hope, J.M., Roksandic, Z.|1997|Multiple filling history in the Gilmore gas field, Adavale Basin, central Queensland|AGSO Research Newsletter|27|p8-10
22466|Raymond, O., Sun, S-S.|1998|A comparison of Ordovician and Devonian magmatism in the eastern Lachlan Fold Belt: re-evaluating exploration targets|AGSO Research Newsletter|28|P8-10
22472|Glen, R.A., Watkins, J.J.|1999|Implications of Middle Devonian deformation of the eastern part of the Hill End Trough, Lachlan Orogen, New South Wales|Australian Journal of Earth Sciences|46(1)|p35-52
22477|Spry, M.J., Gibson, D.L., Eggleton, R.A.|1999|Tertiary evolution of the coastal lowlands and the Clyde River palaeovalley in southeast New South Wales|Australian Journal of Earth Sciences|46(2)|p173-180
22482|Hayward, M.A., Blake, P.R., Messenger, P.R., Taube, A.|1999|Significance of Middle Devonian granitoid-bearing conglomerates in the Mt Morgan region, central Queensland|Australian Journal of Earth Sciences|46(4)|p487-492
22486|Pickett, J.W., Sherwin, L., Watkins, J.|1996|The age of the Tanwarra Shale|Geological Survey of New South Wales. Quarterly Notes|100|p 1- 8
22487|O'Sullivan, P.B., Orr, M., O'Sullivan, A.J., Gleadow, A.J.W.|1999|Episodic Late Palaeozoic to Cenozoic denudation of the southeastern highlands of Australia: evidence from the Bogong High Plains, Victoria|Australian Journal of Earth Sciences|46(2)|p199-216
22488|Carr, P.F., Pemberton, J.W., Nunan, E.|1999|Low-grade metamorphism of mafic lavas, Upper Permian Broughton Formation, Sydney Basin.|Australian Journal of Earth Sciences|46(6)|p839-849
22490|Brown, R.E.|1997|Mineral deposits of the Glen Innes 1:100 000 map sheet area|Geological Survey of New South Wales. Quarterly Notes|103|p1-19
22495|Hill, S.M.|1999|Mesozoic regolith and palaeolandscape features in southeastern Australia: significance for interpretations of denudation and highland evolution|Australian Journal of Earth Sciences|46(2)|p217-232
22500|Stevens, B.P.J.|1998|A Comparitive Study: Calc-silicate ellipsoids from Broken Hill and diagenetic carbonate concretions from the Sydney Basin|Geological Survey of New South Wales. Quarterly Notes|106|p 1- 15
22503|Glen, R.A., Walshe, J.L.|1999|Cross-structures in the Lachlan Orogen: the Lachlan Transverse Zone example|Australian Journal of Earth Sciences|46(4)|p641-658
22508|Clare, A.P., Fleming, G.D., Glen, R.A.|1997|Geology of the Cargelligo and Narrandera Map Sheets area: Removing the cover using Discovery 2000 geophysics|Geological Survey of New South Wales. Quarterly Notes|104|p1-14
