Stratno | Stratigraphic Name | Entity Number | Province Name 
28157|Adla Granulite|467256|Arunta Orogen
168|Aileron Metamorphics|467256|Arunta Orogen
76201|Aileron Metamorphics - highly magnetic|467256|Arunta Orogen
30857|Alarinjela Suite|467256|Arunta Orogen
26252|Albarta Metamorphics|467256|Arunta Orogen
27692|Albinia Formation|22113|Ngalia Basin
39599|Alcurra Dolerite|467262|Musgrave Province
76120|Algamba Dolostone Member|467256|Arunta Orogen
262|Algebuckina Sandstone|529302|Eromanga Basin
24152|Ali Curung Granite|467256|Arunta Orogen
27281|Alice Springs Granite|467256|Arunta Orogen
41842|Alkipi Metamorphics|467256|Arunta Orogen
303|Allia Creek Granite|512263|Pine Creek Orogen
39136|Allia Creek Suite|20392|Litchfield Block
39136|Allia Creek Suite|512263|Pine Creek Orogen
26291|Aloolya Gneiss|467256|Arunta Orogen
42483|Amata Dolerite|467262|Musgrave Province
24156|Amesbury Quartzite|22113|Ngalia Basin
24156|Amesbury Quartzite|529556|Georgina Basin
68767|Ampiara member|22078|Amadeus Basin
393|Amulda Member|22078|Amadeus Basin
409|Anamarra Orthogneiss|467256|Arunta Orogen
410|Anburla Anorthosite|467256|Arunta Orogen
24158|Andagera Formation|468041|Davenport Province
21137|Andrew Young Igneous Complex|364771|Aileron Province
21137|Andrew Young Igneous Complex|467256|Arunta Orogen
437|Angalarri Siltstone|569185|Victoria Basin
23336|Angulmeri Quartzite Member|20392|Litchfield Block
69778|Anira Metamorphics|467256|Arunta Orogen
39322|Ankala Gneiss|467256|Arunta Orogen
466|Anmatjira Orthogneiss|364771|Aileron Province
466|Anmatjira Orthogneiss|467256|Arunta Orogen
72424|Anningie Member|364771|Aileron Province
72424|Anningie Member|467256|Arunta Orogen
28185|Answer Slate|556523|Mount Isa Orogen
28185|Answer Slate|559197|Marimo-Staveley Domain
76092|Anthony Lagoon Formation|529556|Georgina Basin
488|Antrim Plateau Volcanics|21914|Bonaparte Basin
488|Antrim Plateau Volcanics|22075|Petrel Sub-basin
488|Antrim Plateau Volcanics|22109|Wiso Basin
488|Antrim Plateau Volcanics|467103|Halls Creek Orogen
488|Antrim Plateau Volcanics|468269|Kalkarindji Igneous Province
496|Anuma Schist|467256|Arunta Orogen
522|Arafura Group|359040|Arafura Basin
524|Aralka Formation|22078|Amadeus Basin
74209|Arco Formation|22075|Petrel Sub-basin
566|Aremra Granodiorite|467256|Arunta Orogen
571|Areyonga Formation|22078|Amadeus Basin
605|Arltunga Nappe Complex|467256|Arunta Orogen
26353|Arltunga beds|22078|Amadeus Basin
37960|Aroota Group|529556|Georgina Basin
75503|Arrarra Gneiss|512263|Pine Creek Orogen
668|Arumbera Sandstone|22078|Amadeus Basin
679|Arunta Complex|22078|Amadeus Basin
679|Arunta Complex|467256|Arunta Orogen
718|Ashmore Volcanics|28450|Ashmore Platform
24166|Atnarpa Igneous Complex|40009|Arltunga Gold Metallogenic Province
24166|Atnarpa Igneous Complex|467256|Arunta Orogen
23344|Atneequa Granitic Complex|467256|Arunta Orogen
23345|Attutra Metagabbro|467256|Arunta Orogen
787|Auvergne Group|569185|Victoria Basin
42062|Babylon Volcaniclastic Sediment|22109|Wiso Basin
21185|Balma Group|512264|McArthur Basin
32954|Barkly Group|529556|Georgina Basin
27283|Barrow Creek Granite Complex|467256|Arunta Orogen
1249|Bathurst Island Group|21914|Bonaparte Basin
1249|Bathurst Island Group|22075|Petrel Sub-basin
1249|Bathurst Island Group|22330|Money Shoal Basin
1249|Bathurst Island Group|26965|Malita Graben
1249|Bathurst Island Group|28315|Vulcan Sub-basin
1249|Bathurst Island Group|28590|Sahul Platform
1249|Bathurst Island Group|33446|Londonderry High
1249|Bathurst Island Group|33676|Troubadour Terrace
24175|Bean Tree Granite|467256|Arunta Orogen
72567|Beloceras Bed, Upper|22114|Canning Basin
23374|Benalla Formation|21914|Bonaparte Basin
23374|Benalla Formation|28450|Ashmore Platform
75949|Benning Gabbro|512263|Pine Creek Orogen
1575|Bickleys Porphyry|429253|Hooper Province
1621|Bigie Formation|556523|Mount Isa Orogen
1621|Bigie Formation|559196|Leichhardt River Domain
1621|Bigie Formation|559201|Mount Oxide Domain
31356|Bigrlyi Member|22113|Ngalia Basin
42069|Billabong Complex|467226|Tanami Orogen
1693|Bingy Bingy Basalt Member|22109|Wiso Basin
1722|Birdum Creek beds|22109|Wiso Basin
29906|Birksgate Complex|467262|Musgrave Province
1735|Birrindudu Group|467208|Birrindudu Basin
1758|Bitter Springs Formation|22078|Amadeus Basin
1758|Bitter Springs Formation|40009|Arltunga Gold Metallogenic Province
1854|Blackfella Rockhole Member|22109|Wiso Basin
1854|Blackfella Rockhole Member|468269|Kalkarindji Igneous Province
27109|Blackfellow Creek Sandstone|467204|Wolfe Basin
1931|Blatherskite Quartzite Member|22078|Amadeus Basin
1931|Blatherskite Quartzite Member|467256|Arunta Orogen
36765|Bloods Range Formation|22078|Amadeus Basin
1963|Bloodwood Formation|22113|Ngalia Basin
21279|Boggy Hole Gneiss|364771|Aileron Province
21279|Boggy Hole Gneiss|467256|Arunta Orogen
24190|Boko Formation|22113|Ngalia Basin
2161|Bonaparte Formation|21914|Bonaparte Basin
2161|Bonaparte Formation|22075|Petrel Sub-basin
2161|Bonaparte Formation|22114|Canning Basin
2161|Bonaparte Formation|22196|Roebuck Basin
2161|Bonaparte Formation|28315|Vulcan Sub-basin
