Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
30960|Bickerton Rhyolite|overlies|21096|Abarungkwa Sandstone|not specified|
21753|Erringkarri Rhyolite|underlies|21096|Abarungkwa Sandstone|not specified|
21914|Grindall Formation|underlies|21096|Abarungkwa Sandstone|unconformity|
22337|Milyakburra Formation|overlies|21096|Abarungkwa Sandstone|disconformity|
27379|Corcoran Formation|overlies|55|Abner Sandstone|conformity|contact type may be from very old reference
27754|Crawford Formation|underlies|55|Abner Sandstone|conformity|
2840|Bukalara Sandstone|overlies|37738|Accident Subgroup|unconformity|
37728|Caulfield beds|underlies|37738|Accident Subgroup|unconformity|
6631|Fickling Group|underlies|37738|Accident Subgroup|unconformity|
8256|Helen Springs Volcanics|overlies|37738|Accident Subgroup|unconformity|
11575|McNamara Group|underlies|37738|Accident Subgroup|unconformity|
37739|Wild Cow Subgroup|underlies|37738|Accident Subgroup|disconformity|
6073|Elkera Formation|underlies|92|Adam Shale|unconformity|
7690|Grant Bluff Formation|underlies|92|Adam Shale|disconformity|
42197|Red Heart Dolostone|overlies|92|Adam Shale|disconformity|
24436|Octy Formation|overlies|24148|Adnera Member|disconformity|
26328|Tops Member|underlies|24148|Adnera Member|conformity|
8259|Helicopter Siltstone|overlies|30154|Ahern Formation|not specified|
14855|Parachilna Formation|underlies|198|Ajax Limestone|conformity|
488|Antrim Plateau Volcanics|overlies|24651|Albert Edward Group|unconformity|
5760|Duerdin Group|underlies|24651|Albert Edward Group|not specified|
15830|Ranford Formation|underlies|24651|Albert Edward Group|not specified|
12639|Mount Doreen Formation|overlies|27692|Albinia Formation|not specified|
13676|Naburula Formation|overlies|27692|Albinia Formation||
16107|Rinkabeena Shale|overlies|27692|Albinia Formation||
19064|Vaughan Springs Quartzite|underlies|27692|Albinia Formation|disconformity|
5300|Dean Quartzite|underlies|39599|Alcurra Dolerite|unconformity|
2891|Bulldog Shale|overlies|262|Algebuckina Sandstone||
3284|Cadna-owie Formation|overlies|262|Algebuckina Sandstone|disconformity|
8643|Idracowra Sandstone|underlies|262|Algebuckina Sandstone|disconformity|
10170|Langra Formation|underlies|262|Algebuckina Sandstone|unconformity|
15442|Poolowanna Formation|underlies|262|Algebuckina Sandstone|not specified|
16445|Rumbalara Shale|overlies|262|Algebuckina Sandstone||
16493|Sadadeen Range Gneiss|underlies|27281|Alice Springs Granite|conformity|
26303|Errolola Sandstone|underlies|28277|Alinjabon Sandstone|not specified|
24357|Lennee Creek Formation|overlies|28277|Alinjabon Sandstone|not specified|
8225|Heavitree Quartzite|overlies|41842|Alkipi Metamorphics|unconformity|
23601|Frances Creek Leucogranite|intrudes|27035|Allamber Springs Granite||
23724|Lewin Springs Syenite|intrudes|27035|Allamber Springs Granite||
23776|McCarthys Granite|is intruded by|27035|Allamber Springs Granite||
4714|Cordillo Silcrete|overlies|291|Allaru Mudstone|unconformity|
10952|Mackunda Formation|overlies|291|Allaru Mudstone|conformity|
14253|Normanton Formation|overlies|291|Allaru Mudstone|not specified|
18375|Toolebuc Formation|underlies|291|Allaru Mudstone|conformity|
19323|Wallumbilla Formation|underlies|291|Allaru Mudstone|conformity|
20268|Winton Formation|overlies|291|Allaru Mudstone|conformity|
3134|Burrell Creek Formation|is intruded by|303|Allia Creek Granite||
5379|Depot Creek Sandstone|overlies|303|Allia Creek Granite|unconformity|
7197|Gilbert River Formation|overlies|21117|Almac Granodiorite|unconformity|
466|Anmatjira Orthogneiss|is intruded by|26291|Aloolya Gneiss||
26321|Possum Creek Charnockite|intrudes|26291|Aloolya Gneiss||
2891|Bulldog Shale|underlies|69205|Alpha Mudstone|not specified|
2347|Bortala Formation|overlies|332|Alsace Quartzite|conformity|
5911|Eastern Creek Volcanics|underlies|332|Alsace Quartzite|conformity|
15163|Pickwick Metabasalt Member|underlies|332|Alsace Quartzite|conformity|
21402|Bustard Subgroup|underlies|21122|Alyangula Subgroup|not specified|
34025|Milyema Formation|underlies|21122|Alyangula Subgroup|not specified|
21201|Bartalumba Basalt|overlies|21123|Alyinga Sandstone|not specified|
34025|Milyema Formation|underlies|21123|Alyinga Sandstone|disconformity|
21635|Delaney Mudstone Member|overlies|21126|Ambalindum Sandstone Member||
24547|Ulgnamba Lignite Member|overlies|21126|Ambalindum Sandstone Member|conformity|
11103|Mallapunyah Formation|underlies|76091|Amelia Dolostone||
17896|Tatoola Sandstone|overlies|76091|Amelia Dolostone||
24190|Boko Formation|overlies|24156|Amesbury Quartzite|unconformity|
3865|Central Mount Stuart Formation|overlies|24156|Amesbury Quartzite|unconformity|
19064|Vaughan Springs Quartzite|is equivalent to|24156|Amesbury Quartzite||
10647|Looking Glass Formation|underlies|25761|Amos Formation|not specified|
17426|Stretton Sandstone|underlies|25761|Amos Formation|not specified|
33806|Mallabah Dolostone|overlies|29231|Amos Knob Formation|conformity|
33805|Pear Tree Dolostone|underlies|29231|Amos Knob Formation|conformity|
