Stratno | Stratigraphic Name | Reference Id | Usage No |   Usage  | Page Number | Minimum Age Name | Maximum Age Name | Reference Comments | Numerical Age | Parent Units | Constituents | Related Units | Lithology 
21096|Abarungkwa Sandstone|22538|6|Mentioned|Fig3 P708||||||||
21096|Abarungkwa Sandstone|22600|4|Described|Map legend|Orosirian|Orosirian||||||
21096|Abarungkwa Sandstone|22808|2|Defined|29|Orosirian|Orosirian|Parent Bustard Subgroup. Overlying unit Bickerton Rhyolite, underlying unit Grindall Formation|||||
21096|Abarungkwa Sandstone|24048|3|Fully described|p15|Statherian|Orosirian|Parent Bustard Group.  Max. thickness: 150m.  Geological Province: McArthur Basin.|||||
21096|Abarungkwa Sandstone|24049|5|Briefly described|Map Legend|Orosirian|Orosirian|Of Bustard Subgroup, Groote Eylandt Group. Sandstone: pebbly, quartz-rich (lithic at base); granule conglomerate, quartz-rich; pebble to cobble conglomerate, polymict; quartz sandstone. Geol. Prov: McArthur Basin.|||||
21096|Abarungkwa Sandstone|43292|5|Briefly described|Map Legend||Paleoproterozoic||||||
21096|Abarungkwa Sandstone|44112|6|Mentioned|Fig11p30||||||||
21096|Abarungkwa Sandstone|61403|5|Briefly described|Map Legend|Orosirian|Orosirian|Of Bustard Subgroup, Groote Eylandt Group. Sandstone: pebbly, quartz-rich (lithic at base); granule conglomerate, quartz-rich; pebble to cobble conglo merate, polymict; quartz sandstone. Geol. Prov: McArthur Basin.|||||
21122|Alyangula Subgroup|22538|6|Mentioned|p714, Fig3 p208||Statherian||||||
21122|Alyangula Subgroup|22600|4|Described|Map legend|Orosirian|Orosirian||||||
21122|Alyangula Subgroup|22808|2|Defined|31|Statherian|Statherian|Of the Groote Eylandt Group. Underlying unit: Milyema Formation|||||
21122|Alyangula Subgroup|24047|5|Briefly described|p12 Fig. 10|Paleoproterozoic|Paleoproterozoic|Age: 1800-1740Ma.  Geological Province: McArthur Basin.|||||
21122|Alyangula Subgroup|24048|3|Fully described|p19|Paleoproterozoic|Paleoproterozoic|Of the Groote Eylandt Group.  Geological Province: McArthur Basin.|||||
21122|Alyangula Subgroup|24049|5|Briefly described|Map Legend|Orosirian|Orosirian|Of Groote Eylandt Group. Includes Dalumbu Sandstone, Bartalumba Basalt, Woodah Sandstone, and Alyinga Sandstone. Geol. Prov: McArthur Basin.|||||
21122|Alyangula Subgroup|43292|5|Briefly described|Map Legend||Paleoproterozoic||||||
21122|Alyangula Subgroup|44112|6|Mentioned|p10,43|||Part of Supersequence 1(B)|||||
21122|Alyangula Subgroup|61403|5|Briefly described|Map Legend|Orosirian|Orosirian|Of Groote Eylandt Group. Includes Dalumbu Sandstone, Bartalumba Basalt, Woodah Sandstone, and Alyinga Sandstone. Geol. Prov: McArthur Basin.|||||
21123|Alyinga Sandstone|22538|6|Mentioned|Fig3 P708||||||||
21123|Alyinga Sandstone|22600|4|Described|Map legend|Statherian|Statherian||||||
21123|Alyinga Sandstone|22808|2|Defined|31|Statherian|Statherian|Of the Alyangula Subgroup. Overlying unit: Bartalumba Basalt, underlying unit: Milyema Formation|||||
21123|Alyinga Sandstone|24047|5|Briefly described|p49|Paleoproterozoic|Paleoproterozoic|Pebbly quartz sandstone.  See also p50 Fig. 41.|||||
21123|Alyinga Sandstone|24048|3|Fully described|p21|Paleoproterozoic|Paleoproterozoic|Of the Alyangula Subgroup.  Max. thickness: 300m.  Geological Province: McArthur Basin.|||||
21123|Alyinga Sandstone|24049|5|Briefly described|Map Legend|Orosirian|Orosirian|Of Alyangula Subgroup, Groote Eylandt Group. Thin basal granule to boulder conglomerate and pebbly to cobbly sandstone, polymict; sandstone: locally pebbly, quartz-rich, trough cross-beds in lower part, ripple horizons at top. Geol. Prov: McArthur Basin.|||||
21123|Alyinga Sandstone|43292|5|Briefly described|Map Legend||Paleoproterozoic||||||
21123|Alyinga Sandstone|44112|6|Mentioned|Fig11p30||||||||
21123|Alyinga Sandstone|61403|5|Briefly described|Map Legend|Orosirian|Orosirian|Of Alyangula Subgroup, Groote Eylandt Group. Thin basal granule to boulder conglomerate and pebbly to cobbly sandstone, polymict; sandstone: locally p ebbly, quartz-rich, trough cross-beds in lower part, ripple horizons at top. Geol. Prov: McArthur Basin.|||||
21126|Ambalindum Sandstone Member|43565|4|Described|p424-444||||||||
21126|Ambalindum Sandstone Member|43748|5|Briefly described|p10, Fig. 4,7, Tb 1|Middle Eocene|Late Cretaceous|55m thick in Alice Springs 2.||Of Hale Formation.|||Argillaceous, poorly sorted sandstone and pebble conglomerate.
21126|Ambalindum Sandstone Member|65194|5|Briefly described|p53 Fig.4.7.|||Unit in Hale Formation. Unconformably overlies Arunta Complex. Is overlain by Claraville Mudstone Member. Sandstone, lesser conglomerate.|||||
21137|Andrew Young Igneous Complex|23844|6|Mentioned|p14, 15|||Geological Province: Arunta Province. Of Young et al (1995a, b). Age: ~1635 +/- 9Ma|||||
21137|Andrew Young Igneous Complex|24197|5|Briefly described|p61 Tb. 4.1|Paleoproterozoic|Paleoproterozoic|Age: 1635Ma. Geological Province: Arunta Inlier.|||||
21137|Andrew Young Igneous Complex|43275|5|Briefly described|Map Legend||Paleoproterozoic||||||
21137|Andrew Young Igneous Complex|43749|6|Mentioned|Fig.1,p6||Mesoproterozoic|Age: approx 1635 Ma|||||
21137|Andrew Young Igneous Complex|44158|4|Described|p16, Table.1|Paleoproterozoic|Paleoproterozoic|Age: granite 1635+/- 9 Ma, gabbronorite ~1625 Ma, U-Pb zircon age dates. of Arunta Inlier.|||||
21137|Andrew Young Igneous Complex|50369|5|Briefly described|p1.5, 20.1, Table 1.1|Paleoproterozoic|Paleoproterozoic|Geological Province: Arunta Inlier. Of the Andrew Young Suite. Age: 1635 +/- 9Ma.|||||
21137|Andrew Young Igneous Complex|60674|6|Mentioned|Solid Geology legend|||Geological Province: Aileron Province.|||||
21137|Andrew Young Igneous Complex|61387|5|Briefly described|Map legend|Paleoproterozoic|Paleoproterozoic|All undifferentiated intrusive rock including porphyritic biotite granite, with variable magnetic intensity. Age: ~1640Ma. In the Arunta region.|||||
21137|Andrew Young Igneous Complex|61518|5|Briefly described|Map Legend|Paleoproterozoic|Paleoproterozoic|Gabbronorite, tonalite, granite, extremely magnetic. Geological Province: Aileron Province.|||||
21137|Andrew Young Igneous Complex|61519|5|Briefly described|Map Legend|Paleoproterozoic|Paleoproterozoic|Porphyritic biotite granite, fine grained quartz diorite, undifferentiated norite, diorite and minor biotite granite, anorthosite and calc-silicate rock, orthopyroxene norite, olivine bearing norite and gabbronorite. Geological Province: Aileron Province.|||||
21137|Andrew Young Igneous Complex|61660|5|Briefly described|p23, p24.  |Proterozoic|Proterozoic|Intrudes the North Australian Craton. Is spatially associated with localised high-T, low-P granulite facies metamorphism in surrounding metasedimentary rocks. The authors propose this resulted from the accretion of the Warumpi Province onto the North Australian Craton, with consequent hairpin bend in the apparent polar wander path.|1635 +/- 9 Ma (Young et al. 1995).||||Largely gabbro and tonalite.
21137|Andrew Young Igneous Complex|64722|6|Mentioned|p11|Statherian|Statherian|Intruded during the Liebig Event.|1640 - 1630 Ma.||||
21137|Andrew Young Igneous Complex|65329|5|Briefly described|Map legend|Palaeoproterozoic|Palaeoproterozoic|Shown as older than Yaloolgarrie and Wabudali Granites, younger than Waluwiya Suite. Gabbronorite, hornblende-pyroxene tonalite, minor hornblende-biotite granite, orthopyroxene norite, olivine-bearing norite; high gravity and magnetic response;|||||
21137|Andrew Young Igneous Complex|65330|5|Briefly described|Map legend|Palaeoproterozoic|Palaeoproterozoic|Shown as older than Yaloolgarrie and Wabudali Granites, younger than Waluwiya Suite. Gabbronorite, hornblende-pyroxene tonalite, minor hornblende-biotite granite, orthopyroxene norite, olivine-bearing norite; high gravity and magnetic response;|||||
21137|Andrew Young Igneous Complex|65358|5|Briefly described|p11|Statherian|Statherian|Post-tectonic. Mafic to intermediate. Emplaced at ~1635 Ma.|||||
21137|Andrew Young Igneous Complex|66800|6|Mentioned|p929.|||Mentioned as an example of rocks with comparably low SiO2 (vis-a-vis Etheridge Group leucogabbro) containing cogenetic zircon (Young et al.1995).|||||
21137|Andrew Young Igneous Complex|67565|5|Briefly described|p3, p5 Fig.3, p48, p50, p64.|||Arunta Region. Includes large mafic igneous bodies which induced low-pressure granulite facies metamorphism in turbiditic metasedimentary rocks north of the Central Australian Suture. Strong magnetic response. Has high Ni-Cu-Co sulfide prospectivity. Intruded at a similar time to the Papunya Igneous Complex, but is geochemically distinct.|||||
21141|Annaburroo Volcanic Member|50586|6|Mentioned|p6.1|||Of the Wildman Siltstone (Gerowie Suite). Geological Province: Pine Creek Inlier.|||||
