Stratno | Stratigraphic Name | Reference Id | Usage No |   Usage  | Page Number | Minimum Age Name | Maximum Age Name | Reference Comments | Numerical Age | Parent Units | Constituents | Related Units | Lithology 
37738|Accident Subgroup|62659|5|Briefly described|Map Legend|Calymmian|Calymmian|Of the South Nicholson Group.|||||
37738|Accident Subgroup|64443|6|Mentioned|p3-4|Calymmian|Calymmian|Of South Nicholson Group. Overlies Wild Cow Subgroup. Includes the Mittiebah Sandstone, Constance Sandstone and Mullera Formation.|||||
37738|Accident Subgroup|65336|5|Briefly described|Map Legend|Calymmian|Calymmian|Of South Nicholson Group. Includes Mittiebah Sandstone. Unconformably underlies Helen Springs Volcanics of Kalkarindji Volcanic Group.|||||
37738|Accident Subgroup|65337|3|Fully described|p v, pp50-60, p86.|Mesoproterozoic|Mesoproterozoic|400 - 3350 m thick. Sandstone-dominant basal part forms resistant ridges. Parent unit correlated with Roper Group, giving an approximate, interpreted, age. |c.1500-1400 Ma.|Unit in South Nicholson Group.|Includes Constance, Mittiebah and Tidna Sandstones and Mullera Formation.|Overlies Wild Cow Subgroup.|Fine-grained shelf tempestites and shales, and coarse-grained fluvial and shallow-marine siliciclastic rocks.
37738|Accident Subgroup|67150|5|Briefly described|Map legend.|Calymmian|Calymmian|South Nicholson Basin.||Unit in South Nicholson Group.|May include Mittiebah Sandstone.||
37738|Accident Subgroup|67352|5|Briefly described|p12-16|Calymmian|Calymmian|||South Nicholson Group|Mittiebah Sandstone|Overlies Wild Cow Subgroup|
28157|Adla Granulite|38606|6|Mentioned|Map legend|Paleoproterozoic|Paleoproterozoic|Prob.Early Proterozoic|||||
28157|Adla Granulite|38885|6|Mentioned|Map legend|Paleoproterozoic|Paleoproterozoic|Prob.Early Proterozoic|||||
28157|Adla Granulite|39583|6|Mentioned|Map legend|Paleoproterozoic|Paleoproterozoic|Prob.Early Proterozoic|||||
28157|Adla Granulite|43225|5|Briefly described|Map Legend||Paleoproterozoic|of Strangways Metamorphic Complex|||||
28157|Adla Granulite|43503|5|Briefly described|6,15|||Age: 1820-1790Ma|||||
28157|Adla Granulite|48992|2|Defined|p1|Mesoproterozoic|Mesoproterozoic|Prob.Mid Proterozoic?|||||
24148|Adnera Member|42504|5|Briefly described|Table 4 P73|||Reserved Haines & Bagas Dec 1987.|||||
24148|Adnera Member|42643|2|Defined|p52|late Adelaidean||of Central Mount Stuart Formation. Age latest Proterozoic (late Adelaidean)|||||
24148|Adnera Member|42644|5|Briefly described|Map Legend|Neoproterozoic|Neoproterozoic|Of the Central Mount Stuart Formation. Quartz arenite, feldspathic; flaggy red-brown sandstone and siltstone near top. Geological Province: Georgina Basin.|||||
24148|Adnera Member|61388|5|Briefly described|Map Legend|Neoproterozoic|Neoproterozoic|Of the Central Mount Stuart Formation. Red-brown, purple and white cross-bedded sandstone and quartzite, interbedded with mudstone. Geological Province: Georgina Basin.|||||
24148|Adnera Member|61404|5|Briefly described|Map legend|Adelaidean|Adelaidean|Of the Mopunga Group. Quartz arenite: feldspathic, cross-bedded.   Age: Ediacaran.  Geological Province: southern Georgina Basin.|||||
24148|Adnera Member|62984|5|Briefly described|p14|Neoproterozoic III|Neoproterozoic III|Of Central Mount Stuart Formation. Overlies Tops Member. Sandstone and quartzite. Contains rare trace fossils of Ediacaran type.|||||
