Stratno | Stratigraphic Name | Category | Contents | Last update 
21096|Abarungkwa Sandstone|Name source|Abarungkwa (GR PE335875), an aboriginal place name located on Bickerton Island, BLUE MUD BAY.|
21096|Abarungkwa Sandstone|Unit history|Formerly mapped as part of the now abandoned 'Groote Eylandt beds' (Plumb and Roberts, 1965, 1992).|
21096|Abarungkwa Sandstone|Geomorphic expression|Rugged, bare rocky ridges and coastal cliffs.|
21096|Abarungkwa Sandstone|Type section locality|Lower boundary stratotype: Southern shoreline of North Bay on Bickerton Island (lat. 13o 45'S, long. 136o 10'E; GR PE260790); approximately 12 m of section exposed. Upper boundary locality: Covered interval at lat. 13o 46'S, long. 136o 09'E (GR PE250775). Reference locality: Isthmus between North Bay and South Bay on Bickerton Island, between lat. 13o 45' 00"S, long. 136o 10'E and lat. 13o 45' 45"S, long. 136o 10'E (GR PE260790 to PE260780).|
21096|Abarungkwa Sandstone|Extent|Northern half of the Bickerton Island and on Bustard Island, BLUE MUD BAY.|
21096|Abarungkwa Sandstone|Thickness range|Most complete section at reference section locality where it is estimated to be 100-150m thick.|
21096|Abarungkwa Sandstone|Lithology|White, coarse- to very coarse-grained, cross-bedded, pebbly, quartz-rich (lithic at base) sandstone; quartz-rich granule conglomerate; polymict pebble and cobble conglmerate; minor medium-grained quartz sandstone.|
21096|Abarungkwa Sandstone|Depositional environment|High-energy braided fluviatile.|
21096|Abarungkwa Sandstone|Relationships and boundaries|Lies unconformably on Grindall Formation. Locally overlies Erringkarri Rhyolite with erosional contact; overlain by Bickerton Rhyolite in South Bay area. Where Bickerton Rhyolite is absent the present unit is disconformably overlain by valley-fill conglomerate of the Milyakburra Formation. On Bustard Island it is intruded by Bickerton Rhyolite.|
21096|Abarungkwa Sandstone|Age reasons|Probably Orosirian (Palaeoproterozoic). The overlying Bickerton Rhyolite has been dated by SHRIMP single-zircon U-Pb techniques at ~1815 Ma (Pietsch et al. 1994).|
21096|Abarungkwa Sandstone|Correlations|Considered to correlate with the ~1800-1840Ma felsic volcanic suite widespread in northern Australia (Rawlings, 1994).|
71|Acacia Gap Quartzite Member|Name source|First defined by Malone (1962) who called it the Acacia Gap Tongue of the Masson Formation. Now considered to be a member of the Wildman Siltstone (Needham and Stuart-Smith, 1978), and previous name now considered inappropriate.|
71|Acacia Gap Quartzite Member|Proposed publication|Bureau of Mineral Resources Report|
28157|Adla Granulite|Name source|Adla Hill, at 23o26'S, 133o32'E, in the Alice Springs 1:250 000 Sheet area.|
28157|Adla Granulite|Unit history|Previously mapped by Wells & others (1968) as undivided Arunta Complex.|
28157|Adla Granulite|Type section locality|A small rise at 5651-518078 1.5 km east of Adla Hill.|
28157|Adla Granulite|Extent|The unit forms isolated hills including Adla Hill and Boen Hill, west of Cottonbush Dam in the southwest corner of the Burt 1:100 000 Sheet area. Airphoto-lineaments and several small isolated exposures indicate that the unit extends as a 10 km wide, 25 km long belt under a veneer of Cainozoic deposits between the two hills.|
28157|Adla Granulite|Lithology|Interlayered mafic granulite, and garnet-felsic granulite, both of which are partly retrogressed. The mafic granulite typical contains abundant quartz and hornblende, and small amounts of garnet. The felsic granulite contains a large proportion of coarse-grained quartz-orthoclase-plagioclase mobilisate. Some of the felsic granulite contains sillimanite.|
28157|Adla Granulite|Relationships and boundaries|The isolated exposures are completely surrounded by Cainozoic cover.|
