Stratigraphic Name | Stratno |  Previous Name  |Previous Name Stratno| Replacement Name | Replacement Name Stratno |Is Current | Rank | Status | Category | Usage | Parent Name | Parent Stratno | Chemical Parent Name | Chemical Parent Stratno | Top Minimum Age Name | Top Minimum Age (Ma) | Top Minimum Age Error (Ma)| Top Minimum Age Method | Base Maximum Age Name | Base Maximum Age (Ma) | Base Maximum Age Error (Ma) | Base Maximum Age Method | Minimum Thickness (m) | Maximum Thickness (m) | Type Section State | Definition Card | First ref as on form | Def ref as on form | Reserved by | Resdate | Approved by | Approved date |General Comments | Lithology Description | Primary Lithology Group | Secondary Lithology Group | Tectonic Setting | Intrusive | Granite Type
Abarungkwa Sandstone|21096|||||Yes|Formation, beds|Formal|Resvd name published|Defined|Bustard Subgroup|21402|||Orosirian||||Orosirian||||||NT|Yes|43292|22808|Haines P.W., Pietsch B.A., Rawlings D.J., Madigan T.L.|07/MAR/94|||Within Groote Eylandt Group.|Sandstone: pebbly, quartz-rich (lithic at base); granule conglomerate, quartz-rich; pebble to cobble conglomerate, polymict; quartz sandstone.||||N|
Abner Sandstone|55|||||Yes|Formation, beds|Formal|Variation of published name|Defined|Collara Subgroup|35509|||Calymmian||||Calymmian|||||600||No|44436|23937|||||Defined 1965. Name now restricted to undifferentiated succession of sandstone in the Abner Range. In 2001 Former units Arnold Sst. Member, Jalboi Member and Hodgson Sst. Member are assigned to Collara Subgroup; Munyi Member is reassigned to the Corcoran Fm.  Occurs in the Beetaloo Sub-basin. Intruded by a sill of age 1280-110Ma. In 2010 it appears that Arnold Sst. Member and Hodgson Sst. Member have been reinstated as members of Abner Sandstone.|White to grey, very fine to medium, ripple-marked and cross-bedded quartz sandstone; minor claystone interbeds.|sedimentary siliciclastic|||N|
Acacia Gap Quartzite Member|71|Acacia Gap Tongue|74|||Yes|Member, phase|Formal|Other new published name|Defined|Wildman Siltstone|24105|||Orosirian|2019|4|inferred, lithostratigraphic correlation|Orosirian|2029||inferred, geological correlation||300|NT|Yes|39068||Crick I.H.||Brakel, A.|29/MAY/82|Originally defined in 1962 as Acacia Gap Tongue of Masson Formation. Unit re-named and redefined by I. Crick in 1982. See also Rum Jungle Uranium Field 1:100 000 explan notes (1987). Within the Mount Partridge Group. Min deposition age (2019+/-4 Ma) as referred from ages of tuffaceous beds in the Wildman Siltstone, above Acacia Gap Quartzite Member.|Quartzite, commonly pyritic; sandstone; interbedded shale and phyllite, commonly carbonaceous.|metasedimentary siliciclastic|sedimentary siliciclastic||N|
Accident Subgroup|37738|||||Yes|Subgroup|Formal|Resvd name published|Defined|South Nicholson Group|17123|||Calymmian|1492|4|inferred, geological correlation|Calymmian|1500||inferred, geological correlation|400|3350|QLD|Yes|65336||Rawlings, D.|22/NOV/02|Withnall, I.W.|08/MAY/06|Used in Lawn Hill Platform and South Nicholson Basin area. Mount Drummond 1:250 000 map sheet area. (7/06 PP).|A succession of sandstone, siltstone, shale and minor conglomerate and sedimentary ironstone.|sedimentary siliciclastic|||N|
Adam Shale|92|||||Yes|Formation, beds|Formal|Other new published name|Defined|Shadow Group|37961|||Early Cambrian||||Early Cambrian|||||16|NT|No|8217|35798||||||Shale; basal sandstone.|sedimentary siliciclastic|||N|
Adla Granulite|28157|||||Yes|Formation, beds|Formal|Resvd name published|Defined|Strangways Metamorphic Complex|17395|||Paleoproterozoic|1790|||Paleoproterozoic|1820|||||NT|Yes|48992|48992|Langworthy, A.P.|25/JUL/75|Brown, M.|01/NOV/79|Proposed by Langworthy A.P. in RC79/047. Replaced in part by Bunghara Metamorphics, may need to be redefined. Arunta Block.  Defn approved by: C.T. Branch/M Brown (per V Passmore)|Garnetiferous migmatitic quartzofeldspathic gneiss, minor mafic granulite, rare metasediments|high grade metamorphic rock|||N|
Adnera Member|24148|||||Yes|Member, phase|Formal|Resvd name published|Defined|Central Mount Stuart Formation|3865|||Ediacaran||||Neoproterozoic III||||72|310|NT|Yes|42504|42643|Haines P.W., Bagas L.|17/DEC/87|Kruse, P.D.|10/APR/90|First reserved as Adnera Sandstone. Age is Ediacaran (Late Adelaidean).|Medium-grained, white, feldspathic quartz arenite and orthoquartzite. Some granule horizons. Upper unit of red-brown sandstone and siltstone in some areas. Well developed cross-bedding. Rare trace fossils in upper unit.|quartz-rich arenite to rudite|||N|
Adori Sandstone|143|||||Yes|Formation, beds|Formal|Variation of published name|Defined|Injune Creek Group|8710|||Tithonian||||Oxfordian||||20|55|QLD|No|44375|44021|||||See also Adori Formation and misspelt Adoori Sandstone.|Fine- to medium-grained clayey sandstone and minor pebbly sandstone and siltstone.|sedimentary siliciclastic|||N|
Age Creek Formation|151|||||Yes|Formation, beds|Formal|Other new published name|Defined|Narpa Group|37962|||Middle Cambrian||||Middle Cambrian|||||1200|NT|No|34395|44211|||||See also Lexicon.|Calcarenite, dolarenite. Contains platform and platform-edge carbonates.|sedimentary carbonate|||N|
Aileron Metamorphics|168|Aileron metamorphics|24149|||Yes|Formation, beds|Formal|Resvd name published|Briefly described|||||Paleoproterozoic||||Paleoproterozoic||||||NT|Yes|41051||Warren R.G.|30/APR/72|Comm. Territories SNSC|06/MAR/79|Reserved and first published in R216, as Aileron metamorphics. Defn by Stewart A.J., Glikson A.Y., Warren R.G|Felsic and mafic granulite, cordierite granulite, amphibolite, biotite-, garnet-biotite gneiss, sillimanite gneiss, quartzofeldspathic gneiss, calc-silicate rock, marble, quartz rich sediments|high grade metamorphic rock|||N|
Aileron Metamorphics - highly magnetic|76201|||||Yes|Member, phase|Informal|Variation of published name|Unpublished|Aileron Metamorphics|168|||Paleoproterozoic||||Paleoproterozoic|||||||No|||||||Aileron Province. Gneissic mafic granulite, amphibolite and felsic granulite (paragneiss). Informal unit to be used for Georgina-Arunta energy assessment 1:1 million solid geology interpretation.|Gneissic mafic granulite, amphibolite and felsic granulite (paragneiss)|high grade metamorphic rock|||N|
Alarinjela Suite|30857|||||Yes|Group, Suite|Formal|STRATLEX Entry|Briefly described|||||Paleoproterozoic|1713|||Paleoproterozoic|1713||||||No|50369||||||Of Warren (1989) - originally presented as the informal Alarinjela suite which was more restricted than the actual Alarinjela Suite described in refID: 24197 "The Metallogenic Potential of Australian proterozoic granites...".|Fractionated, coloured red to pink, oxidised.||||Y|
Albarta Metamorphics|26252|||||Yes|Formation, beds|Formal|Variation of published name|Defined|||||Mesoproterozoic||||Paleoproterozoic|1771|3||||NT|No|39887|49036|R.D.Shaw|28/MAR/80|||Res 1980. Publ VL70 1985. Maximum intrusion age: 1771+/-3Ma; metamorphic age: 567+/-9Ma.|Quartzofeldspathic gneiss, biotite and muscovite-biotite schist, massive and compositionally layered amphibolite; minor calc-silicate rock, hornblende gneiss, magnetite-quartzite, granitic gneiss, porphyroblastic feldspar gneiss and biotite gneiss.|high grade metamorphic rock|||N|
Albinia Formation|27692|||||Yes|Formation, beds|Formal|Resvd name published|Defined|||||Neoproterozoic||||Neoproterozoic|||||500|NT|Yes|46903|45155|Wells A.T.||Wells, A.T.|01/OCT/77|Presumably reserved in 1977 if definition approved then. Defined as Adelaidean (1977), updated to Neoproterozoic (2010) to conform to 2004 timescale. Probably disconformably overlies Vaughan Springs Quartzite.|Mudstone, dolomitic mudstone, shale; minor stromatolitic dolostone, black chert|sedimentary siliciclastic|sedimentary carbonate||N|
Alcurra Dolerite|39599|Alcurra Dyke Swarm|29763|||Yes|Formation, beds|Formal|Variation of published name|Defined|||Warakurna Supersuite|73257|Mesoproterozoic|1067|8||Mesoproterozoic|1085|2|isotopic, Ar/Ar|||NT|Yes|60679|61154|Edgoose, C.|03/AUG/92|Kruse, P.D.|31/OCT/03|Intrudes Pitjantjatjara Supersuite (Kulgera and Ayers Range Granites). Intruded by Angatja Granite. See also Alcurra dolerite. Age: 1080Ma.|Dolerite with ophitic to sub-ophitic texture contains plagioclase, clinopyroxene, olivine, K-feldspar, minor quartz and opaques.|igneous mafic intrusive|||Y|
Aleeltara Granite|75899|||||Yes|Formation, beds|Reserved|Reserved|Reserved||||||||||||||||No|||Whelan, J. (NTGS)|31/MAR/11|||For use in the Illogwa Creek and Hale River 1:250 000 sheet areas|||||Y|
Algamba Dolostone Member|76120|Algamba Dolomite Member|24151|||Yes|Member, phase|Formal|Variation of published name|Mentioned|Pine Hill Formation|26103|||Statherian||||Orosirian|||||||No|65338||||||Within the Reynolds Range Group. Intruded by Warimbi granite. See definition card for Algamba Dolomite Member. Age from Pine Hill Formation.|Contains black manganiferous laterite pods.||||N|
