Reference Id | Author | Year | Title | Source | Vol/Part | Pages
5030|Mabbutt, J.A.|1967|Denudation chronology in Central Australia: structure, climate, and landform inheritance in the Alice Springs area. Chapter 8 IN: Jennings, J. N., and Mabbutt, J. A. (Eds.), Landform studies from Australia and New Guinea.|Australian National University Press, Canberra|1v|144-181
5256|Jones, P.J.|1995|Early Carboniferous Cladocopina (Ostracoda) from the Bonaparte Basin, NW Australia, and the identity of Discoidella|Association of Australasian Palaeontologists, Memoir|18|143-152
5952|Whittam, D.B., Norvick, M.S., McIntyre, C.L.|1996|Mesozoic and Cainozoic tectonostratigraphy of western Zoca and adjacent areas.|APPEA Journal|1996|209-231
7071|McGoldrick, P.J., Large, R.R.|1998|Geology and mineralisation in the Proterozoic 'Carpentaria Zinc Belt' of northern Australia|Australian Journal of Earth Sciences|45(1)|1-2
7142|Struckmeyer, H.I.M., Blevin, J.E., Sayers, J., Totterdell, J.M., Baxter, K., Cathro, D.L.|1998|Structural evolution of the Browse Basin, North West Shelf: new concepts from deep-seismic data|in Purcell, P.G. & Purcell, R.R. (eds), The sedimentary basins of Western Australia 2. Proceedings of a PESA Symposium, Perth||345-367.
7931|Haines, P.W.|2000|Problematic fossils in the late Neoproterozoic Wonoka Formation, South Australia|Precambrian Research|100|97-108
8187|Draper, J.J., Druce, E.C., Simpson, C.J., Green, D.|1980|Abudda Lakes 1:100 000 Geological Map - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics||
8217|Walter, M.R., Simpson, C.J., Green, D.|1978|Adam Special - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics||
8222|Stewart, A.J., Jorritsma, P.J.|1979|Aileron, Northern Territory 1:100 000 Geological Map Sheet 5552 - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics|1v|Map
9124|Thomson, B.P., Horwitz, R.C., Parkin, L.W., Barnes, T.A.|1962|Barker 1:250 000 Geological Map sheet SI54-13 - First Edition|Geological Survey of South Australia||map
9141|Glikson, A.Y., Green, D.|1983|Bedrock Geology of the Glen Helen, Narwietooma and Anburla, Northern Territory 1:100 000 Sheet Areas - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics|1v|Map
9199|Langworthy, A.P., Pillinger, D.M., Offe, L.A.|1976|Burt 1:100 000 Geological Map Sheet 5651 - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics|1v|Map
9250|Brunker, R.L., Bunny, M., Fitzpatrick, B., Kenny, E., Warner, R., Wilson, R., O'Connell, P.|1967|Cobham Lake 1:250 000 Geological Map - First Edition|Geological Survey of New South Wales||
9324|Dundas, D.L., Edgoose, C.J., Fahey, G.M., Fahey, J.E.|1987|Daly River, Northern Territory, 1:100 000 Geological Map, Sheet 5070 - First Edition|Department of Mines and Energy, Darwin|1v|Map
9380|Stewart, A.J., Offe, L.A., Baldwin, R.J.|1979|Denison, Northern Territory 1:100 000 Geological Map Sheet 5353 - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics|1v|Map
9394|Warren, R.G., Simpson, C.J., Offe, L.A., Shaw, R.D., Holden, B.P., Stirzaker, J.F., Johnson, C.R., Freeman, M.J.|1982|Dneiper, Northern Territory 1:100 000 Geological Map Sheet 5952  - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics and Northern Territory Geological Survey|1v|Map
9528|Henderson, G.A.M., Mackenzie, D.E., Knight, C.P., Corbett, P.J.|1982|Geology of the Croydon Region - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics and Geological Survey of Queensland||
9531|Mackenzie, D.E., Knight, C.P.|1981|Geology of the Gilbert River Region - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics and Geological Survey of Queensland||
9534|Needham, R.S., Lachlan, P.R.|1983|Geology of the Mount Gilruth Region - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics||
9538|Needham, R.S., Gallagher, J.|1990|Geology of the Yeuralba Region, Northern Territory 1:100 000 Special - First Edition|Bureau of Mineral Resources, Geology and Geophysics|1v|Map
9541|Withnall, I.W., Oversby, B.S., Bain, J.H.C., Baker, E.M., Mifsud, J.|1977|Gilberton 1:100 000 Geological Map - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics||
