Stratno | Stratigraphic Name | Entity Number | Province Name 
52|Abernethy Basalt|40484|New England Orogen
156|Agnes Water Volcanics|40484|New England Orogen
156|Agnes Water Volcanics|407419|Gympie Province
41256|Ah Fat Granite Complex|40484|New England Orogen
25756|Airlie Volcanics|40484|New England Orogen
41264|Aisbetts Granodiorite|40484|New England Orogen
33153|Aitken Creek Gabbro|40484|New England Orogen
36381|Albany Pass beds|550572|Carpentaria Basin
262|Algebuckina Sandstone|529302|Eromanga Basin
39010|Alice Creek beds|40484|New England Orogen
75358|Alpha Centauri Metamorphics|556523|Mount Isa Orogen
75358|Alpha Centauri Metamorphics|559205|Sybella Domain
40103|Alton Downs Basalt|40484|New England Orogen
344|Alum Rock Conglomerate|40484|New England Orogen
349|Amamoor beds|40484|New England Orogen
349|Amamoor beds|407416|Wandilla Province
75644|Amelia Creek Tonalite|40536|Connors-Auburn Province
33149|Ametdale Volcanics|40484|New England Orogen
33149|Ametdale Volcanics|40536|Connors-Auburn Province
401|Anakie Metamorphic Group|39793|Belyando Gold Province
401|Anakie Metamorphic Group|449962|Anakie Province
34362|Angelay Granite|556523|Mount Isa Orogen
30693|Annable Granite|556523|Mount Isa Orogen
28024|Annie Creek Schist|20455|Yambo Subprovince
28185|Answer Slate|556523|Mount Isa Orogen
28185|Answer Slate|559197|Marimo-Staveley Domain
526|Aramac Coal Measures|550790|Galilee Basin
27670|Aranbanga Volcanic Group|21915|Ipswich Basin
27670|Aranbanga Volcanic Group|40484|New England Orogen
27670|Aranbanga Volcanic Group|407416|Wandilla Province
539|Arbroath beds|530059|Bowen Basin
574|Argentine Metamorphics|559188|Charters Towers Province
585|Argylla Formation|39708|Selwyn Metallogenic Province
585|Argylla Formation|556523|Mount Isa Orogen
585|Argylla Formation|559194|Kalkadoon-Leichhardt Domain
585|Argylla Formation|559198|Mary Kathleen Domain
585|Argylla Formation|559199|Mitakoodi Domain
31445|Argylla Suite|556523|Mount Isa Orogen
28028|Arkara Gneiss|20455|Yambo Subprovince
23342|Arrabury Formation|529302|Eromanga Basin
27036|Arrongulla Formation|442771|Croydon Province
705|Ashford Coal Measures|40484|New England Orogen
705|Ashford Coal Measures|559229|Ashford Basin
724|Astrea Formation|20444|Savannah Province
75737|Augustus Igneous Complex|556523|Mount Isa Orogen
26358|Aurora Granite|20437|Etheridge Province
31367|Avoca Creek Granodiorite|40484|New England Orogen
825|Babalangee Amphibolite|20535|Barnard Province
845|Back Creek Group|39627|Cracow Metallogenic Province
845|Back Creek Group|40484|New England Orogen
845|Back Creek Group|530059|Bowen Basin
845|Back Creek Group|550790|Galilee Basin
870|Badu Granite|559176|Cape York - Oriomo Province
36368|Badu Suite|559176|Cape York - Oriomo Province
33928|Baileys monzodiorite|556523|Mount Isa Orogen
33142|Bajool Quartz Diorite|40484|New England Orogen
32040|Balaclava Formation|40484|New England Orogen
40846|Balcooma Metavolcanic Group|443092|Greenvale Province
73063|Bald Hill Formation|40484|New England Orogen
73063|Bald Hill Formation|559208|Silverwood Province
41584|Ballandean Granite|40484|New England Orogen
73886|Ballandean Suite|40484|New England Orogen
73885|Ballandean Supersuite|40484|New England Orogen
27702|Ballara Quartzite|556523|Mount Isa Orogen
27702|Ballara Quartzite|559194|Kalkadoon-Leichhardt Domain
23356|Bally Knob Volcanics|443092|Greenvale Province
1007|Balnagowan Volcanic Member|40484|New England Orogen
1007|Balnagowan Volcanic Member|407416|Wandilla Province
1084|Barambah Basalt|40484|New England Orogen
1113|Barmundoo Formation|40535|Calliope Province
1117|Barnard Metamorphics|20535|Barnard Province
23365|Bathampton Metamorphics|449962|Anakie Province
1283|Bayfield Granite|40484|New England Orogen
1283|Bayfield Granite|407416|Wandilla Province
1388|Beeswing Rhyolite|40484|New England Orogen
1429|Bellthorpe Andesite|40484|New England Orogen
35123|Ben Mohr Igneous Complex|40484|New England Orogen
69041|Ben Mohr Igneous Complex - gabbro|40484|New England Orogen
69040|Ben Mohr Igneous Complex - granite|40484|New England Orogen
27075|Bernecker Creek Formation|20454|Forsayth Subprovince
41100|Berri Berri Granite|40484|New England Orogen
38891|Berserker Group|40484|New England Orogen
28243|Betts Creek beds|550790|Galilee Basin
36217|Big Bend Formation|20469|Burdekin Basin
25784|Big Toby Granite|467256|Arunta Orogen
31421|Big Toby Suite|556523|Mount Isa Orogen
1621|Bigie Formation|556523|Mount Isa Orogen
1621|Bigie Formation|559196|Leichhardt River Domain
1621|Bigie Formation|559201|Mount Oxide Domain
23388|Bimurra Volcanics|39626|Pajingo Metallogenic Province
23388|Bimurra Volcanics|559189|Drummond Basin
1691|Bingleburra Formation|40484|New England Orogen
75646|Birds Nest Granodiorite|40536|Connors-Auburn Province
1729|Birkhead Formation|27354|Surat Basin
1729|Birkhead Formation|529511|Cooper Basin
33437|Bjelke Petersen beds|40484|New England Orogen
33437|Bjelke Petersen beds|407416|Wandilla Province
24726|Black Alley Shale|550790|Galilee Basin
32275|Black Angel Gneiss Complex|556523|Mount Isa Orogen
32275|Black Angel Gneiss Complex|559194|Kalkadoon-Leichhardt Domain
1837|Black Snake Creek Granite|40484|New England Orogen
24729|Black Snake Porphyry|40484|New England Orogen
24188|Blackeye Granite|556523|Mount Isa Orogen
1871|Blackstone Formation|21915|Ipswich Basin
1871|Blackstone Formation|529922|Clarence-Moreton Basin
26398|Blackwall Breccia|21915|Ipswich Basin
26398|Blackwall Breccia|529922|Clarence-Moreton Basin
1876|Blackwater Group|530059|Bowen Basin
28377|Blackwood Quartz Syenite|40484|New England Orogen
2034|Blythesdale Group|27354|Surat Basin
32128|Boam Creek Granite|40484|New England Orogen
39068|Bobby Volcanics|40484|New England Orogen
38882|Bocoolima Granodiorite|40484|New England Orogen
33926|Bode syenogranite|556523|Mount Isa Orogen
24742|Boiler Gully Complex|20454|Forsayth Subprovince
24742|Boiler Gully Complex|443092|Greenvale Province
2107|Boiling Creek Group|40484|New England Orogen
2168|Bondonga beds|40484|New England Orogen
2193|Boogooramunya Granite|40484|New England Orogen
73824|Bookookoorara Monzogranite|40484|New England Orogen
35036|Boolgal Granophyre|40484|New England Orogen
2232|Booloumba beds|40484|New England Orogen
2232|Booloumba beds|407416|Wandilla Province
42515|Boomarra Metamorphics|556523|Mount Isa Orogen
42515|Boomarra Metamorphics|559198|Mary Kathleen Domain
25801|Boonara Granodiorite|40484|New England Orogen
25801|Boonara Granodiorite|407416|Wandilla Province
2259|Boondooma Igneous Complex|407416|Wandilla Province
42048|Boondooma Igneous Complex - granite|40484|New England Orogen
42049|Boondooma Igneous Complex - granodiorite|40484|New England Orogen
42050|Boondooma Igneous Complex - tonalite|40484|New England Orogen
73902|Boonoo Granite|40484|New England Orogen
73902|Boonoo Granite|559208|Silverwood Province
73903|Boonoo Suite|40484|New England Orogen
39860|Boorama Tank Gneiss|556523|Mount Isa Orogen
39860|Boorama Tank Gneiss|559204|Soldiers Cap Domain
41797|Bora Creek Quartz Monzodiorite|40484|New England Orogen
41797|Bora Creek Quartz Monzodiorite|40536|Connors-Auburn Province
2333|Boree Salt|22077|Adavale Basin
39066|Borilla Granite|40484|New England Orogen
39072|Bororen Tonalite|40484|New England Orogen
28307|Boroston Formation|559174|Broken River Province
2360|Bottletree Formation|556523|Mount Isa Orogen
2360|Bottletree Formation|559194|Kalkadoon-Leichhardt Domain
2360|Bottletree Formation|559196|Leichhardt River Domain
41107|Boughyard Quartz Diorite|40484|New England Orogen
39613|Bowler Creek Granite|20437|Etheridge Province
24196|Bowlers Hole Granite|556523|Mount Isa Orogen
24196|Bowlers Hole Granite|559194|Kalkadoon-Leichhardt Domain
2455|Boxvale Sandstone Member|27354|Surat Basin
27116|Boxwell Granodiorite|40484|New England Orogen
69438|Boxwell Suite|40484|New England Orogen
27723|Branch Creek Formation|40484|New England Orogen
2507|Brassal Subgroup|529922|Clarence-Moreton Basin
27724|Breakaway Shale|556523|Mount Isa Orogen
27724|Breakaway Shale|559196|Leichhardt River Domain
30705|Briar Granite|556523|Mount Isa Orogen
2553|Briggs Granodiorite|40085|Mount Rawdon Copper Gold Province
2553|Briggs Granodiorite|40484|New England Orogen
24766|Brighton beds|22361|Nambour Basin
2579|Brisbane Tuff|21915|Ipswich Basin
2579|Brisbane Tuff|22361|Nambour Basin
2579|Brisbane Tuff|40484|New England Orogen
