Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
1871|Blackstone Formation|underlies|39|Aberdare Conglomerate|disconformity|
7050|Gatton Sandstone|overlies|39|Aberdare Conglomerate|unconformity|
8762|Ipswich Coal Measures|underlies|39|Aberdare Conglomerate|unconformity|
15784|Raceview Formation|overlies|39|Aberdare Conglomerate|not specified|
26871|Ripley Road Sandstone|overlies|39|Aberdare Conglomerate|not specified|
1084|Barambah Basalt|overlies|52|Abernethy Basalt|unconformity|
7065|Gayndah Formation|underlies|52|Abernethy Basalt|unconformity|
9588|Kinellan Basalt|underlies|52|Abernethy Basalt|unconformity|
12910|Mount Marcella Volcanics|underlies|52|Abernethy Basalt|unconformity|
20003|Wigton Granite|underlies|52|Abernethy Basalt|unconformity|
6631|Fickling Group|underlies|37738|Accident Subgroup|unconformity|
8256|Helen Springs Volcanics|overlies|37738|Accident Subgroup|unconformity|
11575|McNamara Group|underlies|37738|Accident Subgroup|unconformity|
7690|Grant Bluff Formation|underlies|92|Adam Shale|disconformity|
8404|Hodgkinson Formation|underlies|26290|Adler Hill Basalt|unconformity|
1729|Birkhead Formation|underlies|143|Adori Sandstone|not specified|
19796|Westbourne Formation|overlies|143|Adori Sandstone|conformity|
25005|Gilberton Formation|underlies|27313|Agate Creek Volcanic Group|unconformity|
7945|Gympie Group|underlies|156|Agnes Water Volcanics||
16848|Shoalwater Formation|is intruded by|156|Agnes Water Volcanics||
25839|Cattle Creek Formation|underlies|24652|Aldebaran Sandstone|not specified|
26562|Freitag Formation|overlies|24652|Aldebaran Sandstone||
2891|Bulldog Shale|overlies|262|Algebuckina Sandstone||
3284|Cadna-owie Formation|overlies|262|Algebuckina Sandstone|disconformity|
8610|Hutton Sandstone|overlies|262|Algebuckina Sandstone||
15442|Poolowanna Formation|underlies|262|Algebuckina Sandstone|not specified|
20540|Woogaroo Subgroup|overlies|39010|Alice Creek beds|unconformity|
4721|Coreena Member|underlies|291|Allaru Mudstone|conformity|gradational
10952|Mackunda Formation|overlies|291|Allaru Mudstone|conformity|
14253|Normanton Formation|overlies|291|Allaru Mudstone|not specified|
18375|Toolebuc Formation|underlies|291|Allaru Mudstone|conformity|
19323|Wallumbilla Formation|underlies|291|Allaru Mudstone|conformity|
20268|Winton Formation|overlies|291|Allaru Mudstone|conformity|
27732|Campaspe Formation|overlies|305|Allingham Formation|not specified|
3981|Chillagoe Formation|is intruded by|21117|Almac Granodiorite||
27758|Dargalong Metamorphics|is intruded by|21117|Almac Granodiorite||
7197|Gilbert River Formation|overlies|21117|Almac Granodiorite|unconformity|
22693|Pratt Volcanics|is intruded by|21117|Almac Granodiorite||
22016|Jamtin Rhyolite|is intruded by|29337|Almaden Granodiorite||
2891|Bulldog Shale|underlies|69205|Alpha Mudstone|not specified|
2347|Bortala Formation|overlies|332|Alsace Quartzite|conformity|
5911|Eastern Creek Volcanics|underlies|332|Alsace Quartzite|conformity|
15163|Pickwick Metabasalt Member|underlies|332|Alsace Quartzite|conformity|
23825|Mount Mia Serpentinite|underlies|349|Amamoor beds|not specified|
13946|Neara Volcanics|overlies|349|Amamoor beds|unconformity|
77809|Charlies Knob Granite|intrudes|77808|Amber Granite||
33143|Mount Buffalo Rhyolite|overlies|33149|Ametdale Volcanics|not specified|
845|Back Creek Group|overlies|401|Anakie Metamorphic Group|not specified|
1886|Blair Athol Coal Measures|overlies|401|Anakie Metamorphic Group|not specified|
25477|Silver Hills Volcanics|overlies|401|Anakie Metamorphic Group|not specified|
27911|Theresa Creek Volcanics|overlies|401|Anakie Metamorphic Group|not specified|
645|Arthur Creek Formation|overlies|24158|Andagera Formation|disconformity|
4727|Corella Formation|overlies|28185|Answer Slate|not specified|
76907|Hampden Slate|underlies|28185|Answer Slate||
25245|Mitakoodi Quartzite|underlies|28185|Answer Slate|conformity|
26091|Overhang Jaspilite|underlies|28185|Answer Slate|not specified|
23662|Ironhurst Formation|underlies|23339|Ant Hill Andesite Member|conformity|
