Stratno | Stratigraphic Name | Category | Contents | Last update 
37738|Accident Subgroup|Name source|Accident Creek, passing through latitude 18deg05'S longitude 138deg20'E, is an east-flowing tributary of the Gregory River in northwestern LAWN HILL, Queensland.|11/NOV/10
37738|Accident Subgroup|Unit history|Incorporates all of the South Nicholson Group mapped in Queensland (LAWN HILL and WESTMORELAND), ie the Constance Sandstone, Mullera Formation and Tidna Sandstone (Carter and Zimmerman 1960; Carter et al 1961), in the southeastern quarter of CALVERT HILLS (Ahmad and Wygralak 1989), and in the eastern third of MOUNT DRUMMOND (Smith and Roberts 1963). It also includes all of the Mittiebah Sandstone, Constance Sandstone and Mullera Formation mapped in the western two-thirds of MOUNT DRUMMOND (as revised by Rawlings et al in prep. on the second edition of the geological map). Small areas of Mittiebah Sandstone on northern Ranken, eastern Brunette Downs and southwestern Calvert Hills sheet areas are also included.|11/NOV/10
37738|Accident Subgroup|Constituents|From base to top: Constance Sandstone and its members, Mittiebah Sandstone, Mullera Formation and its members, Tidna Sandstone.|11/NOV/10
37738|Accident Subgroup|Geomorphic expression|Resistant ridge-forming basal part (sandstone-dominated units) and alternating ridge and recessive upper part (siltstone and shale dominated unit with sandstone and ironstone interbeds).|11/NOV/10
37738|Accident Subgroup|Type section locality|A complete section in an area of relatively high dips, and therefore geographically compact, is located south of Elizabeth Creek, from the Constance Range escarpment in the east, westwards for 8 km, to the core of a syncline. It runs from the base of the Constance Sandstone, at Latitude 18deg14'41"S Longitude 138deg23'28"E (224125E 7980770N), southwest for 1.7 km to the top of the Constance Sandstone, at Latitude 18deg14'57"S Longitude 138deg22'37"E (222623E 7980270N), then west for 6.4 km to the youngest beds in the Tidna Sandstone in the centre of the syncline, at Latitude 18deg14'57"S Longitude 138deg18'56" (216123E 7980170N).|11/NOV/10
37738|Accident Subgroup|Extent|Outcrops in the following 1:250 000 sheet areas: throughout MOUNT DRUMMOND, southeastern quarter of CALVERT HILLS, northeastern BRUNETTE DOWNS, northwestern RANKEN (all in the Northern Territory); and southwestern WESTMORELAND and western LAWN HILL (Queensland). Total area of outcrop and known shallow subcrop approaches 16 000 sq km.|11/NOV/10
37738|Accident Subgroup|Thickness range|From a minimum of ~400 m in southeastern MOUNT DRUMMOND, up to 3350 m in the Constance Range region in western LAWN HILL.|11/NOV/10
37738|Accident Subgroup|Lithology|A succession of sandstone, siltstone, shale and minor conglomerate and sedimentary ironstone.|11/NOV/10
37738|Accident Subgroup|Depositional environment|Mainly shallow marine, ranging to deeper water, including storm-dominated shelf, and shoreface environments; possibly minor fluvial.|11/NOV/10
37738|Accident Subgroup|Relationships and boundaries|Disconformably overlies Wild Cow Subgroup in the west and unconformably overlies McNamara and Fickling Groups in the east. In the Bauhinia Dome, it unconformably overlies Caulfield beds. Unconformably overlain by Neoproterozoic Bukalara Sandstone in northwestern MOUNT DRUMMOND, and by the Georgina Basin succession in southern MOUNT DRUMMOND and western LAWN HILL.|11/NOV/10
37738|Accident Subgroup|Age reasons|Isotopic dating is currently unavailable for any part of the South Nicholson Group and its age is therefore internally unconstrained. The maximum age of 1595+/-6 Ma is that of the Lawn Hill Formation at the top of the underlying McNamara Group (Page and Sweet 1998). There are no minimum age constraints imposed by overlying units, apart from the late Neoproterozoic to Phanerozoic Georgina Basin. The interpreted age range of the Accident Subgroup of 1500 to 1400 Ma is based on correlation with the Roper Group of the southern McArthur Basin, which combined, make up the Roper superbasin (Jackson et al 1999, Abbott et al 2001). Ages of 1492±4 and 1493±4 Ma for tuffaceous material from the lower Roper Group (Jackson et al 1999) provides the most reliable estimate for the age of that Group, and hence for the South Nicholson Group, including the Accident Subgroup.|11/NOV/10
37738|Accident Subgroup|Correlations|Middle to upper Roper (Jackson et al 1999) and Renner Groups (Hussey et al 2001).|11/NOV/10
37738|Accident Subgroup|Defn author|Ian Sweet, May 2006|08/FEB/12
37738|Accident Subgroup|Comments|This package of rocks has been accorded subgroup status because a disconformity has been recognised within the South Nicholson Group. The lower and upper parts (both now subgroups) also have distinct facies patterns and depocentres. Although the Mittiebah Sandstone is remote from the main outcrop belt, which is in Queensland and eastern parts of the NT, it is included in the Subgroup on the basis of its firm correlation with the Constance Sandstone, the basal formation of the Subgroup.|11/NOV/10
37738|Accident Subgroup|References|ABBOTT S.T., Sweet I.P., Plumb K.A., Young D.N., Cutovinos A., Ferenczi P.A., Brakel A. and Pietsch B.A., 2001. Roper region: Urapunga and Roper River special, Northern Territory (Second Edition); 1:250 000 Geological Map Series, sheets SD53-10,11. Northern Territory Geological Survey-Australian Geological Survey Organisation (NGMA), Map and Explanatory Notes.  **AHMAD M. and Wygralak A.S., 1989. Calvert Hills, Northern Territory (First Edition); 1:250 000 Metallogenic Map Series, sheet SE53-8. Northern Territory Geological Survey, Map and Explanatory Notes.  **CARTER E.K., Brooks J.H. and Walker K.R., 1961. The Precambrian mineral belt of northwestern Queensland. Bureau of Mineral Resources, Bulletin, 51.  **CARTER E.K. and Zimmerman D.O., 1960. Constance Range iron deposits, northwestern Queensland. Bureau of Mineral Resources, Record, 1960/75.  **HUSSEY K.J., Beier P.R., Crispe A.J., Donnellan N. and Kruse P.D. 2001. Helen Springs, Northern Territory (Second Edition); 1:250 000 geological series, sheet SE53-10.  **JACKSON M.J., Sweet I.P., Page R.W. and Bradshaw B.E., 1999. The South Nicholson and Roper Groups: evidence for the early Proterozoic Roper Superbasin. In: Bradshaw B.E. and Scott D.L. (Eds.), Integrated basin analysis of the Isa Superbasin using seismic, well-log and geopotential data: an evaluation of the economic potential of the northern Lawn Hill Platform. Australian Geological Survey Organisation, Record 1999/19 (unpaginated).  **PAGE R.W. and Sweet I.P., 1998. Geochronology of basin phases in the western Mount Isa Inlier, and correlation with the McArthur Basin. Australian Journal of Earth Sciences, 45, 2; 219-232.  **SMITH J.W. and Roberts H.G., 1963. Mount Drummond, N.T. (First Edition); 1:250,000 geological series, sheet SE53-12. Bureau of Mineral Resources, Geology and Geophysics, Map and Explanatory Notes.|08/FEB/12
37738|Accident Subgroup|Parent|South Nicholson Group.|11/NOV/10
26290|Adler Hill Basalt|Name source|Adler Hill (GR 426152, Bartle Frere 1:100 000 Sheet area, 8063) 11 km southeast of Mareeba, Queensland.|
26290|Adler Hill Basalt|Unit history|Previously included in the Atherton Basalt by Best (1960) and de Keyser (1964).|
26290|Adler Hill Basalt|Type section locality|The eastern edge of Adler Hill is the designated type locality. There vesicular and massive basalt are exposed.|
26290|Adler Hill Basalt|Extent|Adler Hill double volcanic cone, its flanks, and a few basaltic lava flows which flowed down the valley of an unnamed tributary of Emerald Creek, covering about 4 km2.|
26290|Adler Hill Basalt|Lithology|The basalt is dark grey, fine grained and porphyritic with phenocrysts of olivine and subordinate augit. The extent of weathering makes it difficult to accurately determine the number of flows.|
26290|Adler Hill Basalt|Relationships and boundaries|The Adler Hill Basalt is considered to represent some of the volcanic activity in the Atherton Volcanic Province. Basaltic lavas and ejecta were erupted from the composite double cone at Adler Hill and unconformably overlie basement rocks comprising metasediments of the Hodgkinson Formation, and the Mareeba Granite.|
26290|Adler Hill Basalt|Age reasons|Believed to be Pliocene to Pleistocene, based on ages obtained from other volcanoes in the Atherton area.|
26290|Adler Hill Basalt|References|60/078; 63/079;B084; 82/22416|
29337|Almaden Granodiorite|Name source|The unit is named after Almaden township and railway siding in the southwestern part of CHILLAGOE.|
29337|Almaden Granodiorite|Unit history|Previously mapped as part of the Almaden Granite (Best, 1962;  de Keyser & Wolff, 1964;  Branch, 1966), which was subsequently subdivided by Richards (1981).|
29337|Almaden Granodiorite|Geomorphic expression|The unit forms mainly gently undulating terrain with scattered rounded boulders and bouldery outcrops.  A few bouldery hills are also present.  Areas underlain by the granodiorite have open drainage patterns and show mainly pale to moderate tones on aerial photographs.|
29337|Almaden Granodiorite|Type section locality|The proposed type area is between the township of Almaden (GR 2530 80813) and the Ootann turnoff (GR 2514 80800) on the Burke Developmental Road to the west.  grid references are based on the AGD66 datum.|
29337|Almaden Granodiorite|Description at type locality|The granodiorite forms scattered large rounded boulders and a few bouldery outcrops in this area.|
29337|Almaden Granodiorite|Extent|The granodiorite forms an elongate northwest-trending pluton of about 150 km2, extending from 5 km south of Almaden to the abandoned mining centre of Calcifer.|
29337|Almaden Granodiorite|General description|STRUCTURAL AND METAMORPHISM:  The Almaden Granodiorite was emplaced as an elongate northwesterly trending pluton, at relatively high crustal levels.  The northwesterly trend of the pluton parallels the prevailing trend in the adjacent Chillagoe and Hodgkinson Formations and may have been controlled by the northwesterly trending Palmerville Fault to the west as postulated by de Keyser (1963).  The granodiorite is essentially massive and unmetamorphosed.|07/FEB/11
29337|Almaden Granodiorite|Lithology|Grey, medium to coarse-grained, variably porphyritic hornblende-biotite granodiorite and biotite-hornblende granodiorite are the dominant lithologies.  The unit also includes some hornblende-biotite adamellite and tonalite, and possibly quartz monzodiorite.  Ovoid mafic xenoliths up to 30 cm across are common.   DETAILED LITHOLOGY:  Southeast of Chillagoe (at GR 381 000) granodiorite adjacent to the contact with extensively metasomatised country rocks has a sheeted appearance due to the presence of layers up to 15 cm thick of pale brown garnet-rich calc-silicate rock alternating with layers of relatively little-altered granodiorite.  Zones and vein-like bodies of magnetite-hematite rock were found granodiorite adjacent to the contact in the Calcifer area to the south.  These features may have resulted from 'back veining' of the granodiorite along joints and cracks by hydrothermal solutions involved in the widespread development of endo- and exo-skarns in the region.   ALTERATION:  The Almaden Granodiorite, in contrast to the Ruddygore Granodiorite, is generally unaltered.  However, modified granitoid (endoskarn) is common adjacent to contacts with the predominantly calcareous sediments of the Chillagoe and Mount Garnet Formations, and are particularly well developed in the region between Calcifer and Chillagoe.  The endoskarn zones are irregularly distributed and range in width from tens to hundreds of metres and extend for up to a kilometre.  The altered granitoid rocks tend to be relatively resistant to erosion and commonly form hills.  Endoskarns in this region have been briefly described by Dallwitz (in de Keyser & Wolff, 1964 and Branch, 1966) and examined in more detail by Richards (1981), who subdivided the altered granitoid rocks into two groups,  A and B.  Rocks of Richards' first group (A) commonly have a medium to coarse-grained hypidiomorphic granular texture and span the compositional range from unmodified hornblende-biotite granodiorite to sphene leucogranite. The most common rock type is clinopyroxene (diopside?) ± sphene ± epidote/clinozoisite adamellite hand specimens of which are pale grey to pale green and contain pale green clinopyroxene (diopside?) as the predominant mafic mineral.  Rocks of this group make up most of the endoskarn and occur throughout the alteration zone..Rocks of the second group (B) are essentially quartz-plagioclase-clinopyroxene rocks characterised by relatively low SiO2 and K2O and high CaO, and are found immediately adjacent to contacts with exoskarn rocks, limestone, or xenoliths of metasomatised limestone (Richards, 1981), characterised by highly variable mineralogical and chemical compositions..|07/FEB/11
29337|Almaden Granodiorite|Relationships and boundaries|The granodiorite truncates the Chillagoe and Hodgkinson Formations and also intrudes felsic volcanics (Jamtin Rhyolite) of the Featherbed Volcanic Group.  The contact between the granodiorite and Jamtin Rhyolite is well exposed in the bank of Bustard Creek, (at GR 2476 80947), where it generally appears knife-sharp.  The rhyolite adjacent to the contact is extensively recrystallised and cut by rare thin dykes granodiorite.  The granodiorite shows no significant decrease in grainsize adjacent to the contact.  The grid references are based on the AGD66 datum.    A small unnamed pluton of porphyritic hypersthene-augite-hornblende-biotite tonalite (unit Cgd) forming a prominent hill (at GR 2442 80965) east-northeast of the Harper mine, (Calcifer), is surrounded by and cut by dykes from the Almaden Granodiorite.  Inclusions of apparently similar composition are common in the granodiorite.   The Almaden Granodiorite is inferred to intrude the Ootann Granite and to be cut by the Ruddygore Granodiorite (Richards, 1981).  The shapes of intersecting intrusion boundaries were used to determine the relative ages of these plutons (younger pluton boundary convex into older pluton; White & others, 1977).  The Almaden Granodiorite is also cut by the Lucy, Retchford, Jacks, and Burke Granites, the Hiker Granodiorite, by several small unnamed stocks of and dykes of fine to medium-grained mafic granodiorite or quartz diorite, and by small unnamed stocks and dykes of aplite, aplitic granite, biotite leuco-adamellite, porphyritic microgranite and granophyre (rare).|07/FEB/11
29337|Almaden Granodiorite|Age reasons|The unit is Late Carboniferous.  The Almaden Granodiorite has yielded Rb/Sr ages ranging between 301 and 302 Ma (Richards, 1981).  Richards & others (1966) had previously obtained K/Ar ages of 290 and 300 Ma for the Almaden Granodiorite in a reconnaissance study of the region.|
