Stratigraphic Name | Stratno |  Previous Name  |Previous Name Stratno| Replacement Name | Replacement Name Stratno |Is Current | Rank | Status | Category | Usage | Parent Name | Parent Stratno | Chemical Parent Name | Chemical Parent Stratno | Top Minimum Age Name | Top Minimum Age (Ma) | Top Minimum Age Error (Ma)| Top Minimum Age Method | Base Maximum Age Name | Base Maximum Age (Ma) | Base Maximum Age Error (Ma) | Base Maximum Age Method | Minimum Thickness (m) | Maximum Thickness (m) | Type Section State | Definition Card | First ref as on form | Def ref as on form | Reserved by | Resdate | Approved by | Approved date |General Comments | Lithology Description | Primary Lithology Group | Secondary Lithology Group | Tectonic Setting | Intrusive | Granite Type
Abby Peak granite|75118|||||Yes|Formation, beds|Informal|Other new published name|Described|||Saint Pauls Hill Suite|75146|Early Permian||||Early Permian|||||||No|60425||||||Part of  Cape Melville Supersuite. Included in Cape Melville Granite in current mapping.  Intruded Hodgkinson Formation.|Biotite granite.||||Y|I-type
Aberdare Conglomerate|39|||||Yes|Formation, beds|Formal|Other new published name|Defined|Woogaroo Subgroup|20540|||Late Triassic||||Late Triassic|||||380||No|44432|44510|||||Defined 1960, 1964. Ipswich.  In the Clarence-Moreton Basin. See also the informal term, Aberdare Conglomerate Stage.|Polymictic pebble to cobble conglomerate, quartzose sandstone, siltstone, thinly bedded carbonaceous shale.|sedimentary siliciclastic|||N|
Abernethy Basalt|52|||||Yes|Formation, beds|Formal|Resvd name published|Defined|Aranbanga Volcanic Group|27670|||Late Triassic|221|4||Late Triassic|||||40|QLD|No|41738|41738||||||Fine to coarse, sparsely phyric, platy, olivine basalt|igneous mafic volcanic|||N|
Accident Subgroup|37738|||||Yes|Subgroup|Formal|Resvd name published|Defined|South Nicholson Group|17123|||Calymmian|1492|4|inferred, geological correlation|Calymmian|1500||inferred, geological correlation|400|3350|QLD|Yes|65336||Rawlings, D.|22/NOV/02|Withnall, I.W.|08/MAY/06|Used in Lawn Hill Platform and South Nicholson Basin area. Mount Drummond 1:250 000 map sheet area. (7/06 PP).|A succession of sandstone, siltstone, shale and minor conglomerate and sedimentary ironstone.|sedimentary siliciclastic|||N|
Adaluma Tonalite|75656|||||Yes|Formation, beds|Reserved|Reserved|Reserved|||||Permian||||Carboniferous|||||||No|||Bultitude, R.J.|12/MAR/10|||Located ~ 63 km south-east of Collinsville, in the Urannah (8556) 1:100 000 Sheet area, Bowen 1:250 000 Sheet area (SF55-03); named after Adaluma, a nearby former homestead and now a small settlement for members of the Birri Gubba indigenous community. Most probably Carboniferous or Permian.|Pale grey, medium-grained, slightly porphyritic hornblende-biotite tonalite, biotite-hornblende granodiorite?, and biotite quartz monzodiorite?; foliated and partly recrystallised; with traces of allanite, sphene; attenuated mafic inclusions common|igneous felsic intrusive|igneous intermediate intrusive||Y|
Adam Shale|92|||||Yes|Formation, beds|Formal|Other new published name|Defined|Shadow Group|37961|||Early Cambrian||||Early Cambrian|||||16|NT|No|8217|35798||||||Shale; basal sandstone.|sedimentary siliciclastic|||N|
Adavale Group|109|||||Yes|Group, Suite|Formal|Unknown or process pending|Described|||||Devonian||||Devonian|||||1400||No|43975|||||||||||N|
Adder Dacite|21100|||||Yes|Formation, beds|Formal|Resvd name published|Defined|Boonmoo Volcanic Subgroup|27966|||Late Carboniferous|304|4||Late Carboniferous|306|3|||300||No|43151|43626|Mackenzie D.E.|04/MAY/89|||Featherbed Cauldron Complex, Nth Qld.|||||N|
Adler Hill Basalt|26290|||||Yes|Formation, beds|Formal|Resvd name published|Defined|||||Pleistocene||||Pliocene||||||QLD|Yes|42810|42810|Willmott W.F.|09/NOV/84|Whitaker, W.|14/MAR/86|Published 1988 Cairns region map commentary. Defn card held [CEB May2002]|||||N|
Adori Sandstone|143|||||Yes|Formation, beds|Formal|Variation of published name|Defined|Injune Creek Group|8710|||Tithonian||||Oxfordian||||20|55|QLD|No|44375|44021|||||See also Adori Formation and misspelt Adoori Sandstone.|Fine- to medium-grained clayey sandstone and minor pebbly sandstone and siltstone.|sedimentary siliciclastic|||N|
Agate Creek Volcanic Group|27313|Agate Creek Volcanics|148|||Yes|Group, Suite|Formal|Variation of published name|Described|||||Early Permian||||Early Permian|||||900|QLD|No|39917|||||||Lithic-poor to rich, crystal-rich rhyolitic ignimbrite; two pyroxene basaltic andesite; spherulitic rhyolite; siltstone, mudstone|igneous felsic volcanic|igneous intermediate volcanic||N|
Agate Creek, Galloway, Mount Little Volcanic Groups; parts of the Featherbed and Scardons Volcanic Groups; Julago, Little Fork, Mitchell River and Nychum Volcanics; Little River Coal Measures; Normanby Formation|78081|||||Yes|Formation, beds|Informal|Variation of published name|Mentioned|||||Permian||||Permian|||||||No|68553||||||Published in Queensland Geology 1:2 000 000 map (2012). Informally grouped as 'Kennedy Province - Permian extrusives' (StratNo 78420) in digital version. Digital version to be used in GA 1:2.5m Bedrock Geology.|Dominantly rhyolitic ignimbrite, breccia, lava; andesitic to basaltic lava; minor volcaniclastic sandstone and siltstone|igneous felsic volcanic|igneous mafic volcanic||N|
Age Creek Formation|151|||||Yes|Formation, beds|Formal|Other new published name|Defined|Narpa Group|37962|||Middle Cambrian||||Middle Cambrian|||||1200|NT|No|34395|44211|||||See also Lexicon.|Calcarenite, dolarenite. Contains platform and platform-edge carbonates.|sedimentary carbonate|||N|
Agnes Water Volcanics|156|||||Yes|Formation, beds|Formal|Other new published name|Defined|||||Triassic|228.6|1.7||Triassic|||||400||No|44785|44785||||||Rhyolitic, andesitic and trachytic volcanics, sandstone, shale|igneous felsic-intermediate volcanic|sedimentary siliciclastic||N|
Ah Fat Granite Complex|41256|||||Yes|Group, Suite|Formal|Other new published name|Briefly described|||||Late Carboniferous||||Late Carboniferous|||||||No|50598|||||||Pods of porphyritic granite and monzogranite and aplite in porphyritic fine to medium-grained granodiorite to granite|igneous felsic intrusive|||Y|
Airlie Volcanics|25756|||||Yes|Formation, beds|Formal|Variation of published name|Defined|||||Early Permian||||Early Permian||||||QLD|No|34408|48921|||||Yarrol Province?|Acid to intermediate volcaniclastics and lavas|igneous felsic-intermediate volcanic|||N|
Airport Quartz Diorite|188|||||Yes|Formation, beds|Formal|Other new published name|Described|||Airport Suite|75120|Late Carboniferous|||inferred, isotopic correlation|Late Carboniferous|||inferred, isotopic correlation||||No|40743||||||Within the Almaden Supersuite. See also Airport Granite Porphyry; Aiport Quartz Diorite takes priority over the porphyry (published more often).|Dark green, fine-grained quartz diorite; mafic inclusions common; very similar to mafic units of the Almaden Suite.|igneous intermediate intrusive|||Y|I-type
Airport Suite|75120|||||Yes|Group, Suite|Formal|Variation of published name|Briefly described|||Almaden Supersuite|325|Late Carboniferous||||Late Carboniferous|||||||No|60425|||||||||||Y|I-type
Aisbetts Granodiorite|41264|||||Yes|Formation, beds|Formal|Variation of published name|Briefly described|||||Early Triassic||||Late Permian|||||||No|50598|||||||Pinkish grey, medium-grained, sparsely porphyritic hornblende-biotite granodiorite|igneous felsic intrusive|||Y|
Aitken Creek Gabbro|33153|||||Yes|Formation, beds|Formal|Resvd name published|Briefly described|||||Late Permian||||Late Permian|||||||No|60481||Withnall I.|20/NOV/98|||Saint Lawrence 1:250 000 sheet area, SF55-12.|Medium to coarse-grained biotite-hornblende-pyroxene gabbro|igneous mafic intrusive|||Y|
Alabama Diorite|23324|Alabama diorite|209|||Yes|Formation, beds|Formal|Resvd name published|Fully described||||||||||||||||No|41659||Peters S.G.|12/MAR/86||||||||Y|
Albany Pass and Helby beds|78083|||||Yes|Formation, beds|Informal|Variation of published name|Mentioned|||||Cretaceous||||Jurassic|||||||No|68553||||||Published in Queensland Geology 1:2 000 000 map (2012). To be used in GA 1:2.5m Bedrock Geology.|Clayey quartzose sandstone, pebble conglomerate, claystone|quartz-rich arenite to rudite|argillaceous detrital sediment||N|
Albany Pass beds|36381|Albany Pass Beds|214|||Yes|Formation, beds|Informal|Variation of published name|Briefly described|||||Early Cretaceous||||Late Jurassic||||||QLD|No|23425||||||Defined as Albany Pass Beds.|Clayey quartzose sandstone, pebble conglomerate, claystone|quartz-rich arenite to rudite|||N|
Albert Basalt|221|||||Yes|Formation, beds|Formal|Variation of published name|Described|Lamington Volcanics|10120|||Early Miocene||||Early Miocene|||||||No|35296|||||||Olivine basalt, extrusive rhyolite, sediments between basalt flows |igneous mafic volcanic|||N|
Albert Formation|224|||||Yes|Formation, beds|Formal|Other new published name|Mentioned||||||||||||||||No|30689|||||||||||N|
Alberts Creek Monzogranite|28014|||||Yes|Formation, beds|Formal|Resvd name published|Described|||Flyspeck Supersuite|27776|Early Devonian||||Late Silurian|||||||No|43596||Mackenzie D.E., von Gnielinski F.|28/SEP/95|||Hann River 1:250 000 sheet area.|Medium to dark grey equigranular biotite monzogranite|igneous felsic intrusive|||Y|
Aldebaran Sandstone|24652|Aldebaran sandstone|248|||Yes|Formation, beds|Formal|Variation of published name|Defined|Back Creek Group|845|||Capitanian|259|||Kungurian|||||640|QLD|No|39813|48900|||||Denison Trough, Bowen Basin.  Ages from Bradshaw et al, 2009|Pebbly quartz sandstone, conglomerate, minor shale, siltstone and coal.|sedimentary siliciclastic|organic-rich rock||N|
Algebuckina Sandstone|262|||||Yes|Formation, beds|Formal|Variation of published name|Defined|||||Valanginian||||Toarcian|||||750|SA|No|44689|41063|||||Age: Early Jurassic to Early Cretaceous but includes 2 erosional breaks.[from chart dated 1/5/97]. See also Algebuckina Formation.|Sandstone, fine to coarse-grained, with granule and pebble layers, and shale intraclasts|sedimentary siliciclastic|||N|
Alice Creek beds|39010|Alice Creek|21108|||Yes|Formation, beds|Informal|Resvd name published|Defined|||||Early Carboniferous||||Late Devonian|||||||Yes|23799||||Withnall, I.|24/MAR/08|Reserved as Alice Creek (Willey, E.C. 1977).  DEFINITION CARD  rec'd March 2008.  Intruded by Mount Cross Igneous Complex. Yarrol Province outlier (Geology of Queensland 2013, p351)|Siltstone, arenite, conglomerate, limestone|argillaceous detrital sediment|||N|
Alick Creek Tonalite|75628|||||Yes|Formation, beds|Reserved|Reserved|Reserved|||||Permian||||Carboniferous|||||||No|||Bultitude, R.J.|12/MAR/10|||Located ~60 km SW of Bowen; named after Alick Creek (a tributary of the Bogie River), which rises nearby; crops out in the Bowen (8557) and Urannah (8556) 1:100 000 Sheet areas (Bowen 1:250 000 Sheet area; SF55-03). Most probably Carboniferous or Permian.|White to pale pinkish grey, or pale pink (altered), fine to medium-grained, slightly porphyritic, leucocratic biotite granodiorite to tonalite; with minor sphene and scattered mafic inclusions up to ~70 cm across; extensively altered in places|igneous felsic intrusive|||Y|
Allandale Granite|69595|Allandale Arfvedsonite Granite|278|||Yes|Formation, beds|Formal|Variation of published name|Briefly described||||||||||||||||No|63187||||||Probably supersedes the Allandale Arfvedsonite Granite.|||||Y|
Allaru Mudstone|291|Allaru Member|290|||Yes|Formation, beds|Formal|Variation of published name|Defined|Wilgunya Subgroup|20031|||Cenomanian|94|||Albian|96|||100|700|QLD|No|33642|63979|||||See also Allaru Formation. Laterally equivalent to Oodnadatta Formation. The name Allaru Mudstone is only used when Toolebuc Formation is present, see 00/30891. Part of Wilgunyah Subgroup, Rolling Downs Gp, although some authors attribute it to the Maree Subgroup of the Neales River Group. See also Alluru Mudstone (a misspelling).|Primarily blue-grey mudstone (partly pyritic) and interbedded calcareous siltstone, cone-in-cone limestone and lesser sandstone (Ref: 63979).|argillaceous detrital sediment|sedimentary carbonate||N|
Allensleigh Basalt|69493|||||Yes|Formation, beds|Reserved|Reserved|Reserved|||||Quaternary||||Quaternary|||||||No|||GSQ|21/JUL/05|||Probably replaces Allensleigh Flow. Unit to be used on the Queensland 1:1million geological map, National Maps Project.|Olivine basalt flows (ca.  Ma)|igneous mafic volcanic|||N|
Allingham Formation|305|||||Yes|Formation, beds|Formal|Other new published name|Defined|||||Pliocene||||Late Miocene|||||18|QLD|Yes|29433|29433|||||Defn card held [CEB May2002] - not found.   In the Townsville area.|||||N|
Allsorts Rhyolite|21115|||||Yes|Formation, beds|Formal|Resvd name published|Defined|Tennyson Volcanic Subgroup|27967|||Early Permian|289|7||Late Carboniferous|306|3|||135||No|43151|43626|Mackenzie D.E.|04/MAY/89|||Featherbed Cauldron Complex, Nth Qld.|||||N|
Alluvium and lacustrine deposits (including Wondoola and Armraynald beds)|78095|||||Yes|Formation, beds|Informal|Unnamed published|Mentioned|||||Neogene||||Neogene|||||||No|68553||||||Published in Queensland Geology 1:2 000 000 map (2012). Informally grouped as 'Pliocene-Pleistocene sediments' (Stratno 78440) in digital version. To be used in GA 1:2.5m Bedrock Geology as 'sedimentary rocks 72357', Cenozoic.|Poorly consolidated sandstone, mudstone, conglomerate|sedimentary siliciclastic|||N|
Alma Unit|37009|||||Yes|Formation, beds|Informal|Variation of published name|Described|Highbury Volcanics|25948|||Middle Permian||||Early Permian|||||300||No|23251||||||Probably refers to  Highbury Volcanics? Informal term used in vicinity of the Gympie goldfield.|Pale green, thin-bedded mudstone interbedded with fine-grained mafic volcanics; hyaloclastites; no hematite or carbonaceous component (deepwater seafloor environment).||||N|
Almac Granodiorite|21117|||||Yes|Formation, beds|Formal|Resvd name published|Described|||Almaden Suite|30425|Late Carboniferous|300|||Late Carboniferous|310||||||No|43087||Bultitude, R.J.|03/JUN/86|||Within the Almaden Supersuite. Intrudes Dargalong Metamorphics, Chillagoe Formation, and Pratt Volcanics.|Fine-grained, moderately to highly porphyritic (augite-) biotite-hornblende granodiorite to quartz monzodiorite or quartz monzonite.|igneous felsic intrusive|||Y|I-type
Almaden Granodiorite|29337|Almaden Granite|324|||Yes|Formation, beds|Formal|Variation of published name|Defined|||Almaden Suite|30425|Permian|301||isotopic, Rb/Sr|Late Carboniferous|302|5|isotopic, Rb/Sr|||QLD|Yes|43087|43087|||Withnall, I.|24/MAR/08|DEFINITION CARD  rec'd March 2008. Age 303+/- Ma, Rb-Sr. Intrudes Jamtin Rhyolite (Featherbed Volcanic Group). Cut by the Lucy, Retchford, Jacks, and Burke Granites, the Hiker Granodiorite|Medium to dark grey, fine to medium, variably porphyritic hornblende-biotite granodiorite.|igneous felsic intrusive|||Y|I-type
Almaden Suite|30425|||||Yes|Group, Suite|Formal|Other new published name|Briefly described|||Almaden Supersuite|325|Late Carboniferous||||Late Carboniferous|||||||No|43151|||||||||||Y|I-type
Almaden Supersuite|325|||||Yes|Supergroup|Formal|Variation of published name|Fully described|||||Permian|280||isotopic, Rb/Sr|Carboniferous|303||isotopic, Rb/Sr||||No|42681||||||Numerous plutons - include 5 named suites (21 named granites)+ 4 unassigned  named granites. Intruded Hodgkinson Province rocks and older units of Featherbed Volcanic Group. In Geology of Queensland 2013, p484.|Mainly (clinopyroxene-) hornblende-biotite and biotite-hornblende granodiorite to granite. Includes grey, fine- to medium-grained quartz diorite.|igneous felsic intrusive|||Y|I-type
