Reference Id | Author | Year | Title | Source | Vol/Part | Pages
721|Brown, R.E., Brownlow, J.W., Krynen, J.P.|1992|Manilla-Narrabri 1:250000 Metallogenic Map SH/56-9, SH/55-12. Metallogenic Study and Mineral Deposit Data Sheets|Geological Survey of New South Wales. Metallogenic Map Series|1v|Map
7071|McGoldrick, P.J., Large, R.R.|1998|Geology and mineralisation in the Proterozoic 'Carpentaria Zinc Belt' of northern Australia|Australian Journal of Earth Sciences|45(1)|1-2
8187|Draper, J.J., Druce, E.C., Simpson, C.J., Green, D.|1980|Abudda Lakes 1:100 000 Geological Map - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics||
8217|Walter, M.R., Simpson, C.J., Green, D.|1978|Adam Special - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics||
9124|Thomson, B.P., Horwitz, R.C., Parkin, L.W., Barnes, T.A.|1962|Barker 1:250 000 Geological Map sheet SI54-13 - First Edition|Geological Survey of South Australia||map
9194|Ellis, P.L., Goldsworthy, P.J.|1974|Bundaberg, Queensland,  1:250 000 geological sheet SG 56-2 - First Edition|Geological Survey of Queensland||map
9199|Langworthy, A.P., Pillinger, D.M., Offe, L.A.|1976|Burt 1:100 000 Geological Map Sheet 5651 - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics|1v|Map
9250|Brunker, R.L., Bunny, M., Fitzpatrick, B., Kenny, E., Warner, R., Wilson, R., O'Connell, P.|1967|Cobham Lake 1:250 000 Geological Map - First Edition|Geological Survey of New South Wales||
9394|Warren, R.G., Simpson, C.J., Offe, L.A., Shaw, R.D., Holden, B.P., Stirzaker, J.F., Johnson, C.R., Freeman, M.J.|1982|Dneiper, Northern Territory 1:100 000 Geological Map Sheet 5952  - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics and Northern Territory Geological Survey|1v|Map
9528|Henderson, G.A.M., Mackenzie, D.E., Knight, C.P., Corbett, P.J.|1982|Geology of the Croydon Region - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics and Geological Survey of Queensland||
9531|Mackenzie, D.E., Knight, C.P.|1981|Geology of the Gilbert River Region - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics and Geological Survey of Queensland||
9539|Oversby, B.S., Bain, J.H.C., Withnall, I.W., Blythe, P.L.|1976|Georgetown 1:100 000 Geological Map - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics||
9541|Withnall, I.W., Oversby, B.S., Bain, J.H.C., Baker, E.M., Mifsud, J.|1977|Gilberton 1:100 000 Geological Map - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics||
9694|Stirzaker, J.F., Freeman, M.J.|1985|Jinka, Northern Territory 1:100 000 Geological Map, Sheet 6052 - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics and Northern Territory Geological Survey|1v|Map
9830|Blythe, P.L., Noon, T.A.|1979|Malbon 1:100 000 Geological Map - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics and Geological Survey of Queensland||
9862|Forbes, B.G., Coats, R.P., Webb, B.P., Horwitz, R.C|1965|Marree 1:250 000 Geological Map - First Edition|Geological Survey of South Australia|1v|Map
10116|Green, P.M.|1979|Mount Whelan 1:100 000 Geological Map - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics and Geological Survey of Queensland ?|1v|Map
12575|Marshallsea, S.J., Green, P.F., Webb, J.|2000|Thermal history of the Hodgkinson Province and Laura Basin, Queensland: multiple cooling episodes identified from apatite fission track analysis and vitrinite reflectance data.|Australian Journal of Earth Sciences|47(4)|779-797
12891|Gorter, J.D., Nicoll, R.S., Purcell, R.R., Phillips, S.E.|1998|Contributions to the Geology of the Wiso Basin (Middle Cambrian to Ordovician), Northern Territory. IN Purcell, P.G. & Purcell, R.R. (eds). The Sedimentary Basins of Western Australia 2.|Petroleum Exploration Society of Australia. Proceedings.||731-743
12951|Ambrose, G.J., Kruse, P.D., Putnam, P.E.|2001|Geology and hydrocarbon potential of the southern Georgina Basin, Australia|APPEA Journal|41|139-163
