Stratno | Stratigraphic Name | Entity Number | Province Name 
27073|ABC Range Quartzite|20306|Mount Painter Block
35877|Abminga Subsuite|20331|Curnamona Province
35877|Abminga Subsuite|408445|Olary Domain
27099|Abrakurrie Limestone|20936|Eucla Basin
198|Ajax Limestone|20306|Mount Painter Block
68089|Alconie Formation|408445|Olary Domain
39599|Alcurra Dolerite|467262|Musgrave Province
27074|Aldinga Member|20406|St Vincent Basin
262|Algebuckina Sandstone|529302|Eromanga Basin
33891|Alinya Formation|22115|Officer Basin
23328|Allendale Metasediments|408445|Olary Domain
69205|Alpha Mudstone|464193|Callabonna Sub-basin
353|Amberoona Formation|20306|Mount Painter Block
35893|Ameroo Subsuite|408445|Olary Domain
381|Amphitheatre Group|535919|Cobar Basin
381|Amphitheatre Group|549130|Rast Trough
381|Amphitheatre Group|556736|Lachlan Orogen
26344|Anabama Granite|20331|Curnamona Province
28203|Angepena Formation|20306|Mount Painter Block
28203|Angepena Formation|20331|Curnamona Province
41897|Anthony Member|20936|Eucla Basin
34536|Apamurra Formation|22115|Officer Basin
24164|Arcoeillinna Sandstone|22115|Officer Basin
552|Arcoona Quartzite Member|42518|Gawler Craton
571|Areyonga Formation|22078|Amadeus Basin
24165|Arkaba Hill Beds|20331|Curnamona Province
29894|Armchair Granite|42518|Gawler Craton
23342|Arrabury Formation|529302|Eromanga Basin
637|Arrowie Formation|20306|Mount Painter Block
29921|Arthurton Granite|513114|Olympic Domain
668|Arumbera Sandstone|22078|Amadeus Basin
803|Avondale Clay|20306|Mount Painter Block
41670|Babbage Supersuite|20331|Curnamona Province
41670|Babbage Supersuite|42518|Gawler Craton
854|Backstairs Passage Formation|22352|Stansbury Basin
926|Balcanoona Formation|20306|Mount Painter Block
935|Balcoracana Formation|20306|Mount Painter Block
964|Balhannah Shale Member|20306|Mount Painter Block
1009|Balparana Sandstone|20306|Mount Painter Block
25773|Balquhidder Formation|22352|Stansbury Basin
1011|Balta Granite|42782|Mount Woods Domain
69926|Balta Suite|42518|Gawler Craton
41896|Barton Sand|20936|Eucla Basin
35879|Basso Suite|408445|Olary Domain
1353|Beda Volcanics|42518|Gawler Craton
21228|Benagerie Volcanics|408445|Olary Domain
69206|Beverley Clay|464193|Callabonna Sub-basin
75404|Bill's Lookout gabbro|513114|Olympic Domain
1645|Billy Creek Formation|20306|Mount Painter Block
1645|Billy Creek Formation|529788|Arrowie Basin
1653|Billy Springs Formation|20306|Mount Painter Block
1653|Billy Springs Formation|42518|Gawler Craton
29887|Bimba Formation|20331|Curnamona Province
29887|Bimba Formation|408445|Olary Domain
69582|Bimbowrie Suite|408445|Olary Domain
1729|Birkhead Formation|27354|Surat Basin
1729|Birkhead Formation|529511|Cooper Basin
29906|Birksgate Complex|467262|Musgrave Province
1758|Bitter Springs Formation|22078|Amadeus Basin
1758|Bitter Springs Formation|40009|Arltunga Gold Metallogenic Province
75079|Black Maria Formation|408445|Olary Domain
1901|Blanche Point Formation|20406|St Vincent Basin
1918|Blanchetown Clay|536552|Murray Basin
26403|Blowhole Creek Siltstone Member|22352|Stansbury Basin
1988|Blue Hills Sandstone|22115|Officer Basin
25795|Blue Mine Conglomerate|20306|Mount Painter Block
24737|Blue Range beds|42518|Gawler Craton
24737|Blue Range beds|407482|Coulta Domain
2034|Blythesdale Group|27354|Surat Basin
39570|Bollaparudda Subgroup|556736|Lachlan Orogen
2203|Bookpurnong Formation|536552|Murray Basin
67915|Boongar beds|22115|Officer Basin
27311|Boorloo Siltstone|20331|Curnamona Province
2291|Boorthanna Formation|40671|Arckaringa Basin
2311|Borda Formation|27358|Duntroon Sub-basin
23414|Box Bore Granite|20331|Curnamona Province
23414|Box Bore Granite|42518|Gawler Craton
2453|Boxing Bay Formation|22352|Stansbury Basin
28396|Brachina Formation|20306|Mount Painter Block
28396|Brachina Formation|42518|Gawler Craton
2543|Bridgewater Formation|20406|St Vincent Basin
2543|Bridgewater Formation|20936|Eucla Basin
2543|Bridgewater Formation|536552|Murray Basin
2557|Brighton Limestone|42518|Gawler Craton
76217|Brillig Catch Member|20306|Mount Painter Block
25811|Brindana Schist|20306|Mount Painter Block
25811|Brindana Schist|20331|Curnamona Province
23420|Bring Member|20936|Eucla Basin
2585|British Empire Granite|20306|Mount Painter Block
27039|Broadview Schist|42773|Spencer Domain
2617|Broken Hill Group|20331|Curnamona Province
2672|Brown Hill Subgroup|556736|Lachlan Orogen
30504|Buccleuch Formation|536552|Murray Basin
2796|Buckleboo Granite|42518|Gawler Craton
2796|Buckleboo Granite|407482|Coulta Domain
2891|Bulldog Shale|464193|Callabonna Sub-basin
2891|Bulldog Shale|529302|Eromanga Basin
25819|Bungaree Quartzite|42518|Gawler Craton
28299|Bunyeroo Formation|42518|Gawler Craton
3075|Burkitt Granite|42773|Spencer Domain
27124|Burnham Limestone|20406|St Vincent Basin
30306|Burr Well Member|20306|Mount Painter Block
3106|Burra Group|20306|Mount Painter Block
21395|Burrawing Amphibolite|42518|Gawler Craton
34805|Byilkaoora Member|22115|Officer Basin
31517|Cadell Formation|536552|Murray Basin
26296|Cadlareena Volcanics|22115|Officer Basin
3284|Cadna-owie Formation|464193|Callabonna Sub-basin
3284|Cadna-owie Formation|529302|Eromanga Basin
34977|Cadney Park Member|22115|Officer Basin
3312|Calca Granite|407482|Coulta Domain
3322|Calivil Formation|556736|Lachlan Orogen
31781|Callamurra Member|529302|Eromanga Basin
75787|Camel Flat Shale Member|20306|Mount Painter Block
75787|Camel Flat Shale Member|42518|Gawler Craton
29893|Camel Pad Granite|20331|Curnamona Province
29893|Camel Pad Granite|42518|Gawler Craton
3572|Carappee Granite|42518|Gawler Craton
3619|Carisbrooke Sand|20406|St Vincent Basin
28206|Carnot Gneiss|407482|Coulta Domain
25836|Carrickalinga Head Formation|22352|Stansbury Basin
29922|Cartu beds|22115|Officer Basin
72577|Cathedral Rock Formation|408445|Olary Domain
3856|Ceduna Formation|27358|Duntroon Sub-basin
40378|Challenger Gneiss|42518|Gawler Craton
3895|Chambers Bluff Tillite|22115|Officer Basin
25843|Chinaman Gully Formation|20406|St Vincent Basin
24842|Christie Gneiss|407427|Christie Domain
4144|Clevedale Migmatite|408445|Olary Domain
4173|Clinton Formation|20406|St Vincent Basin
4380|Colville Sandstone|20936|Eucla Basin
23499|Con Bore Granite|20331|Curnamona Province
23499|Con Bore Granite|42518|Gawler Craton
4468|Coobowie Limestone|22352|Stansbury Basin
23505|Coolanie Gneiss|42518|Gawler Craton
24225|Coolardie Formation|34853|Polda Basin
26491|Coomb Spring Formation|464193|Callabonna Sub-basin
24226|Coominaree Dolomite|22115|Officer Basin
4602|Coonarbine Formation|529801|Lake Eyre Basin
4616|Coonigan Formation|20417|Bancannia Trough
24227|Cooranna Formation|20331|Curnamona Province
26493|Coorikiana Sandstone|529302|Eromanga Basin
4658|Cootanoorina Formation|22115|Officer Basin
28474|Cooyerdoo Granite|42518|Gawler Craton
28474|Cooyerdoo Granite|42773|Spencer Domain
4673|Copley Quartzite|20306|Mount Painter Block
4721|Coreena Member|27354|Surat Basin
4752|Corrodgery Formation|22352|Stansbury Basin
4759|Corundum Creek Schist Member|20306|Mount Painter Block
27751|Corunna Conglomerate|42773|Spencer Domain
27751|Corunna Conglomerate|513114|Olympic Domain
23514|Coulta Granodiorite|407482|Coulta Domain
23516|Cowleds Member|42518|Gawler Craton
29204|Cox Sandstone Member|20331|Curnamona Province
73284|Crayfish Supersequence|436513|Otway Basin
69827|Crocker Well Suite|20331|Curnamona Province
26505|Crown Point Formation|22078|Amadeus Basin
26505|Crown Point Formation|529549|Pedirka Basin
74010|Cultana Subsuite|42518|Gawler Craton
24236|Curdimurka Subgroup|20331|Curnamona Province
35326|Curnamona Group|408445|Olary Domain
39162|Curramulka Gabbronorite|513114|Olympic Domain
21626|Dawson Hill Member|20306|Mount Painter Block
72576|Dayana Formation|408445|Olary Domain
5300|Dean Quartzite|22078|Amadeus Basin
39171|Delken Member|513114|Olympic Domain
74794|Devils Playground Volcanics|407427|Christie Domain
34532|Dey-Dey Mudstone|22115|Officer Basin
33818|Diamond Bog Dolomite|529551|Warburton Basin
24247|Dome Sandstone|20331|Curnamona Province
5593|Doncaster Member|27354|Surat Basin
5603|Donington Suite|42773|Spencer Domain
5603|Donington Suite|513114|Olympic Domain
5622|Doonbara Formation|529801|Lake Eyre Basin
39166|Doora Member|513114|Olympic Domain
5716|Dry Creek Sand|20406|St Vincent Basin
5765|Duff Creek beds|20331|Curnamona Province
24255|Dullingari Group|529551|Warburton Basin
25887|Dunns Mine Limestone|20331|Curnamona Province
5878|Dutton Suite|407482|Coulta Domain
34326|Eba Formation|42771|Wilgena Domain
5941|Echidna Formation|27358|Duntroon Sub-basin
6029|Elatina Formation|20306|Mount Painter Block
6118|Elyuah Formation|22113|Ngalia Basin
25895|Emeroo Subgroup|42518|Gawler Craton
6152|Emu Bay Shale|22352|Stansbury Basin
6187|Engenina Adamellite|42782|Mount Woods Domain
27399|Enorama Shale|20306|Mount Painter Block
27149|Eregunda Sandstone Member|20306|Mount Painter Block
23582|Erudina Siltstone Member|20306|Mount Painter Block
6287|Etadunna Formation|464193|Callabonna Sub-basin
6287|Etadunna Formation|529801|Lake Eyre Basin
35883|Ethiudna Subgroup|408445|Olary Domain
6345|Eucla Group|20936|Eucla Basin
73285|Eumeralla Supersequence|436513|Otway Basin
36791|Euralia kimberlite|42518|Gawler Craton
25901|Eurinilla Formation|464193|Callabonna Sub-basin
25901|Eurinilla Formation|529801|Lake Eyre Basin
6416|Evergreen Formation|27354|Surat Basin
6416|Evergreen Formation|27546|Mulgildie Basin
6416|Evergreen Formation|529302|Eromanga Basin
69764|Ewarara Pyroxenite|467262|Musgrave Province
6451|Eyre Formation|464193|Callabonna Sub-basin
6451|Eyre Formation|529801|Lake Eyre Basin
6661|Finke Group|22078|Amadeus Basin
31518|Finniss Formation|536552|Murray Basin
6695|Fitton Formation|20306|Mount Painter Block
6695|Fitton Formation|20331|Curnamona Province
6822|Fork Tree Limestone|22352|Stansbury Basin
6841|Fortress Hill Formation|20306|Mount Painter Block
25915|Freeling Heights Quartzite|20306|Mount Painter Block
25915|Freeling Heights Quartzite|20331|Curnamona Province
74199|Freeling Heights Quartzite, Mount Adams Quartzite, Yagdlin Phyllite|20306|Mount Painter Block
24637|Fulham Sand|20406|St Vincent Basin
72709|Gairdner Dolerite|467262|Musgrave Province
25918|Garford Formation|20936|Eucla Basin
7059|Gawler Range Volcanics|39712|Olympic Copper Gold Metallogenic Province
7059|Gawler Range Volcanics|513114|Olympic Domain
7072|Gearle Siltstone|20925|Northern Carnarvon Basin
7072|Gearle Siltstone|22020|Perth Basin
7072|Gearle Siltstone|22097|Southern Carnarvon Basin
7072|Gearle Siltstone|22196|Roebuck Basin
7072|Gearle Siltstone|27718|Barrow Sub-basin
7072|Gearle Siltstone|27899|Dampier Sub-basin
7072|Gearle Siltstone|28319|Gascoyne Sub-basin
7072|Gearle Siltstone|28451|Exmouth Sub-basin
7090|Geera Clay|536552|Murray Basin
29840|George Mine Formation|408445|Olary Domain
7182|Gidgealpa Group|529511|Cooper Basin
7206|Giles Complex|39836|Nebo-Babel Nickel Metallogenic Province
7206|Giles Complex|467262|Musgrave Province
27416|Gillen Member|22078|Amadeus Basin
7315|Glanville Formation|20936|Eucla Basin
7456|Glyde Formation|467262|Musgrave Province
23623|Golden Pole Granite|20331|Curnamona Province
23623|Golden Pole Granite|42518|Gawler Craton
7596|Gordon Springs Granodiorite|20306|Mount Painter Block
7646|Goyder Formation|22078|Amadeus Basin
7672|Grampians Group|20367|Stawell Zone
7672|Grampians Group|556736|Lachlan Orogen
7675|Grampus Quartzite|20331|Curnamona Province
23637|Greenfield Formation|42518|Gawler Craton
7767|Greenpatch Metajaspilite|42518|Gawler Craton
7831|Grindstone Range Sandstone|20306|Mount Painter Block
7831|Grindstone Range Sandstone|529788|Arrowie Basin
7848|Gubberamunda Sandstone|27354|Surat Basin
7848|Gubberamunda Sandstone|529302|Eromanga Basin
7861|Gull Rock Member|20406|St Vincent Basin
