Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
28396|Brachina Formation|underlies|27073|ABC Range Quartzite|conformity|intertongues also
28299|Bunyeroo Formation|overlies|27073|ABC Range Quartzite|not specified|
13133|Mount Terrible Formation|overlies|27073|ABC Range Quartzite|disconformity|
20277|Winulta Formation|overlies|39172|Aagot Member|not specified|
25355|Nullarbor Limestone|overlies|27099|Abrakurrie Limestone|unconformity|
16251|Roe Calcarenite|overlies|27099|Abrakurrie Limestone|not specified|
20155|Wilson Bluff Limestone|underlies|27099|Abrakurrie Limestone|disconformity|
6073|Elkera Formation|underlies|92|Adam Shale|unconformity|
1729|Birkhead Formation|underlies|143|Adori Sandstone|not specified|
19796|Westbourne Formation|overlies|143|Adori Sandstone|conformity|
1645|Billy Creek Formation|overlies|198|Ajax Limestone|not specified|
14855|Parachilna Formation|underlies|198|Ajax Limestone|conformity|
20498|Woodendinna Dolomite|underlies|198|Ajax Limestone|not specified|
5300|Dean Quartzite|underlies|39599|Alcurra Dolerite|unconformity|
1138|Barossa Complex|underlies|251|Aldgate Sandstone|not specified|
25843|Chinaman Gully Formation|underlies|27074|Aldinga Member|not specified|
26125|Rogue Formation|grades into|27074|Aldinga Member||
16480|Ruwarung Member|overlies|27074|Aldinga Member|not specified|
2891|Bulldog Shale|overlies|262|Algebuckina Sandstone||
3284|Cadna-owie Formation|overlies|262|Algebuckina Sandstone|disconformity|
8610|Hutton Sandstone|overlies|262|Algebuckina Sandstone||
8643|Idracowra Sandstone|underlies|262|Algebuckina Sandstone|disconformity|
10170|Langra Formation|underlies|262|Algebuckina Sandstone|unconformity|
15442|Poolowanna Formation|underlies|262|Algebuckina Sandstone|not specified|
16445|Rumbalara Shale|overlies|262|Algebuckina Sandstone||
11374|Marree Subgroup|underlies|24153|Alinerta Gravel|disconformity|
26296|Cadlareena Volcanics|overlies|33891|Alinya Formation|not specified|
26843|Pindyin Sandstone|underlies|33891|Alinya Formation|conformity|
8225|Heavitree Quartzite|overlies|41842|Alkipi Metamorphics|unconformity|
4714|Cordillo Silcrete|overlies|291|Allaru Mudstone|unconformity|
4721|Coreena Member|underlies|291|Allaru Mudstone|conformity|gradational
10952|Mackunda Formation|overlies|291|Allaru Mudstone|conformity|
18375|Toolebuc Formation|underlies|291|Allaru Mudstone|conformity|
19323|Wallumbilla Formation|underlies|291|Allaru Mudstone|conformity|
20268|Winton Formation|overlies|291|Allaru Mudstone|conformity|
25749|Thackaringa Group|underlies|23328|Allendale Metasediments|not specified|
2891|Bulldog Shale|underlies|69205|Alpha Mudstone|not specified|
926|Balcanoona Formation|underlies|353|Amberoona Formation|unconformity|
27399|Enorama Shale|overlies|353|Amberoona Formation|conformity|
6841|Fortress Hill Formation|overlies|353|Amberoona Formation|not specified|
24520|Thora Dolomite|overlies|353|Amberoona Formation|conformity|
20825|Yankaninna Formation|underlies|353|Amberoona Formation|conformity|
5300|Dean Quartzite|overlies|35317|Amputjuta Dacite|not specified|
2026|Blyth Dolomite|overlies|34744|Anama Siltstone Member|conformity|
16067|Rhynie Sandstone|underlies|34744|Anama Siltstone Member|not specified|
17959|Tent Hill Formation|underlies|416|Andamooka Limestone|not specified|
20856|Yarloo Shale|underlies|416|Andamooka Limestone|not specified|
926|Balcanoona Formation|underlies|28203|Angepena Formation|conformity|gradational
2557|Brighton Limestone|underlies|28203|Angepena Formation|not specified|
6029|Elatina Formation|overlies|28203|Angepena Formation|not specified|
25630|Wilmington Formation|overlies|28203|Angepena Formation|not specified|
37212|Khasta Formation|overlies|41897|Anthony Member|not specified|
41895|Maralinga Member|underlies|41897|Anthony Member|not specified|
14596|Ooldea Sand|underlies|41897|Anthony Member|not specified|
24164|Arcoeillinna Sandstone|underlies|34536|Apamurra Formation|not specified|
14485|Observatory Hill Formation|underlies|34536|Apamurra Formation||
18532|Trainor Hill Sandstone|overlies|34536|Apamurra Formation|not specified|
17814|Tapley Hill Formation|overlies|501|Appila Tillite||
20188|Wilyerpa Formation|is equivalent to|501|Appila Tillite||
571|Areyonga Formation|underlies|524|Aralka Formation|conformity|
11173|Mangaroongah Dacite|underlies|540|Arburee Rhyolite|conformity|
1138|Barossa Complex|underlies|34654|Arbury Park Sandstone Member|unconformity|
34656|Carey Gully Sandstone Member|overlies|34654|Arbury Park Sandstone Member|conformity|
34536|Apamurra Formation|overlies|24164|Arcoeillinna Sandstone|not specified|
14485|Observatory Hill Formation|underlies|24164|Arcoeillinna Sandstone|not specified|
1758|Bitter Springs Formation|underlies|571|Areyonga Formation|not specified|
24236|Curdimurka Subgroup|overlies|600|Arkaroola Subgroup|not specified|
8225|Heavitree Quartzite|overlies|605|Arltunga Nappe Complex|not specified|
1645|Billy Creek Formation|underlies|26354|Aroona Creek Limestone|not specified|
10045|Lake Frome Group|overlies|26354|Aroona Creek Limestone|not specified|
33817|Innamincka Formation|underlies|23342|Arrabury Formation|unconformity|
26283|Tinchoo Formation|overlies|23342|Arrabury Formation|unconformity|
18357|Toolachee Formation|underlies|23342|Arrabury Formation|conformity|
21641|Depot Springs Subgroup|overlies|31754|Aruhna Subgroup|not specified|
23955|Sandison Subgroup|underlies|31754|Aruhna Subgroup|not specified|
9070|Julie Formation|underlies|668|Arumbera Sandstone|conformity|
8225|Heavitree Quartzite|overlies|24166|Atnarpa Igneous Complex|unconformity|
17933|Telford Gravel|overlies|803|Avondale Clay|not specified|
41194|Coleraine Volcanic Group|overlies|839|Bacchus Marsh Formation|disconformity|
38291|Newer Volcanic Group|overlies|839|Bacchus Marsh Formation|not specified|
14685|Otway Group|overlies|839|Bacchus Marsh Formation|disconformity|
25836|Carrickalinga Head Formation|underlies|854|Backstairs Passage Formation|not specified|
17694|Talisker Formation|overlies|854|Backstairs Passage Formation|unconformity|
1353|Beda Volcanics|is interbedded with|855|Backy Point Formation||
74010|Cultana Subsuite|underlies|855|Backy Point Formation|unconformity|
28203|Angepena Formation|overlies|926|Balcanoona Formation|not specified|
26411|Bolla Bollana Tillite|underlies|926|Balcanoona Formation|unconformity|
17814|Tapley Hill Formation|underlies|926|Balcanoona Formation|conformity|
20825|Yankaninna Formation|overlies|926|Balcanoona Formation|unconformity|
28766|Moodlatana Formation|underlies|935|Balcoracana Formation|conformity|
25378|Pantapinna Sandstone|overlies|935|Balcoracana Formation|not specified|
2453|Boxing Bay Formation|underlies|34786|Bald Rock beds||
25818|Bunburn Dacite|underlies|947|Baldry Rhyolite|not specified|
25474|Shepparton Formation|overlies|76928|Balmattum Basalt||
27500|Mount Curtis Tillite|underlies|1009|Balparana Sandstone|not specified|
15122|Petrel Cove Formation|overlies|25773|Balquhidder Formation|not specified|
18694|Tunkalilla Formation|underlies|25773|Balquhidder Formation|conformity|
7672|Grampians Group|underlies|35971|Barangaroo Ignimbrite|not specified|
2718|Brunette Limestone|overlies|32954|Barkly Group|unconformity|
251|Aldgate Sandstone|overlies|1138|Barossa Complex|not specified|
3106|Burra Group|overlies|1138|Barossa Complex|unconformity|
7072|Gearle Siltstone|overlies|1209|Barrow Group||
37212|Khasta Formation|underlies|41896|Barton Sand|not specified|
25474|Shepparton Formation|overlies|1227|Barwo Member|not specified|
25474|Shepparton Formation|underlies|1227|Barwo Member|not specified|
6363|Eumeralla Formation|is interbedded with|77303|Barwon River Conglomerate||
6363|Eumeralla Formation|overlies|77303|Barwon River Conglomerate||
26467|Castambul Formation|underlies|34659|Basket Range Sandstone|unknown|
27940|Woolshed Flat Shale|overlies|34659|Basket Range Sandstone|unconformity|
35326|Curnamona Group|is intruded by|35879|Basso Suite||
20135|Willyama Supergroup|is intruded by|35879|Basso Suite||
27073|ABC Range Quartzite|overlies|26375|Bayley Range Siltstone Member|not specified|
12287|Moorillah Siltstone Member|underlies|26375|Bayley Range Siltstone Member||
855|Backy Point Formation|is interbedded with|1353|Beda Volcanics||
72709|Gairdner Dolerite|is equivalent to|1353|Beda Volcanics||??BV is 250 My older than GD.
14818|Pandurra Formation|underlies|1353|Beda Volcanics|unconformity|
7072|Gearle Siltstone|overlies|1384|Beedagong Claystone|disconformity|
16579|Samuel Formation|underlies|1401|Bejah Claystone|conformity|
23441|Bungarider Subgroup|underlies|1408|Belair Subgroup|unconformity|
6733|Flaxman Formation|underlies|1415|Belfast Mudstone|conformity|
14374|Nullawarre Greensand|overlies|1415|Belfast Mudstone|not specified|
14730|Paaratte Formation|overlies|1415|Belfast Mudstone|conformity|
19163|Waarre Formation|underlies|1415|Belfast Mudstone|not specified|
20135|Willyama Supergroup|underlies|21228|Benagerie Volcanics|not specified|
27223|Pualco Tillite|underlies|23375|Benda Siltstone|not specified|
20188|Wilyerpa Formation|overlies|23375|Benda Siltstone|not specified|
34792|Mernmerna Formation|underlies|24712|Bendieuta Formation|conformity|
20045|Wilkawillina Limestone|underlies|24712|Bendieuta Formation|disconformity|
27008|Wintrena Formation|underlies|24179|Benitos Clay|not specified|
29906|Birksgate Complex|underlies|1491|Bentley Supergroup|unconformity|
18515|Townsend Quartzite|overlies|1491|Bentley Supergroup|not specified|
1408|Belair Subgroup|overlies|1546|Bethel Shale Member|not specified|
10286|Leasingham Quartzite Member|overlies|1546|Bethel Shale Member|unconformity|
26216|Willawortina Formation|overlies|69206|Beverley Clay|not specified|
23531|Danae Conglomerate Member|underlies|1626|Billa Kalina Clay Member|conformity|gradational
11846|Millers Creek Dolomite Member|overlies|1626|Billa Kalina Clay Member|conformity|gradational
