Stratno | Stratigraphic Name | Category | Contents | Last update 
27074|Aldinga Member|Unit history|Aldinga Limestone, Crespin, 1954, p.9-10, excluding those beds at and above the first appearance of chert nodules.  "Aldingan Unit" Lindsay, 1970, p.7.|
27074|Aldinga Member|Type section locality|Coastal cliffs along Aldinga Bay from Chinaman Gully, south across mouth of Aldinga Ck to near old jetty, specifically between 119-66 and 136-66 inclusive of Lindsay, 1967 (Figs 1 & 2).|
27074|Aldinga Member|Extent|From subsurface data, the unit occurs in the Willunga Embayment, west of McLaren Vale. It also occurs in other regions of the St Vincent Basin - in the Noarlunga Embayment and in the subsurface of the Adelaide Plains.|
27074|Aldinga Member|Thickness range|Range 0-20 m|
27074|Aldinga Member|Lithology|The unit consists of variable shelly and bryozoal clays, silts and sands, and limestones, which are fawn, yellow-brown and grey in colour. Quartz is the predominant detrital mineral although carbonate in the form of bioclastic material is also an important constituent.|
27074|Aldinga Member|Relationships and boundaries|The unit can be readily distinguished from the underlying Chinaman Gully Formation by its carbonate content. The top of the Aldinga Member is clearly defined in outcrop sections by the first appearance of chert nodules characteristic of the Ruwarung Member.|
27074|Aldinga Member|Age reasons|Latest Eocene in age after Lindsay (1969). Lindsay studied the foraminifera and recognised two zones within the type section, the top Eocene (Subbotina linaperta Zone) and the top part of the underlying Turborotalia aculeata Zone).|
27074|Aldinga Member|Comments|The Aldinga Member as considered here is clearly a modification of the original usage of Crespin (1954). The boundaries are here rigidly defined whereas Crespin's original proposal was vague and she was probably referring to the entire Port Willunga Formation as outcropping at the type section.|
24153|Alinerta Gravel|Name source|Mount Alinerta; grid reference 576115, Dalhousie 1:250 000 Sheet area.|
24153|Alinerta Gravel|Unit history|Part of "Gypsite land surface" on Oodnadatta 1:250 000 geological map area (Freytag et al., 1967); Warrina surface (Wopfner, 1978, p.122).|
24153|Alinerta Gravel|Type section locality|Four metres gypcreted gravel at grid reference point 573104 (Air photo point Alinerta/2/080/5) exposed in a bluff. Reference section at 543057 (Air photo point Hamilton/1/0126/17) in dissected land surface.|
24153|Alinerta Gravel|Extent|The unit occurs in the breached anticlines on Dalhousie 1:250 000 Sheet area (SG53-11), covering an area of some 400 km2.|
24153|Alinerta Gravel|Thickness range|Usually 2-5 m.|
24153|Alinerta Gravel|Lithology|Gypcreted, conglomeratic, silty sand; clasts of silcrete pebbles, cobbles and boulders, and of bleached and porcellanitized Mesozoic shale; gypsum finely to coarsely crystalline and imparts a very pale buff to pink hue to the unit.|
24153|Alinerta Gravel|Relationships and boundaries|Overlies Marree Subgroup with erosional disconformity and mild angular unconformity. Lower boundary usually obscured but in places can be observed channelling into Marree Subgroup. Upper boundary almost invariably ground surface.|
24153|Alinerta Gravel|Age reasons|No fossils have been recovered. Age indirectly estimated as Early Pleistocene from the tectonic development of Dalhousie Anticline.|
24153|Alinerta Gravel|Comments|Alinerta Gravel is interpreted as the gypcreted debris derived from the break-up of anticlinal crests. Levelling out of debris during reworking, and fixing by groundwater gypsum impregnation, formed extensive, low-relief Pleistocene land surfaces which were dissected following tectonic uplift. Photo-interpretation indicates multiple surfaces representing intermittent tectonic uplift.|
540|Arburee Rhyolite|Name source|From Arburee paddock on Lake Everard Station. Arburee paddock is adjacent to extensive outcrops of Arburee Rhyolite. The centre of this paddock is located at 31o48.5' lat. And 134o43' longitude.|
540|Arburee Rhyolite|Type section locality|Defined as a north-south section through the range of hills immediately to the north of Lake Everard homestead. The section goes from the basal contact to the brecciated upper contact. Lake Everard homestead is at lat. 31o44.5' and long. 135o10.5'.|
540|Arburee Rhyolite|Extent|Forms a long narrow dyke-like outcrop crossing from the south-western portion of the Gairdner 1:250 000 Sheet area onto the south-eastern portion of the Childara 1:250 000 Sheet area, occupying outcrop area of roughly 110 km2.|
540|Arburee Rhyolite|Lithology|In weathered outcrop the unit has a distinct orange colour, but in fresh hand specimen the colour is a purplish-grey. In hand specimen the rock consists of coarse grained phenocrysts of alkali feldspar and medium-grained rounded phenocrysts of quartz sitting in an aphanitic groundmass - i.e., a rhyolite porphyry.  Well developed, contorted flow-banding is often developed on macro and micro scale. In thin section the rock consists of euhedral, corroded and altered phenocrysts of alkali feldspar of medium to coarse grainsize and anhedral medium grainsize phenocrysts of quartz. Plagioclase phenocrysts are very rare and ferromagnesian minerals and their alteration products are totally absent. Alkali feldspar phenocrysts:quartz phenocrysts roughly 4:1 with the phenocrysts making up 33% of the rock. Groundmass exhibits a snowflake devitrification texture and consists of a finely crystalline mosaic of quartz and feldspar. Red limenite is scattered throughout the groundmass. The complete devitrification has completely obliterated any original textures.|
540|Arburee Rhyolite|Relationships and boundaries|In the west on the Childara 1:250 000 Sheet area the Arburee Rhyolite is clearly intrusive into the Mangaroongah Dacite. In the east in the vicinity of Lake Everard homestead, the Arburee Rhyolite conformably overlies the Mangaroongah Dacite. The upper contact of the Arburee Rhyolite is marked by a zone of autobrecciation (mainly flow brecciation) with angular blocks up to several metres across. These features indicate that the Arburee Rhyolite is a lava dome - i.e., a thick localised pile of highly viscous lava, with its feeder conduit (or roots) exposed in the west - as evidenced by its intrusive nature here. This unit has been previously correlated with the Wheepool Rhyolite (Blissett) by Blissett. Detailed mapping has led the proposer to believe this correlation is in error and that the Arburee Rhyolite is a distinct unit, as defined. Thickness not estimable.|
540|Arburee Rhyolite|Age reasons|Co-magmatic with the rest of the volcanics in the Glyde Hill Complex (Blissett) as is conformably overlain by the Bunburn Dacite. Therefore age is roughly 1550 my - or mid-Carpentarian from geochronology.|
24164|Arcoeillinna Sandstone|Name source|Arcoeillinna Soak, NW Mt Johns Range, Everard 1:250 000 grid reference (65606211).|
24164|Arcoeillinna Sandstone|Unit history|Formerly the lower part of the Trainor Hill Sandstone of Krieg (1973).|
24164|Arcoeillinna Sandstone|Type section locality|Located on the eastern margin of the Mount Johns Range (Section 8). Grid reference 34649877-34699880.|
24164|Arcoeillinna Sandstone|Extent|Northern and eastern margin of the Mount Johns Range, part of the Officer Basin as sporadic outcrops around the Observatory Hill area.|
24164|Arcoeillinna Sandstone|Thickness range|98 m in the Type area, 55 m in Byilkaoora-1 to 60 m on the northern part of the Mount Johns Range.|
24164|Arcoeillinna Sandstone|Lithology|Red-brown arkosic and lithic sandstone and minor interbedded siltstone and claystone. Vary in being friable and porous to siliceous and indurated. Large to medium scale cross bedding, tangential to tabular.|
24164|Arcoeillinna Sandstone|Relationships and boundaries|Sharply overlies (erosionally) the Observatory Hill on the northern margin of the Mount Johns Range. On the eastern margin of the range, there is an intertonguing and transitional lower boundary with the Observatory Hill Beds. Shale overlain by the Mount Johns Conglomerate.|
24164|Arcoeillinna Sandstone|Age reasons|No fossil or radiometric age. Overlies the Early-?Middle Cambrian Observatory Hill Beds and underlies the ?Ordovician Mount Chandler Sandstone.|
24165|Arkaba Hill Beds|Name source|Arkaba Hill; grid reference 648725ON, 263250E Parachilna 1:250 000 sheet area.|
