Stratigraphic Name | Stratno |  Previous Name  |Previous Name Stratno| Replacement Name | Replacement Name Stratno |Is Current | Rank | Status | Category | Usage | Parent Name | Parent Stratno | Chemical Parent Name | Chemical Parent Stratno | Top Minimum Age Name | Top Minimum Age (Ma) | Top Minimum Age Error (Ma)| Top Minimum Age Method | Base Maximum Age Name | Base Maximum Age (Ma) | Base Maximum Age Error (Ma) | Base Maximum Age Method | Minimum Thickness (m) | Maximum Thickness (m) | Type Section State | Definition Card | First ref as on form | Def ref as on form | Reserved by | Resdate | Approved by | Approved date |General Comments | Lithology Description | Primary Lithology Group | Secondary Lithology Group | Tectonic Setting | Intrusive | Granite Type
ABC Range Quartzite|27073|Tent Hill Formation|17959|||Yes|Formation, beds|Formal|Variation of published name|Redefined|Sandison Subgroup|23955|||Ediacaran||||Ediacaran|||||1800|SA|No|34116|35586|||||Of Campana 1958. Redefined 1978. Wilpena Group.|Quartzite, slightly feldspathic, fine to medium grained, pale pinkish grey, clay intraclasts, flaggy to medium bedded, heavy mineral lamination, minor siltstone.|metasedimentary siliciclastic|||N|
Aagot Member|39172|Aagot Formation|32083|||Yes|Member, phase|Formal|Resvd name published|Defined|Wandearah Formation|39163|||Paleoproterozoic||||Paleoproterozoic|||||||No|24475|24475|||||Reserved as Aagot Formation. Age: ~1756Ma.|Metasandstone-dominated unit.  Layered metasandstone, sandy argillite, minor conglomerate, calcsilicate and albitic rocks; sandstone with haematite-coated grains, cross-bedding and heavy mineral banding.|sedimentary siliciclastic|||N|
Abminga Subsuite|35877|Abminga|35465|||Yes|Subgroup|Formal|Resvd name published|Defined|||Basso Suite|35879|Statherian||||Statherian||||||SA|No|23347|23347|Conor C.|07/APR/00|||Volcanic interbed within Tommie Wattie Formation. Age: ~1.71Ga, Subvolcanic sills, pyroclastic flows and proximal volcaniclastics chemically equated with Ameroo Subsuite. Broken Hill Domain.|Red-brown weathering, light brown magnetite and pyrite-bearing, quartz-eye phyric, albitic, felsic metamorphosed rocks. Subvolcanic sills, pyroclastic flows & proximal volcaniclastics|meta-igneous felsic volcanic|||Y|
Abrakurrie Limestone|27099|||||Yes|Formation, beds|Formal|Other new published name|Defined|||||Early Miocene||||Late Oligocene|||||120|WA|No|34192|22626||||||Coarse-grained bryozoan calcarenite and calcirudite, distinctly cyclic, and contains numerous hardgrounds; locally dolomitised.|sedimentary carbonate|||N|
Acraman impact ejecta layer|75964|||||Yes|Bed|Informal|Other new published name|Mentioned|||||Ediacaran||||Ediacaran|||||||No|63811||||||Regional stratigraphic marker.  Less diversification in marine single cell biota below this layer. Occurs within Dey Dey Mudstone in Giles 1, Officer Basin.|||||N|
Adelaide Supergroup|125|||||Yes|Supergroup|Formal|Unknown or process pending|Described|||||Neoproterozoic||||Neoproterozoic|||||||No|29780|||||||||||N|
Adori Sandstone|143|||||Yes|Formation, beds|Formal|Variation of published name|Defined|Injune Creek Group|8710|||Tithonian||||Oxfordian||||20|55|QLD|No|44375|44021|||||See also Adori Formation and misspelt Adoori Sandstone.|Fine- to medium-grained clayey sandstone and minor pebbly sandstone and siltstone.|sedimentary siliciclastic|||N|
Ainslie Volcanics (WA)|4193|||||Yes|Formation, beds|Formal|Unknown or process pending|Briefly described|||||Neoproterozoic||||Mesoproterozoic|1000||||||No|31393|||||||||||N|
Ajax Limestone|198|Ajax limestone|203|||Yes|Formation, beds|Formal|Variation of published name|Described|Hawker Group|8159|||Early Cambrian||||Early Cambrian|||||370||No|65625||||||Formerly (probably mistakenly, on the basis of limited info in regional references) listed as occurring in NT and WA as well as South Australia [CEB NOV 2010]|Grey siliceous limestone, pink argillaceous limestones, minor dolomites, oolitic limestones, calcareous shales, chalcedony nodules. Contains archaeocyath fossil fragments.|sedimentary carbonate|||N|
Alberga Limestone|218|||||Yes|Formation, beds|Formal|Unknown or process pending|Described|||||Middle Miocene||||Early Miocene|||||||No|31532|||||||Limestone and dolomite, cream, greenish, buff, fine-grained and chalcedonic; minor green clay. Reworked laterite and pebbly limestone|sedimentary carbonate|||N|
