Reference Id | Author | Year | Title | Source | Vol/Part | Pages
941|Savarese, M., Mount, J.F., Sorauf, J.E., Bucklin, L.|1993|Paleobiologic and paleoenvironmental context of coral-bearing Early Cambrian reefs: Implications for Phanerozoic reef development|Geology|21|917-920
5249|Nedin, C.|1995|The Emu Bay Shale, a Lower Cambrian fossil Lagerstatten, Kangaroo Island, South Australia. IN APC94; papers from the first Australian Palaeontological Convention, Macquarie University, February 1994.|Association of Australasian Palaeontologists, Memoir|18|31-40
5252|Sherwin, L.|1995|Siluro-Devonian brachiopods from the Amphitheatre and Winduck Groups (Cobar Supergroup), western New South Wales|Association of Australasian Palaeontologists, Memoir|18|61-96
6111|Briggs, D.E.G., Nedin, C.|1997|The taphonomy and affinities of the problematic fossil Myoscolex from the Lower Cambrian Emu Bay Shale of South Australia|Journal of Paleontology|71(1)|22-32
7931|Haines, P.W.|2000|Problematic fossils in the late Neoproterozoic Wonoka Formation, South Australia|Precambrian Research|100|97-108
7992|Sprigg, R.C.|1955|The Point Marsden Cambrian Beds, Kangaroo Island, South Australia|Transactions of the Royal Society of South Australia|78|165-168
8187|Draper, J.J., Druce, E.C., Simpson, C.J., Green, D.|1980|Abudda Lakes 1:100 000 Geological Map - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics||
8217|Walter, M.R., Simpson, C.J., Green, D.|1978|Adam Special - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics||
9124|Thomson, B.P., Horwitz, R.C., Parkin, L.W., Barnes, T.A.|1962|Barker 1:250 000 Geological Map sheet SI54-13 - First Edition|Geological Survey of South Australia||map
9141|Glikson, A.Y., Green, D.|1983|Bedrock Geology of the Glen Helen, Narwietooma and Anburla, Northern Territory 1:100 000 Sheet Areas - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics|1v|Map
9199|Langworthy, A.P., Pillinger, D.M., Offe, L.A.|1976|Burt 1:100 000 Geological Map Sheet 5651 - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics|1v|Map
9250|Brunker, R.L., Bunny, M., Fitzpatrick, B., Kenny, E., Warner, R., Wilson, R., O'Connell, P.|1967|Cobham Lake 1:250 000 Geological Map - First Edition|Geological Survey of New South Wales||
