Stratno | Stratigraphic Name | Entity Number | Province Name 
204|Akaroa Granodiorite|556736|Lachlan Orogen
472|Ansons Bay Granite|556736|Lachlan Orogen
41025|Aroo Sequence|22295|Bass Basin
647|Arthur Metamorphic Complex|20348|Thylacine Province
830|Babel Island Granite|556736|Lachlan Orogen
31557|Babel Island Suite|556736|Lachlan Orogen
41024|Bass Megasequence|22295|Bass Basin
1238|Bass Pyramid Granite|556736|Lachlan Orogen
1453|Ben Lomond Granite|556736|Lachlan Orogen
1522|Berriedale Limestone|20345|Tasmania Basin
24717|Bicheno Granite|556736|Lachlan Orogen
2011|Bluestone Bay Granite|556736|Lachlan Orogen
2080|Bogan Gap Group|20345|Tasmania Basin
2120|Bold Head Adamellite|556736|Lachlan Orogen
23407|Boobyalla Granite|556736|Lachlan Orogen
2528|Brewery Junction Formation|556736|Lachlan Orogen
2985|Bundella Mudstone|20345|Tasmania Basin
3260|Cabbage Tree Formation|39760|Beaconsfield Metallogenic Province
3396|Cameron Inlet Formation|22295|Bass Basin
3488|Cape Frankland Granite|556736|Lachlan Orogen
23466|Cape Sir John Granodiorite|556736|Lachlan Orogen
3802|Catos Creek Microgranodiorite|556736|Lachlan Orogen
40842|Chalky Island Granodiorite|556736|Lachlan Orogen
4059|Chudleigh Subgroup|556736|Lachlan Orogen
26480|Clarke Island Granite|556736|Lachlan Orogen
4170|Climie Formation|556736|Lachlan Orogen
26485|Coles Bay Granite|556736|Lachlan Orogen
4392|Comet Slate|556736|Lachlan Orogen
26502|Craggy Island Granite|556736|Lachlan Orogen
4898|Crimson Creek Formation|556736|Lachlan Orogen
37271|Currie Group|556736|Lachlan Orogen
30399|Curtin-Davis Volcanics|556736|Lachlan Orogen
5092|Curtis Island Granite|556736|Lachlan Orogen
5132|Dalcoath Formation|556736|Lachlan Orogen
5225|Darling Range Granite|556736|Lachlan Orogen
26514|Darlington Limestone|20345|Tasmania Basin
5298|Deal Island Granite|556736|Lachlan Orogen
31570|Deal Island Suite|556736|Lachlan Orogen
27267|Deep Bay Formation|20345|Tasmania Basin
36796|Demons Bluff Group|22295|Bass Basin
36796|Demons Bluff Group|34874|Cape Wickham Sub-basin
41026|Demons Bluff Sequence|22295|Bass Basin
5370|Denison Group|556736|Lachlan Orogen
5446|Dial Conglomerate|556736|Lachlan Orogen
33463|Diddleum Granodiorite|556736|Lachlan Orogen
33463|Diddleum Granodiorite|559492|Melbourne-Mathinna Zone
26525|Dover River Granite|556736|Lachlan Orogen
5700|Dreadnought Hill Member|556736|Lachlan Orogen
26529|Dundas Group|40062|Rosebery Basemetal Metallogenic Province
26529|Dundas Group|40063|Mount Lyell Copper-Gold Metallogenic Province
26529|Dundas Group|556736|Lachlan Orogen
41022|Durroon Megasequence|22295|Bass Basin
