Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
5105|Cygnet Coal Measures|overlies|23322|Abels Bay Formation|not specified|
23798|Minnie Point Formation|underlies|23322|Abels Bay Formation|conformity|
16114|Risdon Sandstone|underlies|23322|Abels Bay Formation|conformity|
27555|Rocky Cape Group|underlies|160|Ahrberg Group|unconformity|
26887|Savage Dolomite|overlies|160|Ahrberg Group|conformity|
30220|Que-Hellyer Volcanics|overlies|461|Animal Creek Greywacke|not specified|
24293|Gomorrah Dolomite|overlies|24161|Annakananda Formation|conformity|
24450|Pandani Group|underlies|24161|Annakananda Formation|unconformity|
26529|Dundas Group|is equivalent to|39978|Archer Formation|unknown|possibly
25112|Keel Quartzite|underlies|778|Austral Creek Siltstone|not specified|
14685|Otway Group|overlies|839|Bacchus Marsh Formation|disconformity|
15483|Port Sorell Formation|underlies|29232|Badger Head Group|not specified|
10077|Lake Will Pebbly Siltstone|overlies|1115|Barn Bluff Conglomerate|not specified|
5105|Cygnet Coal Measures|underlies|1128|Barnetts Member|not specified|
6363|Eumeralla Formation|is interbedded with|77303|Barwon River Conglomerate||
6363|Eumeralla Formation|overlies|77303|Barwon River Conglomerate||
8618|Huxley Formation|underlies|23367|Baxter Formation (Tas)|not specified|
6733|Flaxman Formation|underlies|1415|Belfast Mudstone|conformity|
14374|Nullawarre Greensand|overlies|1415|Belfast Mudstone|not specified|
14730|Paaratte Formation|overlies|1415|Belfast Mudstone|conformity|
36812|Mathinna Supergroup|overlies|1453|Ben Lomond Granite|not specified|
3738|Cashions Creek Limestone|underlies|1485|Benjamin Limestone|not specified|
19830|Westfield Sandstone|overlies|1485|Benjamin Limestone|not specified|
4834|Cradle Cirque Siltstone|underlies|1490|Benson Peak Sandstone|not specified|
25606|Waterfall Valley Siltstone|overlies|1490|Benson Peak Sandstone|not specified|
40070|Corinna Dolomite|overlies|1513|Bernafai Volcanics|not specified|
26887|Savage Dolomite|underlies|1513|Bernafai Volcanics|conformity|
27267|Deep Bay Formation|overlies|1522|Berriedale Limestone|not specified|
11075|Malbina Formation|overlies|1522|Berriedale Limestone|not specified|
13925|Nassau Formation|underlies|1522|Berriedale Limestone|not specified|
7369|Glencoe Formation|underlies|27339|Billop Sandstone|conformity|
