Stratno | Stratigraphic Name | Reference Id | Usage No |   Usage  | Page Number | Minimum Age Name | Maximum Age Name | Reference Comments | Numerical Age | Parent Units | Constituents | Related Units | Lithology 
23322|Abels Bay Formation|23222|6|Mentioned|Map legend||||||||
23322|Abels Bay Formation|24552|5|Briefly described|p5 Fig.2|Kazanian|Wordian|Conformably overlies Minnie Point Formation. Overlain by Cygnet Coal Measures. Geological Province: Tasmanian Basin.|||||
23322|Abels Bay Formation|39234|6|Mentioned|Map legend|Permian|Permian||||||
23322|Abels Bay Formation|41895|2|Defined|p45|Lymingtonian (Late Permian)||Equivalent to Ferntree Mudstone of Hobart area. In part equivalent to Cygnet Coal Measures.|||||
23322|Abels Bay Formation|43084|5|Briefly described|Fig.40||||||||
23322|Abels Bay Formation|44135|5|Briefly described|p44||||||||
23322|Abels Bay Formation|49644|5|Briefly described|Table|Kazanian|Ufimian|Age: Lymingtonian|||||
23322|Abels Bay Formation|63172|5|Briefly described|p296 Fig. 8.1, p297|Late Permian|Late Permian|Overlies Risdon Formation.  See also p304 Fig. 8.7.|||||
23322|Abels Bay Formation|63263|5|Briefly described|p34, p33 Fig. 7|Late Permian|Late Permian|Sequence characterised by a predominance of bioturbated, unfossiliferous siltstone and minor fossiliferous intervals.|||||
23322|Abels Bay Formation|63592|5|Briefly described|p10 Fig. 4|Triassic|Late Carboniferous|Of the Parmeener Supergroup.|||||
23322|Abels Bay Formation|65645|5|Briefly described|p17, p30 Appendix, p5 Fig 2|Late Permian|Late Permian|Type section near Cygnet.||Of the lower Parmeener Supergroup.|||Bioturbated siltstone.
23322|Abels Bay Formation|65662|5|Briefly described|p11.|||Alternate fissile and non-fissile more resistant beds. Fossils are sparse, intense bioturbation is a common feature.||Unit in Lower Parmeener Supergroup.|||
23322|Abels Bay Formation|67501|5|Briefly described|p7, Fig.8 p17.|||150 m thick in the Maydena map sheet area.||Parmeener Supergroup (Lower)||Overlies Risdon Formation.|Predominantly glaciomarine siltstone and sandy siltstone with some sandstone.
26336|Aberfoyle Formation|30155|6|Mentioned|p461||||||||
26336|Aberfoyle Formation|41696|6|Mentioned|Map legend|Permian||Of Lower Parmeener Supergroup.|||||
26336|Aberfoyle Formation|44105|5|Briefly described|p285,335|Permian|Permian|Includes uranium-bearing pyritic black shale at Castle Carey Creek, near Rossarden.|||||
26336|Aberfoyle Formation|63172|6|Mentioned|p335|Early Permian|Early Permian|Contains uranium-bearing, pyritic black shale in the lower part.|||||
26336|Aberfoyle Formation|64393|5|Briefly described|p80-81|||A lower frewshwater sequence within the Parmeeener Supergroup.|||||
101|Adams beds|42838|5|Briefly described|p374|Cambrian|Cambrian|Local name for serpentinitic conglomerate unit.|||||
103|Adamsfield Complex|37056|6|Mentioned|p500||||||||
103|Adamsfield Complex|41562|6|Mentioned|p528||||||||
103|Adamsfield Complex|41594|4|Described|p25|||Briefly described p53.|||||
103|Adamsfield Complex|41793|6|Mentioned|p63||||||||
103|Adamsfield Complex|43191|6|Mentioned|p46|||Contains ultramafic associations.|||||
103|Adamsfield Complex|63168|6|Mentioned|p72||||||||
30016|Adventure Bay Coal Measures|23222|5|Briefly described|Map legend||||||||
30016|Adventure Bay Coal Measures|43072|6|Mentioned|p32||||||||
30016|Adventure Bay Coal Measures|43084|5|Briefly described|p91||||||||
30016|Adventure Bay Coal Measures|44105|5|Briefly described|p309, 312|Late Permian|Late Permian|In the Cygnet-Bruny area.|||||
30016|Adventure Bay Coal Measures|63172|6|Mentioned|p309, p312|Late Permian|Late Permian||||||
160|Ahrberg Group|22627|5|Briefly described|fig3p126|Neoproterozoic|Neoproterozoic||||||
