Stratno | Stratigraphic Name | Category | Contents | Last update 
24161|Annakananda Formation|Name source|Annakananda, a large cave system leading from sinkhole at DN 543463, Wedge 1:100 000 Map sheet.|
24161|Annakananda Formation|Type section locality|Approximately 30m of conglomerate and lithic sandstone exposed on southern wall of sinkhole [DN 543463]|
24161|Annakananda Formation|Extent|A relatively thin (30-100 m) unit exposed over a strike length of approximately 3 km in the Mt Anne-Lake Timk area. A thinner correlate is intermittently exposed between the Weld River and the South Styx River (Tyenna 1:100 000 Map sheet).|
24161|Annakananda Formation|Thickness range|0-approximately 100 m|
24161|Annakananda Formation|Lithology|Predominantly closed-framework, pebble-cobble conglomerate, usually reddish in colour, and red to brown lithic sandstone. Correlates east of Weld River are predominantly red mudstone, with minor conglomerate.|20/MAR/07
24161|Annakananda Formation|Relationships and boundaries|Oldest unit of Weld River Group. Unconformably overlies Pandani Group (Precambrian) in type area. Conformably overlain by Gomorrah Dolomite.|
24161|Annakananda Formation|Age reasons|Late Precambrian (as for Weld River Group).|
4408|Comstock Formation|Name source|Initial Statement: This unit was defined in Corbett et al. (1974) as the Comstock Tuff, and was later referred to as the Comstock Formation (Corbett 1975, Corbett and Brown 1976), but was never registered at the Central Register of Australian Stratigraphic Names.  The aim of this application is to formally register this unit as the 'Comstock Formation' in order to allocate formal member names to two sub-units defined within the formation. The details given here are reasonably consistent with details given by Corbett et al. (1974) for the Comstock Tuff. However, more updated descriptions and other detailed information is also given. The Comstock Formation is the lowermost of two formations which make up the Tyndall Group. A full description of the Tyndall Group stratigraphy is given in White and McPhie (in prep).  Lyell Comstock Creek (geogrpahical location) AMG Grid Reference 5345500N - 38400E Gormanston sheet, Tasmanian Lands Department. Also Lyell Comstock Mine (often referred to as Comstock Mine) AMG Grid Reference 5344100N - 382100E.|
4408|Comstock Formation|Unit history|Comstock Tuff of Corbett et al. (1974).|
4408|Comstock Formation|Type section locality|The Comstock Formation was defined as the Comstock Tuff in the Comstock/Zig Zag Hill area by Corbett et al. (1974). A type section was given in Corbett et al. (1974) and is situated on Zig Zag Hill between 82535, 36115 (base) and 82535, 36175 (top; Lyell 1:63 360 sheet). The top of the Comstock Tuff as defined by Corbett et al. (1974), occurs at the base of a unit of laminated pink siltstone on Zig Zag Hill. However, more Comstock-type sandstone and breccia is exposed above this siltstone unit (as noted by Corbett et al. 1974) and therefore the top of the unit is more likely to be approximately 100-130 metres stratigraphically higher, at the top of the welded ignimbrite unit. The Zig Zag Hill Formation (new term) (referred to as the Jukes Formation by Corbett et al. 1974) sharply overlies the welded ignimbrite unit on Zig Zag Hill and contains deposits that have a different origin to deposits in the underlying Comstock Formation (as explained in White and McPhie in prep). The Comstock Formation is dominated by syn-eruptive crystal-rich volcaniclastic deposits and is clearly different to the overlying Jukes Formation dominated by post-eruptive polymict volcaniclastic conglomerate and sandstone.  I suggest that a type area be assigned to the Comstock Formation (i.e. the Comstock/Zig Zag Hill area) as the old type section on Zig Zag Hill is largely overgrown with vegetation and better exposures are seen 1 km to the southeast in the Comstock area and in the Comstock drill holes (e.g. C50: 477-1003 feet, C61: 222-407 m). On Zig Zag Hill, the Comstock Formation dips steeply to the northeast and is exposed between 5345800N - 381750E (base) and 5346200N - 382400E (top) (AMG Grid co-ordinates, Gormanston sheet, Tasmania 1:25 000 series, Tasmanian Lands Department)|17/JAN/07
4408|Comstock Formation|Extent|The Comstock Formation is exposed in the central part of the Mount Read Volcanics from the Lynchford area to the Mount Lyell district, and further north in the Anthony Road/Henty Canal and Moxon Saddle areas. Correlates of the Comstock Formation occur in the Mount Cripps Subgroup (Corbett 1992) in the Cradle Mountain Link Road area. Other correlates occur in the Winterbrook area (Pemberton and Vicary 1989) and possibly in parts of the Western Volcanosedimentary sequences (e.g. Pinnacles area, McKibben 1993). Correlates may also occur further south in the Jukes-Darwin area (Corbett 1992).  However, some of these units are more recently interpreted as part of the Eastern quartz-phyric sequence (Corbett et al. 1993).|
4408|Comstock Formation|Thickness range|The Comstock Formation varies in thickness from approximately 200 m (Comstock area) to 800 m thick (Henty Canal, Cradle Mountain Link Road areas). Thinner, incomplete sequences are also exposed in parts of the Mount Read Volcanics (e.g. near the Mount Lyell Mill).|
