Stratigraphic Name | Stratno |  Previous Name  |Previous Name Stratno| Replacement Name | Replacement Name Stratno |Is Current | Rank | Status | Category | Usage | Parent Name | Parent Stratno | Chemical Parent Name | Chemical Parent Stratno | Top Minimum Age Name | Top Minimum Age (Ma) | Top Minimum Age Error (Ma)| Top Minimum Age Method | Base Maximum Age Name | Base Maximum Age (Ma) | Base Maximum Age Error (Ma) | Base Maximum Age Method | Minimum Thickness (m) | Maximum Thickness (m) | Type Section State | Definition Card | First ref as on form | Def ref as on form | Reserved by | Resdate | Approved by | Approved date |General Comments | Lithology Description | Primary Lithology Group | Secondary Lithology Group | Tectonic Setting | Intrusive | Granite Type
Abels Bay Formation|23322|||||Yes|Formation, beds|Formal|Variation of published name|Defined|Ferntree Group|6611|||Kazanian||||Ufimian||||||TAS|No|39234|41895|Farmer N.|04/JUL/77|||See also misspelling Ables Bay Formation. Part  of Upper Marine Sequence. Within the Lower Parmeener Supergroup.|Siltstone, sandy siltstone, and minor sandstone beds with frequent dropstones and rare fossil horizons, with minor beds of pebble and granule conglomerate.||||N|
Aberfoyle Formation|26336|||||Yes|Formation, beds|Formal|Variation of published name|Briefly described|Lower Parmeener Supergroup|10795|||Sakmarian||||Sakmarian|||||||No|30155||||||Includes uranium-bearing pyritic black shale at Castle Carey Creek, near Rossarden (GSA Special Publication 15 p335). See also Aberfoyle Group. Within the Parmeener Supergroup.|Dominantly fine-grained, well sorted quartz sandstone, commonly with interbedded and interlaminated carbonaceous shale, lesser conglomerate and rare coal.||||N|
Adams beds|101|||||Yes|Formation, beds|Informal|Other new published name|Briefly described|||||Cambrian||||Cambrian|||||||No|42838||||||Local name for serpentinitic conglomerate unit.|Serpentinitic conglomerate||||N|
Adamsfield Complex|103|Adamsfield complex|104|||Yes|Group, Suite|Formal|Variation of published name|Described|||||Cambrian||||Cambrian|||||||No|37056||||||See also Adamsfield Ultramafic Complex|Contains ultramafic associations.||||N|
Adventure Bay Coal Measures|30016|||||Yes|Formation, beds|Formal|Other new published name|Briefly described|Upper Parmeener Supergroup|18944|||Late Permian||||Late Permian|||||||No|43072||||||Age from GSA Special Pub 15 (1989) p309|||||N|
Ahrberg Group|160|||||Yes|Group, Suite|Formal|Other new published name|Described|||||Neoproterozoic||||Neoproterozoic|||||||No|41908||||||See also Eastern Arhrberg Group and name variations.|Basal proximal marine turbidite fan deposits, fining upwards into mudstone and cherty beds then into the fine-grained Savage Dolomite.||||N|
Ainslie Member|176|||||Yes|Member, phase|Formal|Other new published name|Fully described|Waterhouse Formation|19582|||Quaternary||||Quaternary|||||||No|35466||||||Not to be confused with Ainslie nomenclature of NSW and ACT.|||||N|
Akaroa Granodiorite|204|||||Yes|Formation, beds|Formal|Other new published name|Fully described|||Gardens Suite|31503|Late Devonian||||Middle Devonian|||||||No|35826||||||I-type biotite granodiorite. Age and suite derived from the 2005 1:500,000 Tasmanian Granites Map and CD (HG, O. Raymond). See also the informally named Akaroa Granite.|Medium- to coarse-grained granodiorite, medium dark gery with sparse small K-feldspar phenocrysts and rare larger ones; mineralised with mainly pyrite, pyrrhotite?-chalcopyrite and molybdenite.|igneous felsic intrusive|||Y|I-type
Altmoor Sand|336|||||Yes|Formation, beds|Formal|Other new published name|Described|||||Late Pleistocene||||Late Pleistocene|||||||No|33358|||||||||||N|
Amber Formation|352|Amber Slate|26342|||Yes|Formation, beds|Formal|Other new published name|Described|Eldon Group|27768|||Devonian||||Silurian|||||||No|41896|||||||Mainly mudstone and siltstone with minor sandstone and rare limestone;  fine-grained sandstone present.||||N|
