Reference Id | Author | Year | Title | Source | Vol/Part | Pages
638|Corbett, K.D., Solomon, M.|1989|Cambrian Mt Read Volcanics and associated mineral deposits: Chapter 4 IN Burrett, C.F. and Martin, E.L. (eds.) "Geology and Mineral Resources of Tasmania"|Geological Society of Australia. Special Publication|15|p84-153
4821|Colhoun, E.A., Goede, A., Threader, V.|1989|Quaternary: Chapter 10 IN Burrett, C.F. and Martin, E.L. (eds.) "Geology and Mineral Resources of Tasmania"|Geological Society of Australia. Special Publication|15|p410-418
5252|Sherwin, L.|1995|Siluro-Devonian brachiopods from the Amphitheatre and Winduck Groups (Cobar Supergroup), western New South Wales|Association of Australasian Palaeontologists, Memoir|18|61-96
12796|Partridge, A.|2001|Revised stratigraphy of the Sherbrook Group, Otway Basin IN Hill, K.C. and Bernecker, T. (eds.) "Eastern Australasian Basins Symposium: a refocussed energy perspective for the future"|Petroleum Exploration Society of Australia. Special Publication|1v|p455-464
13323|Bernecker, T., Partridge, A.D.|2001|Emperor and Golden Beach Subgroups: The onset of Late Cretaceous sedimentation in the Gippsland Basin, SE Australia IN Hill, K.C. and Bernecker, T. (Eds.) "Eastern Australasian Basins Symposium: a refocused energy perspective for the future|Petroleum Exploration Society of Australia. Special Publication|1v|p391-402
13350|Wilcox, J.B., Colwell, J.B., Constantine, A.E.|1992|New ideas on Gippsland Basin regional tectonics IN Joint AusIMM (Melbourne) and PESA (Vic-Tas) "'Energy, Economics and Environment' Gippsland Basin Symposium: Melbourne 22-23 June 1992"|The Australian Institute of Mining and Metallurgy|1v|p93-110
14235|Blevin, J.E.|2003|Petroleum geology of the Bass Basin - Interpretation report; An output of the Western Tasmanian Regional Minerals Program.|Geoscience Australia. Record|2003/19|
22470|Shafik, S.|1998|Problems with the Cretaceous biostratigraphic system of Australia: time for a review|AGSO Research Newsletter|28|p12-14
22476|Tosolini, A-M.P., McLoughlin, S., Drinnan, A.N.|1999|Stratigraphy and fluvial sedimentary facies of the Neocomian lower Strzelecki Group, Gippsland Basin, Victoria.|Australian Journal of Earth Sciences|46(6)|p951-970
22495|Hill, S.M.|1999|Mesozoic regolith and palaeolandscape features in southeastern Australia: significance for interpretations of denudation and highland evolution|Australian Journal of Earth Sciences|46(2)|p217-232
22507|Augustinus, P.C., Nichol, S.|1999|Ground-penetrating radar imaging of Pleistocene sediments, Boco Plain, western Tasmania|Australian Journal of Earth Sciences|46(2)|p275-282
22543|Draper, J.J.|1998|An overview of the post-Mesoproterozoic mineralisation in Queensland.|AGSO Journal of Australian Geology and Geophysics|17(3)|61-73
22551|White, M.J., McPhie, J.|1996|Stratigraphy and palaeovolcanology of the Cambrian Tyndall Group, Mt. Read Volcanics, western Tasmania|Australian Journal of Earth Sciences|43(2)|p147-159
