Stratno | Stratigraphic Name | Entity Number | Province Name 
27690|Acheron Volcanics|559492|Melbourne-Mathinna Zone
98|Adaminaby Group|556736|Lachlan Orogen
98|Adaminaby Group|559178|Central NSW - Omeo Province
37625|Adjie Granodiorite|556736|Lachlan Orogen
30073|Admiral Formation|27009|Gippsland Basin
25757|Akuna Mudstone|556736|Lachlan Orogen
72620|Albion Formation|556736|Lachlan Orogen
35957|Allwood Granodiorite|556736|Lachlan Orogen
328|Almonds Granite|556736|Lachlan Orogen
35958|Amberley Park Volcaniclastic Member|556736|Lachlan Orogen
357|Amboyne Granodiorite|556736|Lachlan Orogen
419|Anderson Creek Formation|556736|Lachlan Orogen
32293|Anemone Formation|27009|Gippsland Basin
435|Angahook Member|22295|Bass Basin
37366|Angler Subgroup|27009|Gippsland Basin
442|Anglers Rest Granite|556736|Lachlan Orogen
24159|Angry Hill Sandstone|556736|Lachlan Orogen
533|Ararat Granodiorite|556736|Lachlan Orogen
28331|Ararat Suite|20367|Stawell Zone
30509|Archie Granodiorite|556736|Lachlan Orogen
642|Arte Gabbro|556736|Lachlan Orogen
74891|Ashwin Siltstone Member|556736|Lachlan Orogen
34838|Attunga Paringa Formation|556736|Lachlan Orogen
35960|Avon Supergroup|444520|Tabberabbera Zone
35960|Avon Supergroup|556736|Lachlan Orogen
34825|Avonmore Subgroup|556736|Lachlan Orogen
839|Bacchus Marsh Formation|556736|Lachlan Orogen
899|Bairnsdale Limestone|27009|Gippsland Basin
21183|Bally Hooley Ignimbrite|556736|Lachlan Orogen
24171|Balook Formation|27009|Gippsland Basin
35970|Banimboola Quartz Monzodiorite|556736|Lachlan Orogen
35970|Banimboola Quartz Monzodiorite|559178|Central NSW - Omeo Province
1066|Banksia Chert Member|556736|Lachlan Orogen
28253|Baranduda Granite|556736|Lachlan Orogen
1102|Baringhup Granodiorite|20512|Bendigo Zone
1102|Baringhup Granodiorite|556736|Lachlan Orogen
1107|Barjarg Granite|444520|Tabberabbera Zone
1107|Barjarg Granite|556736|Lachlan Orogen
1107|Barjarg Granite|559492|Melbourne-Mathinna Zone
32559|Barmouth Group|444520|Tabberabbera Zone
32559|Barmouth Group|556736|Lachlan Orogen
26370|Barnawartha Gneissic Granodiorite|556736|Lachlan Orogen
1156|Barracouta Formation|27009|Gippsland Basin
35972|Barrakee Granite|556736|Lachlan Orogen
1187|Barringo Granodiorite|556736|Lachlan Orogen
1220|Barry Mountains Granite|556736|Lachlan Orogen
21202|Bass Camp Ignimbrite|556736|Lachlan Orogen
41024|Bass Megasequence|22295|Bass Basin
27329|Batesford Limestone|22295|Bass Basin
26374|Baw Baw Granodiorite|556736|Lachlan Orogen
26374|Baw Baw Granodiorite|559492|Melbourne-Mathinna Zone
1286|Baynton Granodiorite|20512|Bendigo Zone
1286|Baynton Granodiorite|556736|Lachlan Orogen
1286|Baynton Granodiorite|559492|Melbourne-Mathinna Zone
36977|Bealiba Granodiorite|556736|Lachlan Orogen
35516|Bear Gully Chert Bed|556736|Lachlan Orogen
35516|Bear Gully Chert Bed|559492|Melbourne-Mathinna Zone
21209|Beaufort Formation|20367|Stawell Zone
21209|Beaufort Formation|556736|Lachlan Orogen
32493|Beauvallet Granodiorite|20512|Bendigo Zone
32493|Beauvallet Granodiorite|556736|Lachlan Orogen
26377|Bee Tree Granodiorite|556736|Lachlan Orogen
1381|Beechworth Granite|444520|Tabberabbera Zone
1381|Beechworth Granite|556736|Lachlan Orogen
34710|Beehive Granite|556736|Lachlan Orogen
37870|Beetoomba Granodiorite|556736|Lachlan Orogen
27334|Bell Point Limestone|556736|Lachlan Orogen
27334|Bell Point Limestone|559492|Melbourne-Mathinna Zone
1423|Bellbird Creek Formation|556736|Lachlan Orogen
30286|Beloka Gap Granite|556736|Lachlan Orogen
1451|Ben Boyd Formation|556736|Lachlan Orogen
37632|Ben Major Granite|556736|Lachlan Orogen
23373|Ben Nevis Granite|20367|Stawell Zone
23373|Ben Nevis Granite|556736|Lachlan Orogen
1474|Bendoc Group|39754|Walhalla-Wood's Point Gold Metallogenic Province
1474|Bendoc Group|444520|Tabberabbera Zone
1474|Bendoc Group|444524|Mallacoota Zone
1474|Bendoc Group|556736|Lachlan Orogen
1474|Bendoc Group|559178|Central NSW - Omeo Province
69710|Bennies Formation|556736|Lachlan Orogen
34880|Berrawan Conglomerate|556736|Lachlan Orogen
1524|Berrigan Granite|556736|Lachlan Orogen
1525|Berrimal Granite|556736|Lachlan Orogen
37871|Berringama Granodiorite|556736|Lachlan Orogen
21238|Berrmarr Subgroup|556736|Lachlan Orogen
30290|Besford Ignimbrite|556736|Lachlan Orogen
1539|Bete Bolong Granodiorite|556736|Lachlan Orogen
1540|Bete Bolong Suite|556736|Lachlan Orogen
37798|Bethanga Gneissic Granite|556736|Lachlan Orogen
37798|Bethanga Gneissic Granite|559178|Central NSW - Omeo Province
1549|Betka Granodiorite|556736|Lachlan Orogen
1591|Big Hill Quartz Diorite|556736|Lachlan Orogen
21254|Bimmarn Ignimbrite|556736|Lachlan Orogen
37525|Bindaree Formation|556736|Lachlan Orogen
26393|Bindi Granodiorite|556736|Lachlan Orogen
1712|Bird Rock Member|556736|Lachlan Orogen
28217|Black Range Granodiorite|556736|Lachlan Orogen
1826|Black Rock Granite|556736|Lachlan Orogen
21264|Black Satin Ignimbrite|556736|Lachlan Orogen
34889|Blackfellows Flat Conglomerate|556736|Lachlan Orogen
1872|Blackwatch Volcaniclastic Member|556736|Lachlan Orogen
1918|Blanchetown Clay|536552|Murray Basin
23395|Blue Gum Tonalite|444524|Mallacoota Zone
23395|Blue Gum Tonalite|556736|Lachlan Orogen
2005|Blue Shirt Rhyolite Member|556736|Lachlan Orogen
2013|Blueys Creek Formation|556736|Lachlan Orogen
2018|Bluff Member|556736|Lachlan Orogen
2067|Boebuck Granodiorite|556736|Lachlan Orogen
37529|Boggy Creek Sandstone|556736|Lachlan Orogen
2092|Boggy Plain Supersuite|556736|Lachlan Orogen
26410|Bola Sandstone Member|556736|Lachlan Orogen
24743|Bolinda Shale|556736|Lachlan Orogen
23404|Bonang Granodiorite|556736|Lachlan Orogen
2167|Bondi Granite|556736|Lachlan Orogen
39338|Bonlta Sandstone Member|27009|Gippsland Basin
2203|Bookpurnong Formation|536552|Murray Basin
2211|Boola Formation|556736|Lachlan Orogen
2245|Boonah Formation|22295|Bass Basin
21295|Boorabal Andesite|556736|Lachlan Orogen
2277|Boorhaman Conglomerate|556736|Lachlan Orogen
2376|Boulder Flat Limestone|556736|Lachlan Orogen
2387|Boundary Creek Conglomerate|556736|Lachlan Orogen
21305|Bowen Track Ignimbrite|556736|Lachlan Orogen
2543|Bridgewater Formation|20406|St Vincent Basin
2543|Bridgewater Formation|20936|Eucla Basin
2543|Bridgewater Formation|536552|Murray Basin
21330|Brissces Hut Andesite|556736|Lachlan Orogen
27348|Broadford Formation|556736|Lachlan Orogen
23423|Brodribb Granodiorite|556736|Lachlan Orogen
37634|Broken Leg Granite|556736|Lachlan Orogen
2706|Brumby Mafic Arenite Member|556736|Lachlan Orogen
24199|Bryo Gully Shale|556736|Lachlan Orogen
23429|Buangor Granite|20367|Stawell Zone
23429|Buangor Granite|556736|Lachlan Orogen
37702|Buchan Caves Formation, Taravale Formation, Murrindal Formation|556736|Lachlan Orogen
2750|Buchan Caves Limestone|556736|Lachlan Orogen
2754|Buchan Group|39646|Tara Metallogenic Province
2754|Buchan Group|556736|Lachlan Orogen
2804|Buckrabanyule Granite|20367|Stawell Zone
2804|Buckrabanyule Granite|20512|Bendigo Zone
2804|Buckrabanyule Granite|556736|Lachlan Orogen
30583|Buckwong Granodiorite|556736|Lachlan Orogen
2847|Buldah Gap Granodiorite|556736|Lachlan Orogen
37635|Bulgana Diorite|556736|Lachlan Orogen
2878|Bull Run Gap Granite|556736|Lachlan Orogen
26434|Bulla Granodiorite|556736|Lachlan Orogen
26434|Bulla Granodiorite|559492|Melbourne-Mathinna Zone
2895|Bullenbalong Suite|556736|Lachlan Orogen
28182|Bullengarook Gravel|556736|Lachlan Orogen
37688|Bullung Formation, Murderers Hill Formation, Sinclair Valley Formation|556736|Lachlan Orogen
24785|Bullung Siltstone|556736|Lachlan Orogen
69426|Bundara Tonalite|556736|Lachlan Orogen
30293|Bung Bung Syenite|556736|Lachlan Orogen
28414|Bungeet West Granite|556736|Lachlan Orogen
3028|Bungywarr Formation|556736|Lachlan Orogen
3039|Bunroy Hut Granite|556736|Lachlan Orogen
37636|Burbibyong Granite|556736|Lachlan Orogen
30514|Burglar Gap Granite|556736|Lachlan Orogen
32302|Burong Formation|27009|Gippsland Basin
37637|Burrumbeep Granodiorite|20367|Stawell Zone
37637|Burrumbeep Granodiorite|556736|Lachlan Orogen
37639|Burrungabugge Granodiorite|556736|Lachlan Orogen
26442|Bushy Creek Granodiorite|20367|Stawell Zone
74892|Buttercup Mudstone Member|556736|Lachlan Orogen
37641|Buxton Granodiorite|556736|Lachlan Orogen
27356|Byawatha Granite|556736|Lachlan Orogen
3251|Cabanandra Granodiorite|556736|Lachlan Orogen
3322|Calivil Formation|556736|Lachlan Orogen
34350|Callemondah Conglomerate|556736|Lachlan Orogen
3361|Calton Hill Sandstone Member|556736|Lachlan Orogen
30562|Campbells Knob Granodiorite|556736|Lachlan Orogen
3461|Cann Mountain Granodiorite|556736|Lachlan Orogen
3485|Cape Conran Granite|556736|Lachlan Orogen
3535|Cape Woolamai Granite|559492|Melbourne-Mathinna Zone
35501|Carapooee Granodiorite|556736|Lachlan Orogen
34872|Carriage Range Ignimbrite|556736|Lachlan Orogen
37531|Carrolls Amphibolite|556736|Lachlan Orogen
21462|Carson Creek Ignimbrite|556736|Lachlan Orogen
37643|Case Granite|556736|Lachlan Orogen
3760|Castleburn Granite|556736|Lachlan Orogen
36202|Castlemaine Group|20512|Bendigo Zone
36202|Castlemaine Group|556736|Lachlan Orogen
36860|Castor Oil Lava|556736|Lachlan Orogen
3787|Cathedral Group|556736|Lachlan Orogen
3787|Cathedral Group|559492|Melbourne-Mathinna Zone
3837|Cave Hill Sandstone|556736|Lachlan Orogen
39640|Central Sandstone|556736|Lachlan Orogen
3873|Cerberean Volcanics|559492|Melbourne-Mathinna Zone
37265|Ceres Gabbro|20512|Bendigo Zone
37265|Ceres Gabbro|556736|Lachlan Orogen
75780|Changue East Diorite|556736|Lachlan Orogen
69124|Charlestown Tonalite|556736|Lachlan Orogen
30176|Chepstowe Granodiorite|556736|Lachlan Orogen
74886|Cherrytree Gap Sandstone Member|556736|Lachlan Orogen
3963|Chesney Vale Granite|556736|Lachlan Orogen
32309|Chimaera Formation|27009|Gippsland Basin
28232|Chintin Formation|556736|Lachlan Orogen
4081|Claire Creek Limestone Member|556736|Lachlan Orogen
4180|Clonbinane Sandstone Member|556736|Lachlan Orogen
73148|Clover Hill Complex|20512|Bendigo Zone
38292|Cobaw Suite|20512|Bendigo Zone
38292|Cobaw Suite|556736|Lachlan Orogen
32459|Cobbannah Group|444520|Tabberabbera Zone
32459|Cobbannah Group|556736|Lachlan Orogen
37535|Cobbler Rhyolite|556736|Lachlan Orogen
21512|Cobbs Spur Andesite Breccia|556736|Lachlan Orogen
32306|Cobia Subgroup|27009|Gippsland Basin
37647|Cochranes Creek Granodiorite|556736|Lachlan Orogen
4316|Coldstream Rhyolite|556736|Lachlan Orogen
32062|Coliban Basalt|556736|Lachlan Orogen
4369|Colquhoun Granite|556736|Lachlan Orogen
26487|Combyingbar Formation|444524|Mallacoota Zone
26487|Combyingbar Formation|556736|Lachlan Orogen
41873|Concongella Gritstone Member|20533|Delamerian Orogen
34841|Connleys Track Granodiorite|556736|Lachlan Orogen
34845|Connors Creek Tonalite|556736|Lachlan Orogen
37712|Cooney Ridge Granodiorite|556736|Lachlan Orogen
4615|Coongulmerang Formation|27009|Gippsland Basin
23508|Coonooer Granite|556736|Lachlan Orogen
