Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
1474|Bendoc Group|overlies|98|Adaminaby Group|not specified|
8538|Howqua Chert|underlies|98|Adaminaby Group|not specified|
444|Anglesea Formation|underlies|36801|Addiscot Formation|not specified|
32291|Kersop Arkose|underlies|30073|Admiral Formation|not specified|
32308|Kipper Shale|overlies|30073|Admiral Formation|not specified|
34702|New Country Sandstone|underlies|25757|Akuna Mudstone|not specified|
23907|Pinnak Sandstone|overlies|25757|Akuna Mudstone|not specified|
24002|Sunlight Creek Formation|overlies|25757|Akuna Mudstone|not specified|
33677|Tombong Formation|overlies|25757|Akuna Mudstone|not specified|
19441|Warbisco Shale|underlies|25757|Akuna Mudstone|conformity|
20777|Yalmy Group|overlies|25757|Akuna Mudstone|not specified|
38326|Hapuku Subgroup|overlies|37365|Albacore Subgroup|not specified|
72621|Leviathan Formation|overlies|72620|Albion Formation|conformity|
39629|Magdala Basalt|underlies|72620|Albion Formation|conformity|
11622|Melbourne Formation|overlies|419|Anderson Creek Formation|not specified|
20800|Yan Yean Formation|overlies|419|Anderson Creek Formation|not specified|
36801|Addiscot Formation|overlies|444|Anglesea Formation|not specified|
2245|Boonah Formation|underlies|444|Anglesea Formation||
36797|Salt Creek Formation|underlies|444|Anglesea Formation|not specified|
9854|Kuark Metamorphic Complex|is intruded by|642|Arte Gabbro||
2013|Blueys Creek Formation|underlies|34838|Attunga Paringa Formation|unconformity|
32459|Cobbannah Group|underlies|35960|Avon Supergroup|unconformity|
26950|Tolmie Igneous Complex|underlies|35960|Avon Supergroup|not specified|
2754|Buchan Group|overlies|34825|Avonmore Subgroup|conformity|
36202|Castlemaine Group|underlies|839|Bacchus Marsh Formation|not specified|
41194|Coleraine Volcanic Group|overlies|839|Bacchus Marsh Formation|disconformity|
4785|Council Trench Formation|overlies|839|Bacchus Marsh Formation|not specified|
7400|Glenelg River Metamorphic Complex|underlies|839|Bacchus Marsh Formation|nonconformity|
37236|Hassall Creek Granodiorite|underlies|839|Bacchus Marsh Formation|not specified|
27436|Ingliston Granite|underlies|839|Bacchus Marsh Formation|not specified|
38291|Newer Volcanic Group|overlies|839|Bacchus Marsh Formation|not specified|
14685|Otway Group|overlies|839|Bacchus Marsh Formation|disconformity|
1802|Black Mountain Ignimbrite|overlies|35961|Ballantyne Megabreccia|not specified|
21593|Currie Creek Ignimbrite|underlies|35961|Ballantyne Megabreccia|not specified|
29131|Werribee Formation|overlies|23355|Ballark Conglomerate||
25474|Shepparton Formation|overlies|76928|Balmattum Basalt||
10076|Lake Wellington Formation|overlies|24171|Balook Formation|not specified|
23536|Dartmouth Granite|is intruded by|35970|Banimboola Quartz Monzodiorite||
23907|Pinnak Sandstone|is intruded by|35970|Banimboola Quartz Monzodiorite||
2706|Brumby Mafic Arenite Member|overlies|1066|Banksia Chert Member|not specified|
98|Adaminaby Group|is intruded by|1073|Banshea Granite||
7672|Grampians Group|underlies|35971|Barangaroo Ignimbrite|not specified|
40706|Toolondo Volcaniclastics|underlies|35971|Barangaroo Ignimbrite|not specified|
34880|Berrawan Conglomerate|overlies|32559|Barmouth Group|not specified|
25864|Cowombat Siltstone|underlies|32559|Barmouth Group|not specified|
32298|Kingfish Formation|is interbedded with|1156|Barracouta Formation||
32295|Volador Formation|is interbedded with|1156|Barracouta Formation||
25474|Shepparton Formation|overlies|1227|Barwo Member|not specified|
25474|Shepparton Formation|underlies|1227|Barwo Member|not specified|
6363|Eumeralla Formation|is interbedded with|77303|Barwon River Conglomerate||
6363|Eumeralla Formation|overlies|77303|Barwon River Conglomerate||
21305|Bowen Track Ignimbrite|underlies|21202|Bass Camp Ignimbrite|not specified|
21688|Douglas Ignimbrite|overlies|21202|Bass Camp Ignimbrite|not specified|
30555|Minchin Ignimbrite|underlies|21202|Bass Camp Ignimbrite|not specified|
6937|Fyansford Formation|overlies|27329|Batesford Limestone|not specified|
11464|Maude Basalt|overlies|27329|Batesford Limestone||and underlies; ie is enclosed by BL.
