Stratno | Stratigraphic Name | Reference Id | Usage No |   Usage  | Page Number | Minimum Age Name | Maximum Age Name | Reference Comments | Numerical Age | Parent Units | Constituents | Related Units | Lithology 
76934|Aberfeldy Basalt|66244|4|Described|p5.|Oligocene|Cenozoic|Originally named the Aberfeldy Province (Wellman 1974); a basalt flow from near Mount Gregory, preserved in remnants along the ridge from Aberfeldy to Beardsmore, then along three palaeovalleys from Rawson into the La Trobe Valley. Has a strong magnetic signature. Two K-Ar ages give and age of mid Oligocene, although degree of alteration suggests the flows could be older (Wellman, 1974).||||Is locally overlain by Haunted Hills Formation.|Alkali olivine basalt with lesser olivine tholeiite and hawaiite, and minor interbedded sedimentary rocks.
76934|Aberfeldy Basalt|68116|5|Briefly described|Appendix, Maps 43, 52.|Aquitanian|Oligocene||||||Alkali olivine basalt, olivine tholeiite and hawaiite, with alkali olivine basalt being the most abundant; interbedded sedimentary rocks.
27690|Acheron Volcanics|35186|6|Mentioned|Table.1||||||||
27690|Acheron Volcanics|35277|3|Fully described|p90||||||||
27690|Acheron Volcanics|39291|6|Mentioned|Table 1||||||||
27690|Acheron Volcanics|41641|4|Described|p160||||||||
27690|Acheron Volcanics|42726|5|Briefly described|map legend||||||||
27690|Acheron Volcanics|42827|4|Described|p160|||see also Table 5.1|||||
98|Adaminaby Group|12100|5|Briefly described|p819|Middle Ordovician|Early Ordovician|Eastern Lachlan Fold Belt area; upward fining succession with an upward decrease in lithic content.|||||
98|Adaminaby Group|13139|5|Briefly described|p9 Fig. 4|Middle Ordovician|Middle Ordovician|Geological Province: Rockley-Gulgong Volcanic Belt.|||||
98|Adaminaby Group|22472|5|Briefly described|p36|Ordovician|Ordovician||||||
98|Adaminaby Group|22503|5|Briefly described|p645, Fig.3b|Ordovician|Early Ordovician||||||
98|Adaminaby Group|22529|5|Briefly described|1|Early Ordovician|Early Ordovician||||||
98|Adaminaby Group|22530|6|Mentioned|p693||Llanvirn||||||
98|Adaminaby Group|22545|4|Described|p498-507, Fig.5||Ordovician||||||
98|Adaminaby Group|22577|6|Mentioned|p120||Ordovician||||||
98|Adaminaby Group|22624|5|Briefly described|p678, Fig.3 p679|Ordovician|Ordovician|See also Fig.4 p679|||||
98|Adaminaby Group|22628|6|Mentioned|fig1p108|Ordovician|Ordovician||||||
98|Adaminaby Group|22679|3|Fully described|p 6|Ordovician|Ordovician|Lachlan Fold Belt. Overlain by Coombing Formation.|||||
98|Adaminaby Group|22704|6|Mentioned|p63|||Also Fig6(b),p61. Previously Abercrombie beds|||||
98|Adaminaby Group|22708|5|Briefly described|p210|Ordovician|Ordovician||||||
98|Adaminaby Group|22798|5|Briefly described|p856|Late Ordovician|Early Ordovician||||||
98|Adaminaby Group|22815|3|Fully described|p18,19,122|Ordovician|Ordovician|Equivalent to Pinnack Sandstone.|||||
98|Adaminaby Group|22832|5|Briefly described|Fig.1b p634|Ordovician|Ordovician|Quartz turbidite, See also p636.|||||
98|Adaminaby Group|22842|6|Mentioned|p25||Ordovician||||||
98|Adaminaby Group|22857|4|Described|p112, p422 App. 1, Tb. A1.5|Early Ordovician|Early Ordovician|A turbiditic sequence of interbedded arenite-siltstone-shale/slate together with chert beds. Geological Province: Lachlan Fold Belt.|||||
98|Adaminaby Group|22876|5|Briefly described|p16|Early Ordovician|Early Ordovician||||||
98|Adaminaby Group|22878|5|Briefly described|p29|Ordovician|Ordovician||||||
98|Adaminaby Group|22879|5|Briefly described|map|Early Ordovician|Early Ordovician||||||
98|Adaminaby Group|22880|5|Briefly described|Map Legend|Early Ordovician|Early Ordovician|Includes: Pinnak Sandstone.|||||
98|Adaminaby Group|22881|5|Briefly described|map|Ordovician|Ordovician||||||
98|Adaminaby Group|22968|4|Described|P19, P99|Ordovician|Early Ordovician|Overlying unit is Bendoc Group.|||||
98|Adaminaby Group|22971|5|Briefly described|p 17||Ordovician|of Lachlan Fold Belt.|||||
98|Adaminaby Group|23020|5|Briefly described|Map legend||Ordovician||||||
98|Adaminaby Group|23021|5|Briefly described|Map legend|Ordovician|Early Ordovician||||||
98|Adaminaby Group|23028|5|Briefly described|Map legend|Ordovician|Early Ordovician|Overlying unit is Bendoc Group.|||||
98|Adaminaby Group|23029|5|Briefly described|Map legend|Ordovician|Early Ordovician|Overlying units are the Bendoc Group and the Kiandra Group.|||||
98|Adaminaby Group|23030|5|Briefly described|Map legend|Ordovician|Ordovician||||||
98|Adaminaby Group|23043|5|Briefly described|Map Legend|Gisbornian|Yapeenian||||||
98|Adaminaby Group|23100|5|Briefly described|p575 (Fig 1)||Ordovician||||||
98|Adaminaby Group|23170|2|Defined|p29 Fig.3|Ordovician|Darriwilian|Age: Late Darriwillian (Ordovician) - Ordovician.|||||
98|Adaminaby Group|23181|5|Briefly described|p1,7||Darriwilian|formerly 'Lue Beds'. Age from conodonts in chert.|||||
98|Adaminaby Group|23202|6|Mentioned|Fig.1||||||||
98|Adaminaby Group|23213|5|Briefly described|Fig.10 p24|Darriwilian|Darriwilian|Includes some Darriwilian fossils. of Rockley-Gulgong Volcanic Belt.|||||
98|Adaminaby Group|23214|2|Defined|p19|Ordovician|Ordovician|Includes rocks previously mapped as Adaminaby Beds/beds, Triangle Group and Abercrombie Beds. Type Section refer to Glen et al 1990. Age determined by fossil assemblages (Fell, 1984). Geological Province: Lachlan Fold Belt. Max. thickness: >1500m.|||||
98|Adaminaby Group|23245|5|Briefly described|p112,134||Early Ordovician||||||
98|Adaminaby Group|23307|5|Briefly described|Map Legend|Ordovician|Ordovician||||||
98|Adaminaby Group|23309|5|Briefly described|p53-58 Fig 1.3||Ordovician||||||
98|Adaminaby Group|23327|4|Described|1009|Ordovician|Ordovician||||||
98|Adaminaby Group|23329|6|Mentioned|1042|Ordovician|Ordovician||||||
98|Adaminaby Group|23334|5|Briefly described|9 Fig.4|Ordovician|Ordovician||||||
98|Adaminaby Group|23335|5|Briefly described|p15 Tb. 1, p19|Ordovician|Ordovician||||||
98|Adaminaby Group|23464|5|Briefly described|p245|Ordovician|Ordovician||||||
98|Adaminaby Group|23541|5|Briefly described|p398|||also see p396 Fig 1. In the Lachlan Fold Belt|||||
98|Adaminaby Group|23615|6|Mentioned|p64|Ordovician|Ordovician||||||
98|Adaminaby Group|23850|5|Briefly described|p793||||||||
98|Adaminaby Group|23860|5|Briefly described|p944|Ordovician|Ordovician|Overlying unit Bendoc Group.|||||
98|Adaminaby Group|23938|5|Briefly described|p11|Middle ordovician|Early Ordovician|Geological Province: Lachlan Fold Belt. See also p71 Fig. 25, p75 Fig. 27. .|||||
98|Adaminaby Group|24003|5|Briefly described|p258|Late Ordovician|Late Ordovician||||||
98|Adaminaby Group|24004|5|Briefly described|p277||||||||
98|Adaminaby Group|24006|5|Briefly described|p312|Ordovician|Ordovician||||||
98|Adaminaby Group|24007|5|Briefly described|p336|Ordovician|Ordovician||||||
98|Adaminaby Group|24037|6|Mentioned|p423|||Geological Province: Lachlan Fold Belt|||||
98|Adaminaby Group|24133|4|Described|p35|Ordovician|Ordovician|Formerly Adaminaby Beds.  Geological Province: Lachlan Fold Belt.|||||
98|Adaminaby Group|24142|5|Briefly described|Map Legend|Ordovician|Ordovician|Geological Province: Lachlan Fold Belt.|||||
98|Adaminaby Group|24143|5|Briefly described|Map Legend|Ordovician|Ordovician|Geological Province: Lachlan Fold Belt.|||||
98|Adaminaby Group|24144|5|Briefly described|Map Legend|Ordovician|Ordovician|Geological Province: Lachlan Fold Belt.|||||
98|Adaminaby Group|24145|5|Briefly described|Map Legend|Ordovician|Ordovician|Geological Province: Lachlan Fold Belt|||||
98|Adaminaby Group|24146|5|Briefly described|Map Legend|Ordovician|Ordovician|Geological Province: Lachlan Fold Belt.|||||
98|Adaminaby Group|24177|6|Mentioned|p48||||||||
98|Adaminaby Group|24215|5|Briefly described|p804 Fig. 3|||Geological Province:  Lachlan Fold Belt|||||
98|Adaminaby Group|24233|5|Briefly described|p253 Fig.1, p256|||Geological Province: Lachlan Orogen.|||||
98|Adaminaby Group|24317|5|Briefly described|p14, p15 Fig.1|Ordovician|Ordovician||||||
98|Adaminaby Group|24329|5|Briefly described|Map legend|Early Ordovician|Early Ordovician|Includes the Hotham beds|||||
98|Adaminaby Group|24339|5|Briefly described|p47 Fig. 4|Ordovician|Ordovician|Geological Province: Lachlan Fold Belt. Age: 445 +/- 2 Ma (Ar/Ar)|||||
