Stratno | Stratigraphic Name | Category | Contents | Last update 
24159|Angry Hill Sandstone|Name source|Angry Hill, 5.6 km NNE of Romsey and 1.5 km W of View Hill; long. 144o47'00", lat. 37o18'41", Melbourne 1:250 000 Sheet.|
24159|Angry Hill Sandstone|Unit history|The term "Lancefield Beds" was used informally for the outcrop of Lancefield Quarry by Hall (1899).|
24159|Angry Hill Sandstone|Type section locality|No single well-exposed section exists. The type locality is Angry Hill and Deep Creek along the flanks of Angry Hill.|
24159|Angry Hill Sandstone|Extent|The unit is intermittently exposed between its northern contact with the Cobaw Granodiorite near Mt William, to Deep Creek near Stauro Gully, a strike length of about 14 km.|
24159|Angry Hill Sandstone|Thickness range|About 700 m in the type locality, to about 600 m farther north.|
24159|Angry Hill Sandstone|Lithology|Dominantly sandstone, fine to very coarse, with some interbedded siltstone, black shale, and black siliceous shale, and several bands of fine conglomerate.|
24159|Angry Hill Sandstone|Relationships and boundaries|The contacts with underlying Bryo Gully Shale, and overlying unnamed Bendigonian beds, are conformable. The base is defined by the change from micaceous black siltstone to sandstone. The top is virtually not exposed, and is defined by the appearance of the Bendigonian zone fossil Tetragraptus fruticosus.|
24159|Angry Hill Sandstone|Age reasons|Graptolite faunas of the upper Lancefieldian (Lower Ordovician) La2 Zone of Adelograptus victoriae range through most of the formation; the La3 Zone of Tetragraptus approximatus is confined to a thin band at the top. The La2 fauna includes Adelograptus victoriae (T.S. Hall), Dictyonema macgillivrayi T.S. Hall, D. pulchellum T.S. Hall, Clonograptus rigidus (J> Hall), C. tenellus (Linnarsson), C. flexilis (J. Hall), C. magnificus (Pritchard), Kiaerograptus antiquus (T.S. Hall), K. pritchardi (T.S. Hall), K. taylori (T.S. Hall), Tetragraptus decipiens T.S. Hall, and abundant phyllocarid crustacea. The faunas of the uppermost beds of the formation are much poorer, but the presence of Tetragraptus approximatus is diagnostic of uppermost Lancefieldian (La3) age.|
24171|Balook Formation|Name source|Named after the hamlet of Balook (AMG grid ref. 46200E 574600N), after which Thomas & Baragwanath (1948) named the Balook Block.|
24171|Balook Formation|Type section locality|Occurs between a depth of 220 and 630 metres in bore Denison 53 - AMG coordinates 490884 m east, 5791256 m north, zone 54. Tops and bottoms interpreted from wire-line logs. Sample stored in Department of Minerals and Energy core store.|
24171|Balook Formation|Extent|Occurs as a sub-surface unit trending in a NNE-SSW direction along the western margin of the Gippsland sedimentary basin within the Lake Wellington and Seaspray Depressions.|
24171|Balook Formation|Lithology|Fine to medium grained quartz sand with numerous ligneous and clayey horizons. Predominantly sandy in the type section, but sand to clay ratio varies in other bores depending on their relative position with respect to the marine facies equivalent. Calcareous marine fossils are absent in the type section but the siliceous foraminifera Ammodiscus occurs in some horizons. The unit is up to 400 m thick, 4 to 5 kilometres wide and extends some 10's of kilometres laterally.|
24171|Balook Formation|Relationships and boundaries|Overlies the Latrobe Group (Eocene) and is overlain by the late Miocene to Pliocene Lake Wellington Formation. Its depositional mode is interpreted as being a type of barrier sequence between the marine Seaspray Group (Upper Oligocene to Middle Miocene) and its non-marine facies equivalent and the presence of flora indicative of the Proteacidites tuberculatus zone.|
24171|Balook Formation|Name first published by|Vandenberg, A.H.M. 1975.|
28253|Baranduda Granite|Name source|Granite lies within Parish of Baranduda incorporating Mount Baranduda. An AMG reference is Zone 55 H-487400 5987900 Albury 1:100 000 Sheet area (822, Ed. 1, Series R 652), Wangaratta 1:250 000 sheet area (SJ 55-2, Ed. 1, Series R 502).|
28253|Baranduda Granite|Type section locality|Fresh granite is exposed along the T.V. Jeep Track 500 m due east of Mount Baranduda. (See grid ref. above).|
28253|Baranduda Granite|Extent|The granite is exposed over 2 km2 at Mount Baranduda, 6 km north of Yackandandah.|
28253|Baranduda Granite|Lithology|Granite, fine grained, consisting essentially of plagioclase, potash feldspar, quartz and biotite with a crystal size of 0.2 to 2 mm. The plagioclase forms anhedral crystals which are zoned and in places incipiently sericitized. Potash feldspar occurs as anhedral crystals which show microcline twinning and are in places incipiently sericitized. Quartz forms anhedral, relatively unstrained, crystals. Biotite flakes are fresh. Sericite occurs as an alteration product of the feldspars and as thin selvedges to most of the crystals.|
28253|Baranduda Granite|Relationships and boundaries|Granite previously not recorded. Granite intrudes gneiss of the Omeo-Albury Metamorphic Complex. Contact relationships are not exposed. The granite is unstressed.|
28253|Baranduda Granite|Age reasons|Potassium-argon dating suggests a minimum age of 388+/-4 million years (McKenzie et al. 1983).|
28253|Baranduda Granite|Proposed publication|Report of the Geological  Survey of Victoria|
24199|Bryo Gully Shale|Name source|Bryo Gully, a tributary of Deep Creek, 5.4 km NE of Romsey (long. 144o47'30", late. 37o19'20", Melbourne 1:250 000 Sheet).|
24199|Bryo Gully Shale|Type section locality|Bryo Gully, 215 m to 389 m upstream from its junction with Deep Creek.|
24199|Bryo Gully Shale|Extent|The formation is intermittently exposed between its northern contact with the Cobaw Granodiorite, SW of Mt William, to Stauro Gully, a strike length of about 13 km.|
24199|Bryo Gully Shale|Thickness range|Ranges from about 160 m (type section) to about 130 m.|
24199|Bryo Gully Shale|Lithology|In measured sections in Bryo and Stauro Gullies, the formation consists of a basal 60 m thick unit of black siliceous shale, a middle 60 m thick unit of soft, mostly thin-bedded siltstone, and an upper 40 m thick unit of black siliceous shale with some siltstone.|
24199|Bryo Gully Shale|Relationships and boundaries|Contacts with the underlying Split Hill sandstone and overlying Angry Hill Formation are conformable. The base is sharp, marked by abrupt change from sandstone to siliceous shale. The top is gradational, marked by increase in mica content just below the basal sandstone of the Angry Hill Sandstone.|
24199|Bryo Gully Shale|Age reasons|The type locality of the lower Lancefieldian (Lower Ordovician) La1.5 Zone of Psigraptus and Clonograptus is situated about 59 m above the base in Bryo Gully, and it contains Psigraptus lenzi Jackson and slender Clonograptus spp. The upper Lancefieldian La2 Zone of Adelograptus victoriae first appears in the uppermost 12 m of the formation, and comprises A. victoriae (T.S. Hall), Kiaerograptus antiquus (T.S. Hall), Temnograptus sp., Clonograptus tenellus (Linnarsson), C. spp., Tetragraptus decipiens T.S. Hall, T. bulmani Thomas. (Cooper & Stewart, in press).|
24200|Buckeran Diorite|Name source|Parish of Buckeran Yarrack.|
24200|Buckeran Diorite|Type section locality|Adjacent to a creek at grid reference 645200-5823800.|
24200|Buckeran Diorite|Extent|Unit extends over an area of approximately 6 km2 in the vicinity of Yarrack Road (grid reference 645200-5823800 and 644300-5821900; Willaura 1:100 000 Topographic map), and also near grid reference 643000-5825600.|
24200|Buckeran Diorite|Lithology|Massive, medium to coarse grained, weakly to strongly magnetic, dark grey to greenish, holocrystalline intrusive rock composed of plagioclase, pyroxene, hornblende, biotite, quartz, accessory apatite and zircon and secondary sphene, chlorite and epidote.|
24200|Buckeran Diorite|Relationships and boundaries|Unit is intrusive into the St Arnaud Beds, in which a narrow contact metamorphic aureole has been developed; manifested by the presence of quartz hornfels and phyllite.|
24200|Buckeran Diorite|Age reasons|No definite age is available. Possibly contemporaneous with the nearby (Early Devonian) Bushby Creek Granodiorite.|
24785|Bullung Siltstone|Name source|Parish of Bullung, Matlock district.|
24785|Bullung Siltstone|Unit history|Whether this formation is included in Unit 1 of the Matlock Formation of Moore (1965) is difficult to establish. The lithology given by Moore (bluish slates, blue-yhellow claystones, greenish siltstones increasingly towards the top of Unit 1) can only be partly reconciled with the lithology of the Bullung Siltstone. The only locality given by Moore (p.231) lies at a horizon in the Norton Gully Sandstone, stratigraphically much higher in the sequence.|
24785|Bullung Siltstone|Type section locality|T-J Divide and new MMBW Swingler Road, Matlock 188-565 to 217-533.|
24785|Bullung Siltstone|Extent|Confined to the Easton Axis, traceable from the Thomson River near Swingler's to Enoch's point.|
24785|Bullung Siltstone|Thickness range|Approx. 600 m.|
24785|Bullung Siltstone|Lithology|Predominantly thinly banded siltstones, typically olive green in outcrop; several interbedded turbidite horizons of thick structureless fine-grained sandstone or siltstone.|
24785|Bullung Siltstone|Fossils|Comminuted shelly fauna with rare monograptids in turbidites. Shelly fauna includes abundant bryozoa, brachipoda (incl. Orthids, Plectodonta, Leptestiina, ?Aegiria, Stropheodonta, Strophonella, "Chonetes", Lissatrypa, Eospirifer, Howellella etc.), trilobita, rare corals including Pleurodictyum megastoma, rare monograptids (M. ex gr. dubius).|
24785|Bullung Siltstone|Relationships and boundaries|Conformable with underlying McAdam Hill Sandstone and overlying Sinclair Valley Sandstone.|
24785|Bullung Siltstone|Age reasons|Lower to Middle Silurian (triangulatus zone near Wenlock-Ludlow boundary).|
39124|Dja Dja Wrung Supergroup|Name source|Dja Dja Wrung tribe, whose land extends over much of western Victoria.|
39124|Dja Dja Wrung Supergroup|Constituents|Includes the Magdala Volcanics, the Pitfield Volcanics and the Heathcote Volcanics and their subsurface equivalents.|
39124|Dja Dja Wrung Supergroup|Lithology|Tholeiitic basalt and intrusive rocks typical of oceanic crust.|
39124|Dja Dja Wrung Supergroup|Age reasons|Upper Proterozoic to Lower Cambrian (lies below the Knowsley East Shale).|
39124|Dja Dja Wrung Supergroup|Correlations|Correlates with other ocean floor rocks formed during the Upper Proterzoic and Early Cambrian in eastern Australia.|07/JUL/11
39124|Dja Dja Wrung Supergroup|Proposed publication|Moore, D.H., (2003). St. Arnaud 1:250 000 map: a geological interpretation of geophysical data. Victorian Initative for Minerals and Petroleum, Report 8x. Department of Primary Industries, Victoria.|
24942|Echuca Formation|Name source|Parish of Echuca North, grid reference 277540, Bendigo 1:250 000 sheet area.|
24942|Echuca Formation|Unit history|Lawrence (1975, fig 90) tentatively included these beds in his "Torrumbarry Clay" unit.|
24942|Echuca Formation|Type section locality|Mines Department borehole Echuca North 1, grid reference 277540. The hole was drilled in 1963 by a percussion rig and samples are kept by the Mines Department.  The description of the type section is as follows: (from Lawrence 1975).|
24942|Echuca Formation|Extent|The formation occurs only in the subsurface and was encountered in the Echuca, Naroika, Kyabram and Kotta districts.|
24942|Echuca Formation|Thickness range|Up to 38 metres.|
24942|Echuca Formation|Lithology|Light brown to grey slightly carbonaceous clay. It is micaceous and sandy in parts.|
24942|Echuca Formation|Relationships and boundaries|It occurs as a lense within the Calivil Formation (Macumber, 1973) at depths of between 90 and 120 metres. It appears to be conformable with the overlying and underlying Calivil Formation.|
24942|Echuca Formation|Age reasons|The microspore Nothofagus emarcida was reported from this formation (Lawrence 1975). The age range of this fossil is Upper Cretaceoeus to Middle Miocene (Ripper, personal communication). The formation is underlain by beds containing fossils which range in age from Lower Eocene to Lower Miocene. Therefore the age range of the Echuca Formation is Lower Eocene to Lower Miocene.|
24942|Echuca Formation|Proposed publication|Published Report, Geol. Survey of Vict.|
24942|Echuca Formation|References|79/02696|
24942|Echuca Formation|Defn approved by|Victoria (taken from a photocopy - see 75/381)|
24942|Echuca Formation|Name first published by|Tickell S.J., 1977|
24268|Enano Group|Name source|Parish of Enano, Limestone Creek area, NE Victoria (Tallangatta 1:250 000 Sheet).|
24268|Enano Group|Unit history|In previous literature, the unit is referred to as the Cowombat Group (Talent, 1965; Talent et al., 1975, 1964, 1967) or was included in the Wombat Creek Group (VandenBerg et al., 1976). The name Cowombat Group is pre-occupied by the Cowombat Formation (Talent et al., 1964, 1967, 1975; Talent, 1965).|
24268|Enano Group|Constituents|Gibsons Folly Formation, Towanga Formation, Cowombat Formation.|
24268|Enano Group|Type section locality|No single area includes all units, so the two belts specified above are designated as type area.|
24268|Enano Group|Extent|The unit is exposed in two broad belts, flanking Thorkidaan Volcanics; one extending from Bindi northeast to the Indi River (outcrop area about 100 km2), another extending from Bindi northeast to Mt Wombargo (outcrop area about 180 km2). Preliminary mapping suggests that another belt occurs east of the Snowy River Volcanics.|
24268|Enano Group|Thickness range|Not known, probably in the order of 1 to 10 m.|
24268|Enano Group|Lithology|The group consists of interbedded acid (rhyodacite) to intermediate (andesite) and rare mafic (basalt) volcanics, and marine sediments (siltstone, sandstone, volcaniclastic sediments, conglomerate, and limestone lenses).|
24268|Enano Group|Relationships and boundaries|Contacts with Lower Silurian? Metamorphics (Omeo Metamorphic Complex, derived from Upper Ordovidian) are faulted. Contacts with Thorkidaan Volcanics (Silurian?) are mostly fault true stratigraphic relationships not established. Contact with overlying Snowy River Volcanics (Lower Devonian) is a sharp, angular, regional unconformity.|
24268|Enano Group|Age reasons|The Gibsons Folly Beds are unfossiliferous. The two other formations contain Upper Silurian shelly fossils and conodonts (Talent et al., 1975 - see Cowombat Group). The shelly fauna is very similar to that of the Yass Basin sequence.|
