Stratigraphic Name | Stratno |  Previous Name  |Previous Name Stratno| Replacement Name | Replacement Name Stratno |Is Current | Rank | Status | Category | Usage | Parent Name | Parent Stratno | Chemical Parent Name | Chemical Parent Stratno | Top Minimum Age Name | Top Minimum Age (Ma) | Top Minimum Age Error (Ma)| Top Minimum Age Method | Base Maximum Age Name | Base Maximum Age (Ma) | Base Maximum Age Error (Ma) | Base Maximum Age Method | Minimum Thickness (m) | Maximum Thickness (m) | Type Section State | Definition Card | First ref as on form | Def ref as on form | Reserved by | Resdate | Approved by | Approved date |General Comments | Lithology Description | Primary Lithology Group | Secondary Lithology Group | Tectonic Setting | Intrusive | Granite Type
Aberfeldy Basalt|76934|Aberfeldy basalt|42|||Yes|Formation, beds|Formal|Variation of published name|Described|||||Oligocene|||isotopic, K/Ar|Oligocene|||||||No|66244||||||Originally named the Aberfeldy Province (Wellman 1974); a basalt flow from near Mount Gregory, preserved in remnants along the ridge from Aberfeldy to Beardsmore, then along three palaeovalleys from Rawson into the La Trobe Valley. Has a strong magnetic signature. Two K-Ar ages give an age of mid Oligocene, although degree of alteration suggests the flows could be older (Wellman, 1974).|Alkali olivine basalt with lesser olivine tholeiite and hawaiite, and minor interbedded sedimentary rocks.|igneous mafic volcanic|sedimentary||N|
Acheron Volcanics|27690|Acheron Subgroup|81|||Yes|Formation, beds|Formal|Unknown or process pending|Fully described|||||Late Devonian||||Late Devonian|||||||No|35277|||||||||||N|
Adaminaby Group|98|Adaminaby beds|99|||Yes|Group, Suite|Formal|Variation of published name|Defined|||||Late Ordovician||||Early Ordovician|||||1500||No|42294|23170|||||See also defined Adaminaby beds (intended as a Redefinition).  Also supersedes Abercrombie beds. Equivalent to Pinnack Sandstone. Type Section: Refer to Glen et al. 1990. Similar in age and lithology (quartz sandstone turbidite sequences) to Wagga Group but separated by the Gilmore Fault Zone|Turbiditic sequence of sandstone, mudstone, shale, carbonaceous shale, greywacke; chert, quartzite, phyllite, slate.|sedimentary siliciclastic|||N|
Addiscot Formation|36801|||||Yes|Formation, beds|Formal|Other new published name|Redefined|Demons Bluff Group|36796|||Late Oligocene||||Late Eocene|||||||No|23778|23778|||||Of Torquay Basin|||||N|
Adjie Granodiorite|37625|||||Yes|Formation, beds|Formal|Other new published name|Fully described|||||Silurian||||Silurian|||||||No|23309||||||Age and lithology updated from GSV data (HG, Dec 2005). GSV Code: G105. I type.|Highly magnetic, pale grey, medium to coarse grained, I-type hornblende granodiorite with minor pale pink K-feldspar|igneous felsic intrusive|||Y|
Admiral Formation|30073|||||Yes|Formation, beds|Formal|Resvd name published|Briefly described|Emperor Subgroup|32290|||Turonian||||Turonian|||||||No|13323||Partridge A.D.|12/FEB/96|||Within the Emperor Subgroup (Latrobe Group).|Fluvial sandstones and shallow lacustrine mudstones - blocky sandstones separated by shales.||||N|
Agnes Formation|154|||||Yes|Formation, beds|Formal|Variation of published name|Mentioned||||||||||||||||No|41868|||||||||||N|
Akuna Mudstone|25757|Akuna Siltstone|32176|||Yes|Formation, beds|Formal|Other new published name|Defined|Bendoc Group|1474|||Llandovery|438|||Late Cambrian|500||||300|VIC|No|41570|42647|||||Murrindal area. Equivalent to the Gungoandra Siltstone. In faulted contact with Yalmy Group above, and Sunlight Creek Formation and Pinnak Sandstone. Geological Survey of Victoria map code: Oba.|Mudstone - laminated, well-bedded; siliceous siltstone, thin sandstone beds: purple, khaki and green-grey.|sedimentary siliciclastic|||N|
Albacore Subgroup|37365|||||Yes|Subgroup|Formal|Other new published name|Described|Seaspray Group|16717|||Miocene||||Miocene|||||||No|23625|||||||Marine carbonates and marine clastics.||||N|
Albert Park Aeolianite|225|||||Yes|Formation, beds|Formal|Other new published name|Described|Bridgewater Group|2546|||Early Pleistocene||||Early Pleistocene|||||||No|41769|||||||Aeolianite||||N|
Alberton Coal Measures|23325|||||Yes|Formation, beds|Formal|Variation of published name|Described|||||Miocene||||Miocene|||||||No|38929||B.R.Thompson, G.Walker|14/DEC/81||||Coal Measures.||||N|
Albion Formation|72620|||||Yes|Formation, beds|Formal|Other new published name|Briefly described|Saint Arnaud Group|23952|||Early Cambrian||||Early Cambrian|||||||No|62747||||||In the Central Lode hangingwall this formation has previously been referred to as the Mine Schist.|Interlayered black mudstone with minor siliceous siltstone and calcareous sandstone; base is characterised by strong chlorite+/-stilpnomelane alteration||||N|
Albury Gneiss|234|Albury gneiss|236|||Yes|Formation, beds|Formal|Unknown or process pending|Described|||||Ordovician||||Ordovician|||||||No|45003|||||||Gneiss|metamorphic|||N|
