Reference Id | Author | Year | Title | Source | Vol/Part | Pages
5178|Brock, G.A., Engelbretsen, M.J., Dean-Jones, G.|1995|Acrotretid brachiopods from the Devonian of Victoria and New South Wales|Association of Australasian Palaeontologists, Memoir|18|105-120
5252|Sherwin, L.|1995|Siluro-Devonian brachiopods from the Amphitheatre and Winduck Groups (Cobar Supergroup), western New South Wales|Association of Australasian Palaeontologists, Memoir|18|61-96
5258|Stewart, I.R., Fergusson, C.L.|1995|Ordovician conodonts from the Lue beds, Mudgee and Sunlight Creek Fmn, Goulburn, New South Wales. IN APC94; papers from the first Australian palaeontological convention, Macquarie University, February, 1994|Association of Australasian Palaeontologists, Memoir|18|164
5952|Whittam, D.B., Norvick, M.S., McIntyre, C.L.|1996|Mesozoic and Cainozoic tectonostratigraphy of western Zoca and adjacent areas.|APPEA Journal|1996|209-231
7142|Struckmeyer, H.I.M., Blevin, J.E., Sayers, J., Totterdell, J.M., Baxter, K., Cathro, D.L.|1998|Structural evolution of the Browse Basin, North West Shelf: new concepts from deep-seismic data|in Purcell, P.G. & Purcell, R.R. (eds), The sedimentary basins of Western Australia 2. Proceedings of a PESA Symposium, Perth||345-367.
7992|Sprigg, R.C.|1955|The Point Marsden Cambrian Beds, Kangaroo Island, South Australia|Transactions of the Royal Society of South Australia|78|165-168
9124|Thomson, B.P., Horwitz, R.C., Parkin, L.W., Barnes, T.A.|1962|Barker 1:250 000 Geological Map sheet SI54-13 - First Edition|Geological Survey of South Australia||map
10010|Whitehouse, J., Roy, P.S., Oakes, G.M.|1999|Mineral Sand Resources Potential of the Murray Basin|Geological Survey of New South Wales, Department of Mineral Resources|1999/38|74p
12100|Foster, D.A., Gray, D.R., VandenBerg, A.H.M.|2000|Timing of orogenic events in the Lachlan Orogen: Discussion and Reply|Australian Journal of Earth Sciences|47(4)|813-822
12796|Partridge, A.|2001|Revised stratigraphy of the Sherbrook Group, Otway Basin IN Hill, K.C. and Bernecker, T. (eds.) "Eastern Australasian Basins Symposium: a refocussed energy perspective for the future"|Petroleum Exploration Society of Australia. Special Publication|1v|p455-464
