Stratno | Stratigraphic Name | Entity Number | Province Name 
27099|Abrakurrie Limestone|20936|Eucla Basin
72737|Acacia Sandstone Member|22114|Canning Basin
31387|Ajana Formation|22097|Southern Carnarvon Basin
31387|Ajana Formation|28319|Gascoyne Sub-basin
213|Albany Granite|464813|Albany-Fraser Orogen
24651|Albert Edward Group|467103|Halls Creek Orogen
24651|Albert Edward Group|467204|Wolfe Basin
39599|Alcurra Dolerite|467262|Musgrave Province
271|Alinga Formation|28319|Gascoyne Sub-basin
23326|Allanson Sandstone|20119|Collie Basin
34450|Amhurst Metamorphics|429252|Lamboo Province
25762|Anderson Formation|22114|Canning Basin
25762|Anderson Formation|22196|Roebuck Basin
31682|Andover Intrusion|39522|Andover Nickel Province
31682|Andover Intrusion|464203|Pilbara Craton
437|Angalarri Siltstone|569185|Victoria Basin
23335|Angel Formation|20925|Northern Carnarvon Basin
23335|Angel Formation|27718|Barrow Sub-basin
23335|Angel Formation|27899|Dampier Sub-basin
21138|Angelo Microgranite|40015|Mount Angelo Copper-Molybdenum Metallogenic Province
21138|Angelo Microgranite|429252|Lamboo Province
464|Anketell Formation|22114|Canning Basin
23337|Anna Plains Sandstone|22114|Canning Basin
36842|Annabelle Volcanics|35165|Ravensthorpe Nickel Metallogenic Province
36842|Annabelle Volcanics|40126|Bounty Gold Metallogenic Province
74813|Annean Supersuite|429729|Murchison Domain
74813|Annean Supersuite|464632|Yilgarn Craton
488|Antrim Plateau Volcanics|21914|Bonaparte Basin
488|Antrim Plateau Volcanics|22075|Petrel Sub-basin
488|Antrim Plateau Volcanics|22109|Wiso Basin
488|Antrim Plateau Volcanics|467103|Halls Creek Orogen
488|Antrim Plateau Volcanics|468269|Kalkarindji Igneous Province
524|Aralka Formation|22078|Amadeus Basin
74209|Arco Formation|22075|Petrel Sub-basin
613|Armadale Shale|464168|Pinjarra Orogen
21152|Arranoo Member|22020|Perth Basin
679|Arunta Complex|22078|Amadeus Basin
679|Arunta Complex|467256|Arunta Orogen
693|Ascot Formation|22020|Perth Basin
34563|Ashbrook Sandstone|22020|Perth Basin
34563|Ashbrook Sandstone|27029|Vasse Shelf
698|Ashburton Formation|464551|Ashburton Basin
718|Ashmore Volcanics|28450|Ashmore Platform
77087|Athena Basalt|464632|Yilgarn Craton
