Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
28372|Black Flag Group|is intruded by|77868|Abattoir East Gabbro||
28372|Black Flag Group|is intruded by|77869|Abattoir West Gabbro||
25355|Nullarbor Limestone|overlies|27099|Abrakurrie Limestone|unconformity|
16251|Roe Calcarenite|overlies|27099|Abrakurrie Limestone|not specified|
20155|Wilson Bluff Limestone|underlies|27099|Abrakurrie Limestone|disconformity|
8259|Helicopter Siltstone|overlies|30154|Ahern Formation|not specified|
24245|Doctors Creek Formation|overlies|24150|Airport Creek Formation|not specified|
24254|Double Nob Formation|overlies|24150|Airport Creek Formation|not specified|
23841|Mowanjum Sand|underlies|24150|Airport Creek Formation|unconformity|
3686|Carribuddy Group|is equivalent to|31387|Ajana Formation||in part
67829|Coburn Formation|overlies|31387|Ajana Formation|not specified|
31386|Faure Formation|overlies|31387|Ajana Formation|unconformity|
18674|Tumblagooda Sandstone|underlies|31387|Ajana Formation|conformity|
67833|Yaringa Formation|overlies|31387|Ajana Formation|conformity|
488|Antrim Plateau Volcanics|overlies|24651|Albert Edward Group|unconformity|
5760|Duerdin Group|underlies|24651|Albert Edward Group|not specified|
15830|Ranford Formation|underlies|24651|Albert Edward Group|not specified|
5300|Dean Quartzite|underlies|39599|Alcurra Dolerite|unconformity|
1088|Barbwire Sandstone|underlies|25758|Alexander Formation|unconformity|
25961|Jarlemai Siltstone|overlies|25758|Alexander Formation|conformity|
27250|Wallal Sandstone|underlies|25758|Alexander Formation|unconformity|
16445|Rumbalara Shale|overlies|262|Algebuckina Sandstone||
18394|Toolonga Calcilutite|overlies|271|Alinga Formation|disconformity|
20198|Windalia Radiolarite|underlies|271|Alinga Formation|not specified|
8225|Heavitree Quartzite|overlies|41842|Alkipi Metamorphics|unconformity|
6435|Ewington Coal Measures|underlies|23326|Allanson Sandstone|conformity|
26854|Premier Coal Measures|overlies|23326|Allanson Sandstone|conformity|
5300|Dean Quartzite|overlies|35317|Amputjuta Dacite|not specified|
6483|Fairfield Group|underlies|25762|Anderson Formation||
7696|Grant Group|overlies|25762|Anderson Formation|unconformity|
25727|Laurel Formation|underlies|25762|Anderson Formation|conformity|
32171|Reeves Formation|overlies|25762|Anderson Formation|unconformity|
21066|Yulleroo Formation|underlies|25762|Anderson Formation|conformity|
8883|Jasper Gorge Sandstone|underlies|437|Angalarri Siltstone|conformity|
16494|Saddle Creek Formation|overlies|437|Angalarri Siltstone|conformity|
27535|Pedestal beds|is equivalent to|75569|Angas Hills beds||
5507|Dingo Claystone|underlies|23335|Angel Formation|not specified|
23599|Forestier Claystone|overlies|23335|Angel Formation|not specified|
10301|Legendre Formation|underlies|23335|Angel Formation|not specified|
25827|Callawa Formation|underlies|464|Anketell Formation|not specified|
6911|Frezier Sandstone|overlies|464|Anketell Formation|not specified|
69780|Lander Rock Formation|is intruded by|466|Anmatjira Orthogneiss||
36848|Manyutup Tonalite|is equivalent to|36842|Annabelle Volcanics||
24651|Albert Edward Group|underlies|488|Antrim Plateau Volcanics|unconformity|
787|Auvergne Group|underlies|488|Antrim Plateau Volcanics|not specified|
1735|Birrindudu Group|underlies|488|Antrim Plateau Volcanics|unconformity|
5760|Duerdin Group|underlies|488|Antrim Plateau Volcanics|unconformity|
23629|Goose Hole Group|overlies|488|Antrim Plateau Volcanics|not specified|
8205|Headleys Limestone|overlies|488|Antrim Plateau Volcanics|disconformity|
10094|Lally Conglomerate|underlies|488|Antrim Plateau Volcanics|not specified|
10676|Louisa Downs Group|underlies|488|Antrim Plateau Volcanics|not specified|
10840|Lucas Formation|overlies|488|Antrim Plateau Volcanics||
12130|Montejinni Limestone|overlies|488|Antrim Plateau Volcanics|unconformity|
15983|Redcliff Pound Group|underlies|488|Antrim Plateau Volcanics|unconformity|
17763|Tanami Group|underlies|488|Antrim Plateau Volcanics|unconformity|
30320|Windoo Sandstone|overlies|488|Antrim Plateau Volcanics|not specified|
18532|Trainor Hill Sandstone|overlies|34536|Apamurra Formation|not specified|
39510|Chessman Granodiorite|intrudes|25763|Apex Basalt||
36951|Coppin Gap Granodiorite|intrudes|25763|Apex Basalt||
5770|Duffer Formation|underlies|25763|Apex Basalt|disconformity|
39505|Kennell Granodiorite|intrudes|25763|Apex Basalt||
41377|Mullugunya Granodiorite|intrudes|25763|Apex Basalt||
14834|Panorama Formation|overlies|25763|Apex Basalt|conformity|
39503|Walgunya Trondhjemite|intrudes|25763|Apex Basalt||
39509|Wilina Granodiorite|intrudes|25763|Apex Basalt||
39502|Zulu Granodiorite|intrudes|25763|Apex Basalt||
74207|Sunbird Formation|underlies|74209|Arco Formation|not specified|
17793|Tanmurra Formation|underlies|74209|Arco Formation|not specified|
524|Aralka Formation|overlies|571|Areyonga Formation|not specified|
1758|Bitter Springs Formation|underlies|571|Areyonga Formation|not specified|
8225|Heavitree Quartzite|overlies|605|Arltunga Nappe Complex|not specified|
26073|Neerigen Formation|underlies|613|Armadale Shale|conformity|
9070|Julie Formation|underlies|668|Arumbera Sandstone|conformity|
75076|Fishburn Formation|overlies|75075|Ascalon Formation|conformity|
25776|Bassendean Sand|overlies|693|Ascot Formation|not specified|
7854|Guildford Formation|overlies|693|Ascot Formation|unconformity|
14663|Osborne Formation|underlies|693|Ascot Formation|unconformity|
34564|Redgate Coal Measures|overlies|34563|Ashbrook Sandstone|conformity|
34565|Rosabrook Coal Measures|underlies|34563|Ashbrook Sandstone|conformity|
34951|Bangemall Supergroup|overlies|698|Ashburton Formation|unconformity|
2216|Boolaloo Granodiorite|intrudes|698|Ashburton Formation||
26528|Duck Creek Dolomite|underlies|698|Ashburton Formation|conformity|
34906|Edmund Group|overlies|698|Ashburton Formation|unconformity|
37193|Yilgatherra Formation|overlies|698|Ashburton Formation|not specified|
5507|Dingo Claystone|overlies|735|Athol Formation|not specified|
10282|Learmonth Formation|overlies|735|Athol Formation|not specified|also interfingers with
10301|Legendre Formation|overlies|735|Athol Formation|not specified|
27211|Murat Siltstone|underlies|735|Athol Formation|not specified|
27215|North Rankin Formation|underlies|735|Athol Formation|not specified|
8225|Heavitree Quartzite|overlies|24166|Atnarpa Igneous Complex|unconformity|
17719|Tamala Limestone|overlies|23346|Australind Formation|disconformity|
19470|Warnbro Group|underlies|23346|Australind Formation|unconformity|
488|Antrim Plateau Volcanics|overlies|787|Auvergne Group|unconformity|
2914|Bullita Group|underlies|787|Auvergne Group|unconformity|
5760|Duerdin Group|overlies|787|Auvergne Group|unconformity|
19609|Wattie Group|underlies|787|Auvergne Group|unconformity|
39034|BB2|overlies|39033|BB1|not specified|
39048|BB11|overlies|39047|BB10|not specified|
39038|BB4|underlies|39047|BB10|not specified|
39043|BB8a|underlies|39047|BB10|not specified|
39044|BB8b|underlies|39047|BB10|not specified|
39046|BB9|underlies|39047|BB10|not specified|
39047|BB10|underlies|39048|BB11|not specified|
39049|BB12a|overlies|39048|BB11|not specified|
39051|BB12c|overlies|39048|BB11|not specified|
39048|BB11|underlies|39049|BB12a|not specified|
39050|BB12b|overlies|39049|BB12a|not specified|
39043|BB8a|underlies|39049|BB12a|not specified|
39049|BB12a|underlies|39050|BB12b|not specified|
39051|BB12c|overlies|39050|BB12b|not specified|
39041|BB6|underlies|39050|BB12b|not specified|
39048|BB11|underlies|39051|BB12c|not specified|
39050|BB12b|underlies|39051|BB12c|not specified|
39052|BB13|overlies|39051|BB12c|not specified|
39053|BB14|overlies|39051|BB12c|not specified|
39051|BB12c|underlies|39052|BB13|not specified|
39053|BB14|overlies|39052|BB13|not specified|
39054|BB15a|overlies|39052|BB13|not specified|
39057|BB16|overlies|39052|BB13|not specified|
