Stratno | Stratigraphic Name | Category | Contents | Last update 
24150|Airport Creek Formation|Name source|Airport Creek; mouth of creek grid reference 121817, Derby 1:250 000 sheet.|
24150|Airport Creek Formation|Type section locality|3 metres of partly indurated laminated sediment is exposed along banks and at the mouth of Airport Creek.  The top is in sharp contact with a grey soil unit called Double Nob Formation;  the base is not exposed.|
24150|Airport Creek Formation|Extent|The unit is exposed along banks of Airport Creek, Doctors Creek and low tide zones near Derby.  Total outcrop and subsurface distribution is in excess of 200 km2. |
24150|Airport Creek Formation|Thickness range|8 metres plus;  determined by coring under Derby Jetty;  base not reached.|
24150|Airport Creek Formation|Lithology|Interlayered grey to buff calcareous and siliciclastic laminates, sandstone and sponge spicules in the sandstones.|
24150|Airport Creek Formation|Relationships and boundaries|Basal relationships not accurately known; on shore the unit overlies Mowanjum Sands, as determined by augering at grid reference 123822, Derby Sheet area 1:250 000.  The unit is overlain by Double Nob Formation (soil) with gradational contact and locally by Doctors Creek Formation with sharp contact.|
24150|Airport Creek Formation|Age reasons|Criteria of unconformity, weathering features and overlying soil unit place the unit in the Pleistocene (or ?Pliocene).|
24169|Baleine Formation|Name source|Baleine Bank; grid reference 515885, Pender 1:250 000 Sheet area.|
24169|Baleine Formation|Type section locality|2966-4175 ft (904-1273 m) in Lacepede 1A (17o5'8"S, 121o26'41"E).|
24169|Baleine Formation|Extent|The unit is present only in the subsurface of the offshore Canning Basin and southern Browse Basin.  Its limit to the east is uncertain, but its absence in either coastal wells or outcrop suggests it is west of the present shoreline.  No western limit is known due to lack of deep sea drilling.|
24169|Baleine Formation|Thickness range|Drilled thickness ranges from 94 m to 504 m. Isopach contours suggest it thickens to approximately 1000 m in the Rowley Shoals area.|
24169|Baleine Formation|Lithology|Chiefly claystone, grey, silty to arenaceous, common traces of glauconite as high as 10% and traces of mica and pyrite.  Towards the east the upper part is interbedded sandstone and siltstone.  The sandstone is grey; very fine to coarse grained, grain size decreases downhole to a very fine-grained argillaceous sandstone of siltstone; poor to well sorted with the degree of sorting increasing downhole; clay matrix; traces of glauconite carbonate cement up to 10% in the lower sandstone, and rock fragments.  Siltstone, grey, sandy and argillaceous.|
