Stratigraphic Name | Stratno |  Previous Name  |Previous Name Stratno| Replacement Name | Replacement Name Stratno |Is Current | Rank | Status | Category | Usage | Parent Name | Parent Stratno | Chemical Parent Name | Chemical Parent Stratno | Top Minimum Age Name | Top Minimum Age (Ma) | Top Minimum Age Error (Ma)| Top Minimum Age Method | Base Maximum Age Name | Base Maximum Age (Ma) | Base Maximum Age Error (Ma) | Base Maximum Age Method | Minimum Thickness (m) | Maximum Thickness (m) | Type Section State | Definition Card | First ref as on form | Def ref as on form | Reserved by | Resdate | Approved by | Approved date |General Comments | Lithology Description | Primary Lithology Group | Secondary Lithology Group | Tectonic Setting | Intrusive | Granite Type
2A Tank monzogranite|72485|||||Yes|Formation, beds|Informal|Other new published name|Briefly described|||||Archean||||Archean|||||||No|||||||Informal name for Eastern Goldfields Province data (HG 09/2006)|||||Y|
81-Mile Vent Lamproite|3|81-Mile Vent lamproite|4|||Yes|Formation, beds|Formal|Variation of published name|Mentioned||||||||||||||||No|41158|||||||||||Y|
Abattoir East Gabbro|77868|||||Yes|Formation, beds|Reserved|Reserved|Reserved|||||Neoarchean||||Neoarchean|||||||No|||Hall, C. (GSWA)|31/MAY/13|||Differentiated gabbro within the Black Flag Group. To be published = Geological Survey of Western Australia East Yilgarn Update 2013-14, digital product.
|Gabbro.||||Y|
Abattoir West Gabbro|77869|||||Yes|Formation, beds|Reserved|Reserved|Reserved|||||Neoarchean||||Neoarchean|||||||No|||Hall, C. (GSWA)|31/MAY/13|||Intrudes the Black Flag Group; found west of the Abattoir East Gabbro; metamorphosed. To be published = Geological Survey of Western Australia East Yilgarn Update 2013-14, digital product.|Gabbro.|igneous mafic intrusive|||Y|
Abbotshall Chert|35663|Abbotshall Beds|30|||Yes|Formation, beds|Informal|Variation of published name|Mentioned|||||Archean||||Archean|||||||No|23136|||||||||||N|
Aberdare Dolerite|21097|||||Yes|Formation, beds|Formal|Resvd name published|Briefly described||||||||||||||||No|23926||Clout J.M.F., Cleghorn J.H., Eaton P.C.|15/MAR/89|||This unit appears in Clout et al., 1990. Geology of the Kalgoorlie Gold Field. In: Geology of the Mineral deposits of Australia and Papua New Guinea. Ed: F.E.Hughes. The Australian Institute of Mining and Metallurgy. See text page 412, in Volume 1. It is hoped that this article will be indexed in the near future [GO'C 2/10/2013].|||||Y|
Abney Sandstone|59|Abney Sandstone Member|58|||Yes|Formation, beds|Formal|Variation of published name|Fully described|||||Frasnian||||Late Devonian|||||||No|45038|||||||||||N|
Abrakurrie Limestone|27099|||||Yes|Formation, beds|Formal|Other new published name|Defined|||||Early Miocene||||Late Oligocene|||||120|WA|No|34192|22626||||||Coarse-grained bryozoan calcarenite and calcirudite, distinctly cyclic, and contains numerous hardgrounds; locally dolomitised.|sedimentary carbonate|||N|
Abydos Monzogranite|37149|||||Yes|Formation, beds|Formal|Variation of published name|Described|||Sisters Supersuite|68741|Mesoarchean|2930|||Mesoarchean|2945||||||No|61252||||||Variation of Abydos Adamellite (Defined)|Porphyritic feldspar-quartz-biotite-titanite monzogranite; moderately to strongly foliated; metamorphosed|igneous felsic intrusive|||Y|
