Reference Id | Author | Year | Title | Source | Vol/Part | Pages
1943|Gorter, J.D., Nicoll, R.S., Foster, C.B.|1994|Lower Palaeozoic Facies in the Carnarvon Basin, Western Australia: Stratigraphy and hydrocarbon prospectivity. IN Purcell, P.G. & Purcell, R.R. (eds), The sedimentary basins of Western Australia.|Proceedings of the West Australian Basins Symposium, sponsered by the Western Australian Branch of the Petroleum Exploration Society of Australia, Perth, 14-17 August, 1994. PESA 864 pages||373-396
5030|Mabbutt, J.A.|1967|Denudation chronology in Central Australia: structure, climate, and landform inheritance in the Alice Springs area. Chapter 8 IN: Jennings, J. N., and Mabbutt, J. A. (Eds.), Landform studies from Australia and New Guinea.|Australian National University Press, Canberra|1v|144-181
5256|Jones, P.J.|1995|Early Carboniferous Cladocopina (Ostracoda) from the Bonaparte Basin, NW Australia, and the identity of Discoidella|Association of Australasian Palaeontologists, Memoir|18|143-152
5257|Archbold, N.W.|1995|Ufimian (early Late Permian) brachiopods from the Perth Basin, Western Australia|Association of Australasian Palaeontologists, Memoir|18|153-163
5952|Whittam, D.B., Norvick, M.S., McIntyre, C.L.|1996|Mesozoic and Cainozoic tectonostratigraphy of western Zoca and adjacent areas.|APPEA Journal|1996|209-231
6876|Bradshaw, J., Sayers, J., Bradshaw, M., Kneale, R., Ford, C., Spencer, L., Lisk, M.|1998|Palaeogeography and its impact on the petroleum systems of the North West Shelf, Australia.|in Purcell, P.G. & Purcell, R.R. (eds), The sedimentary basins of Western Australia 2. Proceedings of a PESA Symposium, Perth||95-121.
7142|Struckmeyer, H.I.M., Blevin, J.E., Sayers, J., Totterdell, J.M., Baxter, K., Cathro, D.L.|1998|Structural evolution of the Browse Basin, North West Shelf: new concepts from deep-seismic data|in Purcell, P.G. & Purcell, R.R. (eds), The sedimentary basins of Western Australia 2. Proceedings of a PESA Symposium, Perth||345-367.
7161|Krapez, B., Martin, D.McB.|1999|Sequence stratigraphy of the Palaeoproterozoic Nabberu Province of Western Australia|Australian Journal of Earth Sciences|46(1)|pp89-103
9141|Glikson, A.Y., Green, D.|1983|Bedrock Geology of the Glen Helen, Narwietooma and Anburla, Northern Territory 1:100 000 Sheet Areas - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics|1v|Map
9173|Thom, R., Chin, R.J.|1984|Bremer Bay 1:250 000 Geological Map sheet SI50-12 - First Edition|Geological Survey of Western Australia||map
9199|Langworthy, A.P., Pillinger, D.M., Offe, L.A.|1976|Burt 1:100 000 Geological Map Sheet 5651 - Preliminary Edition|Bureau of Mineral Resources, Geology and Geophysics|1v|Map
9324|Dundas, D.L., Edgoose, C.J., Fahey, G.M., Fahey, J.E.|1987|Daly River, Northern Territory, 1:100 000 Geological Map, Sheet 5070 - First Edition|Department of Mines and Energy, Darwin|1v|Map
