**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on February 21, 2015
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Paleontology
********
FR Number	Yard FR Number	Locality Type	Field Number/Drillhole Name	Depth From	Depth To	Depth Unit	Drill Type	Identifiers	Identification Date	Stage Lower	Lower Modifier	Stage Upper	Upper Modifier	Age Start	Age Stop	Stage Comments	nLab Number	Collection Comments
C43/f7510	S140/f0510	Outcrop						Fleming, C.A.; 		Whaingaroan		Waitakian		34.6	21.7	PROBABLY LANDON.	GNS GS 7983	NO FOSSIL LIST.	
C46/f0059		Outcrop	W26					Beu, A.G.; 	February 22, 1984	not determined				999.9	0.0	LACKS IDENTIFIABLE FOSSILS.		SAMPLE DISCARDED.	
C46/f0103		Outcrop	C46/11A					Beu, A.G.; 	May 3, 1988	not determined				999.9	0.0			ROCK APPARENTLY SHEARED, NO WHOLE SHELLS FOUND AFTER EXTENSIVE WASHING; SAMPLE DISCARDED.	
C46/f9508	S175/f0508	Outcrop						Fleming, C.A.; 		not determined				999.9	0.0		GNS GS 3825	INDET. SHELL FRAGMENTS.	
C46/f9524	S175/f0524	Outcrop						Finlay, H.J.; 										HARD LIMESTONE.	
C46/f9524	S175/f0524	Outcrop						Fleming, C.A.; 		not determined				999.9	0.0		GNS GS 3827	INDET. LST. OF HYDROCORALLINE, ALGAL OR POLYZOAL ORGANISMS. NO FOSSIL LIST.	
CA/f0021A		Outcrop	217A + B					Fleming, C.A.; 									GNS GS 11260	FIELD NO. 217 - NO LIST.	
CA/f0021A		Outcrop	217A + B					Edwards, A.R.; 	October 18, 1983	not determined				999.9	0.0		GNS F 23580	SMALL HAND SPECIMEN ONLY.	
CA/f0021A		Outcrop	217A + B					Strong, C.P.; 	September 9, 1997	Bortonian	?			42.6	39.1	Based on tentative id's.	GNS F 23580	Tentative identifications only, of specimens on weathered surface of small chip. In pillbox in F-Stack. Tucker Cove Lst. 0.5 mi NE of Windlass Bay.	
CA/f0021B		Outcrop	306					Fleming, C.A.; 									GNS GS 11260	FIELD NO. 306 - NO LIST.	
CA/f0021B		Outcrop	306					Wilson, G.J.; 	October 8, 1996	Porangan				45.7	42.6	Based on comparison with Waipawa Section (Wilson 1988). Deflandrea convexa only known from Dp and several other taxa not known below Dp e.g. Tritonites trilobus. However uppermost Dh is possible (M. perf. Zone).	GNS L 17668	Abundant dinoflagellates dominated by Deflandrea antarctica and related forms. Preservation good. Pollen relatively rare.	
CA/f0021B		Outcrop	306					Wilson, G.J.; 	October 8, 1996	Porangan		Bortonian		45.7	39.1	Based on similarity to Waipawa Section (Wilson 1988). Dp seems most likely age.	GNS L 17669	Siliceous core of f21B whereas L17668 is outer limestone of f21B. Abundant dinos and pyritized radiolaria and diatoms.	
CA/f0021B		Outcrop	306					Strong, C.P.; 	April 9, 1997	Porangan		Bortonian		45.7	39.1	Horni thinks Dp because no G. index; Finlay thinks Ab on comparison with Hampden beach faunas.	GNS F 6424	On slide (needs remounting). Un-entered Finlay and Hornibrook lists revised and updated. Tucker Cove Lst., below cliffs 0.5 mi NE of Windlass Bay.	
CA/f0022A		Outcrop	246					Fleming, C.A.; 									GNS GS 11261	NO LIST.	
CA/f0022A		Outcrop	246					Strong, C.P.; 	April 9, 1997	Porangan		Bortonian		45.7	39.1	Horni thinks Dp because no definite G. index.	GNS F 0000	Slide not found. Updated Hornibrook species list. Lower bathyal. Tucker Cove Lst., west coast below St. Col.	
CH/f0004		Outcrop								Nukumaruan				2.4	1.63	?LOWER.	GNS GS 1178	NO LIST.	
CH/f0004		Outcrop						Beu, A.G.; 		Nukumaruan				2.4	1.63	ADOPTED AGE. TITIRANGI SAND.	GNS GS 1178	DET. PUBLISHED NZGS BULL. 105 (1991).	
CH/f0004		Outcrop						Buckeridge, J.S.; 		Nukumaruan				2.4	1.63	ADOPTED AGE. TITIRANGI SAND.	GNS GS 1178	DET. PUBLISHED NZGS BULL. 105 (1991).	
CH/f0011A		Outcrop								Haumurian				83.6	66.0	ADOPTED AGE.	GNS GS 11250	REFER NZGS BULL. 105 (1991).	
CH/f0011A		Outcrop						Speden, I.G.; 	December 19, 1973	Urutawan		Motuan		108.4	99.5	SEE G.S. FILE AND REPORT TO GRINDLEY.	GNS GS 11250	COLONIES IN MATRIX AND ENCRUSTING EXTERNAL SURFACE OF Amphidonte.	
CH/f0011A		Outcrop						Mildenhall, D.C.; 	August 19, 1974	Mangaotanean		Teratan		93.7	86.5	definite.	GNS L 6804	L6804/1 see also L6804/2 to L6804/10. Dinophyceae slide L6804/2 n/d.	
CH/f0011A		Outcrop						Wilson, G.J.; 	1976								GNS L 6804		
CH/f0011B		Outcrop	Waihere 41							Haumurian				83.6	66.0	ADOPTED AGE.	GNS GS 11250 B	REFER NZGS BULL. 105 (1991).	
CH/f0011B		Outcrop	Waihere 41					Speden, I.G.; 	March 17, 1977	Teratan				90.5	86.5	RANGE UNKNOWN.	GNS GS 11250 B		
CH/f0013B		Outcrop								Opoitian		Mangapanian		5.3	2.4	LATE Wo-Wm.	GNS GS 12163	REFER NZGS BULL. 105 (1991).	
CH/f0013B		Outcrop						Beu, A.G.; 		Waipipian				3.7	3.0	BY FORAMS.	GNS GS 12163	GASTROPODA DET. PUBLISHED PAL. BULL. 54: 23 (1987). BROZOA DET. TO BE PUBLISHED BY BOARDMAN, MCKINNEY & TAYLOR IN SMITHSONIAN CONTRIBUTIONS TO PALEOBIOLOGY.	
CH/f0013B		Outcrop						Buckeridge, J.; 									GNS GS 12163	IDENT PH. D. THESIS 1979.	
