**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on August 5, 2014
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Locality
********
FR Number	Yard FR Number	Locality Type	Field Number/Drillhole Name	Depth From	Depth To	Depth Unit	Drill Type	Original Grid Reference	NZMG Easting	NZMG Northing	NZGD49 Latitude	NZGD49 Longitude	Map Year	Method	Accuracy	Locality	Country	Coordinate Comments	Locality Comments	Collectors	Collection Date	Fossils in Place	Sent To	Not Collected	Significance/Comments	Stratigraphic Name	Inferred Stage Lower	Inferred Lower Modifier	Inferred Stage Upper	Inferred Upper Modifier	Inferred Age Start	Inferred Age Stop	Known Stage Lower	Known Lower Modifier	Known Stage Upper	Known Upper Modifier	Known Age Start	Known Age Stop	Samples Nearby	Sample Relationships	Stratigraphic Relationships	Column/Map	Dip	Dip Direction	Strike	Facing	Stratigraphy Comments	Primary Grainsize	Secondary Grainsize	Comparator Used	Bedding Thickness	Bedding Features	Weathering	Hardness	Carbonate	Colour	Sedimentary Features	Inferred Environment	Nature of Rock Unit	Correspondence	
D39/f0031		Outcrop						(D39) 2124800 5630300 (New Zealand Map Grid)	2124800.000002283	5630299.999961235	44.43514°S	168.15911°E	1975			Southernmost headwaters of Wilmot River in talus at base of cliffs to southeast.	New Zealand			Ballard, H.R.; 	February 25, 1983	Almost	(microflora) Olivecrona, Y.M./NZGS; 		Sample in intimate association with volcaniclastic and extrusive rocks of the Eglington Volcanics.	EGLINGTON VOLCANICS																						very fine sand	silt	N	non-bedded		none or slight	hard	calcareous	medium grey-black (Dry)	tuffaceous; pyritic; 	Marine	Highly indurated well sorted tuffaceous volcaniclastic sandstone with conspicuous calcite and CPX crystals.		
D41/f7512	S122/f0512	Outcrop						S122 060 870 (NZMS1 SthIsl (truncated))	2122864.7800777797	5580760.857337064	44.87912°S	168.09775°E				East of Lake Gunn, roadside on incline sloping down to north, south of 50 mile peg.	New Zealand			Carter, R.M.; 	May 1963	Yes	(macrofauna) Otago U; 				Gore Series	?			251.0	229.0																silt						moderately soft	non-calcareous	dark blue-grey		Marine			
D41/f7515	S122/f0515	Outcrop	JGW 2807					S122 024 871 (NZMS1 SthIsl (truncated))	2119574.995367034	5580793.803788675	44.87705°S	168.05622°E	1973			Melita Peak. Scree on the north side 100 metres from the summit.	New Zealand			Campbell, J.D.; Williams, J.G.; 	March 31, 1973	Almost	(macrofauna) Otago U; 			EGLINTON VOLCANIC SUBGROUP	Aparima Series				288.5	259.8	Aparima Series		D'Urville Series		288.5	251.0										medium sand	granule	N			none or slight	hard	calcareous	light green-grey (Dry)		Marine	Crystal tuff. Fine agglomerate.		
D41/f7515A	S122/f0515A	Outcrop	JGW 686					S122 024 871 (NZMS1 SthIsl (truncated))	2119574.995367034	5580793.803788675	44.87705°S	168.05622°E	1073			Melita Peak. Scree on north side 100 metres from the summit.	New Zealand			Corner, N.G.; Williams, J.G.; 	December 6, 1971	Almost	(macrofauna) Otago U; 			EGLINTON VOLCANIC SUBGROUP	Aparima Series				288.5	259.8	Aparima Series		D'Urville Series		288.5	251.0										medium sand	granule	N			none or slight	hard	calcareous	light green-grey (Dry)		Marine	Crystal tuff. Fine agglomerate.		
D41/f9546	S131/f0546	Outcrop						S131 021 762 (NZMS1 SthIsl (truncated))	2119477.522880228	5570833.272915976	44.96647°S	168.04739°E	1973			Above bushline on south side of a rocky gut draining into Smithy Creek.	New Zealand			Williams, J.G.; Craw, D.; 	November 15, 1972	Yes	(macrofauna) Otago U; 																									very coarse sand					moderate	hard	non-calcareous	dark green (Dry)	rock fragments (abundant); 	Marine	Lithic sandstone/fine breccia.		
D42/f0054A		Outcrop	U2					(D42) 2120200 5540900 (New Zealand Map Grid)	2120200.000002853	5540899.999952904	45.23573°S	168.03359°E	1975			Recollection of D42/f054, in tributary of Upukerora River on east side of Dunton Range.	New Zealand			Landis, C.A.; Campbell, H.J.; 	January 28, 1980	Yes	(macrofauna) Campbell, H.J./NZGS: GS12666; 			EGLINTON SUB GROUP	Braxtonian				276.0	259.8										GRINDLEY 1958, D42 IN PREPERATION.						very fine sand	silt	N			none or slight	moderately hard	calcareous	light grey-green (Dry)	rock fragments; 	Marine	Poorly sorted pebbly fine calcareous silty sandstone.	See letter from H.J. Campbell 21/12/1979 on D42 file: Also letter to HJC 24/3/1980. Letter H.J. Campbell to I.M. Turnbull 27.5.81.	
D42/f0069		Outcrop	U4					(D42) 2120200 5540900 (New Zealand Map Grid)	2120200.000002853	5540899.999952904	45.23573°S	168.03359°E	1975			Bed of first major tributary on true right of Upukerora River up stream of Snowdon Slip, about 200 m upstream of forks, in main branch, about 30 m down stream of D42/f054. Outcrop about 2 m across in boulders, may be buried after floods.	New Zealand			Campbell, H.J.; Landis, C.A.; 	January 28, 1980	Yes	(macrofauna) Campbell, H.J./NZGS: GS12668; 		Second fossiliferous outcrop in this creek; comparable with productus creek faunas. In fault zone, so stratigraphic relationship with D42/f054 not known. May be 50 m up or down sequence.		Braxtonian				276.0	259.8	Permian				298.9	252.2	D42/f0054; 			GRINDLEY 1958; D42 IN PREPERATION.						fine sand	granule	N			none or slight	hard	calcareous	light yellow-brown (Wet)		Marine	Massive very calcareous sandstone, cut by dykes.	Letter from H. Campbell 21.12.79, D42 file letter to H. Campbell 24.3.80, D42 file letter H. Campbell to I.M. Turnbull 27.5.81.	
D42/f0070		Outcrop	U1					(D42) 2120100 5540800 (New Zealand Map Grid)	2120100.000002854	5540799.999952897	45.23657°S	168.03224°E	1975			In bed of first major tributary of true right of Upukerora River upstream of Snowdon Slip, about 300-400 m upstream of forks in stream in main branch, approximately 100 m upstream of D42/f54.	New Zealand			Landis, C.A.; Turnbull, I.M.; 	January 28, 1980	No	(macrofauna) Campbell, H.J./NZGS; 		Sample is boulders only, in creek bed; lithology is same as for D42/f054 and suggests extension of this unit to northwest. Further details in Lindsay (1980) 4 th year hons theses Otago University.	EGLINTON SUB GROUP	Braxtonian				276.0	259.8							D42/f0069; D42/f0054; 			GRINDLEY 1958; D42 IN PREPERATION.						very fine sand	silt	N			none or slight	hard	calcareous	light grey-green (Dry)	rock fragments; 	Marine	Poorly sorted pebbly fine calcareous sandstone.	Letter to H. Campbell 24.3.1980. Letter H. Campbell to I. Turnbull 27.5.81.	
D42/f0077		Outcrop						(D42) 2122400 5535600 (New Zealand Map Grid)	2122400.0000028615	5535599.999952557	45.28453°S	168.05749°E	1975			Collected from conspicuous outcrop - the first conglomerate encountered, down leading south ridge of Mt. Snowdon, about 700 m from summit.	New Zealand			Campbell, H.J.; 	January 29, 1980	Yes	(macrofauna) Campbell, H.J./NZGS: GS12672; 			SNOWDON FORMATION																C.A. LANDIS 1969 (PhD O. U).						pebble	medium sand	N	5 - 60 cm		none or slight	moderately hard	non-calcareous	medium green-brown (Dry)		Marine	Sandy, small-pebble conglomerate.		
D42/f0079		Outcrop	U3					(D42) 2120100 5540800 (New Zealand Map Grid)	2120100.000002854	5540799.999952897	45.23657°S	168.03224°E	1975			In bed of first major tributary on true right of Upukerora River, upstream of Snowdon Slip about 300-400 m upstream of forks in stream, in main branch about 100 m upstream of D42/f054 and within metres of D42/f070.	New Zealand			Landis, C.A.; Turnbull, I.M.; Campbell, H.J.; 	January 28, 1980	No	(macrofauna) Campbell, H.J./NZGS: GS12670; 		Fossiliferous boulder in float; differs in lithology from D42/f070.		D'Urville Series				259.8	251.0							D42/f0070; D42/f0054; 			GRINDLEY 1958; D42 IN PREP.						pebble	granule	N			none or slight	moderately hard	non-calcareous	medium green (Dry)	rock fragments; tuffaceous; 	Marine	Massive tuff-breccia (polylithic).		
