**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on August 5, 2014
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Paleontology
********
FR Number	Yard FR Number	Locality Type	Field Number/Drillhole Name	Depth From	Depth To	Depth Unit	Drill Type	Identifiers	Identification Date	Stage Lower	Lower Modifier	Stage Upper	Upper Modifier	Age Start	Age Stop	Stage Comments	nLab Number	Collection Comments
D39/f0031		Outcrop						Cambell, J.D.; MacFarlan, D.A.B.; 	March 23, 1983	Permian				298.9	252.2			32-2-2 one good brachiopod specimen and many bryozoan.	
D39/f0031		Outcrop						Olivecrona, Y.M.; 	June 6, 1985	no fossils				999.9	0.0				
D41/f7512	S122/f0512	Outcrop						MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JDC 2183	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D41/f7515	S122/f0515	Outcrop	JGW 2807					Campbell, J.D.; 	December 12, 1974	Aparima Series		Braxtonian		288.5	259.8				
D41/f7515A	S122/f0515A	Outcrop	JGW 686					Campbell, J.D.; 	December 12, 1974	Aparima Series		Braxtonian		288.5	259.8				
D41/f9546	S131/f0546	Outcrop						Campbell, J.D.; 	December 12, 1974	Aparima Series		D'Urville Series		288.5	251.0				
D42/f0054A		Outcrop	U2					Campbell, H.J.; 	May 26, 1981	Braxtonian				276.0	259.8		GNS GS 12666	CORALS.	
D42/f0069		Outcrop	U4					Campbell, H.J.; 	May 26, 1981	Braxtonian				276.0	259.8		GNS GS 12668	CORALS.	
D42/f0070		Outcrop	U1					Campbell, H.J.; 	May 26, 1981	Braxtonian				276.0	259.8		GNS GS 12669	CORALS.	
D42/f0077		Outcrop						Campbell, H.J.; 	March 24, 1981	Makarewan				253.2	251.0		GNS GS 12672	FOSSIL FRAGMENTS INDET.	
D42/f0079		Outcrop	U3					Campbell, H.J.; 	March 25, 1981	D'Urville Series	?			259.8	251.0		GNS GS 12670		
D42/f7517	S131/f0517	Outcrop						Waterhouse, J.B.; 		Aparima Series				288.5	259.8		GNS GS 7826	NO LIST.	
D43/f0015		Outcrop						Aitchison, J.C.; 	May 17, 1984	Malakovian				246.5	245.5			Maitai Group.	
D43/f0015		Outcrop						MacFarlan, D.A.B.; 	1992	Gore Series				251.0	229.0		Otago U OU 17458	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D43/f0028		Outcrop	HJC1138					Campbell, H.J.; 	October 16, 1987	Aparima Series		D'Urville Series		288.5	251.0		GNS GS 14317		
D43/f9524	S150/f0524	Outcrop						Waterhouse, J.B.; 	1960	Braxtonian				276.0	259.8		GNS GS 7803	GASTROPOD DETERMINATIONS PUBLISHED WATERHOUSE 1963 NZJGG 6: 88-112, 587-622. BRACHIOPOD DETERMINATIONS PUBLISHED WATERHOUSE 1964, PAL.BULL. 35, WATERHOUSE 1968, PALEONT. 129.	
D43/f9524	S150/f0524	Outcrop						Olivecrona, Y.M.; 	January 6, 1986	not determined				999.9	0.0		GNS L 12671 /1	Some contamination with modern and Tertiary pollen.	
D43/f9537	S150/f0537	Outcrop																	
