**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on August 5, 2014
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Locality
********
FR Number	Yard FR Number	Locality Type	Field Number/Drillhole Name	Depth From	Depth To	Depth Unit	Drill Type	Original Grid Reference	NZMG Easting	NZMG Northing	NZGD49 Latitude	NZGD49 Longitude	Map Year	Method	Accuracy	Locality	Country	Coordinate Comments	Locality Comments	Stratigraphic Name	Inferred Stage Lower	Inferred Lower Modifier	Inferred Stage Upper	Inferred Upper Modifier	Inferred Age Start	Inferred Age Stop	Known Stage Lower	Known Lower Modifier	Known Stage Upper	Known Upper Modifier	Known Age Start	Known Age Stop	Samples Nearby	Sample Relationships	Stratigraphic Relationships	Column/Map	Dip	Dip Direction	Strike	Facing	Stratigraphy Comments	
D39/f0031		Outcrop						(D39) 2124800 5630300 (New Zealand Map Grid)	2124800.000002283	5630299.999961235	44.43514°S	168.15911°E	1975			Southernmost headwaters of Wilmot River in talus at base of cliffs to southeast.	New Zealand			EGLINGTON VOLCANICS																						
D41/f7512	S122/f0512	Outcrop						S122 060 870 (NZMS1 SthIsl (truncated))	2122864.7800777797	5580760.857337064	44.87912°S	168.09775°E				East of Lake Gunn, roadside on incline sloping down to north, south of 50 mile peg.	New Zealand				Gore Series	?			251.0	229.0																
D41/f7515	S122/f0515	Outcrop	JGW 2807					S122 024 871 (NZMS1 SthIsl (truncated))	2119574.995367034	5580793.803788675	44.87705°S	168.05622°E	1973			Melita Peak. Scree on the north side 100 metres from the summit.	New Zealand			EGLINTON VOLCANIC SUBGROUP	Aparima Series				288.5	259.8	Aparima Series		D'Urville Series		288.5	251.0										
D41/f7515A	S122/f0515A	Outcrop	JGW 686					S122 024 871 (NZMS1 SthIsl (truncated))	2119574.995367034	5580793.803788675	44.87705°S	168.05622°E	1073			Melita Peak. Scree on north side 100 metres from the summit.	New Zealand			EGLINTON VOLCANIC SUBGROUP	Aparima Series				288.5	259.8	Aparima Series		D'Urville Series		288.5	251.0										
D41/f9546	S131/f0546	Outcrop						S131 021 762 (NZMS1 SthIsl (truncated))	2119477.522880228	5570833.272915976	44.96647°S	168.04739°E	1973			Above bushline on south side of a rocky gut draining into Smithy Creek.	New Zealand																									
D42/f0054A		Outcrop	U2					(D42) 2120200 5540900 (New Zealand Map Grid)	2120200.000002853	5540899.999952904	45.23573°S	168.03359°E	1975			Recollection of D42/f054, in tributary of Upukerora River on east side of Dunton Range.	New Zealand			EGLINTON SUB GROUP	Braxtonian				276.0	259.8										GRINDLEY 1958, D42 IN PREPERATION.						
D42/f0069		Outcrop	U4					(D42) 2120200 5540900 (New Zealand Map Grid)	2120200.000002853	5540899.999952904	45.23573°S	168.03359°E	1975			Bed of first major tributary on true right of Upukerora River up stream of Snowdon Slip, about 200 m upstream of forks, in main branch, about 30 m down stream of D42/f054. Outcrop about 2 m across in boulders, may be buried after floods.	New Zealand				Braxtonian				276.0	259.8	Permian				298.9	252.2	D42/f0054; 			GRINDLEY 1958; D42 IN PREPERATION.						
D42/f0070		Outcrop	U1					(D42) 2120100 5540800 (New Zealand Map Grid)	2120100.000002854	5540799.999952897	45.23657°S	168.03224°E	1975			In bed of first major tributary of true right of Upukerora River upstream of Snowdon Slip, about 300-400 m upstream of forks in stream in main branch, approximately 100 m upstream of D42/f54.	New Zealand			EGLINTON SUB GROUP	Braxtonian				276.0	259.8							D42/f0069; D42/f0054; 			GRINDLEY 1958; D42 IN PREPERATION.						
D42/f0077		Outcrop						(D42) 2122400 5535600 (New Zealand Map Grid)	2122400.0000028615	5535599.999952557	45.28453°S	168.05749°E	1975			Collected from conspicuous outcrop - the first conglomerate encountered, down leading south ridge of Mt. Snowdon, about 700 m from summit.	New Zealand			SNOWDON FORMATION																C.A. LANDIS 1969 (PhD O. U).						
D42/f0079		Outcrop	U3					(D42) 2120100 5540800 (New Zealand Map Grid)	2120100.000002854	5540799.999952897	45.23657°S	168.03224°E	1975			In bed of first major tributary on true right of Upukerora River, upstream of Snowdon Slip about 300-400 m upstream of forks in stream, in main branch about 100 m upstream of D42/f054 and within metres of D42/f070.	New Zealand				D'Urville Series				259.8	251.0							D42/f0070; D42/f0054; 			GRINDLEY 1958; D42 IN PREP.						
D42/f7517	S131/f0517	Outcrop						S131 035 643 (NZMS1 SthIsl (truncated))	2120948.3027688893	5559986.913206356	45.06469°S	168.05773°E	1975			LOOSE BOULDER AT LARGE CLEARING IN BUSH, UP ANNEAR STREAM. THE FIRST CLEARING UP FROM E. EGLINTON AND BELOW BIG CLIFF WEST SIDE OF STREAM. DERIVED FROM HOWDEN LST. 600 M ABOVE TO EAST.	New Zealand			HOWDEN FORMATION																Originally mapped as Howden by Grindley 1958.						
D43/f0015		Outcrop						D43 242 238 (NZMS260 map reference (truncated))	2124200.0000028918	5523799.999951913	45.39149°S	168.07137°E				10 metres below isolated beech tree on Mararoa River side of ridge south-southeast of 3925 altitude 2160 feet.	New Zealand			SNOWDON FORMATION	Malakovian				246.5	245.5									150 m above top ELDON SANDSTONE; 150 m above base SNOWDON FORMATION; 	Aitchison MSc 1984.	65	S	144	Normal		
D43/f0028		Outcrop	HJC1138					(D43) 2112300 5501600 (New Zealand Map Grid)	2112300.0000030342	5501599.99995126	45.58434°S	167.90208°E	1975			TAKITIMU MOUNTAINS, WAITUNA STREAM; SCREE ACCUMULATIONS BELOW LOWEST BIG BLUFF OF CONSPICUOUS PINNACLED RIDGE, TRUE RIGHT HAND SIDE OF WAITUNA STREAM.	New Zealand			TAKITIMU GROUP							Aparima Series		D'Urville Series		288.5	251.0										
D43/f9524	S150/f0524	Outcrop						D43 1237 0201 (NZMS260 map reference (truncated))	2112370.0000030324	5502009.999951266	45.58069°S	167.9033°E				1.21 KM SOUTH EAST OF WAITUNA STATION, ON HILL RIDGE KNOB 50 METRES WEST OF BUSH EDGE. (S150/F524 GRID 930 010).	New Zealand			?TAKITIMU GROUP																						
D43/f9537	S150/f0537	Outcrop						D43 2603 0462 (NZMS260 map reference (truncated))	2126030.0000029244	5504619.999951286	45.56475°S	168.08002°E				Outcrop on right bank of Weydon Burn, immediately north of and below Mossburn - Te Anau main highway, about 1 mile east of Mount Hamilton Creek bridge. Fossils were collected from bed 9 feet above 2.5 foot white-weathering tuff band.	New Zealand																									
D43/f9537A		Outcrop	JDC1980/H42					D43 260 046 (NZMS260 map reference (truncated))	2126000.0000029234	5504599.999951286	45.56492°S	168.07963°E	1975			Weydon Burn. Outcrop in stream bank where stream swings close to Mossburn-Te Anau road. 1.2km east of bridge	New Zealand																									
D44/f0016		Outcrop	285					D44 977 827 (NZMS260 map reference (truncated))	2097700.0000031525	5482699.999951372	45.74573°S	167.69972°E	1971			Bluffy outcrop some 1500 metres through the beech forest up the southern most major east flowing tributary of Pleasant Stream.	New Zealand			Pleasant Creek Formation (Productus Creek Group)	Braxtonian				276.0	259.8									c. 10 m above top TAKITIMU GROUP; 	H.J. Campbell, 1975, 4th year project, OU.	45	NE	175	Normal		
D44/f0017		Outcrop	381					D44 973 808 (NZMS260 map reference (truncated))	2097300.0000031535	5480799.999951425	45.76255°S	167.69301°E	1971			Conspicuous disturbed biocacirudite, some 3000 metres through beech forest, up the Lime Creek (informal) tributary of the Letham Burn. Outcrop in stream bed and as large blocks on slopes above stream, especially on the north side.	New Zealand			Lime Creek Inlier - Productus Creek Group																			175	Normal		
D44/f0018		Outcrop	68f					D44 992 758 (NZMS260 map reference (truncated))	2099200.000003129	5475799.999951617	45.80855°S	167.71323°E	1971			On sharp little ridge crest, on the south side of Alec Mutch Creek (informal), above the first three trees you come across as you walk up the creek.	New Zealand			MANGAWERA FORMATION																				Normal		
D44/f0022		Outcrop						D44 987 748 (NZMS260 map reference (truncated))	2098700.0000031283	5474799.999951661	45.81724°S	167.70598°E	1971			20 METRES DOWN ELBOW CREEK, BELOW THE ROAD CROSSING OUTCROPS IN RIVER BED AND BANKS.	New Zealand			TAKITIMU GROUP	Mangapirian				285.0	276.0										H.J. CAMPBELL 1975 4 th YEAR PROJECT O. U.			180	Normal		
D44/f0033		Outcrop	159					D44 003 775 (NZMS260 map reference (truncated))	2100300.0000031227	5477499.999951547	45.79392°S	167.72876°E	1971			Small outcrops just inside beech forest between Contact Creek (informal) and Lucy's Creek (informal).	New Zealand			WAIRAKI BRECCIA	Makarewan				253.2	251.0										H.J. Campbell, 1975, 4th year project, OU.				Normal		
D44/f0036		Outcrop	14					D44 183 809 (NZMS260 map reference (truncated))	2118300.000002986	5480899.999951455	45.77357°S	167.96254°E	1971			Coral Bluff.	New Zealand			MANGAREWA FORMATION	Braxtonian				276.0	259.8											10	E	180	Normal		
D44/f0043		Outcrop	JGB 1187					D44 194 722 (NZMS260 map reference (truncated))	2119400.000002956	5472199.999951857	45.85231°S	167.96979°E	1978			Small saddle between a north flowing and a south flowing tributary of Morley Stream, 300 metres east of the gate at the north end of the cultivation (just before road goes down to cross the Morley Creek).	New Zealand			MALAKOFF HILL GROUP	Malakovian				246.5	245.5									150 m above base MURIHIKU SUPERGROUP (Faulted); 		25		178	Normal	Approximately 25 degrees dip.	
D44/f0044		Outcrop	JGB 1077					D44 237 747 (NZMS260 map reference (truncated))	2123700.00000293	5474699.999951732	45.83222°S	168.02701°E	1977			Sharp bend in farm track in Upper Etal Creek catchment. 3.7 kilometres at 188° from Trig E, Etal.	New Zealand			NORTH ETAL GROUP	Etalian				245.5	238.0										Mutch, 1972.						
D44/f0044A		Outcrop	135					(D44) 2123700 5474700 (New Zealand Map Grid)	2123700.00000293	5474699.999951732	45.83222°S	168.02701°E	1975			Track from Fletts Hut to North Etal Creek.	New Zealand			Murihiku Supergroup							Etalian				245.5	238.0										
D44/f0046		Outcrop	JGB 1704 (1705)					D44 236 796 (NZMS260 map reference (truncated))	2123600.0000029407	5479599.999951512	45.78816°S	168.02954°E	1977			On western flank of Etal Ridge, 1.5 kilometres north-northwest of Etal Peak. Just north of Baird's Bush. 337° at 1.5 kilometres from Trig E, Etal, 3053 feet. 092° at 3.7 kilometres from Trig F, Letham, 3147 feet.	New Zealand			NORTH ETAL GROUP	Etalian				245.5	238.0	Etalian				245.5	238.0				A.R. Mutch, 1972.						
D44/f0047		Outcrop	JGB 1906					D44 230 840 (NZMS260 map reference (truncated))	2123000.0000029537	5483999.999951368	45.74831°S	168.02527°E	1977			Small outcrop beneath Aparima River, just north of old hut site, about 400 metres downstream from Pleasant Creek Junction. 084° at 2.9 kilometres from Trig H+, 2572 feet. 306° at 1.7 kilometres from Trig Z, 2005 feet.	New Zealand			NORTH ETAL GROUP	Etalian				245.5	238.0	Etalian				245.5	238.0	D44/f9779; 			A.R. Mutch, 1972						
D44/f0048		Outcrop	JGB 1969					D44 199 863 (NZMS260 map reference (truncated))	2119900.0000029798	5486299.99995131	45.72596°S	167.98731°E	1977			East flanks of Pleasant Creek, 500 metres south of the sharp corner. Large scree. 317° at 5.6 kilometres from Trig Z, 2005 feet. 356° at 2.7 kilometres from Trig H+, 2572 feet.	New Zealand				Etalian				245.5	238.0	Malakovian		Etalian		246.5	238.0				A.R. Mutch, 1972.						
D44/f0049		Outcrop	JGB 1983					D44 232 824 (NZMS260 map reference (truncated))	2123200.00000295	5482399.999951414	45.76279°S	168.02659°E	1977			North Etal Creek 0.3 kilometres below Kangaroo Creek Junction. 050° at 4.2 kilometres from Trig F, Letham.	New Zealand			NORTH ETAL GROUP	Etalian				245.5	238.0	Etalian				245.5	238.0	D44/f9542; 			Mutch, 1972.						
D44/f0117		Outcrop						(D44) 2118600 5480900 (New Zealand Map Grid)	2118600.0000029826	5480899.999951456	45.77374°S	167.96639°E	1974			Second major east tributary of Letham burn, north of junction with Wairaki, where stream forks into 3, over rocky ridge at west edge of beech forest.	New Zealand			MANGAREWA FORMATION	Braxtonian				276.0	259.8									9 m above top Letham Formation; 1.5 m below base Glendale Member; 							
