**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on August 5, 2014
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Paleontology List
********
FR Number		D39/f0031	D39/f0031	D41/f7512	D41/f7515	D41/f7515A	D41/f9546	D42/f0054A	D42/f0069	D42/f0070	D42/f0077	D42/f0079	D42/f7517	D43/f0015	D43/f0015	D43/f0028	D43/f9524	D43/f9524	D43/f9537	D43/f9537	D43/f9537A	D43/f9537A	D44/f0016	D44/f0017	D44/f0018	D44/f0022	D44/f0022	D44/f0033	D44/f0036	D44/f0043	D44/f0044	D44/f0044	D44/f0044A	D44/f0044A	D44/f0044A	D44/f0046	D44/f0047	D44/f0048	D44/f0049	D44/f0049	D44/f0117	D44/f0141	D44/f0141	D44/f0143	D44/f0143	D44/f0144	D44/f0145	D44/f0146	D44/f0147	D44/f0148	D44/f0148	D44/f0149	D44/f0149	D44/f0150	D44/f0150	D44/f0151	D44/f0151	D44/f0152	D44/f0153	D44/f0154	D44/f0155	D44/f0155	D44/f0155A	D44/f0155A	D44/f0156	D44/f0157	D44/f0176	D44/f0176	D44/f0184	D44/f0192	D44/f0204	D44/f0204	D44/f0222	D44/f0222	D44/f0223	D44/f0223	D44/f0232	D44/f0234	D44/f0235	D44/f0236	D44/f0238	D44/f0239	D44/f0240	D44/f0241	D44/f0242	D44/f0243	D44/f0285	D44/f0285	D44/f0286	D44/f0286	D44/f7562	D44/f9001	D44/f9002	D44/f9003	D44/f9020	D44/f9036	D44/f9036	D44/f9062	D44/f9062	D44/f9129	D44/f9130	D44/f9130	D44/f9131	D44/f9132	D44/f9132	D44/f9133	D44/f9133	D44/f9478	D44/f9478	D44/f9478	D44/f9478	D44/f9478A	D44/f9478B	D44/f9478B	D44/f9478B	D44/f9478C	D44/f9478C	D44/f9479	D44/f9479	D44/f9480	D44/f9480	D44/f9511	D44/f9511	D44/f9542	D44/f9542	D44/f9542	D44/f9543	D44/f9543	D44/f9543	D44/f9553	D44/f9559	D44/f9559	D44/f9604	D44/f9604	D44/f9604	D44/f9604	D44/f9604A	D44/f9604A	D44/f9621	D44/f9622	D44/f9623	D44/f9624	D44/f9624	D44/f9625	D44/f9626	D44/f9651	D44/f9671	D44/f9672	D44/f9672A	D44/f9672A	D44/f9672A	D44/f9751	D44/f9751	D44/f9779	D44/f9779	D44/f9779A	D44/f9780	D44/f9780	D44/f9861	D44/f9863	D44/f9864	D44/f9865	D44/f9870	D44/f9870	D44/f9872	D44/f9873	D44/f9874	D44/f9875	D44/f9876	D44/f9878	D44/f9881	D44/f9882	D44/f9883	D44/f9885	D44/f9888	D44/f9891	D44/f9891	D44/f9892	D44/f9892	D44/f9894	D44/f9894	D44/f9949	D44/f9949A	D44/f9951	D44/f9954	D44/f9955	D44/f9957	D44/f9958	D44/f9959	D44/f9960	D45/f0032	D45/f0032	D45/f0036	D45/f0037	D45/f0037	D45/f0038	D45/f0042	D45/f0045	D45/f0047	D45/f0048	D45/f0053	D45/f0053	D45/f0068	D45/f0096	D45/f0096	D45/f0096A	D45/f0097	D45/f0097	D45/f0098	D45/f0098	D45/f0098A	D45/f0098A	D45/f0176	D45/f0298	D45/f0319	D45/f0320	D45/f0328	D45/f0328	D45/f7443A	D45/f7443A	D45/f7500	D45/f7500	D45/f7500	D45/f7500	D45/f7500A	D45/f7500A	D45/f7500B	D45/f7500B	D45/f7500C	D45/f7500C	D45/f7500C	D45/f7540	D45/f7540	D45/f7570	D45/f7570	D45/f7572	D45/f7572	D45/f7574	D45/f7574	D45/f7574	D45/f7574	D45/f7574	D45/f7574	D45/f7574A	D45/f7574B	D45/f7574B	D45/f7574C	D45/f7579	D45/f7579	D45/f7590	D45/f7590	
Yard FR Number				S122/f0512	S122/f0515	S122/f0515A	S131/f0546						S131/f0517				S150/f0524	S150/f0524	S150/f0537	S150/f0537																																																																							S150/f0562	S159/f1001	S159/f1002	S159/f1003	S159/f1020	S159/f1036	S159/f1036	S159/f1062	S159/f1062	S159/f1129	S159/f1130	S159/f1130	S159/f1131	S159/f1132	S159/f1132	S159/f1133	S159/f1133	S159/f0478	S159/f0478	S159/f0478	S159/f0478	S159/f0478A	S159/f0478B	S159/f0478B	S159/f0478B	S159/f0478C	S159/f0478C	S159/f0479	S159/f0479	S159/f0480	S159/f0480	S159/f0511	S159/f0511	S159/f0542	S159/f0542	S159/f0542	S159/f0543	S159/f0543	S159/f0543	S159/f0553	S159/f0559	S159/f0559	S159/f0604	S159/f0604	S159/f0604	S159/f0604	S159/f0604A	S159/f0604A	S159/f0621	S159/f0622	S159/f0623	S159/f0624	S159/f0624	S159/f0625	S159/f0626	S159/f0651	S159/f0671	S159/f0672	S159/f0672A	S159/f0672A	S159/f0672A	S159/f0751	S159/f0751	S159/f0779	S159/f0779	S159/f0779A	S159/f0780	S159/f0780	S159/f0861	S159/f0863	S159/f0864	S159/f0865	S159/f0870	S159/f0870	S159/f0872	S159/f0873	S159/f0874	S159/f0875	S159/f0876	S159/f0878	S159/f0881	S159/f0882	S159/f0883	S159/f0885	S159/f0888	S159/f0891	S159/f0891	S159/f0892	S159/f0892	S159/f0894	S159/f0894	S159/f0949	S159/f0949A	S159/f0951	S159/f0954	S159/f0955	S159/f0957	S159/f0958	S159/f0959	S159/f0960																													S159/f0443A	S159/f0443A	S159/f0500	S159/f0500	S159/f0500	S159/f0500	S159/f0500A	S159/f0500A	S159/f0500B	S159/f0500B	S159/f0500C	S159/f0500C	S159/f0500C	S159/f0540	S159/f0540	S159/f0570	S159/f0570	S159/f0572	S159/f0572	S159/f0574	S159/f0574	S159/f0574	S159/f0574	S159/f0574	S159/f0574	S159/f0574A	S159/f0574B	S159/f0574B	S159/f0574C	S159/f0579	S159/f0579	S159/f0590	S159/f0590	
Locality Type		Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	
Field Number/Drillhole Name					JGW 2807	JGW 686		U2	U4	U1		U3				HJC1138					JDC1980/H42	JDC1980/H42	285	381	68f			159	14	JGB 1187	JGB 1077	JGB 1077	135	135	135	JGB 1704 (1705)	JGB 1906	JGB 1969	JGB 1983	JGB 1983		JGB 1906	JGB 1906																				PC4	PC4			131	131	PC3	PC 11A	MI	MI	McF H18 JDC3737	McF H18 JDC3737	H14 JDC2021	H14 JDC2021	HJC1162	HJC1164	HJC1165	HJC1139	HJC143	HJC1144	HJC1153	HJC1154	HJC1155	HJC1156	JDC3824 JGB WH2 754	JDC3824 JGB WH2 754	JGB WH4 JDC 3826	JGB WH4 JDC 3826			CTH 31	CTH 32	15	AP56, 57, 58	AP56, 57, 58	JDC 1462	JDC 1462	344	757	757	82 and 803	621	621	421/422	421/422					PC13	HJC 1082	HJC 1082	HJC 1082	HJC1140	HJC1140																				125	125																																						CTH 28	CTH 28						HJC1145								GE12	GE12	JGB 2612	JGB1985	JGB1985	JGB 2016	JGB 2042	JGB 2133	JGB 2168	JGB 2189	JGB 2631	JGB 2631	JGB 2612	134	134	JDC 3730	H11	H11	TJK223	TJK223	H12	H12	JDC3736=H16	HJC 1150			JDC 1969	JDC 1969											H19 JDC1347	H19 JDC1347	H19 JDC1347																					
Depth From																																																																																																																																																																																																																																																												
Depth To																																																																																																																																																																																																																																																												
Depth Unit																																																																																																																																																																																																																																																												
Drill Type																																																																																																																																																																																																																																																												
Identifier		Cambell, J.D.; MacFarlan, D.A.B.; 	Olivecrona, Y.M.; 	MacFarlan, D.A.B.; 	Campbell, J.D.; 	Campbell, J.D.; 	Campbell, J.D.; 	Campbell, H.J.; 	Campbell, H.J.; 	Campbell, H.J.; 	Campbell, H.J.; 	Campbell, H.J.; 	Waterhouse, J.B.; 	Aitchison, J.C.; 	MacFarlan, D.A.B.; 	Campbell, H.J.; 	Waterhouse, J.B.; 	Olivecrona, Y.M.; 		MacFarlan, D.A.B.; 	MacFarlan, D.A.B.; 	MacFarlan, D.A.B.; 	Campbell, H.J.; 	Campbell, H.J.; 	Campbell, H.J.; 	Campbell, H.J.; 	Olivecrona, Y.M.; 		Campbell, H.J.; 	Begg, J.G.; 	Begg, J.G.; 	MacFarlan, D.A.B.; 	Campbell, H.J.; 	Campbell, H.J.; 	De Jersey, N.J.; 	Begg, J.G.; 	Begg, J.G.; 	Begg, J.G.; 	Begg, J.G.; 	MacFarlan, D.A.B.; 	Waterhouse, J.B.; 	Begg, J.G.; 	MacFarlan, D.A.B.; 	Campbell, H.J.; 	Olivecrona, Y.M.; 	Campbell, H.J.; 	Campbell, H.J.; 	Campbell, H.J.; 	Campbell, H.J.; 	Campbell, H.J.; 	Olivecrona, Y.M.; 	Campbell, H.J.; 	Olivecrona, Y.M.; 	Olivecrona, Y.M.; 	Campbell, H.J.; 	Campbell, H.J.; 	Olivecrona, Y.M.; 	Campbell, H.J.; 	Campbell, H.J.; 	Campbell, H.J.; 	Campbell, H.J.; 	Olivecrona, Y.M.; 	Begg, J.G.; 	Olivecrona, Y.M.; 	Campbell, H.J.; 	Campbell, H.J.; 	Campbell, H.J.; 	Olivecrona, Y.M.; 	Begg, J.G.; 	Begg, J.G.; 	Begg, J.G.; 	Olivecrona, Y.M.; 	MacFarlan, D.A.B.; 	MacFarlan, D.A.B.; 		MacFarlan, D.A.B.; 	Campbell, H.J.; 	Campbell, H.J.; 	Campbell, H.J.; 	Campbell, H.J.; 	Campbell, H.J.; 	Campbell, H.J.; 	Campbell, H.J.; 	Campbell, H.J.; 	Campbell, H.J.; 	Campbell, H.J.; 	MacFarlan, D.A.B.; 	MacFarlan, D.A.B.; 	MacFarlan, D.A.B.; 	MacFarlan, D.A.B.; 	Scott, G.L.; 	Waterhouse, J.B.; 	MacFarlan, D.A.B.; 	MacFarlan, D.A.B.; 	Force, L.M.; 	Force, E.R; 	MacFarlan, D.A.B.; 		MacFarlan, D.A.B.; 	Begg, J.G.; 	Begg, J.G.; 	MacFarlan, D.A.B.; 	Begg, J.G.; 	Begg, J.G.; 	MacFarlan, D.A.B.; 	Begg, J.G.; 	MacFarlan, D.A.B.; 		Waterhouse, J.B.; 	Willett, R.W.; 		Begg, J.G.; 	Campbell, H.J.; 	Olivecrona, Y.M.; 	Campbell, H.J.; 	Campbell, H.J.; 	Campbell, H.J.; 	Willett, R.W.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Hill, D.; 	Waterhouse, J.B.; 	Campbell, H.J.; 	MacFarlan, D.A.B.; 	Simes, J.E.; 		Campbell, H.J.; 	MacFarlan, D.A.B.; 	Marwick, J.; 	Marwick, J.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Mutch, A.R.; 	Fleming, C.A.; 		Campbell, H.J.; 	Olivecrona, Y.M.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 		Waterhouse, J.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 		Waterhouse, J.B.; 	Olivecrona, Y.M.; 	Olivecrona, Y.M.; 	Campbell, H.J.; 	Campbell, H.J.; 	MacFarlan, D.A.B.; 		MacFarlan, D.A.B.; 	Campbell, J.D.; 		MacFarlan, D.A.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 		Waterhouse, J.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 		MacFarlan, D.A.B.; 		MacFarlan, D.A.B.; 		MacFarlan, D.A.B.; 	Waterhouse, J.B.; 	Campbell, H.J.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Waterhouse, J.B.; 	Campbell, H.J.; 	De Jersey, N.J.; 	Begg, J.G.; 	Begg, J.G.; 	Strong, C.P.; 	Begg, J.G.; 	Begg, J.G.; 	Begg, J.G.; 	Begg, J.G.; 	Begg, J.G.; 	Begg, J.G.; 	MacFarlan, D.A.B.; 	Begg, J.G.; 	Campbell, H.J.; 	De Jersey, N.J.; 	Begg, J.G.; Campbell, J.D.; MacFarlan, D.A.B.; 	MacFarlan, D.A.B.; 	MacFarlan, D.A.B.; 	Campbell, J.D.; 	MacFarlan, D.A.B.; 	MacFarlan, D.A.B.; 	MacFarlan, D.A.B.; 	MacFarlan, D.A.B.; 	Campbell, H.J.; 	MacFarlan, D.; 	MacFarlan, D.; 	MacFarlan, D.A.B.; 	MacFarlan, D.A.B.; 		MacFarlan, D.A.B.; 	Campbell, H.J.; 	Campbell, H.J.; 	MacFarlan, D.A.B.; 	Raine, J.I.; 	Speden, I.G.; 	Wood, B.L.; 		Campbell, H.J.; 	Retallack, G.J.; 	MacFarlan, D.A.B.; 	MacFarlan, D.A.B.; 		Campbell, H.J.; 	Speden, I.G.; 		Waterhouse, J.B.; 					Kummel, B.; 	Begg, J.G.; 	MacFarlan, D.A.B.; 	MacFarlan, D.A.B.; 		MacFarlan, D.A.B.; 	MacFarlan, D.A.B.; 		Waterhouse, J.B.; 	Leed, H.; 	Campbell, H.J.; 	
Prasinophyceae	Tasmanites sp.																																																																																																																																																				382 x988, 259 x96																																																																																																							
Acritarcha	? cf. Wilsonastrum sp.																																		*																																																																																																																																																																																																																									
