**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on February 21, 2015
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Paleontology List
********
FR Number		C43/f7510	C46/f0059	C46/f0103	C46/f9508	C46/f9524	C46/f9524	CA/f0021A	CA/f0021A	CA/f0021A	CA/f0021B	CA/f0021B	CA/f0021B	CA/f0021B	CA/f0022A	CA/f0022A	CH/f0004	CH/f0004	CH/f0004	CH/f0011A	CH/f0011A	CH/f0011A	CH/f0011A	CH/f0011B	CH/f0011B	CH/f0013B	CH/f0013B	CH/f0013B	CH/f0020B	CH/f0020B	CH/f0023A	CH/f0023A	CH/f0025B	CH/f0025B	CH/f0025B	CH/f0039	CH/f0039	CH/f0045	CH/f0045	CH/f0076	CH/f0076	CH/f0078	CH/f0078	CH/f0095	CH/f0095	CH/f0100	CH/f0100	CH/f0101	CH/f0101	CH/f0104A	CH/f0104A	CH/f0105	CH/f0105	CH/f0106	CH/f0106	CH/f0110	CH/f0110	CH/f0111	CH/f0111	CH/f0112	CH/f0112	CH/f0114	CH/f0114	CH/f0114	CH/f0115	CH/f0115	CH/f0116	CH/f0116	CH/f0222	CH/f0222	CH/f0222A	CH/f0222A	CH/f0232	CH/f0232	CH/f0232A	CH/f0232A	CH/f0244	CH/f0244	CH/f0246	CH/f0246	CH/f0254A	CH/f0254A	CH/f0261A	CH/f0261A	CH/f0344	CH/f0344	CH/f0364A	CH/f0364A	CH/f0463	CH/f0463	CH/f0464	CH/f0464	CH/f0468	CH/f0468	CH/f0468	CH/f0474	CH/f0474	CH/f0474	CH/f0483	CH/f0483	CH/f0487	CH/f0487	CH/f0489	CH/f0489	CH/f0490	CH/f0490	CH/f0491	CH/f0491	CH/f0493	CH/f0493	CH/f0494	CH/f0494	CH/f0526	CH/f0526	CH/f0526	CH/f0526	CH/f0526	CH/f0526	CH/f0526	CH/f0526	CH/f0529	CH/f0529	CH/f0529	CH/f0529	CH/f0529	CH/f0530	CH/f0531	CH/f0531	CH/f0532	CH/f0532	CH/f0534	CH/f0534	CH/f0590	CH/f0590	CH/f0591	CH/f0591	CH/f0591	CH/f0592	CH/f0592	CH/f0593	CH/f0593	CH/f0594	CH/f0594	CH/f0602	D41/f0013	D41/f0013	D41/f0014	D41/f0014	D41/f0015	D41/f0015	D41/f0016	D41/f0016	D42/f0059	D43/f9498	D45/f0001	D45/f0002	D45/f0003	D45/f0004	D45/f0004	D45/f0004	D45/f0005	D45/f0006	D45/f0080	D45/f0080	D45/f7136	D45/f8456	D45/f8456	D45/f8462	D45/f8462	D45/f8482	D45/f8482	D45/f8554	D45/f8554	D45/f8554	D45/f8563	D45/f8601	D45/f8797	D45/f8819	D45/f8820	D45/f8821	D45/f8822	D45/f8822	D45/f8822	D45/f8823	D45/f8825	D45/f8826	D45/f8827	D45/f8828	D45/f8828	D45/f8829	D45/f8830	D45/f9484	D45/f9485	D45/f9486	D45/f9487	D45/f9488	D45/f9492	D45/f9585	E37/f9514	E37/f9514	E38/f6513	E38/f6513	E43/f9500	E43/f9500	E46/f7430	E46/f9487	E46/f9489	E46/f9489	G36/f6501	G36/f6501	G36/f6501	I38/f7650	I38/f7650	I38/f7747	I39/f7560	I43/f0053	J31/f9464	J31/f9464	J31/f9492	J31/f9495	J31/f9827	J31/f9827	J32/f7571	J32/f7571	J32/f7571	J32/f9507	J32/f9507	J32/f9602	J32/f9602	J32/f9603	J32/f9603	J32/f9604	J33/f7580	J36/f0002	J38/f0056	J38/f7003A	J38/f8504	J38/f8504	J38/f9490	J38/f9490	J39/f7500C	J39/f7525	J39/f7525	J39/f7586	J39/f7586	J39/f7587	J39/f7590	J39/f7592	J39/f7593	J39/f7626	J39/f7626	
Yard FR Number		S140/f0510			S175/f0508	S175/f0524	S175/f0524																																																																																																																																																			S150/f0498											S159/f1136	S167/f0456	S167/f0456	S167/f0462	S167/f0462	S167/f0482	S167/f0482						S167/f0797	S167/f0819	S167/f0820	S167/f0821	S167/f0822	S167/f0822	S167/f0822	S167/f0823	S167/f0825	S167/f0826	S167/f0827	S167/f0828	S167/f0828	S167/f0829	S167/f0830	S168/f0484	S168/f0485	S168/f0486	S168/f0487	S168/f0488	S168/f0492	S168/f0585	S97/f0514	S97/f0514	S96/f0513	S96/f0513	S151/f0500	S151/f0500	S169/f0430	S177/f0487	S177/f0489	S177/f0489	S78/f0498	S78/f0498	S78/f0498	S101/f0650	S101/f0650	S101/f0747	S110/f0560		S44/f0464	S44/f0464	S44/f0492	S44/f0495	S44/f0827	S44/f0827	S44/f0571	S44/f0571	S44/f0571	S51/f0507	S51/f0507	S51/f0602	S51/f0602	S51/f0603	S51/f0603	S51/f0604	S51/f0580			S102/f0003A	S110/f0504	S110/f0504	S111/f0490	S111/f0490	S111/f0500C	S111/f0525	S111/f0525	S111/f0586	S111/f0586	S111/f0587	S111/f0590	S111/f0592	S111/f0593	S111/f0626	S111/f0626	
Locality Type		Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Drillhole	Drillhole	Drillhole	Drillhole	Drillhole	Drillhole	Drillhole	Drillhole	Drillhole	Drillhole	Drillhole	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	Outcrop	
Field Number/Drillhole Name			W26	C46/11A				217A + B	217A + B	217A + B	306	306	306	306	246	246								Waihere 41	Waihere 41											Chatham Is. 97	Chatham Is. 97	Chatham Is. 117 and 118	Chatham Is. 117 and 118	Mangare Is. 269	Mangare Is. 269	Chatham Is. 271	Chatham Is. 271																										0901756	0901756							10	10	14	14																																																					CHA43	CHA43	CHA40	CHA40	CHA40	CHA65R	CHA65R	CHA31	CHA31	CHA58	CHA58	HJC 631	D41/28C	D41/28C	D41/15R	D41/15R	D41/16R	D41/16R	D41/16R	D41/16R	D42/449B													S.1071	S.1071	S.1060	S.1060	S1038	S1038	S2512	S2512	S2512																		RO 302	OC.43	OC.39	OC.41	OC.42			J3A	J3A	CR 3	CR 3				2129	S2450	S2450	573	573	573					84							CS 488	CS 488	CS 488	CS 531	CS 531	1547	1547	1548	1548						HJH 254a	HJH 254a	N99	N99		N81	N81			11	10	F33	F6	37	37	
Depth From																																																																																																																																					9.66		15.84	15.84	15.84	13.89	13.89	10.64	10.64	9.39	9.39																																																																																																													
Depth To																																																																																																																																					11.16		16.14	16.14	16.14	15.38	15.38	10.84	10.84	10.09	10.09																																																																																																													
Depth Unit																																																																																																																																					m		m	m	m	m	m	m	m	m	m																																																																																																													
Drill Type																																																																																																																																																																																																																																																												
Identifier		Fleming, C.A.; 	Beu, A.G.; 	Beu, A.G.; 	Fleming, C.A.; 	Finlay, H.J.; 	Fleming, C.A.; 	Fleming, C.A.; 	Edwards, A.R.; 	Strong, C.P.; 	Fleming, C.A.; 	Wilson, G.J.; 	Wilson, G.J.; 	Strong, C.P.; 	Fleming, C.A.; 	Strong, C.P.; 		Beu, A.G.; 	Buckeridge, J.S.; 		Speden, I.G.; 	Mildenhall, D.C.; 	Wilson, G.J.; 		Speden, I.G.; 		Beu, A.G.; 	Buckeridge, J.; 	Maxwell, P.A.; 	Buckeridge, J.; 	Buckeridge, J.; 	Maxwell, P.A.; 	Buckeridge, J.; 	Beu, A.G.; 	Beu, A.G.; 	Scott, A.U.E.; 	Maxwell, P.A.; 	Scott, A.U.E.; 	Maxwell, P.A.; 	Beu, A.G.; 	Maxwell, P.A.; 	Scott, A.U.E.; 	Maxwell, P.A.; 	Fleming, C.A.; 	Maxwell, P.A.; 	Squires, D.F.; 	Maxwell, P.A.; 		Maxwell, P.A.; 		Beu, A.G.; 	Marwick, J.; 	Maxwell, P.A.; 	Marwick, J.; 	Maxwell, P.A.; 		Maxwell, P.A.; 	Buckeridge, J.; 	Maxwell, P.A.; 	Beu, A.G.; 	Beu, A.G.; 	Beu, A.G.; 	Beu, A.G.; 	Simes, J.E.; 	Beu, A.G.; 	Beu, A.G.; 	Beu, A.G.; 	Beu, A.G.; 	Beu, A.G.; 	Beu, A.G.; 	Beu, A.G.; 	Beu, A.G.; 		Maxwell, P.A.; 		Maxwell, P.A.; 	Beu, A.G.; 	Beu, A.G.; 	Beu, A.G.; 	Beu, A.G.; 		Beu, A.G.; 	Buckeridge, J.; 	Beu, A.G.; 	Speden, I.G.; 	Beu, A.G.; 	Beu, A.G.; 	Maxwell, P.A.; 	Keyes, I.W.; 	Beu, A.G.; 	Keyes, I.W.; 	Beu, A.G.; 		Lee, D.E.; 	Maxwell, P.A.; 	Beu, A.G.; 	Lee, D.; 	Maxwell, P.A.; 			Beu, A.G.; 	Beu, A.G.; 	Beu, A.G.; 	Beu, A.G.; 		Beu, A.G.; 	Buckeridge, J.; 				Beu, A.G.; 	Beu, A.G.; 	Scott, G.H.; 	Buckeridge, J.S.; 	Fordyce, R.E.; 	Keyes, I.W.; 	Lee, D.; 	Maxwell, P.A.; 	Edwards, A.R.; 	Maxwell, P.A.; 		Keyes, I.W.; 	Hornibrook, N. de B.; 	Edwards, A.R.; 	Maxwell, P.A.; 	Maxwell, P.A.; 	Keyes, I.W.; 	Keyes, I.W.; 	Beu, A.G.; 	Beu, A.G.; 	Beu, A.G.; 	Beu, A.G.; 	Hornibrook, N. de B.; 			Raine, J.I.; 	Hornibrook, N. de B.; 	Hornibrook, N. de B.; 		Hornibrook, N. de B.; 	Beu, A.G.; 	Hornibrook, N. de B.; 	Beu, A.G.; 		Maxwell, P.A.; 	Maxwell, P.A.; 	Maxwell, P.A.; 		Maxwell, P.A.; 	Maxwell, P. A.; 	Maxwell, P.A.; 	Maxwell, P. A.; 	Maxwell, P.A.; 	Marwick, J.; 	Beu, A.G.; 	Beu, A.G.; 	Beu, A.G.; 	Maxwell, P.A.; 	Hornibrook, N. de B.; 	Keyes, I.W.; 	Maxwell, P.A.; 	Maxwell, P.A.; 	Maxwell, P.A.; 	Schwarzhans, W.; 		Hornibrook, N. de B.; 	Marwick, J.; 	Marwick, J.; 	Hornibrook, N. de B.; 	Finlay, H.J.; 	Marwick, J.; 	Finlay, H.J.; 	Hornibrook, N. de B.; 	Fleming, C.A.; 	Fleming, C.A.; 	Fleming, C.A.; 	Beu, A.G.; 	Maxwell, P.A.; 	Maxwell, P.A.; 	Maxwell, P.A.; 	Maxwell, P.A.; 	Buckeridge, J.; 	Schwarzhans, W.; 	Maxwell, P.A.; 	Maxwell, P.A.; 	Maxwell, P.A.; 	Maxwell, P.A.; 	Maxwell, P.A.; 	Buckeridge, J.; 	Maxwell, P.A.; 	Maxwell, P.A.; 	Marwick, J.; 	Marwick, J.; 	Marwick, J.; 	Marwick, J.; 	Marwick, J.; 	Marwick, J.; 	Marwick, J.; 		Hornibrook, N. de B.; 	Beu, A.G.; 	Beu, A.G.; 		Hornibrook, N. de B.; 	Marwick, J.; 	Marwick, J.; 		Marwick, J.; 			Marwick, J.; 	Hornibrook, N. de B.; 					Finlay, H.J.; 						Finlay, H.J.; 	Hornibrook, N. de B.; 		Finlay, H.J.; 	Beu, A.G.; 	Finlay, H.J.; 		Finlay, H.J.; 			Fleming, C.A.; 		Maxwell, P.A.; 				Scott, G.H.; 	Marwick, J.; 				Scott, A.U.E.; 	Harris, W.F.; 	Scott, A.U.E.; 	Scott, A.U.E.; 	Scott, A.U.E.; 	Scott, A.U.E.; 	Scott, A.U.E.; 	Jenkins, D.G.; 	
Dinophyceae	Achilleodinium sp.											*	*																																																																																																																																																																																																																																															
Dinophyceae	Aireiana sp.											*																																																																																																																																																																																																																																																
