basin,formation,lithology1,lithology2,environment1,environment2,source,notes,name
,Abels Bay,siltstone,sandstone,offshore transition-offshore,shallow marine-estuarine embayment,"Fielding2010, Reid2010, AGGA",Upper Marine Sequence,
Sydney,Adamstown,conglomerate,sandstone,alluvial plain,delta plain,map,,
Proserpine,Airlie,pyroclastics,,,,,,
Bowen,Aldebaran,sandstone,conglomerate,deltaic/coastal plain,nearshore marine,"Fielding1993,Jones2006",,
Eddystone,Aldebaran,sandstone,conglomerate,deltaic/coastal plain,nearshore marine,"Fielding1993,Jones2006",,
Emerald,Aldebaran,sandstone,shale,deltaic/coastal plain,nearshore marine,"Fielding1993,Jones2006",,
Springsure,Aldebaran,sandstone,siltstone,deltaic/coastal plain,nearshore marine,"Fielding1993,Jones2006",,
Sydney,Allandale,conglomerate,sandstone,sublittoral strand,marine shelf,map,,
Singleton,Allandale,conglomerate,sandstone,sublittoral strand,marine shelf,map,,
Moreton,Alum Rock,conglomerate,sandstone,,,,,
Warwick-Tweedheads,Alum Rock,conglomerate,sandstone,,,,,
Moreton,Amamoor,mudstone,slate,,,,,
Tamworth-Hastings,Anderson Flat,diamictite,conglomerate,,,,,
Tamworth,Anderson Flat,arenite,rudite,,,,,
Dorrigo,Annalee,pyroclastics,rhyolite,,,,,
Inverell,Ashford,arenite,argilite,,,,,
Sydney,Awaba,tuff,,alluvial plain,delta plain,map,,
Grafton-Maclean,Babepercy,volcaniclastic,porphyry,,,,,
Bowen,Back Creek,sandstone,siltstone,shallow marine,,Othman1999,,
Chinchilla,Back Creek,shale,siltstone,shallow marine,,Othman1999,,
Dalby,Back Creek,sandstone,siltstone,shallow marine,,Othman1999,,
Duaringa,Back Creek,mudstone,siltstone,shallow marine,,Othman1999,,
Emerald,Back Creek,sandstone,mudstone,shallow marine,,Othman1999,,
Goodwindi,Back Creek,shale,siltstone,shallow marine,,Othman1999,,
Monto,Back Creek,siltstone,mudstone,shallow marine,,Othman1999,,
Mount Coolon,Back Creek,sandstone,siltstone,shallow marine,,Othman1999,,
Roma,Back Creek,sandstone,siltstone,shallow marine,,Othman1999,,
Saint Lawrence,Back Creek,sandstone,siltstone,shallow marine,,Othman1999,,
,Baker,siltstone,wackestone,shoreface,offshore marine,"Lever2004, AGGA",,
Bowen,Banana,siltstone,shale,,,,,
Bowen,Bandanna,sandstone,siltstone,alluvial plain,delta,Fielding1993,,
Bowen,Baralaba Coal,sandstone,siltstone,,,,,
Baralaba,Baralaba Coal,sandstone,sandstone,,,,,
Monto,Baralaba Coal,arenite,siltstone,,,,,
Mundubbera,Baralaba Coal,mudstone,sandstone,,,,,
Bowen,Barfield,mudstone,sandstone,prograding shelf,deep shelf,Fielding1993,,
Baralaba,Barfield,mudstone,limestone,prograding shelf,deep shelf,Fielding1993,,
Monto,Barfield,mudstone,siltstone,prograding shelf,deep shelf,Fielding1993,,
Mundubbera,Barfield,mudstone,arenite,prograding shelf,deep shelf,Fielding1993,,
Narrabri,Barra,sandstone,conglomerate,,,,,
Port Clinton,Bayfield,granite,,,,,,
,Beckers,tuff,siltstone,,,AGGA,,
Tamworth-Hastings,Beechwood,sandstone,mudstone,,,,,
,Beekeeper,mixed,,,,AGGA,,
Bowen,Beggie,sandstone,siltstone,,,,,
,Belford,,,,,,,
Dorrigo,Bellingen,slate,sandstone,,,,,
Moreton,Bellthorpe,andesite,,,,,,
Wollongong,Berkley,latite,,,,,,
,Berriedale,limestone,shale,,,AGGA,,
Bathurst,Berry,siltstone,,offshore marine,,Jones2006,,
Sydney,Berry,shale,conglomerate,offshore marine,,,,
Wollongong,Berry,siltstone,shale,offshore marine,,Fielding2006,,
Rockhampton,Berserker,ruff,andesite,,,,,
Buchanan,Betts Creek,siltstone,sandstone,,,,,
Charters Towers,Betts Creek,sandstone,mudstone,,,,,
Yarraman,Biarraville,arenite,chert,,,,,
Tamworth-Hastings,Bickham,sandstone,mudstone,,,,,
Tamworth,Bickham,sandstone,conglomerate,,,,,
Moreton,Biggenden,volcanics,siltstone,,,,,
,Billidee,sandstone,siltstone,shallow marine,delta,"Lever2004, AGGA",,
,Billop,sandstone,,,,AGGA,,
Bowen,Black Alley,mudstone,siltstone,alluvial plain,delta,Fielding1993,,
Eddystone,Black Alley,shale,claystone,alluvial plain,delta,Fielding1993,,
Springsure,Black Alley,shale,claystone,alluvial plain,delta,Fielding1993,,
Tambo,Black Alley,mudstone,siltstone,alluvial plain,delta,Fielding1993,,
Manilla,Black Jack,siltstone,sandstone,alluvial,delta,"McMinn1993,Tadros1995",,
Tamworth,Black Jack,sandstone,shale,alluvial system,delta system,"McMinn1993,Tadros1995",,
Bowen,Blackwater,sandstone,siltstone,,,,,
Chinchilla,Blackwater,siltstone,sandstone,,,,,
Clermont,Blackwater,siltstone,sandstone,,,,,
Dalby,Blackwater,shale,sandstone,,,,,
Duaringa,Blackwater,sandstone,siltstone,,,,,
Eddystone,Blackwater,sandstone,siltstone,,,,,
