"Stratigraphic.Name"|"Previous.Name"|"Replacement.Name"|"Rank"|"Status"|"Category"|"Parent.Name"|"Type.Section.State"|"Lithology.Description"|"Primary.Lithology.Group"|"Secondary.Lithology.Group"
"295"|"Bingleburra Formation"|""|""|"Formation, beds"|"Formal"|"Unknown or process pending"|""|""|"Brown and grey, thinly bedded mudstone and siltstone with thin interbeds of lithic sandstone, oolitic and crinoidal limestone"|"sedimentary siliciclastic"|"sedimentary carbonate"
"4062"|"Bingleburra Formation"|""|""|"Formation, beds"|"Formal"|"Unknown or process pending"|""|""|"Brown and grey, thinly bedded mudstone and siltstone with thin interbeds of lithic sandstone, oolitic and crinoidal limestone"|"sedimentary siliciclastic"|"sedimentary carbonate"
"5186"|"Gudman Formation"|"Gudman Oolite"|""|"Formation, beds"|"Formal"|"Variation of published name"|""|""|"Consists of three units: lower oolitic grainstone, overlain by calcareous feldsarenite-siltstone and topped by crinoidal grainstone; reefs occur at the base of the lower oolitic interval."|"sedimentary carbonate"|""
"1884"|"Tulcumba Sandstone"|""|""|"Formation, beds"|"Formal"|"Variation of published name"|"Parry Group"|"NSW"|"Feldspathic sandstone, minor calcareous, feldspathic sandstone and polymictic conglomerate."|"feldspar- or lithic-rich arenite to rudite"|""
"977"|"Namoi Formation"|"Lower Burindi Series"|""|"Formation, beds"|"Formal"|"Other new published name"|"Parry Group"|"NSW"|"Thinly bedded mudstone and siltstone with minor conglomerate, litharenite, calcareous sandstone, siltstone and bioclastic limestone; rare tuff"|"argillaceous detrital sediment"|"sedimentary carbonate"
"636"|"Merlewood Formation"|"Lower Kuttung Series"|""|"Formation, beds"|"Formal"|"Other new published name"|""|"NSW"|"Coarse crossbedded feldspathic and lithic sandstone, minor conglomerate, mudstone and limestone"|"feldspar- or lithic-rich arenite to rudite"|"sedimentary siliciclastic"
"2076"|"Waverly Formation, Dangarfield  Formation"|""|""|"Subgroup"|"Informal"|"Variation of published name"|""|""|"Lithic sandstone, conglomerate and heavy mineral sandstone, minor siltstone, mudstone and oolitic limestone"|"feldspar- or lithic-rich arenite to rudite"|""
"2074"|"Waverley Formation"|""|""|"Formation, beds"|"Formal"|"Other new published name"|""|"NSW"|"Medium-coarse grained, pinkish brown to green crossbedded lithic sandstone, conglomerate and heavy mineral sandstone in the west; increasing amounts of thin, laminated mudstone and minor oolitic/biogenic limestone in east near Omadale Brook."|"sedimentary siliciclastic"|""
"2266"|"Woolooma Formation"|""|""|"Formation, beds"|"Formal"|"Resvd name published"|""|"NSW"|"Medium to thinly bedded blue-grey siltstone and grey to brown mudstone with interbeds of lithic sandstone, minor tuff and limestone. Thick lithic sandstone is common at the top of the formation"|"sedimentary siliciclastic"|""
"583"|"Marra Creek Formation"|""|""|"Formation, beds"|"Formal"|"Resvd name published"|""|"NSW"|"Unconsolidated pale to dark grey silt, clay, sandy silt, clayey silt; carbonate nodules common; boulders and pebbles along channels; cracking soils common."|"sedimentary siliciclastic"|""
"584"|"Marrangaroo Conglomerate"|""|""|"Formation, beds"|"Formal"|"Variation of published name"|"Illawarra Coal Measures"|"NSW"|"Fluvial, pebbly sandstone to cobble conglomerate."|"sedimentary siliciclastic"|""
"585"|"Marrar Dyke"|""|""|"Formation, beds"|"Invalid"|"Resvd name published"|""|""|"Monzogabbro"|"igneous mafic intrusive"|""
"7471"|"Marra Formation"|""|NA|"Formation, beds"|"Formal"|"Other new published name"|"Lower Parmeener Supergroup"|"TAS"|"Sandstone and minor siltstone, with glauconitic sandstone in upper part."|"sedimentary siliciclastic"|""
"5861"|"Mistletoe Granite"|""|""|"Formation, beds"|"Formal"|"Resvd name published"|""|"QLD"|"Grey variably foliated, locally nebulitic, medium-grained muscovite-biotite granite, commonly with abundant mafic clots and schlieren, and abundant metamorphic xenoliths and screens"|"igneous felsic intrusive"|""
"2313"|"Yagon Siltstone"|""|""|"Formation, beds"|"Formal"|"Other new published name"|""|"NSW"|"Fossiliferous dark siltstone; minor interbeds of mudstone and fossiliferous sandstone"|"sedimentary siliciclastic"|""
"2314"|"Yagon Siltstone, Booti Booti Sandstone"|""|""|"Subgroup"|"Informal"|"Variation of published name"|""|""|"Fossiliferous siltstone, mudstone, sandstone, white siltstone and coal-rich, crossbedded sandstone; minor volcanic member"|"sedimentary siliciclastic"|""
"23141"|"Yagon Siltstone, Booti Booti Sandstone"|""|""|"Subgroup"|"Informal"|"Variation of published name"|""|""|"Fossiliferous siltstone, mudstone, sandstone, white siltstone and coal-rich, crossbedded sandstone; minor volcanic member"|"sedimentary siliciclastic"|""
"3999"|"Baywulla Formation"|""|""|"Formation, beds"|"Formal"|"Unknown or process pending"|"Caswell Creek Group"|""|"Limestone, subgreywacke, conglomerate."|"sedimentary"|""
"4202"|"Branch Creek Rhyolite"|""|""|"Formation, beds"|"Formal"|"Variation of published name"|"Gingerella Cauldron Complex"|""|"Porphyritic microgranite, flow-banded intrusive rhyolite and breccia containing coarse clasts of rhyolite and breccia"|"igneous felsic volcanic"|""
"4314"|"Burnett Formation"|""|""|"Formation, beds"|"Formal"|"Unknown or process pending"|""|""|"Lithic labile arenite, siltstone, mudstone, conglomerate"|"sedimentary siliciclastic"|""
