"","x"
"1",""
"2","Abels Bay"
"3","Beckers"
"4","Belford"
"5","Berriedale"
"6","Billop"
"7","Brae"
"8","Bundella"
"9","Burnt Gully"
"10","Calytrix"
"11","Capertree"
"12","Cataract River"
"13","Cordalia"
"14","Cuncudgerie"
"15","Dabool"
"16","Deep Bay"
"17","Dilly"
"18","Elderslie"
"19","Enstone Park"
"20","Fenestella Shale"
"21","Ferntree"
"22","Fossil Cliff"
"23","Gerringong"
"24","Glendoo"
"25","Golden Valley"
"26","Grange"
"27","Gray"
"28","Hickman"
"29","Inglis"
"30","Jimba Jimba"
"31","Kansas Creek"
"32","Kensington"
"33","Lightjack"
"34","Macmillan"
"35","Madeline"
"36","Malbina"
"37","Mallens"
"38","Mingenew"
"39","Minnie Point"
"40","Nalbia"
"41","Nassau"
"42","Noonkanbah"
"43","One Gum"
"44","Pebbly Beach"
"45","Plumbago Creek"
"46","Port Keats"
"47","Rays Hill"
"48","Risdon"
"49","Rose's Pride"
"50","Spreyton"
"51","Swifts Jetty Sandstone"
"52","Tunnel Block Sediments"
"53","Ulladulla District"
"54","Woodbridge"
