taxon_name	taxon	sub	size	int_midpoint
Abra	Biv	Het	38	0.01
Acanthocardia	Biv	Het	102.5	0.01
Acar	Biv	nonHet	43	0.01
Aequipecten	Biv	nonHet	101.3	0.01
Agriopoma	Biv	nonHet	76	0.01
Aligena	Biv	Het	8.92	0.01
Ameghinomya	Biv	nonHet	93	0.01
Americardia	Biv	Het	60	0.01
Amiantis	Biv	Het	122.4	0.01
Anadara	Biv	nonHet	152.1	0.01
Anchomasa	Biv	Het	120	0.01
Angulus	Biv	Het	43.59	0.01
Anodontia	Biv	Het	33.76153846	0.01
Anomia	Biv	nonHet	93	0.01
Arca	Biv	nonHet	128	0.01
Arcinella	Biv	nonHet	81.4	0.01
Arcopaginula	Biv	Het	37.98	0.01
Arcopsis	Biv	nonHet	19.5	0.01
Arcuatula	Biv	nonHet	76	0.01
Arenomya	Biv	Het	150	0.01
Argopecten	Biv	nonHet	159.3	0.01
Asaphis	Biv	Het	109	0.01
Astarte	Biv	nonHet	55	0.01
Atrina	Biv	nonHet	480	0.01
Aulacomya	Biv	nonHet	160	0.01
Azorinus	Biv	Het	104	0.01
Barbatia	Biv	nonHet	90	0.01
Barnea	Biv	Het	120	0.01
Bathyarca	Biv	nonHet	35	0.01
Botula	Biv	nonHet	40	0.01
Brachidontes	Biv	nonHet	70	0.01
Carditella	Biv	Het	10	0.01
Cardium	Biv	Het	140.6	0.01
Caryocorbula	Biv	nonHet	30.8	0.01
Chama	Biv	Het	146.7	0.01
Chametrachea	Biv	nonHet	500	0.01
Chlamys	Biv	nonHet	140	0.01
Choristodon	Biv	nonHet	43	0.01
Ciliatocardium	Biv	nonHet	86.7	0.01
Circe	Biv	Het	64.9	0.01
Clausinella	Biv	nonHet	30	0.01
Codakia	Biv	Het	76.4375	0.01
Corbula	Biv	Het	26.3	0.01
Crassinella	Biv	nonHet	10	0.01
Crassostrea	Biv	nonHet	450	0.01
Cryptomya	Biv	Het	37	0.01
Cucullaearca	Biv	nonHet	134	0.01
Cunearca	Biv	nonHet	78	0.01
Curvemysella	Biv	Het	21.4	0.01
Cyamium	Biv	Het	12.7	0.01
Cyclinella	Biv	nonHet	81.3	0.01
Cyclocardia	Biv	Het	60	0.01
Cyrtodaria	Biv	Het	90	0.01
Cyrtopleura	Biv	Het	57.81	0.01
Dendostrea	Biv	nonHet	120	0.01
Diplodonta	Biv	Het	13.15333333	0.01
Diplothyra	Biv	Het	15.5	0.01
Divaricella	Biv	Het	41.93	0.01
Donax	Biv	Het	85.8	0.01
Ennucula	Biv	nonHet	36.3	0.01
Ensis	Biv	nonHet	250	0.01
Eontia	Biv	nonHet	78.3	0.01
Eostrea	Biv	nonHet	125	0.01
Ervilia	Biv	nonHet	15	0.01
Eurhomalea	Biv	nonHet	106	0.01
Eurytellina	Biv	Het	36.57	0.01
Euvola	Biv	nonHet	127.4	0.01
Fragum	Biv	Het	76	0.01
Fulvia	Biv	nonHet	100	0.01
Galeomma	Biv	Het	8.814583333	0.01
Geloina	Biv	Het	98.28	0.01
Gemma	Biv	nonHet	4.25	0.01
Geukensia	Biv	nonHet	133	0.01
Glossus	Biv	Het	100	0.01
Goethemia	Biv	nonHet	14	0.01
Hemimactra	Biv	Het	226	0.01
Heteromacoma	Biv	Het	57.48	0.01
Hexacorbula	Biv	Het	24	0.01
Hiatella	Biv	Het	59.7	0.01
Laevicardium	Biv	Het	190	0.01
Lamellinucula	Biv	nonHet	35	0.01
Larkinia	Biv	nonHet	156	0.01
Lasaea	Biv	nonHet	3.304	0.01
Lentidium	Biv	Het	10	0.01
Lepton	Biv	Het	8.9875	0.01
Leukoma	Biv	nonHet	107.7	0.01
Limaria	Biv	nonHet	58.4	0.01
Limatula	Biv	nonHet	40.96	0.01
Linucula	Biv	nonHet	7	0.01
Lirophora	Biv	nonHet	58	0.01
Lissarca	Biv	nonHet	8	0.01
Lithophaga	Biv	nonHet	147	0.01
Loripes	Biv	nonHet	12.95416667	0.01
Lunarca	Biv	nonHet	76	0.01
Lyonsia	Biv	nonHet	57	0.01
Macoma	Biv	Het	33.275	0.01
Macrocallista	Biv	nonHet	188	0.01
Mactra	Biv	Het	126	0.01
Mactrotoma	Biv	nonHet	118	0.01
Mercenaria	Biv	nonHet	168	0.01
Merisca	Biv	Het	40.86	0.01
Mesodesma	Biv	nonHet	100	0.01
Modiolus	Biv	nonHet	213	0.01
Moerella	Biv	Het	27.41	0.01
Mulinia	Biv	nonHet	78	0.01
Musculus	Biv	nonHet	80	0.01
Mya	Biv	Het	200	0.01
Mysella	Biv	Het	4.14375	0.01
Mytilopsis	Biv	Het	38	0.01
Mytilus	Biv	nonHet	258	0.01
Neolepton	Biv	nonHet	6.1	0.01
Nodipecten	Biv	nonHet	226.5	0.01
Noetia	Biv	nonHet	80	0.01
Nucula	Biv	nonHet	28.1	0.01
Nuculana	Biv	nonHet	35.6	0.01
Ostrea	Biv	nonHet	190	0.01
Ostreola	Biv	nonHet	51	0.01
Pandora	Biv	nonHet	48.3	0.01
Panomya	Biv	Het	179	0.01
Paphies	Biv	nonHet	83	0.01
Papillicardium	Biv	nonHet	25	0.01
Paramya	Biv	Het	15	0.01
Parastarte	Biv	nonHet	3.8	0.01
Parvicardium	Biv	nonHet	20	0.01
Parvilucina	Biv	Het	10.80227273	0.01
Pecten	Biv	nonHet	197.9	0.01
Pelecyora	Biv	Het	47.6	0.01
Periploma	Biv	nonHet	65.6	0.01
Philobrya	Biv	nonHet	15	0.01
Phlyctiderma	Biv	nonHet	10.0925	0.01
Pholas	Biv	Het	159	0.01
Pisidium	Biv	Het	5.63	0.01
Pitar	Biv	Het	90	0.01
Placopecten	Biv	nonHet	230	0.01
Placuna	Biv	nonHet	225.7	0.01
Plicatula	Biv	nonHet	52.1	0.01
Portlandia	Biv	nonHet	31	0.01
Psammobia	Biv	Het	85	0.01
Psammotellina	Biv	Het	51.76	0.01
Psammotreta	Biv	Het	27.86	0.01
Pseudometis	Biv	Het	49.62	0.01
Pseudomiltha	Biv	Het	91.02857143	0.01
Puberella	Biv	nonHet	83	0.01
Raeta	Biv	Het	130	0.01
Rangia	Biv	Het	78	0.01
Saccella	Biv	nonHet	43	0.01
Saccostrea	Biv	nonHet	255	0.01
Scapharca	Biv	nonHet	150	0.01
Scissula	Biv	Het	14.87	0.01
Semele	Biv	nonHet	119.2	0.01
Serripes	Biv	nonHet	137	0.01
Similipecten	Biv	nonHet	32.5	0.01
Solecurtus	Biv	nonHet	100	0.01
Solen	Biv	nonHet	184.8	0.01
Sphenia	Biv	Het	30.1	0.01
Spondylus	Biv	nonHet	400	0.01
Striarca	Biv	nonHet	20.27	0.01
Strigilla	Biv	Het	17.63	0.01
Tagelus	Biv	Het	150	0.01
Tegillarca	Biv	nonHet	88	0.01
Tellidora	Biv	nonHet	36.19	0.01
Tellimya	Biv	nonHet	7.5075	0.01
Tellina	Biv	Het	70.95714286	0.01
Theora	Biv	Het	26.2	0.01
Thracia	Biv	nonHet	120	0.01
Thyasira	Biv	Het	16.21	0.01
Tindariopsis	Biv	nonHet	26.3	0.01
Trachycardium	Biv	Het	95.3	0.01
Transennella	Biv	nonHet	46	0.01
Tridacna	Biv	Het	1368.7	0.01
Turtonia	Biv	nonHet	4	0.01
Unio	Biv	nonHet	81.8	0.01
Varicorbula	Biv	Het	15	0.01
Venerupis	Biv	Het	58	0.01
Venus	Biv	Het	72	0.01
Vepricardium	Biv	Het	80	0.01
Yoldia	Biv	nonHet	60	0.01
Yoldiella	Biv	nonHet	18	0.01
Zygochlamys	Biv	nonHet	97	0.01
Abra	Biv	Het	38	1.3
Acanthocardia	Biv	Het	102.5	1.3
Acar	Biv	nonHet	43	1.3
Aequipecten	Biv	nonHet	101.3	1.3
Agriopoma	Biv	nonHet	76	1.3
Aligena	Biv	Het	8.92	1.3
Americardia	Biv	Het	60	1.3
Amiantis	Biv	Het	122.4	1.3
Anadara	Biv	nonHet	152.1	1.3
Angulus	Biv	Het	43.59	1.3
Anodontia	Biv	Het	33.76153846	1.3
Anomia	Biv	nonHet	93	1.3
Arca	Biv	nonHet	128	1.3
Arcinella	Biv	nonHet	81.4	1.3
Arcopaginula	Biv	Het	37.98	1.3
Arcopsis	Biv	nonHet	19.5	1.3
Arctica	Biv	nonHet	140	1.3
Arcuatula	Biv	nonHet	76	1.3
Arenomya	Biv	Het	150	1.3
Argopecten	Biv	nonHet	159.3	1.3
Asa	Biv	nonHet	87	1.3
Asaphis	Biv	Het	109	1.3
Astarte	Biv	nonHet	55	1.3
Atrina	Biv	nonHet	480	1.3
Aulacomya	Biv	nonHet	160	1.3
Azorinus	Biv	Het	104	1.3
Barbatia	Biv	nonHet	90	1.3
Barnea	Biv	Het	120	1.3
Bathyarca	Biv	nonHet	35	1.3
Botula	Biv	nonHet	40	1.3
Brachidontes	Biv	nonHet	70	1.3
Carditella	Biv	Het	10	1.3
Cardium	Biv	Het	140.6	1.3
Caryocorbula	Biv	nonHet	30.8	1.3
Cavilinga	Biv	Het	5.350769231	1.3
Chama	Biv	Het	146.7	1.3
Chametrachea	Biv	nonHet	500	1.3
Chlamys	Biv	nonHet	140	1.3
Choristodon	Biv	nonHet	43	1.3
Ciliatocardium	Biv	nonHet	86.7	1.3
Circe	Biv	Het	64.9	1.3
Clausinella	Biv	nonHet	30	1.3
Codakia	Biv	Het	76.4375	1.3
Corbula	Biv	Het	26.3	1.3
Crassinella	Biv	nonHet	10	1.3
Crassostrea	Biv	nonHet	450	1.3
Cryptomya	Biv	Het	37	1.3
Cucullaearca	Biv	nonHet	134	1.3
Cunearca	Biv	nonHet	78	1.3
Cyamium	Biv	Het	12.7	1.3
Cyclinella	Biv	nonHet	81.3	1.3
Cyclocardia	Biv	Het	60	1.3
Cyrtodaria	Biv	Het	90	1.3
Cyrtopleura	Biv	Het	57.81	1.3
Dendostrea	Biv	nonHet	120	1.3
Digitaria	Biv	nonHet	10	1.3
Digitariopsis	Biv	Het	6.753571429	1.3
Diplodonta	Biv	Het	13.15333333	1.3
Divaricella	Biv	Het	41.93	1.3
Donax	Biv	Het	85.8	1.3
Ennucula	Biv	nonHet	36.3	1.3
Ensis	Biv	nonHet	250	1.3
Eontia	Biv	nonHet	78.3	1.3
Ervilia	Biv	nonHet	15	1.3
Eurhomalea	Biv	nonHet	106	1.3
Eurytellina	Biv	Het	36.57	1.3
Euvola	Biv	nonHet	127.4	1.3
Felaniella	Biv	Het	17.04	1.3
Fragum	Biv	Het	76	1.3
Fulvia	Biv	nonHet	100	1.3
Gastrana	Biv	nonHet	24.42	1.3
Geloina	Biv	Het	98.28	1.3
Gemma	Biv	nonHet	4.25	1.3
Geukensia	Biv	nonHet	133	1.3
Glossus	Biv	Het	100	1.3
Glycymeris	Biv	nonHet	115	1.3
Hemimactra	Biv	Het	226	1.3
Heteranomia	Biv	nonHet	22	1.3
Heteromacoma	Biv	Het	57.48	1.3
Hexacorbula	Biv	Het	24	1.3
Hiatella	Biv	Het	59.7	1.3
Laevicardium	Biv	Het	190	1.3
Lamellinucula	Biv	nonHet	35	1.3
Larkinia	Biv	nonHet	156	1.3
Lasaea	Biv	nonHet	3.304	1.3
Lentidium	Biv	Het	10	1.3
Lepton	Biv	Het	8.9875	1.3
Leukoma	Biv	nonHet	107.7	1.3
Limaria	Biv	nonHet	58.4	1.3
Limatula	Biv	nonHet	40.96	1.3
Linucula	Biv	nonHet	7	1.3
Lirophora	Biv	nonHet	58	1.3
Lissarca	Biv	nonHet	8	1.3
Lithophaga	Biv	nonHet	147	1.3
Loripes	Biv	nonHet	12.95416667	1.3
Lunarca	Biv	nonHet	76	1.3
Lutraria	Biv	Het	168	1.3
Lyonsia	Biv	nonHet	57	1.3
Macoma	Biv	Het	33.275	1.3
Macrocallista	Biv	nonHet	188	1.3
Mactra	Biv	Het	126	1.3
Mactromeris	Biv	Het	167	1.3
Mactrotoma	Biv	nonHet	118	1.3
Mercenaria	Biv	nonHet	168	1.3
Merisca	Biv	Het	40.86	1.3
Mesodesma	Biv	nonHet	100	1.3
Modiolula	Biv	nonHet	33.47	1.3
Modiolus	Biv	nonHet	213	1.3
Moerella	Biv	Het	27.41	1.3
Monia	Biv	nonHet	128.4	1.3
Mulinia	Biv	nonHet	78	1.3
Musculus	Biv	nonHet	80	1.3
Mya	Biv	Het	200	1.3
Mysella	Biv	Het	4.14375	1.3
Mytilopsis	Biv	Het	38	1.3
Mytilus	Biv	nonHet	258	1.3
Nodipecten	Biv	nonHet	226.5	1.3
Noetia	Biv	nonHet	80	1.3
Nucula	Biv	nonHet	28.1	1.3
Nuculana	Biv	nonHet	35.6	1.3
Ostrea	Biv	nonHet	190	1.3
Ostreola	Biv	nonHet	51	1.3
Pandora	Biv	nonHet	48.3	1.3
Panomya	Biv	Het	179	1.3
Panopea	Biv	Het	295	1.3
Paphies	Biv	nonHet	83	1.3
Papillicardium	Biv	nonHet	25	1.3
Paramya	Biv	Het	15	1.3
Parastarte	Biv	nonHet	3.8	1.3
Parvicardium	Biv	nonHet	20	1.3
Parvilucina	Biv	Het	10.80227273	1.3
Pecten	Biv	nonHet	197.9	1.3
Pelecyora	Biv	Het	47.6	1.3
Periploma	Biv	nonHet	65.6	1.3
Peronaea	Biv	Het	44.52857143	1.3
Phlyctiderma	Biv	nonHet	10.0925	1.3
Pholas	Biv	Het	159	1.3
Pisidium	Biv	Het	5.63	1.3
Pitar	Biv	Het	90	1.3
Placopecten	Biv	nonHet	230	1.3
Placuna	Biv	nonHet	225.7	1.3
Plicatula	Biv	nonHet	52.1	1.3
Portlandia	Biv	nonHet	31	1.3
Psammobia	Biv	Het	85	1.3
Psammotreta	Biv	Het	27.86	1.3
Pseudomiltha	Biv	Het	91.02857143	1.3
Pygocardia	Biv	nonHet	60.16	1.3
Raeta	Biv	Het	130	1.3
Rangia	Biv	Het	78	1.3
Saccella	Biv	nonHet	43	1.3
Saccostrea	Biv	nonHet	255	1.3
Scapharca	Biv	nonHet	150	1.3
Scissula	Biv	Het	14.87	1.3
Semele	Biv	nonHet	119.2	1.3
Semierycina	Biv	Het	2.34137931	1.3
Serripes	Biv	nonHet	137	1.3
Similipecten	Biv	nonHet	32.5	1.3
Solecurtus	Biv	nonHet	100	1.3
Solen	Biv	nonHet	184.8	1.3
Sphenia	Biv	Het	30.1	1.3
Spisula	Biv	Het	130	1.3
Spondylus	Biv	nonHet	400	1.3
Striarca	Biv	nonHet	20.27	1.3
Strigilla	Biv	Het	17.63	1.3
Tagelus	Biv	Het	150	1.3
Tegillarca	Biv	nonHet	88	1.3
Tellidora	Biv	nonHet	36.19	1.3
Tellimya	Biv	nonHet	7.5075	1.3
Tellina	Biv	Het	70.95714286	1.3
Theora	Biv	Het	26.2	1.3
Thracia	Biv	nonHet	120	1.3
Thyasira	Biv	Het	16.21	1.3
Tindariopsis	Biv	nonHet	26.3	1.3
Trachycardium	Biv	Het	95.3	1.3
Transennella	Biv	nonHet	46	1.3
Tridacna	Biv	Het	1368.7	1.3
Truncacila	Biv	nonHet	23	1.3
Unio	Biv	nonHet	81.8	1.3
Varicorbula	Biv	Het	15	1.3
Venerupis	Biv	Het	58	1.3
Venus	Biv	Het	72	1.3
Vepricardium	Biv	Het	80	1.3
Xylophaga	Biv	Het	28	1.3
Yoldia	Biv	nonHet	60	1.3
Yoldiella	Biv	nonHet	18	1.3
Zirfaea	Biv	Het	143	1.3
Zygochlamys	Biv	nonHet	97	1.3
Abra	Biv	Het	38	3.09
Acanthocardia	Biv	Het	102.5	3.09
Acar	Biv	nonHet	43	3.09
Acesta	Biv	nonHet	185	3.09
Acharax	Biv	nonHet	240	3.09
Acila	Biv	nonHet	50	3.09
Acrosterigma	Biv	Het	128	3.09
Adrana	Biv	nonHet	107	3.09
Aequipecten	Biv	nonHet	101.3	3.09
Agriopoma	Biv	nonHet	76	3.09
Alectryonella	Biv	nonHet	120	3.09
Aligena	Biv	Het	8.92	3.09
Alveinus	Biv	nonHet	2.3	3.09
Americardia	Biv	Het	60	3.09
Amiantis	Biv	Het	122.4	3.09
Amusium	Biv	nonHet	140	3.09
Amussiopecten	Biv	nonHet	94.12	3.09
Anadara	Biv	nonHet	152.1	3.09
Anapella	Biv	Het	32.8	3.09
Angulus	Biv	Het	43.59	3.09
Anisocorbula	Biv	Het	40.52	3.09
Anisodonta	Biv	nonHet	7.881081081	3.09
