taxon_name	int_midpoint	taxon	sub	size
Abarbatia	0.01	Biv	nonHet	65.5
Abra	0.01	Biv	Het	38
Abruptolopha	0.01	Biv	nonHet	98.78571429
Acanthocardia	0.01	Biv	Het	102.5
Acar	0.01	Biv	nonHet	43
Acharax	0.01	Biv	nonHet	240
Acorylus	0.01	Biv	Het	6.71
Acostaea	0.01	Biv	nonHet	79.81666667
Acrosterigma	0.01	Biv	Het	128
Actinostreon	0.01	Biv	nonHet	101.72
Acuticosta	0.01	Biv	nonHet	57.9
Adacna	0.01	Biv	Het	50
Adacnarca	0.01	Biv	nonHet	8
Adamussium	0.01	Biv	nonHet	120
Adipicola	0.01	Biv	nonHet	52.9
Adontorhina	0.01	Biv	nonHet	2.805
Adrana	0.01	Biv	nonHet	107
Adranella	0.01	Biv	nonHet	5.5
Adula	0.01	Biv	nonHet	113
Aelga	0.01	Biv	nonHet	71.4
Aequipecten	0.01	Biv	nonHet	101.3
Aequiyoldia	0.01	Biv	nonHet	38
Aeretica	0.01	Biv	Het	24.69333333
Afrocardium	0.01	Biv	Het	16
Afroparreysia	0.01	Biv	nonHet	32.55
Agriopoma	0.01	Biv	nonHet	76
Alasmidonta	0.01	Biv	nonHet	62.35
Albimanus	0.01	Biv	nonHet	21.57
Alectryonella	0.01	Biv	nonHet	120
Aligena	0.01	Biv	Het	8.92
Allolima	0.01	Biv	nonHet	52
Allomactra	0.01	Biv	Het	46.18
Americardia	0.01	Biv	Het	60
Amesodesma	0.01	Biv	nonHet	30
Amiantis	0.01	Biv	Het	122.4
Amphichaena	0.01	Biv	nonHet	48
Amphinaias	0.01	Biv	nonHet	44.7
Amphipsammus	0.01	Biv	Het	88.62
Amusium	0.01	Biv	nonHet	140
Amussiopecten	0.01	Biv	nonHet	94.12
Amygdalum	0.01	Biv	nonHet	75
Anatina	0.01	Biv	nonHet	81.2
Anatiopopecten	0.01	Biv	nonHet	28.56
Anchomasa	0.01	Biv	Het	120
Ancliffia	0.01	Biv	Het	4.5
Andrussella	0.01	Biv	Het	12.03333333
Anguipecten	0.01	Biv	nonHet	80
Angulus	0.01	Biv	Het	43.59
Anisocorbula	0.01	Biv	Het	40.52
Anisodonta	0.01	Biv	nonHet	7.881081081
Anisoperna	0.01	Biv	nonHet	60
Annachlamys	0.01	Biv	nonHet	102.3
Anodonta	0.01	Biv	nonHet	198.16
Anodontia	0.01	Biv	Het	33.76153846
Anodontites	0.01	Biv	nonHet	64.58
Anomalocardia	0.01	Biv	Het	50
Anomalodiscus	0.01	Biv	nonHet	45
