taxon_name	int_midpoint	taxon	sub	size
Abra	0.01	Biv	Het	38
Acanthocardia	0.01	Biv	Het	102.5
Acar	0.01	Biv	nonHet	43
Aequipecten	0.01	Biv	nonHet	101.3
Agriopoma	0.01	Biv	nonHet	76
Aligena	0.01	Biv	Het	8.92
Ameghinomya	0.01	Biv	nonHet	93
Americardia	0.01	Biv	Het	60
Amiantis	0.01	Biv	Het	122.4
Anadara	0.01	Biv	nonHet	152.1
Anchomasa	0.01	Biv	Het	120
Angulus	0.01	Biv	Het	43.59
Anodontia	0.01	Biv	Het	33.76153846
Anomia	0.01	Biv	nonHet	93
Arca	0.01	Biv	nonHet	128
Arcinella	0.01	Biv	nonHet	81.4
Arcopaginula	0.01	Biv	Het	37.98
Arcopsis	0.01	Biv	nonHet	19.5
Arcuatula	0.01	Biv	nonHet	76
Arenomya	0.01	Biv	Het	150
Argopecten	0.01	Biv	nonHet	159.3
Asaphis	0.01	Biv	Het	109
Astarte	0.01	Biv	nonHet	55
Atrina	0.01	Biv	nonHet	480
Aulacomya	0.01	Biv	nonHet	160
Azorinus	0.01	Biv	Het	104
Barbatia	0.01	Biv	nonHet	90
Barnea	0.01	Biv	Het	120
Bathyarca	0.01	Biv	nonHet	35
Botula	0.01	Biv	nonHet	40
Brachidontes	0.01	Biv	nonHet	70
Carditella	0.01	Biv	Het	10
Cardium	0.01	Biv	Het	140.6
Caryocorbula	0.01	Biv	nonHet	30.8
Chama	0.01	Biv	Het	146.7
Chametrachea	0.01	Biv	nonHet	500
Chlamys	0.01	Biv	nonHet	140
Choristodon	0.01	Biv	nonHet	43
Ciliatocardium	0.01	Biv	nonHet	86.7
Circe	0.01	Biv	Het	64.9
Clausinella	0.01	Biv	nonHet	30
Codakia	0.01	Biv	Het	76.4375
Corbula	0.01	Biv	Het	26.3
Crassinella	0.01	Biv	nonHet	10
Crassostrea	0.01	Biv	nonHet	450
Cryptomya	0.01	Biv	Het	37
Cucullaearca	0.01	Biv	nonHet	134
Cunearca	0.01	Biv	nonHet	78
Curvemysella	0.01	Biv	Het	21.4
Cyamium	0.01	Biv	Het	12.7
Cyclinella	0.01	Biv	nonHet	81.3
Cyclocardia	0.01	Biv	Het	60
Cyrtodaria	0.01	Biv	Het	90
Cyrtopleura	0.01	Biv	Het	57.81
Dendostrea	0.01	Biv	nonHet	120
Diplodonta	0.01	Biv	Het	13.15333333
Diplothyra	0.01	Biv	Het	15.5
Divaricella	0.01	Biv	Het	41.93
Donax	0.01	Biv	Het	85.8
Ennucula	0.01	Biv	nonHet	36.3
Ensis	0.01	Biv	nonHet	250
Eontia	0.01	Biv	nonHet	78.3
Eostrea	0.01	Biv	nonHet	125
Ervilia	0.01	Biv	nonHet	15
Eurhomalea	0.01	Biv	nonHet	106
Eurytellina	0.01	Biv	Het	36.57
Euvola	0.01	Biv	nonHet	127.4
Fragum	0.01	Biv	Het	76
Fulvia	0.01	Biv	nonHet	100
Galeomma	0.01	Biv	Het	8.814583333
Geloina	0.01	Biv	Het	98.28
Gemma	0.01	Biv	nonHet	4.25
Geukensia	0.01	Biv	nonHet	133
Glossus	0.01	Biv	Het	100
Goethemia	0.01	Biv	nonHet	14
Hemimactra	0.01	Biv	Het	226
Heteromacoma	0.01	Biv	Het	57.48
Hexacorbula	0.01	Biv	Het	24
Hiatella	0.01	Biv	Het	59.7
Laevicardium	0.01	Biv	Het	190
Lamellinucula	0.01	Biv	nonHet	35
Larkinia	0.01	Biv	nonHet	156
Lasaea	0.01	Biv	nonHet	3.304
Lentidium	0.01	Biv	Het	10
Lepton	0.01	Biv	Het	8.9875
Leukoma	0.01	Biv	nonHet	107.7
Limaria	0.01	Biv	nonHet	58.4
Limatula	0.01	Biv	nonHet	40.96
Linucula	0.01	Biv	nonHet	7
Lirophora	0.01	Biv	nonHet	58
Lissarca	0.01	Biv	nonHet	8
Lithophaga	0.01	Biv	nonHet	147
Loripes	0.01	Biv	nonHet	12.95416667
Lunarca	0.01	Biv	nonHet	76
Lyonsia	0.01	Biv	nonHet	57
Macoma	0.01	Biv	Het	33.275
Macrocallista	0.01	Biv	nonHet	188
Mactra	0.01	Biv	Het	126
Mactrotoma	0.01	Biv	nonHet	118
Mercenaria	0.01	Biv	nonHet	168
Merisca	0.01	Biv	Het	40.86
Mesodesma	0.01	Biv	nonHet	100
Modiolus	0.01	Biv	nonHet	213
Moerella	0.01	Biv	Het	27.41
Mulinia	0.01	Biv	nonHet	78
Musculus	0.01	Biv	nonHet	80
Mya	0.01	Biv	Het	200
Mysella	0.01	Biv	Het	4.14375
Mytilopsis	0.01	Biv	Het	38
Mytilus	0.01	Biv	nonHet	258
Neolepton	0.01	Biv	nonHet	6.1
Nodipecten	0.01	Biv	nonHet	226.5
Noetia	0.01	Biv	nonHet	80
Nucula	0.01	Biv	nonHet	28.1
Nuculana	0.01	Biv	nonHet	35.6
Ostrea	0.01	Biv	nonHet	190
Ostreola	0.01	Biv	nonHet	51
Pandora	0.01	Biv	nonHet	48.3
Panomya	0.01	Biv	Het	179
Paphies	0.01	Biv	nonHet	83
Papillicardium	0.01	Biv	nonHet	25
Paramya	0.01	Biv	Het	15
Parastarte	0.01	Biv	nonHet	3.8
Parvicardium	0.01	Biv	nonHet	20
Parvilucina	0.01	Biv	Het	10.80227273
Pecten	0.01	Biv	nonHet	197.9
Pelecyora	0.01	Biv	Het	47.6
Periploma	0.01	Biv	nonHet	65.6
Philobrya	0.01	Biv	nonHet	15
Phlyctiderma	0.01	Biv	nonHet	10.0925
Pholas	0.01	Biv	Het	159
Pisidium	0.01	Biv	Het	5.63
