int_midpoint	delta_T
521.25	6.5
515.75	6.8
507.5	7.4
501.5	6.9
497.75	6.7
493.75	6.6
492.25	6.5
489.9	6.4
483.5	6.2
475.5	5.6
470	5.1
464.5	4
458	2.9
450.5	2.5
445	2.3
436	2.6
425.5	2.9
421	3
417.5	3.1
413.5	3.3
409	3.7
402.5	4.1
395	4.7
388.5	5.5
379.5	6
366.5	4.4
352	3.1
335.5	1.1
322	0.1
315	-0.6
309	-1
305	-1.1
301.5	-1.1
298	-1
290.5	-0.9
280	-0.8
273.5	0
269.5	0.5
267	1.2
263	2.2
257	3.9
252.5	4.7
250.5	5
247.5	5.2
243	5.3
238	5.5
231.5	4.8
216	2.7
202.8	2
199.3	2
193.5	1.9
186.5	1.5
179.5	1.1
174	1.6
170	2.4
166.5	2.6
163	2.6
158.5	2.7
153.5	2.6
148.25	2.6
142.75	2.9
138	3
133	2.6
127.5	2.4
118.5	2.7
105.8	3.3
96	4.2
91.4	4
87.55	3.8
84.65	3.6
77.05	3.2
68.05	3
63.6	2.8
60.2	2.7
57.25	2.6
52.2	2.5
42.9	1.7
35.55	1.1
31.15	0.7
25.7	0.2
19.5	0
13.8	-0.1
8.45	-0.2
4.45	-0.1
3.1	-0.1
2.2	0
0.905	0
0.005	0
