taxon_name	phylum	class	feeding
Ancistrocrania	Brachiopoda	Craniata	1
Ancistrocrania	Brachiopoda	Craniata	1
Conocrania	Brachiopoda	Craniata	1
Crania	Brachiopoda	Craniata	1
Craniscus	Brachiopoda	Craniata	1
Craniscus	Brachiopoda	Craniata	1
Danocrania	Brachiopoda	Craniata	1
Isocrania	Brachiopoda	Craniata	1
Isocrania	Brachiopoda	Craniata	1
Lepidocrania	Brachiopoda	Craniata	1
Lepidocrania	Brachiopoda	Craniata	1
Nematocrania	Brachiopoda	Craniata	1
Nematocrania	Brachiopoda	Craniata	1
Neocrania	Brachiopoda	Craniata	1
Neocrania	Brachiopoda	Craniata	1
Orthisocrania	Brachiopoda	Craniata	1
Orthisocrania	Brachiopoda	Craniata	1
Philhedrella	Brachiopoda	Craniata	1
Petrocrania	Brachiopoda	Craniata	1
Petrocrania	Brachiopoda	Craniata	1
Philhedra	Brachiopoda	Craniata	1
Philhedra	Brachiopoda	Craniata	1
Pseudocrania	Brachiopoda	Craniata	1
Pseudocrania	Brachiopoda	Craniata	1
Craniops	Brachiopoda	Craniata	1
Discinopsis	Brachiopoda	Craniata	1
Discinopsis	Brachiopoda	Craniata	1
Lingulapholis	Brachiopoda	Craniata	1
Lingulapholis	Brachiopoda	Craniata	1
Paracraniops	Brachiopoda	Craniata	1
Paracraniops	Brachiopoda	Craniata	1
Pseudopholidops	Brachiopoda	Craniata	1
Sanxiaella	Brachiopoda	Craniata	1
Pseudopholidops	Brachiopoda	Craniata	1
Adensu	Brachiopoda	Craniata	1
Costitrimerella	Brachiopoda	Craniata	1
Costitrimerella	Brachiopoda	Craniata	1
Dinobolus	Brachiopoda	Craniata	1
Eodinobolus	Brachiopoda	Craniata	1
Fengzuella	Brachiopoda	Craniata	1
Gasconsia	Brachiopoda	Craniata	1
Monomerella	Brachiopoda	Craniata	1
Monomerella	Brachiopoda	Craniata	1
Ovidiella	Brachiopoda	Craniata	1
Ovidiella	Brachiopoda	Craniata	1
Palaeotrimerella	Brachiopoda	Craniata	1
Palaeotrimerella	Brachiopoda	Craniata	1
Paradinobolus	Brachiopoda	Craniata	1
Paradinobolus	Brachiopoda	Craniata	1
Rhynobolus	Brachiopoda	Craniata	1
Rhynobolus	Brachiopoda	Craniata	1
Sinotrimerella	Brachiopoda	Craniata	1
Sinotrimerella	Brachiopoda	Craniata	1
Trimerella	Brachiopoda	Craniata	1
Yidurella	Brachiopoda	Craniata	1
Yidurella	Brachiopoda	Craniata	1
Ussunia	Brachiopoda	Craniata	1
Acrothyra	Brachiopoda	Lingulata	1
Acrotreta	Brachiopoda	Lingulata	1
Amictocracens	Brachiopoda	Lingulata	1
Anabolotreta	Brachiopoda	Lingulata	1
Anelotreta	Brachiopoda	Lingulata	1
Angulotreta	Brachiopoda	Lingulata	1
Aphelotreta	Brachiopoda	Lingulata	1
Apsotreta	Brachiopoda	Lingulata	1
Araktina	Brachiopoda	Lingulata	1
Brachaktassia	Brachiopoda	Lingulata	1
Canthylotreta	Brachiopoda	Lingulata	1
Conotreta	Brachiopoda	Lingulata	1
Cyrtonotreta	Brachiopoda	Lingulata	1
Dactylotreta	Brachiopoda	Lingulata	1
Dicondylotreta	Brachiopoda	Lingulata	1
Eohadrotreta	Brachiopoda	Lingulata	1
Eurytreta	Brachiopoda	Lingulata	1
Hadrotreta	Brachiopoda	Lingulata	1
Hansotreta	Brachiopoda	Lingulata	1
Hisingerella	Brachiopoda	Lingulata	1
Kostjubella	Brachiopoda	Lingulata	1
Kotylotreta	Brachiopoda	Lingulata	1
Linnarssonella	Brachiopoda	Lingulata	1
Linnarssonia	Brachiopoda	Lingulata	1
Longipegma	Brachiopoda	Lingulata	1
Neotreta	Brachiopoda	Lingulata	1
Olentotreta	Brachiopoda	Lingulata	1
Opisthotreta	Brachiopoda	Lingulata	1
Ottenbyella	Brachiopoda	Lingulata	1
Physotreta	Brachiopoda	Lingulata	1
Picnotreta	Brachiopoda	Lingulata	1
Prototreta	Brachiopoda	Lingulata	1
Quadrisonia	Brachiopoda	Lingulata	1
Rhondellina	Brachiopoda	Lingulata	1
Satpakella	Brachiopoda	Lingulata	1
Semitreta	Brachiopoda	Lingulata	1
Spondylotreta	Brachiopoda	Lingulata	1
Stilpnotreta	Brachiopoda	Lingulata	1
Treptotreta	Brachiopoda	Lingulata	1
Vandalotreta	Brachiopoda	Lingulata	1
Biernatia	Brachiopoda	Lingulata	1
Opisconidion	Brachiopoda	Lingulata	1
Opsiconidion	Brachiopoda	Lingulata	1
Bozshakolia	Brachiopoda	Lingulata	1
Ceratreta	Brachiopoda	Lingulata	1
Keyserlingia	Brachiopoda	Lingulata	1
Kleithriatreta	Brachiopoda	Lingulata	1
Curticia	Brachiopoda	Lingulata	1
Eoconulus	Brachiopoda	Lingulata	1
Otariconulus	Brachiopoda	Lingulata	1
Undiferina	Brachiopoda	Lingulata	1
Akmolina	Brachiopoda	Lingulata	1
Ephippelasma	Brachiopoda	Lingulata	1
Lurgiticoma	Brachiopoda	Lingulata	1
Mamatia	Brachiopoda	Lingulata	1
Myotreta	Brachiopoda	Lingulata	1
Numericoma	Brachiopoda	Lingulata	1
Pomeraniotreta	Brachiopoda	Lingulata	1
Rhinotreta	Brachiopoda	Lingulata	1
Rhinotreta	Brachiopoda	Lingulata	1
Veliseptum	Brachiopoda	Lingulata	1
Artiotreta	Brachiopoda	Lingulata	1
Eoscaphelasma	Brachiopoda	Lingulata	1
Rhysotreta	Brachiopoda	Lingulata	1
Scaphelasma	Brachiopoda	Lingulata	1
Tobejalotreta	Brachiopoda	Lingulata	1
Acrotretella	Brachiopoda	Lingulata	1
Cristicoma	Brachiopoda	Lingulata	1
Issedonia	Brachiopoda	Lingulata	1
Mylloconotreta	Brachiopoda	Lingulata	1
Naimania	Brachiopoda	Lingulata	1
Polylasma	Brachiopoda	Lingulata	1
Torynelasma	Brachiopoda	Lingulata	1
Redlichella	Brachiopoda	Lingulata	1
Acrothele	Brachiopoda	Lingulata	1
Dearbornia	Brachiopoda	Lingulata	1
Conodiscus	Brachiopoda	Lingulata	1
Discotreta	Brachiopoda	Lingulata	1
Eothele	Brachiopoda	Lingulata	1
Orbithele	Brachiopoda	Lingulata	1
Schizopholis	Brachiopoda	Lingulata	1
Botsfordia	Brachiopoda	Lingulata	1
Curdus	Brachiopoda	Lingulata	1
Diandongia	Brachiopoda	Lingulata	1
Edreja	Brachiopoda	Lingulata	1
Glyptias	Brachiopoda	Lingulata	1
Karathele	Brachiopoda	Lingulata	1
Minlatonia	Brachiopoda	Lingulata	1
Neobolus	Brachiopoda	Lingulata	1
Acrosaccus	Brachiopoda	Lingulata	1
Discina	Brachiopoda	Lingulata	1
Discinisca	Brachiopoda	Lingulata	1
Discradisca	Brachiopoda	Lingulata	1
Heliomedusa	Brachiopoda	Lingulata	1
Heliomedusa	Brachiopoda	Lingulata	1
