genus,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Acanthalosia,290.100,259.000,61,15,0.1815
Acanthatia,360.700,353.800,2,0,NaN
Acuminothyris,360.700,326.400,6,0,NaN
Adolfia,360.700,345.300,2,0,NaN
Alispirifer,345.300,318.100,24,0,NaN
Ambikella,295.000,265.000,101,39,0.0574
Anemonaria,290.100,279.500,9,4,0.7653
Anidanthus,295.000,272.500,154,28,0.0720
Antiquatonia,360.700,345.300,10,0,NaN
Aperispirifer,290.100,259.000,49,45,0.1721
Archboldina,295.000,290.100,4,3,0.2877
Arcticalosia,290.100,268.000,7,7,0.4255
Arctitreta,298.900,259.000,42,11,0.0883
Asyrinxia,360.700,326.400,12,0,NaN
Athyris,360.700,306.950,21,0,NaN
Atrypa,339.400,336.000,1,0,NaN
Attenuatella,290.100,259.000,13,3,0.0543
Aulosteges,295.000,272.500,6,3,0.0926
Auriculispina,298.900,290.100,2,0,NaN
Balanoconcha,360.700,326.400,13,0,NaN
Bandoproductus,298.900,290.100,19,0,NaN
Beecheria,326.400,318.100,2,0,NaN
Biconvexiella,290.100,279.500,3,0,NaN
Birchsella,268.000,265.000,1,0,NaN
Booralia,336.000,290.100,17,0,NaN
Brachythyris,360.700,326.400,46,0,NaN
Bulahdelia,345.300,314.600,2,0,NaN
Callyconcha,295.000,290.100,8,1,0.6154
Callytharrella,295.000,279.500,24,9,0.4816
Camarotoechia,360.700,326.400,10,0,NaN
Camerisma,295.000,290.100,11,0,NaN
Cancellospirifer,265.000,259.000,1,0,NaN
Cancrinella,290.100,279.500,5,1,0.0038
Capillaria,290.100,279.500,40,0,NaN
Capillonia,290.100,259.000,43,26,0.2087
Carilya,290.100,272.500,3,1,0.1429
Cartorhium,279.500,272.500,1,1,0.5000
Chonetes,360.700,254.000,6,1,0.0724
Chonetinella,290.100,272.500,2,2,0.1054
Cimmeriella,295.000,279.500,40,9,0.3700
Cleiothyridina,360.700,254.000,134,11,0.0638
Coledium,345.300,279.500,15,8,0.0197
Colemanosteges,259.000,254.000,1,0,NaN
Composita,318.100,279.500,7,2,0.0174
Coolkilella,290.100,268.000,6,4,0.6389
Coronalosia,295.000,279.500,15,11,0.3634
Costatispirifer,272.500,268.000,1,1,0.2222
Costatumulus,295.000,259.000,163,42,0.1047
Costiferina,290.100,254.000,6,4,0.4532
Cranaena,360.700,353.800,1,0,NaN
Crassispirifer,295.000,272.500,13,10,0.4500
Crassumbo,345.300,326.400,2,0,NaN
Cratispirifer,295.000,290.100,2,2,1.0000
Crurithyris,345.300,326.400,6,0,NaN
Cundaria,290.100,272.500,2,1,0.0714
Cyrtella,298.900,259.000,92,41,0.0473
Delepinea,345.300,326.400,17,0,NaN
Delthyris,360.700,326.400,3,0,NaN
Demonedys,279.500,272.500,2,1,0.5000
Derbyia,279.500,254.000,5,2,0.0971
Dictyoclostus,360.700,318.100,5,0,NaN
Dielasma,360.700,265.000,20,0,NaN
Dyschrestia,279.500,268.000,3,3,0.6300
Echinalosia,290.100,259.000,354,65,0.1937
Echinoconchus,360.700,326.400,19,0,NaN
Ectochoristites,360.700,326.400,2,0,NaN
Eliva,259.000,254.000,1,0,NaN
Elivina,295.000,290.100,19,2,0.0613
Eolissochonetes,336.000,326.400,1,0,NaN
Eomarginifera,360.700,326.400,29,0,NaN
Etherilosia,295.000,265.000,39,8,0.3954
Eumetria,360.700,326.400,4,0,NaN
Farmerella,290.100,272.500,5,0,NaN
Filiconcha,290.100,259.000,32,14,0.0274
Fletcherithyris,295.000,254.000,67,11,0.1025
Fluctuaria,360.700,326.400,23,0,NaN
Fredericksia,295.000,272.500,2,2,0.7071
Fusispirifer,295.000,259.000,70,38,0.2332
Gatia,290.100,279.500,1,1,0.1538
Geothomasia,295.000,272.500,54,9,0.1685
Gigantoproductus,345.300,326.400,2,0,NaN
Gilledia,290.100,265.000,66,16,0.1107
Gjelispinifera,295.000,254.000,3,0,NaN
Glabauria,290.100,268.000,59,0,NaN
Glendonia,290.100,265.000,44,10,0.1525
Glossothyropsis,265.000,259.000,1,0,NaN
Hemiptychina,290.100,268.000,2,1,0.0303
Heteralosia,290.100,268.000,6,2,0.5774
Hoskingia,290.100,254.000,41,15,0.2655
Hustedia,259.000,254.000,2,0,NaN
Imperiospira,295.000,268.000,18,15,0.7124
Inflatia,345.300,326.400,13,0,NaN
Ingelarella,290.100,259.000,182,42,0.0870
Johndearia,290.100,259.000,63,12,0.0480
Kelsovia,295.000,279.500,6,2,0.7762
Kiangsiella,298.900,272.500,13,8,0.4966
Kitakamithyris,360.700,318.100,64,0,NaN
Krotovia,360.700,326.400,8,0,NaN
Lamnaespina,295.000,290.100,19,0,NaN
