authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"M. Clapham","M. Clapham",,27457,"N. W.",Archbold,,,,1980,"Mingenewia n. gen. (Strophalosiidina, Brachiopoda) from the Western Australian Permian","Journal of Paleontology",,54,1,253,258,"journal article","stated without evidence",English,,,,,"2008-06-27 16:42:01","2008-06-28 09:42:01"
"M. Clapham","M. Clapham",,27458,"N. W.",Archbold,,,,1980,"Studies on Western Australian Permian brachiopods 1. The family Anopliidae (Chonetidina)","Proceedings of the Royal Society of Victoria",,92,,181,192,"journal article","stated without evidence",English,,,,,"2008-06-27 16:45:42","2008-06-28 09:45:42"
"M. Clapham","M. Clapham",,27336,"N. W.",Archbold,,,,1981,"Studies on Western Australian Permian brachiopods 2. The Family Rugosochonetidae Muir-Wood 1962","Proceedings of the Royal Society of Victoria",,93,,109,128,"journal article","stated without evidence",English,,,,,"2008-06-07 11:34:16","2008-06-08 04:34:16"
"M. Clapham","M. Clapham",,27459,"N. W.",Archbold,,,,1981,"Quinquenella (Chonetidina, Brachiopoda) from the Permian of Western Australia","Journal of Paleontology",,55,1,204,210,"journal article","stated without evidence",English,,,,,"2008-06-27 16:53:13","2008-06-28 09:53:13"
"M. Clapham","M. Clapham",,27460,"N. W.",Archbold,,,,1981,"Svalbardia (Chonetidina, Brachiopoda) from the Kungurian (Permian) of Western Australia",Alcheringa,,5,,1,8,"journal article","stated without evidence",English,,,,,"2008-06-27 16:57:30","2008-06-28 09:57:30"
"M. Clapham","M. Clapham",,27547,"N. W.",Archbold,,,,1981,"A new species of Tornquistia (Brachiopoda: Chonetidina) from the Artinskian (Permian) of Western Australia","Memoirs of the National Museum, Victoria",,42,,7,14,"journal article","stated without evidence",English,,,,,"2008-07-04 17:54:24","2008-07-05 10:54:24"
"M. Clapham","M. Clapham",,27548,"N. W.",Archbold,,,,1981,"Lingula (Lingulidae, Brachiopoda) from the late Artinskian (Permian), Carnarvon Basin, Western Australia","Proceedings of the Royal Society of Victoria",,93,,169,180,"journal article","stated without evidence",English,,,,,"2008-07-04 17:58:22","2008-07-05 10:58:22"
"M. Clapham","T. Wolfe",,37657,"N. W.",Archbold,,,,1981,"Fish scales from the Permian of Western Australia","Journal of the Royal Society of Western Australia",,4,1,23,26,"journal article","stated with evidence",English,,,,,"2011-09-16 10:30:29","2011-09-16 10:30:29"
"D. Bottjer","M. Clapham",,16868,"N. W.",Archbold,,,,1983,"Permian marine invertebrate provinces of the Gondwana Realm",Alcheringa,,7,,59,73,"journal article","stated with evidence",English,,,,,"2006-03-14 13:15:01","2006-03-15 08:15:01"
"M. Clapham","M. Clapham",,27339,"N. W.",Archbold,,,,1983,"Studies on Western Australian Permian brachiopods 3. The Family Linoproductidae Stehli 1954","Proceedings of the Royal Society of Victoria",,95,4,237,254,"journal article","stated without evidence",English,,,,,"2008-06-07 12:11:29","2008-06-08 05:11:29"
"M. Clapham","M. Clapham",,27366,"N. W.",Archbold,,,,1984,"Western Australian occurrences of the Permian brachiopod genus Retimarginifera",Alcheringa,,8,,113,122,"journal article","stated without evidence",English,,,,,"2008-06-10 10:17:41","2008-06-11 03:17:41"
"M. Clapham","M. Clapham",,27550,"N. W.",Archbold,,,,1984,"Studies on Western Australian Permian brachiopods 4. Productellidae Schuchert & LeVene 1929 and Overtoniidae Muir-Wood & Cooper 1960","Proceedings of the Royal Society of Victoria",,96,2,83,92,"journal article","stated without evidence",English,,,,,"2008-07-04 18:48:49","2008-07-05 11:48:49"
"M. Clapham","M. Clapham",,27477,"N. W.",Archbold,,,,1985,"Studies on Western Australian Permian brachiopods 5. The family Dictyoclostidae Stehli 1954","Proceedings of the Royal Society of Victoria",,97,1,19,30,"journal article","stated without evidence",English,,,,,"2008-06-27 22:39:18","2008-06-28 15:39:18"
"M. Clapham","M. Clapham",,27301,"N. W.",Archbold,,,,1986,"Studies on Western Australian Permian brachiopods 6. The genera Strophalosia King, 1844, Heteralosia King, 1938 and Echinalosia Waterhouse, 1967","Proceedings of the Royal Society of Victoria",,98,,97,119,"journal article","stated without evidence",English,,,,,"2008-06-05 14:13:22","2008-06-06 07:13:22"
"M. Clapham","M. Clapham",,27551,"N. W.",Archbold,,,,1986,"Megasteges septentrionalis (Etheridge, 1907), a Permian brachiopod from the Northern Territory redescribed","Proceedings of the Royal Society of Victoria",,98,1,49,51,"journal article","stated without evidence",English,,,,,"2008-07-04 19:16:14","2008-07-05 12:16:14"
"M. Clapham","M. Clapham",,33428,"N. W.",Archbold,,,,1986,"Tivertonia yarrolensis (Maxwell) (Chonetidina, Brachiopoda) from the Permian of the Sydney Basin, Australia",Alcheringa,,10,,413,415,"journal article","stated with evidence",English,,,,,"2010-08-28 08:57:48","2010-08-29 01:57:48"
"M. Clapham","M. Clapham",,27307,"N. W.",Archbold,,,,1987,"Studies on Western Australian Permian brachiopods 7. The strophalosiid genera Wyndhamia Booker, 1929, Lialosia Muir-Wood and Cooper, 1960 and Liveringia gen. nov.","Proceedings of the Royal Society of Victoria",,99,,19,35,"journal article","stated without evidence",English,,,,,"2008-06-05 15:09:39","2008-06-06 08:09:39"
"D. Bottjer","M. Clapham","M. Clapham",10831,"N. W.",Archbold,,,,1988,"Permian Brachiopoda and Bivalvia from Sahul Shoals No. 1, Ashmore Block, northwestern Australia","Proceedings of the Royal Society of Victoria",,100,,33,38,"journal article","stated without evidence",,,,,,"2004-06-12 10:39:18","2004-06-13 03:39:18"
"W. Kiessling","U. Merkel",,25171,"N. W.",Archbold,,,,1988,"Studies on Western Australian Permian brachiopods 8: The Late Permian brachiopod fauna of the Kirkby Range Member, Canning Basin","Proceedings of the Royal Society of Victoria",,100,,21,32,"journal article","stated without evidence",English,,,,,"2007-08-28 06:31:01","2007-08-28 23:31:01"
"M. Clapham","M. Clapham",,27552,"N. W.",Archbold,,,,1990,"Studies on Western Australian Permian brachiopods 9. The Sterlitamakian brachiopod fauna of the Cuncudgerie Sandstone, Canning Basin","Proceedings of the Royal Society of Victoria",,102,1,1,13,"journal article","stated without evidence",English,,,,,"2008-07-04 20:19:20","2008-07-05 13:19:20"
"W. Kiessling","U. Merkel",,18956,"N. W.",Archbold,,,,1991,"Studies on Western Australian Permian brachiopods 10. Faunas from the Wooramel Group, Carnarvon Basin","Proceedings of the Royal Society of Victoria",,103,2,55,66,"journal article","stated without evidence",English,,,,,"2006-10-04 02:34:27","2006-10-04 19:34:42"
"M. Clapham","M. Clapham",,30150,"N. W.",Archbold,,,,1991,"Trigonotreta (Spiriferida, Brachiopoda) from the Early Permian of Victoria",Alcheringa,,15,,321,326,"journal article","stated with evidence",English,,,,,"2009-06-28 11:09:01","2009-06-29 04:09:01"
"M. Clapham","M. Clapham",,27929,"N. W.",Archbold,,,,1993,"Studies on Western Australia Permian brachiopods 11. New genera, species and records","Proceedings of the Royal Society of Victoria",,105,1,1,29,"journal article","stated without evidence",English,,,,,"2008-08-09 20:05:31","2008-08-10 13:05:31"
"M. Clapham","M. Clapham",,27869,"N. W.",Archbold,,,,1995,"Ufimian (early Late Permian) brachiopods from the Perth Basin, Western Australia","Memoirs of the Association of Australasian Palaeontologists",,18,,153,163,"journal article","stated without evidence",English,,,,,"2008-08-04 15:59:29","2008-08-05 08:59:29"
