collection_no,source_database,collection.authorizer,class_name,class_extant,order_name,order_extant,family_name,family_extant,parent_rank,parent_name,parent_extant,genus_extant,species_extant,occurrence.genus_reso,occurrence.genus_name,occurrence.subgenus_reso,occurrence.subgenus_name,occurrence.species_reso,occurrence.species_name,taxon_no,original.genus_reso,original.genus_name,original.subgenus_reso,original.subgenus_name,original.species_reso,original.species_name,taxon_no,occurrence.authorizer,occurrence.enterer,occurrence.modifier,occurrence_no,abund_value,abund_unit,occurrence.reference_no,comments,occurrence.created,occurrence.modified,plant_organ,plant_organ2,original.authorizer,original.enterer,original.modifier,original.reference_no,comments,original.created,original.modified,plant_organ,attached,life_habit,depth_habitat,taxon_environment,grouping,first_author,second_author,other_authors,year_named,preservation,type_specimen,type_body_part,type_locality,form_taxon,common_name,collection.enterer,collection.modifier,collection_subset,collection.reference_no,pubyr,collection_name,collection_aka,country,state,county,plate,latdec,lngdec,latlng_basis,paleolatdec,paleolngdec,geogscale,spatial_resolution,geogcomments,period,epoch,subepoch,stage,10_my_bin,FR2_bin,max_interval,min_interval,direct_ma,direct_ma_error,direct_ma_method,max_ma,max_ma_error,max_ma_method,min_ma,min_ma_error,min_ma_method,interval_base,interval_top,interval_midpoint,interpolated_base,interpolated_top,interpolated_mid,ma_max,ma_min,ma_mid,zone,research_group,geological_group,formation,member,localsection,localbed,localbedunit,localorder,regionalsection,regionalbed,regionalbedunit,regionalorder,stratscale,stratcomments,lithdescript,lithadj,lithification,minor_lithology,lithology1,fossilsfrom1,lithification2,minor_lithology2,lithadj2,lithology2,fossilsfrom2,environment,tectonic_setting,pres_mode,geology_comments,spatial_resolution,temporal_resolution,feed_pred_traces,encrustation,bioerosion,fragmentation,sorting,art_whole_bodies,disart_assoc_maj_elems,lagerstatten,concentration,orientation,preservation_quality,abund_in_sediment,assembl_comps,taphonomy_comments,collection_type,collection_coverage,coll_meth,collection_size,collection_size_unit,museum,collectors,collection_dates,rock_censused_unit,rock_censused,collection_comments,taxonomy_comments,collection.created,collection.modified
5603,Fossilworks,"J. Alroy",Strophomenata,,Orthotetida,,Schuchertellidae,,subfamily,Streptorhynchinae,,no,,,Streptorhynchus,,,,spinigera,28003,,,,,,,,"J. Alroy","M. Sommers",,76158,,,336,,"1999-10-23 14:47:37","1999-10-24 07:47:37",,,,,,,,,,,yes,"low-level epifaunal",,,,,,,,"body (3D)",,,,no,,"M. Sommers",,,336,1965,"University of New South Wales Collection L.233",,Australia,"New South Wales",,801,-32.433333,151.566667,,-46.10,154.20,"small collection",,"From the Dungog One Mile Military sheet, coordinate grid reference is 570864.",Carboniferous,"Middle Mississippian",,Visean,,Visean,Visean,,,,,,,,,,,345.300,326.400,335.85,,,0,345.300,326.400,335.85,"upper II-delta or III-alpha","marine invertebrate",,Bingleburra,,,,,,,,,,bed,"Stratigraphically, from lowest to highest: L.208, L.270, L.233","hard grey siltstone immediately above or below a thin lens of dark fossiliferous limestone containing a small cephalopod fauna.","shelly/skeletal,gray",lithified,,siltstone,Y,,,,"""limestone""",,offshore,,,"INternal and external molds.  Shell material is present in a limestone lens interbedded with the fossiliferous siltstones and also occurs in the unweathered portions of the siltstone bed.",,,,,,,,,,,,,,,,,biostratigraphic,,"field collection",,,,,,,,,,"1999-10-23 16:36:49","1999-10-24 10:36:49"
5603,Fossilworks,"J. Alroy",Rhynchonellata,yes,Orthida,,Rhipidomellidae,,subfamily,Rhipidomellinae,,no,,,Rhipidomella,,,,australis,26974,,,,,,,,"J. Alroy","M. Sommers",,76159,,,336,,"1999-10-23 14:47:37","1999-10-24 07:47:37",,,,,,,,,,,yes,epifaunal,,,,,,,,"not a trace",,,,no,,"M. Sommers",,,336,1965,"University of New South Wales Collection L.233",,Australia,"New South Wales",,801,-32.433333,151.566667,,-46.10,154.20,"small collection",,"From the Dungog One Mile Military sheet, coordinate grid reference is 570864.",Carboniferous,"Middle Mississippian",,Visean,,Visean,Visean,,,,,,,,,,,345.300,326.400,335.85,,,0,345.300,326.400,335.85,"upper II-delta or III-alpha","marine invertebrate",,Bingleburra,,,,,,,,,,bed,"Stratigraphically, from lowest to highest: L.208, L.270, L.233","hard grey siltstone immediately above or below a thin lens of dark fossiliferous limestone containing a small cephalopod fauna.","shelly/skeletal,gray",lithified,,siltstone,Y,,,,"""limestone""",,offshore,,,"INternal and external molds.  Shell material is present in a limestone lens interbedded with the fossiliferous siltstones and also occurs in the unweathered portions of the siltstone bed.",,,,,,,,,,,,,,,,,biostratigraphic,,"field collection",,,,,,,,,,"1999-10-23 16:36:49","1999-10-24 10:36:49"
5603,Fossilworks,"J. Alroy",Rhynchonellata,yes,Orthida,,Schizophoriidae,,genus,Schizophoria,no,no,no,,Schizophoria,,,,verulamensis,268637,,,,,,,,"J. Alroy","M. Sommers",,76160,,,336,,"1999-10-23 14:47:37","1999-10-24 07:47:37",,,,,,,,,,,yes,epifaunal,,,,Cvancara,,,1958,"body (3D)",,,67217,no,,"M. Sommers",,,336,1965,"University of New South Wales Collection L.233",,Australia,"New South Wales",,801,-32.433333,151.566667,,-46.10,154.20,"small collection",,"From the Dungog One Mile Military sheet, coordinate grid reference is 570864.",Carboniferous,"Middle Mississippian",,Visean,,Visean,Visean,,,,,,,,,,,345.300,326.400,335.85,,,0,345.300,326.400,335.85,"upper II-delta or III-alpha","marine invertebrate",,Bingleburra,,,,,,,,,,bed,"Stratigraphically, from lowest to highest: L.208, L.270, L.233","hard grey siltstone immediately above or below a thin lens of dark fossiliferous limestone containing a small cephalopod fauna.","shelly/skeletal,gray",lithified,,siltstone,Y,,,,"""limestone""",,offshore,,,"INternal and external molds.  Shell material is present in a limestone lens interbedded with the fossiliferous siltstones and also occurs in the unweathered portions of the siltstone bed.",,,,,,,,,,,,,,,,,biostratigraphic,,"field collection",,,,,,,,,,"1999-10-23 16:36:49","1999-10-24 10:36:49"
5603,Fossilworks,"J. Alroy",Strophomenata,,Strophomenida,,Rafinesquinidae,,genus,Leptagonia,,,no,,Leptagonia,,,cf.,analoga,268639,,,,,,,,"J. Alroy","M. Sommers",,76161,,,336,,"1999-10-23 14:47:37","1999-10-24 07:47:37",,,,,,,,,,,yes,epifaunal,,,,Phillips,,,1836,"body (3D)",,,,no,,"M. Sommers",,,336,1965,"University of New South Wales Collection L.233",,Australia,"New South Wales",,801,-32.433333,151.566667,,-46.10,154.20,"small collection",,"From the Dungog One Mile Military sheet, coordinate grid reference is 570864.",Carboniferous,"Middle Mississippian",,Visean,,Visean,Visean,,,,,,,,,,,345.300,326.400,335.85,,,0,345.300,326.400,335.85,"upper II-delta or III-alpha","marine invertebrate",,Bingleburra,,,,,,,,,,bed,"Stratigraphically, from lowest to highest: L.208, L.270, L.233","hard grey siltstone immediately above or below a thin lens of dark fossiliferous limestone containing a small cephalopod fauna.","shelly/skeletal,gray",lithified,,siltstone,Y,,,,"""limestone""",,offshore,,,"INternal and external molds.  Shell material is present in a limestone lens interbedded with the fossiliferous siltstones and also occurs in the unweathered portions of the siltstone bed.",,,,,,,,,,,,,,,,,biostratigraphic,,"field collection",,,,,,,,,,"1999-10-23 16:36:49","1999-10-24 10:36:49"
5603,Fossilworks,"J. Alroy",Strophomenata,,Productida,no,Rugosochonetidae,,subfamily,Rugosochonetinae,,no,,,Rugosochonetes,,,,kennedyensis,27902,,,,,,,,"J. Alroy","M. Sommers",,76162,,,336,,"1999-10-23 14:47:37","1999-10-24 07:47:37",,,,,,,,,,,yes,"low-level epifaunal",,,,,,,,"not a trace",,,,no,,"M. Sommers",,,336,1965,"University of New South Wales Collection L.233",,Australia,"New South Wales",,801,-32.433333,151.566667,,-46.10,154.20,"small collection",,"From the Dungog One Mile Military sheet, coordinate grid reference is 570864.",Carboniferous,"Middle Mississippian",,Visean,,Visean,Visean,,,,,,,,,,,345.300,326.400,335.85,,,0,345.300,326.400,335.85,"upper II-delta or III-alpha","marine invertebrate",,Bingleburra,,,,,,,,,,bed,"Stratigraphically, from lowest to highest: L.208, L.270, L.233","hard grey siltstone immediately above or below a thin lens of dark fossiliferous limestone containing a small cephalopod fauna.","shelly/skeletal,gray",lithified,,siltstone,Y,,,,"""limestone""",,offshore,,,"INternal and external molds.  Shell material is present in a limestone lens interbedded with the fossiliferous siltstones and also occurs in the unweathered portions of the siltstone bed.",,,,,,,,,,,,,,,,,biostratigraphic,,"field collection",,,,,,,,,,"1999-10-23 16:36:49","1999-10-24 10:36:49"
5603,Fossilworks,"J. Alroy",Strophomenata,,Productida,no,Rugosochonetidae,,subfamily,Rugosochonetinae,,no,,,Rugosochonetes,,,,sp.,27902,,,,,,,,"J. Alroy","M. Sommers",,76163,,,336,,"1999-10-23 14:47:37","1999-10-24 07:47:37",,,,,,,,,,,yes,"low-level epifaunal",,,,,,,,"not a trace",,,,no,,"M. Sommers",,,336,1965,"University of New South Wales Collection L.233",,Australia,"New South Wales",,801,-32.433333,151.566667,,-46.10,154.20,"small collection",,"From the Dungog One Mile Military sheet, coordinate grid reference is 570864.",Carboniferous,"Middle Mississippian",,Visean,,Visean,Visean,,,,,,,,,,,345.300,326.400,335.85,,,0,345.300,326.400,335.85,"upper II-delta or III-alpha","marine invertebrate",,Bingleburra,,,,,,,,,,bed,"Stratigraphically, from lowest to highest: L.208, L.270, L.233","hard grey siltstone immediately above or below a thin lens of dark fossiliferous limestone containing a small cephalopod fauna.","shelly/skeletal,gray",lithified,,siltstone,Y,,,,"""limestone""",,offshore,,,"INternal and external molds.  Shell material is present in a limestone lens interbedded with the fossiliferous siltstones and also occurs in the unweathered portions of the siltstone bed.",,,,,,,,,,,,,,,,,biostratigraphic,,"field collection",,,,,,,,,,"1999-10-23 16:36:49","1999-10-24 10:36:49"
5603,Fossilworks,"J. Alroy",Strophomenata,,Productida,no,Productellidae,,tribe,Krotoviini,,no,,,Krotovia,,,,sp.,27522,,,,,,,,"J. Alroy","M. Sommers",,76164,,,336,,"1999-10-23 14:47:37","1999-10-24 07:47:37",,,,,,,,,,,yes,"low-level epifaunal",,,,,,,,"not a trace",,,,no,,"M. Sommers",,,336,1965,"University of New South Wales Collection L.233",,Australia,"New South Wales",,801,-32.433333,151.566667,,-46.10,154.20,"small collection",,"From the Dungog One Mile Military sheet, coordinate grid reference is 570864.",Carboniferous,"Middle Mississippian",,Visean,,Visean,Visean,,,,,,,,,,,345.300,326.400,335.85,,,0,345.300,326.400,335.85,"upper II-delta or III-alpha","marine invertebrate",,Bingleburra,,,,,,,,,,bed,"Stratigraphically, from lowest to highest: L.208, L.270, L.233","hard grey siltstone immediately above or below a thin lens of dark fossiliferous limestone containing a small cephalopod fauna.","shelly/skeletal,gray",lithified,,siltstone,Y,,,,"""limestone""",,offshore,,,"INternal and external molds.  Shell material is present in a limestone lens interbedded with the fossiliferous siltstones and also occurs in the unweathered portions of the siltstone bed.",,,,,,,,,,,,,,,,,biostratigraphic,,"field collection",,,,,,,,,,"1999-10-23 16:36:49","1999-10-24 10:36:49"
5603,Fossilworks,"J. Alroy",Strophomenata,,Productida,no,Linoproductidae,,subfamily,Linoproductinae,,no,,,Fluctuaria,,,,sp.,27383,,,,,,,,"J. Alroy","M. Sommers",,76165,,,336,,"1999-10-23 14:47:37","1999-10-24 07:47:37",,,,,,,,,,,yes,"low-level epifaunal",,,,,,,,"not a trace",,,,no,,"M. Sommers",,,336,1965,"University of New South Wales Collection L.233",,Australia,"New South Wales",,801,-32.433333,151.566667,,-46.10,154.20,"small collection",,"From the Dungog One Mile Military sheet, coordinate grid reference is 570864.",Carboniferous,"Middle Mississippian",,Visean,,Visean,Visean,,,,,,,,,,,345.300,326.400,335.85,,,0,345.300,326.400,335.85,"upper II-delta or III-alpha","marine invertebrate",,Bingleburra,,,,,,,,,,bed,"Stratigraphically, from lowest to highest: L.208, L.270, L.233","hard grey siltstone immediately above or below a thin lens of dark fossiliferous limestone containing a small cephalopod fauna.","shelly/skeletal,gray",lithified,,siltstone,Y,,,,"""limestone""",,offshore,,,"INternal and external molds.  Shell material is present in a limestone lens interbedded with the fossiliferous siltstones and also occurs in the unweathered portions of the siltstone bed.",,,,,,,,,,,,,,,,,biostratigraphic,,"field collection",,,,,,,,,,"1999-10-23 16:36:49","1999-10-24 10:36:49"
5603,Fossilworks,"J. Alroy",Strophomenata,,Productida,no,Productidae,,tribe,Kozlowskiini,,no,,,Eomarginifera,,,"n. sp.",tenuimontis,27352,,,,,,,,"J. Alroy","M. Sommers",,76166,,,336,,"1999-10-23 14:47:37","1999-10-24 07:47:37",,,,,,,,,,,yes,"low-level epifaunal",,,,,,,,"not a trace",,,,no,,"M. Sommers",,,336,1965,"University of New South Wales Collection L.233",,Australia,"New South Wales",,801,-32.433333,151.566667,,-46.10,154.20,"small collection",,"From the Dungog One Mile Military sheet, coordinate grid reference is 570864.",Carboniferous,"Middle Mississippian",,Visean,,Visean,Visean,,,,,,,,,,,345.300,326.400,335.85,,,0,345.300,326.400,335.85,"upper II-delta or III-alpha","marine invertebrate",,Bingleburra,,,,,,,,,,bed,"Stratigraphically, from lowest to highest: L.208, L.270, L.233","hard grey siltstone immediately above or below a thin lens of dark fossiliferous limestone containing a small cephalopod fauna.","shelly/skeletal,gray",lithified,,siltstone,Y,,,,"""limestone""",,offshore,,,"INternal and external molds.  Shell material is present in a limestone lens interbedded with the fossiliferous siltstones and also occurs in the unweathered portions of the siltstone bed.",,,,,,,,,,,,,,,,,biostratigraphic,,"field collection",,,,,,,,,,"1999-10-23 16:36:49","1999-10-24 10:36:49"
5603,Fossilworks,"J. Alroy",Strophomenata,,Productida,no,Productidae,,tribe,Tolmatchoffiini,,no,,,Marginatia,,,"n. sp.",patersonensis,27620,,,,,,,,"J. Alroy","M. Sommers",,76167,,,336,,"1999-10-23 14:47:37","1999-10-24 07:47:37",,,,,,,,,,,yes,"low-level epifaunal",,,,,,,,"not a trace",,,,no,,"M. Sommers",,,336,1965,"University of New South Wales Collection L.233",,Australia,"New South Wales",,801,-32.433333,151.566667,,-46.10,154.20,"small collection",,"From the Dungog One Mile Military sheet, coordinate grid reference is 570864.",Carboniferous,"Middle Mississippian",,Visean,,Visean,Visean,,,,,,,,,,,345.300,326.400,335.85,,,0,345.300,326.400,335.85,"upper II-delta or III-alpha","marine invertebrate",,Bingleburra,,,,,,,,,,bed,"Stratigraphically, from lowest to highest: L.208, L.270, L.233","hard grey siltstone immediately above or below a thin lens of dark fossiliferous limestone containing a small cephalopod fauna.","shelly/skeletal,gray",lithified,,siltstone,Y,,,,"""limestone""",,offshore,,,"INternal and external molds.  Shell material is present in a limestone lens interbedded with the fossiliferous siltstones and also occurs in the unweathered portions of the siltstone bed.",,,,,,,,,,,,,,,,,biostratigraphic,,"field collection",,,,,,,,,,"1999-10-23 16:36:49","1999-10-24 10:36:49"
