genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Acanthalosia,concava,290.100,279.500,21,0,NaN
Acanthalosia,deari,268.000,259.000,11,2,0.0150
Acanthalosia,domina,290.100,279.500,27,13,0.2662
Acanthalosia,"sp. A",279.500,272.500,2,0,NaN
Acanthatia,rangariensis,360.700,353.800,2,0,NaN
Acuminothyris,triangularis,360.700,326.400,6,0,NaN
Adolfia,kennedyensis,360.700,345.300,2,0,NaN
Alispirifer,alatus,345.300,314.600,3,0,NaN
Alispirifer,contractus,326.400,318.100,4,0,NaN
Alispirifer,laminosus,345.300,318.100,12,0,NaN
Alispirifer,transversus,326.400,306.950,1,0,NaN
Alispirifer,yagonensis,345.300,314.600,4,0,NaN
Ambikella,elongata,295.000,279.500,23,10,0.0960
Ambikella,ovata,290.100,265.000,65,29,0.0481
Ambikella,"sp. nov. A",290.100,279.500,10,0,NaN
Ambikella,"sp. nov. B",290.100,279.500,3,0,NaN
Anemonaria,mitis,290.100,279.500,9,4,0.7653
Anidanthus,cessnockensis,295.000,272.500,52,0,NaN
Anidanthus,compactus,290.100,279.500,8,4,0.0138
Anidanthus,gosforthensis,295.000,290.100,1,0,NaN
Anidanthus,pokolbinensis,295.000,290.100,11,0,NaN
Anidanthus,sp.,290.100,279.500,5,1,0.0314
Anidanthus,springsurensis,290.100,279.500,77,23,0.0995
Antiquatonia,sp.,360.700,345.300,10,0,NaN
Aperispirifer,crassicostatus,290.100,279.500,1,1,0.0878
Aperispirifer,lethamensis,268.000,259.000,29,25,0.1037
Aperispirifer,ovalis,272.500,268.000,16,16,0.4301
Aperispirifer,sp.,268.000,259.000,3,3,0.1105
Archboldina,micracantha,295.000,290.100,4,3,0.2877
Arcticalosia,colemani,290.100,268.000,3,3,0.5503
Arcticalosia,multispinifera,290.100,272.500,4,4,0.3508
Arctitreta,costellata,298.900,290.100,10,0,NaN
Arctitreta,crassimurus,295.000,279.500,3,1,0.4545
Arctitreta,pelicanensis,268.000,265.000,6,1,0.0952
Arctitreta,plicatilis,295.000,290.100,10,1,0.6667
Arctitreta,sp.,295.000,279.500,6,5,0.1426
Arctitreta,"sp. A",290.100,279.500,2,0,NaN
Arctitreta,"sp. B",265.000,259.000,4,3,0.0114
Asyrinxia,lata,360.700,326.400,12,0,NaN
Athyris,lamina,336.000,306.950,9,0,NaN
Athyris,sp.,360.700,306.950,5,0,NaN
Athyris,wiragullensis,345.300,326.400,7,0,NaN
Atrypa,jukesii,339.400,336.000,1,0,NaN
Attenuatella,australis,290.100,279.500,1,0,NaN
Attenuatella,multispinosa,268.000,259.000,10,2,0.3499
Attenuatella,sp.,290.100,279.500,2,1,0.0013
Aulosteges,baracoodensis,295.000,272.500,4,1,0.1429
Aulosteges,ingens,290.100,279.500,1,1,0.0111
Aulosteges,sp.,290.100,279.500,1,1,0.5000
Auriculispina,levis,298.900,290.100,2,0,NaN
Balanoconcha,australis,360.700,345.300,1,0,NaN
Balanoconcha,elliptica,360.700,326.400,12,0,NaN
Bandoproductus,hastingsensis,298.900,295.000,3,0,NaN
Bandoproductus,macrospina,295.000,290.100,4,0,NaN
Bandoproductus,walkomi,295.000,290.100,9,0,NaN
Bandoproductus,youdalensis,298.900,295.000,3,0,NaN
Beecheria,boranelensis,326.400,318.100,1,0,NaN
Beecheria,subrotundatus,326.400,318.100,1,0,NaN
Biconvexiella,convexa,290.100,279.500,3,0,NaN
Birchsella,spinosa,268.000,265.000,1,0,NaN
Booralia,burnettensis,318.100,290.100,3,0,NaN
Booralia,ovata,336.000,314.600,14,0,NaN
Brachythyris,davidi,360.700,345.300,1,0,NaN
Brachythyris,davidis,345.300,326.400,1,0,NaN
Brachythyris,elliptica,360.700,326.400,12,0,NaN
Brachythyris,pseudovalis,360.700,326.400,11,0,NaN
Brachythyris,solida,360.700,353.800,8,0,NaN
Brachythyris,sp.,360.700,326.400,13,0,NaN
Bulahdelia,myallensis,345.300,314.600,2,0,NaN
Callyconcha,australis,295.000,290.100,8,1,0.6154
Callytharrella,callytharrensis,295.000,279.500,23,8,0.5375
Callytharrella,sp.,295.000,290.100,1,1,0.2000
Camarotoechia,sp.,360.700,326.400,8,0,NaN
Camarotoechia,"sp. A.",360.700,345.300,1,0,NaN
Camarotoechia,"sp. nov.",345.300,326.400,1,0,NaN
Camerisma,callytharrensis,295.000,290.100,11,0,NaN
Cancellospirifer,maxwelli,265.000,259.000,1,0,NaN
Cancrinella,sp.,290.100,279.500,5,1,0.0038
Capillaria,warwicki,290.100,279.500,40,0,NaN
Capillonia,brevisulcus,265.000,259.000,2,0,NaN
Capillonia,semicircularis,268.000,259.000,40,26,0.2087
Capillonia,sp.,290.100,279.500,1,0,NaN
Carilya,roberti,290.100,272.500,3,1,0.1429
Cartorhium,imperfectum,279.500,272.500,1,1,0.5000
Chonetes,cangonensis,345.300,326.400,2,0,NaN
Chonetes,careyi,360.700,345.300,1,0,NaN
Chonetes,gloucesterensis,360.700,345.300,1,1,0.0724
Chonetes,sp.,259.000,254.000,2,0,NaN
Chonetinella,sp.,290.100,272.500,2,2,0.1054
Cimmeriella,flexuosa,290.100,279.500,6,1,0.9333
Cimmeriella,foordi,295.000,290.100,34,8,0.3296
Cleiothyridina,anabathra,272.500,259.000,3,3,0.4743
Cleiothyridina,australis,336.000,326.400,13,0,NaN
Cleiothyridina,baracoodensis,295.000,279.500,4,0,NaN
Cleiothyridina,deroissyi,295.000,290.100,1,0,NaN
Cleiothyridina,macleayana,295.000,272.500,6,0,NaN
Cleiothyridina,ovalis,295.000,279.500,22,1,0.1250
Cleiothyridina,penta,259.000,254.000,1,0,NaN
Cleiothyridina,perthensis,290.100,279.500,1,1,0.1000
Cleiothyridina,segmentata,360.700,326.400,24,0,NaN
Cleiothyridina,sp.,360.700,254.000,39,4,0.0336
Cleiothyridina,"sp. A",290.100,279.500,9,0,NaN
Cleiothyridina,"sp. B",290.100,265.000,2,1,0.0079
Cleiothyridina,"sp. C",279.500,272.500,1,1,0.0054
Cleiothyridina,"sp. nov.",259.000,254.000,1,0,NaN
Cleiothyridina,squamosa,360.700,345.300,2,0,NaN
Cleiothyridina,wiragullensis,336.000,326.400,5,0,NaN
Coledium,elvinia,290.100,279.500,8,8,0.0197
Coledium,laevis,345.300,326.400,7,0,NaN
