collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,10_my_bin
784,PaleoDB,"T. Olszewski",,Composita,,subtilita,,,,,29,"Permian 1"
784,PaleoDB,"T. Olszewski",,Derbyia,,sp.,,,,,29,"Permian 1"
784,PaleoDB,"T. Olszewski",,Reticulatia,?,huecoensis,,,,,29,"Permian 1"
784,PaleoDB,"T. Olszewski",,Juresania,,sp.,,,,,29,"Permian 1"
784,PaleoDB,"T. Olszewski",,Neochonetes,,granulifer,,,,,29,"Permian 1"
788,PaleoDB,"T. Olszewski",,Composita,,subtilita,,,,,29,"Permian 1"
788,PaleoDB,"T. Olszewski",,Derbyia,,wabaunseensis,,,,,29,"Permian 1"
788,PaleoDB,"T. Olszewski",?,Dielasma,,bovidens,?,Beecheria,,bovidens,29,"Permian 1"
788,PaleoDB,"T. Olszewski",,Enteletes,,hemiplicata,,Enteletes,,hemiplicatus,29,"Permian 1"
788,PaleoDB,"T. Olszewski",,Parajuresania,,nebrascensis,,Juresania,,nebrascensis,29,"Permian 1"
788,PaleoDB,"T. Olszewski",,Meekella,,striaticostata,,,,,29,"Permian 1"
788,PaleoDB,"T. Olszewski",,Neochonetes,,granulifer,,,,,29,"Permian 1"
788,PaleoDB,"T. Olszewski",,Neospirifer,,dunbari,,,,,29,"Permian 1"
790,PaleoDB,"T. Olszewski",,Composita,,subtilita,,,,,29,"Permian 1"
790,PaleoDB,"T. Olszewski",,Derbyia,,cymbula,,,,,29,"Permian 1"
790,PaleoDB,"T. Olszewski",,Reticulatia,,huecoensis,,,,,29,"Permian 1"
790,PaleoDB,"T. Olszewski",,Parajuresania,,nebrascensis,,Juresania,,nebrascensis,29,"Permian 1"
790,PaleoDB,"T. Olszewski",,Meekella,,striaticostata,,,,,29,"Permian 1"
790,PaleoDB,"T. Olszewski",,Neochonetes,,granulifer,,,,,29,"Permian 1"
793,PaleoDB,"T. Olszewski",,Composita,,subtilita,,,,,29,"Permian 1"
793,PaleoDB,"T. Olszewski",,Crurithyris,,expansa,,,,,29,"Permian 1"
793,PaleoDB,"T. Olszewski",,Lingula,,carbonaria,,,,,29,"Permian 1"
793,PaleoDB,"T. Olszewski",,Linoproductus,,sp.,,,,,29,"Permian 1"
793,PaleoDB,"T. Olszewski",,Hystriculina,,wabashensis,,,,,29,"Permian 1"
793,PaleoDB,"T. Olszewski",,Wellerella,?,cooperi,,,,,29,"Permian 1"
796,PaleoDB,"T. Olszewski",,Composita,,subtilita,,,,,29,"Permian 1"
796,PaleoDB,"T. Olszewski",,Derbyia,,cymbula,,,,,29,"Permian 1"
796,PaleoDB,"T. Olszewski",,Reticulatia,,huecoensis,,,,,29,"Permian 1"
796,PaleoDB,"T. Olszewski",,Parajuresania,,nebrascensis,,Juresania,,nebrascensis,29,"Permian 1"
796,PaleoDB,"T. Olszewski",,Meekella,,striaticostata,,,,,29,"Permian 1"
796,PaleoDB,"T. Olszewski",,Neochonetes,,granulifer,,,,,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Kutorginella,,lasallensis,,Retaria,,lasallensis,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Composita,,subtilita,,,,,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Crurithyris,,expansa,,,,,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Reticulatia,?,huecoensis,,,,,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Linipalus,,magnispinus,,Linoproductus,,magnispinus,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Lissochonetes,,geinitzianus,,,,,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Neochonetes,,granulifer,,,,,29,"Permian 1"
798,PaleoDB,"T. Olszewski",?,Neospirifer,,sp.,,,,,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Rhipidomella,,carbonaria,,,,,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Streptorhynchus,,affine,,,,,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Wellerella,?,tetrahedra,,,,,29,"Permian 1"
798,PaleoDB,"T. Olszewski",,Hystriculina,,wabashensis,,,,,29,"Permian 1"
799,PaleoDB,"T. Olszewski",,Composita,,subtilita,,,,,29,"Permian 1"
799,PaleoDB,"T. Olszewski",,Juresania,,sp.,,,,,29,"Permian 1"
799,PaleoDB,"T. Olszewski",,Lingula,?,carbonaria,,,,,29,"Permian 1"
801,PaleoDB,"T. Olszewski",,Composita,,subtilita,,,,,29,"Permian 1"
801,PaleoDB,"T. Olszewski",,Derbyia,,cymbula,,,,,29,"Permian 1"
